ticker,REG US Equity,REG US Equity,REG US Equity,REG US Equity,REG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,19.5625,19.5,20.7244,19.825,20.0388,DOWN,0
2000-02-10,19.25,19.5,20.7131,19.7,20.0188,DOWN,0
2000-02-11,19.0625,19.25,20.7009,19.5375,19.9938,DOWN,0
2000-02-14,18.4375,19.0,20.685,19.2625,19.9575,UP,1
2000-02-15,18.75,18.3125,20.6706,19.0125,19.9263,UP,1
2000-02-16,19.125,18.75,20.6569,18.925,19.9063,DOWN,0
2000-02-17,18.9375,19.0,20.6428,18.8625,19.89,DOWN,0
2000-02-18,18.875,18.9375,20.6278,18.825,19.87,DOWN,0
2000-02-22,18.875,19.375,20.6125,18.9125,19.85,DOWN,0
2000-02-23,18.875,18.9375,20.5947,18.9375,19.8388,UP,1
2000-02-24,19.0,18.8125,20.5775,18.9125,19.8225,DOWN,0
2000-02-25,18.875,18.8125,20.5613,18.9,19.8138,UP,1
2000-02-28,19.1875,18.9375,20.5466,18.9625,19.8175,DOWN,0
2000-02-29,18.9063,19.25,20.5305,18.9688,19.8156,DOWN,0
2000-03-01,18.875,18.9375,20.5155,18.9688,19.7819,UP,1
2000-03-02,19.125,18.875,20.5008,18.9938,19.7556,UP,1
2000-03-03,19.25,19.125,20.4864,19.0688,19.7344,DOWN,0
2000-03-06,19.1875,19.125,20.4717,19.0688,19.7131,DOWN,0
2000-03-07,19.125,19.1875,20.457,19.1125,19.6894,UP,1
2000-03-08,19.3125,19.1875,20.4436,19.2,19.6731,UP,1
2000-03-09,19.75,19.4375,20.4323,19.325,19.6569,DOWN,0
2000-03-10,19.6875,19.75,20.4208,19.4125,19.6381,DOWN,0
2000-03-13,19.3125,19.4375,20.4073,19.4375,19.6244,DOWN,0
2000-03-14,19.0625,19.3125,20.3923,19.425,19.6056,DOWN,0
2000-03-15,19.0,19.0625,20.3773,19.3625,19.5869,UP,1
2000-03-16,19.6875,18.875,20.3658,19.35,19.5806,DOWN,0
2000-03-17,19.5,19.4375,20.3536,19.3125,19.5731,DOWN,0
2000-03-20,19.4375,19.5,20.3411,19.3375,19.5619,UP,1
2000-03-21,19.9375,19.4375,20.3311,19.5125,19.5469,UP,1
2000-03-22,20.125,20.0,20.3217,19.7375,19.5344,DOWN,0
2000-03-23,19.75,20.0,20.3105,19.75,19.5144,DOWN,0
2000-03-24,19.5,19.875,20.2983,19.75,19.4944,UP,1
2000-03-27,19.625,19.5625,20.2873,19.7875,19.4806,DOWN,0
2000-03-28,19.5625,19.625,20.2755,19.7125,19.4681,DOWN,0
2000-03-29,19.375,19.6875,20.2636,19.5625,19.4506,DOWN,0
2000-03-30,19.375,19.25,20.2511,19.4875,19.4281,UP,1
2000-03-31,19.75,19.375,20.2423,19.5375,19.4131,DOWN,0
2000-04-03,19.3125,19.8125,20.2311,19.475,19.3931,UP,1
