ticker,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,CRM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2004-10-19,4.5575,4.5875,4.5495,3.6851,,DOWN,0
2004-10-20,4.5375,4.5325,4.532,3.7208,,UP,1
2004-10-21,4.6,4.5425,4.5525,3.7597,,DOWN,0
2004-10-22,4.35,4.625,4.5235,3.7967,,UP,1
2004-10-25,4.5375,4.3875,4.5165,3.8395,,UP,1
2004-10-26,4.6125,4.525,4.5275,3.8832,,UP,1
2004-10-27,4.8175,4.625,4.5835,3.9247,,UP,1
2004-10-28,5.0375,4.825,4.671,3.9657,,UP,1
2004-10-29,5.08,5.025,4.817,4.0064,,UP,1
2004-11-01,5.425,5.125,4.9945,4.052,,UP,1
2004-11-02,5.49,5.625,5.17,4.0992,,DOWN,0
2004-11-03,5.4175,5.5525,5.29,4.1438,,DOWN,0
2004-11-04,5.145,5.4,5.3115,4.1819,,UP,1
2004-11-05,5.215,5.2075,5.3385,4.2216,,DOWN,0
2004-11-08,5.1,5.215,5.2735,4.2579,,DOWN,0
2004-11-09,4.8825,4.925,5.152,4.2897,,DOWN,0
2004-11-10,4.8825,4.9125,5.045,4.3223,,UP,1
2004-11-11,5.005,4.8825,5.017,4.3558,,DOWN,0
2004-11-12,5.0,5.05,4.974,4.3863,,UP,1
2004-11-15,5.2,5.02,4.994,4.4216,,DOWN,0
2004-11-16,5.1475,5.2,5.047,4.4574,,UP,1
2004-11-17,5.21,5.2,5.1125,4.4954,,DOWN,0
2004-11-18,4.455,4.75,5.0025,4.5187,,DOWN,0
2004-11-19,4.4375,4.55,4.89,4.5362,,DOWN,0
2004-11-22,4.405,4.4375,4.731,4.5482,,UP,1
2004-11-23,4.495,4.405,4.6005,4.5586,,UP,1
2004-11-24,4.5,4.5,4.4585,4.5669,,DOWN,0
2004-11-26,4.4325,4.475,4.454,4.5743,,DOWN,0
2004-11-29,4.375,4.435,4.4415,4.5834,,DOWN,0
2004-11-30,4.365,4.3775,4.4335,4.5907,,DOWN,0
