ticker,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-02-09,26.7,26.4,,,,DOWN,0
2021-02-10,26.6,26.6,,,,UP,1
2021-02-11,26.9,26.3,,,,UP,1
2021-02-12,27.0,27.0,,,,DOWN,0
2021-02-16,25.88,24.72,26.616,,,DOWN,0
2021-02-17,25.1,25.9,26.296,,,DOWN,0
2021-02-18,25.1,25.1,25.996,,,UP,1
2021-02-19,25.5,26.0,25.716,,,DOWN,0
2021-02-22,24.45,24.45,25.206,,,DOWN,0
2021-02-23,24.45,23.95,24.92,,,DOWN,0
2021-02-24,24.1,24.05,24.72,,,DOWN,0
2021-02-25,22.9,23.3,24.28,,,DOWN,0
2021-02-26,22.9,22.9,23.76,,,UP,1
2021-03-01,23.25,23.25,23.52,,,DOWN,0
2021-03-02,23.25,21.5,23.28,,,DOWN,0
2021-03-03,23.0,23.25,23.06,,,DOWN,0
2021-03-04,22.5,22.5,22.98,,,DOWN,0
2021-03-05,20.5,22.5,22.5,,,UP,1
2021-03-08,22.0,22.0,22.25,,,DOWN,0
2021-03-09,22.0,22.0,22.0,,,DOWN,0
2021-03-10,21.55,23.5,21.71,,,UP,1
2021-03-11,23.0,21.8,21.81,,,DOWN,0
2021-03-12,23.0,23.0,22.31,,,DOWN,0
2021-03-16,23.0,23.0,22.51,,,DOWN,0
2021-03-17,22.5,22.5,22.61,,,DOWN,0
2021-03-18,22.0,22.0,22.7,,,UP,1
2021-03-19,23.0,22.0,22.7,,,DOWN,0
2021-03-22,23.0,23.0,22.7,,,DOWN,0
2021-03-23,23.0,23.0,22.7,,,DOWN,0
2021-03-24,22.0,22.0,22.6,,,DOWN,0
2021-03-25,22.0,20.0,22.6,,,DOWN,0
2021-03-26,22.0,22.0,22.4,,,DOWN,0
2021-03-29,21.5,21.5,22.1,,,DOWN,0
2021-03-30,19.5,21.5,21.4,,,UP,1
2021-03-31,22.0,22.0,21.4,,,DOWN,0
2021-04-01,21.0,23.0,21.2,,,UP,1
2021-04-05,23.05,23.05,21.41,,,DOWN,0
2021-04-06,23.04,22.0,21.718,,,DOWN,0
2021-04-07,20.0,23.04,21.818,,,UP,1
2021-04-08,22.0,22.0,21.818,,,UP,1
2021-04-09,23.0,22.0,22.218,,,DOWN,0
2021-04-13,22.0,22.0,22.008,,,UP,1
2021-04-14,23.0,21.0,22.0,,,DOWN,0
2021-04-15,22.0,22.0,22.4,,,DOWN,0
2021-04-16,22.0,22.0,22.4,,,UP,1
2021-04-19,23.0,22.5,22.4,,,DOWN,0
2021-04-20,21.0,23.0,22.2,,,UP,1
2021-04-21,22.0,22.8,22.0,,,UP,1
2021-04-22,23.5,21.5,22.3,,,DOWN,0
2021-04-23,23.5,23.5,22.6,23.0244,,DOWN,0
2021-04-26,23.5,23.5,22.7,22.9604,,DOWN,0
2021-04-27,23.5,22.1,23.2,22.8984,,DOWN,0
2021-04-28,23.5,23.5,23.5,22.8304,,DOWN,0
2021-04-29,23.1,24.0,23.42,22.7524,,UP,1
2021-04-30,23.5,23.5,23.42,22.7048,,UP,1
2021-05-03,24.0,24.0,23.52,22.6828,,DOWN,0
2021-05-04,22.6,22.7,23.34,22.6328,,UP,1
2021-05-06,23.0,23.0,23.24,22.5828,,UP,1
2021-05-07,23.5,23.5,23.32,22.5638,,DOWN,0
2021-05-11,22.5,22.5,23.12,22.5248,,DOWN,0
2021-05-12,22.0,22.0,22.72,22.4828,,DOWN,0
2021-05-13,22.0,22.0,22.6,22.4648,,DOWN,0
2021-05-14,22.0,20.0,22.4,22.4468,,DOWN,0
2021-05-17,21.3,20.9,21.96,22.4078,,UP,1
2021-05-19,23.0,23.0,22.06,22.4028,,UP,1
2021-05-20,24.0,24.0,22.46,22.4228,,UP,1
2021-05-21,25.0,25.0,23.06,22.4728,,DOWN,0
2021-05-25,24.0,24.0,23.46,22.5428,,DOWN,0
2021-05-26,24.0,25.0,24.0,22.5828,,UP,1
2021-05-27,24.5,24.5,24.3,22.6328,,DOWN,0
2021-05-28,24.5,24.5,24.4,22.6918,,DOWN,0
2021-06-01,22.5,24.5,23.9,22.6818,,UP,1
2021-06-02,24.0,24.0,23.9,22.7018,,UP,1
2021-06-03,24.5,24.5,24.0,22.7318,,DOWN,0
2021-06-04,24.5,24.5,24.0,22.7718,,DOWN,0
2021-06-07,21.5,21.5,23.4,22.7618,,UP,1
2021-06-08,24.0,24.0,23.7,22.7818,,DOWN,0
2021-06-09,22.1,21.0,23.32,22.7638,,UP,1
2021-06-10,23.5,23.5,23.12,22.7738,,DOWN,0
2021-06-11,23.5,23.5,22.92,22.8038,,UP,1
2021-06-15,24.0,23.0,23.42,22.8438,,DOWN,0
2021-06-16,23.0,23.0,23.22,22.8638,,DOWN,0
2021-06-17,21.0,23.0,23.0,22.8538,,UP,1
2021-06-18,24.0,24.0,23.1,22.9438,,DOWN,0
2021-06-21,22.5,20.5,22.9,22.9538,,DOWN,0
