ticker,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,FBHS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-01-20,17.89,18.12,17.988,16.409,,DOWN,0
2012-01-23,17.78,17.86,17.9,16.4628,,UP,1
2012-01-24,17.86,17.71,17.888,16.522,,UP,1
2012-01-25,17.9,17.85,17.906,16.566,,UP,1
2012-01-26,17.91,17.89,17.868,16.6192,,UP,1
2012-01-27,17.95,17.87,17.88,16.6776,,UP,1
2012-01-30,18.32,17.75,17.988,16.7342,,UP,1
2012-01-31,18.57,18.36,18.13,16.8048,,UP,1
2012-02-01,18.89,18.54,18.328,16.872,,UP,1
2012-02-02,19.25,18.87,18.596,16.9468,,UP,1
2012-02-03,19.55,19.32,18.916,17.0326,,DOWN,0
2012-02-06,18.84,19.44,19.02,17.102,,DOWN,0
2012-02-07,18.65,18.8,19.036,17.1688,,UP,1
2012-02-08,19.11,18.64,19.08,17.242,,UP,1
2012-02-09,19.22,19.1,19.074,17.307,,UP,1
2012-02-10,19.34,19.06,19.032,17.3736,,UP,1
2012-02-13,19.52,19.41,19.168,17.4304,,UP,1
2012-02-14,19.72,19.36,19.382,17.505,,DOWN,0
2012-02-15,19.49,19.9,19.458,17.5644,,UP,1
2012-02-16,19.52,19.44,19.518,17.6258,,DOWN,0
2012-02-17,19.32,19.56,19.514,17.6828,,UP,1
2012-02-21,19.46,19.31,19.502,17.743,,DOWN,0
2012-02-22,19.24,19.4,19.406,17.7996,,UP,1
2012-02-23,19.75,19.16,19.458,17.8544,,DOWN,0
2012-02-24,19.41,19.68,19.436,17.9162,,UP,1
2012-02-27,19.45,19.31,19.462,17.9896,,DOWN,0
2012-02-28,19.24,19.44,19.418,18.0548,,UP,1
2012-02-29,19.34,19.29,19.438,18.1234,,UP,1
2012-03-01,19.37,19.5,19.362,18.199,,DOWN,0
2012-03-02,19.15,19.33,19.31,18.2754,,UP,1
2012-03-05,19.25,19.11,19.27,18.3454,,DOWN,0
2012-03-06,19.02,19.08,19.226,18.4018,,UP,1
2012-03-07,19.5,19.13,19.258,18.4628,,UP,1
2012-03-08,20.13,19.65,19.41,18.5314,,UP,1
2012-03-09,20.95,20.09,19.77,18.6174,,UP,1
2012-03-12,21.02,20.17,20.124,18.71,,UP,1
2012-03-13,21.57,21.12,20.634,18.8086,,DOWN,0
2012-03-14,21.23,21.49,20.98,18.8926,,UP,1
2012-03-15,21.3,21.23,21.214,18.9822,,UP,1
2012-03-16,21.41,21.33,21.306,19.0698,,UP,1
2012-03-19,21.45,21.46,21.392,19.1522,,DOWN,0
2012-03-20,21.16,21.3,21.31,19.2224,,DOWN,0
2012-03-21,21.12,21.19,21.288,19.2892,,UP,1
2012-03-22,21.29,21.04,21.286,19.3546,,UP,1
2012-03-23,21.33,21.19,21.27,19.4216,,UP,1
