ticker,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,EPAM US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2012-06-11,16.88,16.89,16.704,18.8636,,UP,1
2012-06-12,17.37,16.94,16.828,18.8006,,UP,1
2012-06-13,17.97,17.41,17.102,18.7258,,DOWN,0
2012-06-14,17.79,17.88,17.358,18.6376,,DOWN,0
2012-06-15,17.61,17.84,17.524,18.5668,,UP,1
2012-06-18,17.62,17.67,17.672,18.5,,DOWN,0
2012-06-19,17.56,17.76,17.71,18.4258,,UP,1
2012-06-20,17.88,17.6,17.692,18.3474,,DOWN,0
2012-06-21,17.87,18.13,17.708,18.253,,UP,1
2012-06-22,17.99,17.98,17.784,18.1478,,DOWN,0
2012-06-25,17.37,17.8,17.734,18.0422,,DOWN,0
2012-06-26,16.93,17.36,17.608,17.9568,,UP,1
2012-06-27,17.0,17.01,17.432,17.8916,,DOWN,0
2012-06-28,16.6,16.94,17.178,17.82,,UP,1
2012-06-29,16.99,17.02,16.978,17.752,,UP,1
2012-07-02,17.2,16.99,16.944,17.6952,,DOWN,0
2012-07-03,17.06,17.26,16.97,17.633,,DOWN,0
2012-07-05,16.99,17.02,16.968,17.5772,,DOWN,0
2012-07-06,16.12,16.86,16.872,17.5028,,DOWN,0
2012-07-09,15.69,16.16,16.612,17.4156,,DOWN,0
2012-07-10,15.45,15.71,16.262,17.3228,,DOWN,0
2012-07-11,15.24,15.47,15.898,17.2148,,DOWN,0
2012-07-12,14.4,15.08,15.38,17.0882,,UP,1
2012-07-13,15.41,14.47,15.238,16.9584,,UP,1
2012-07-16,16.17,15.31,15.334,16.8608,,DOWN,0
2012-07-17,15.78,16.08,15.4,16.7672,,UP,1
2012-07-18,15.88,15.58,15.528,16.6824,,DOWN,0
2012-07-19,15.63,15.89,15.774,16.6334,,DOWN,0
2012-07-20,15.26,15.47,15.744,16.5836,,DOWN,0
2012-07-23,14.75,14.9,15.46,16.5262,,DOWN,0
2012-07-24,14.12,14.86,15.128,16.4614,,DOWN,0
2012-07-25,14.12,14.26,14.776,16.4234,,UP,1
2012-07-26,14.47,14.32,14.544,16.4066,,UP,1
2012-07-27,15.32,14.54,14.556,16.4,,UP,1
2012-07-30,16.17,15.25,14.84,16.4222,,DOWN,0
2012-07-31,16.04,16.07,15.224,16.4436,,DOWN,0
2012-08-01,15.8,16.1,15.56,16.4462,,DOWN,0
2012-08-02,15.7,15.56,15.806,16.4464,,UP,1
2012-08-03,16.0,15.99,15.942,16.4344,,UP,1
2012-08-06,16.62,16.11,16.032,16.4278,,UP,1
2012-08-07,16.82,16.65,16.188,16.4244,,UP,1
2012-08-08,16.85,16.78,16.398,16.4174,,DOWN,0
2012-08-09,16.74,16.74,16.606,16.4062,,UP,1
2012-08-10,17.59,16.7,16.924,16.408,,UP,1
2012-08-13,17.69,17.54,17.138,16.4314,,DOWN,0
2012-08-14,17.48,17.68,17.27,16.4526,,UP,1
2012-08-15,17.81,17.5,17.462,16.4738,,DOWN,0
2012-08-16,17.51,17.86,17.616,16.492,,DOWN,0
2012-08-17,17.5,17.48,17.598,16.5118,,DOWN,0
2012-08-20,16.62,17.4,17.384,16.5086,,UP,1
2012-08-21,16.86,16.27,17.26,16.5082,,UP,1
2012-08-22,17.71,16.85,17.24,16.515,,UP,1
2012-08-23,17.97,17.73,17.332,16.515,,UP,1
2012-08-24,18.01,17.95,17.434,16.5194,,DOWN,0
2012-08-27,17.99,18.1,17.708,16.527,,DOWN,0
2012-08-28,17.97,17.99,17.93,16.534,,DOWN,0
2012-08-29,17.97,17.9,17.982,16.5422,,DOWN,0
2012-08-30,17.88,17.93,17.964,16.5422,,DOWN,0
2012-08-31,17.5,17.95,17.862,16.5348,,UP,1
2012-09-04,17.78,17.62,17.82,16.5306,,DOWN,0
2012-09-05,17.6,17.7,17.746,16.5352,,UP,1
2012-09-06,17.61,17.74,17.674,16.5488,,DOWN,0
