ticker,CMG US Equity,CMG US Equity,CMG US Equity,CMG US Equity,CMG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-05-30,58.09,61.01,60.228,56.6224,,DOWN,0
2006-05-31,57.77,58.09,59.63,56.776,,UP,1
2006-06-01,60.0,58.0,59.6,56.936,,UP,1
2006-06-02,60.57,60.2,59.464,57.0514,,DOWN,0
2006-06-05,58.9,60.57,59.066,57.1518,,DOWN,0
2006-06-06,58.16,58.9,59.08,57.2248,,UP,1
2006-06-07,58.61,58.25,59.248,57.3152,,DOWN,0
2006-06-08,57.29,58.09,58.706,57.397,,DOWN,0
2006-06-09,56.25,57.29,57.842,57.4434,,UP,1
2006-06-12,57.1,56.48,57.482,57.4772,,DOWN,0
2006-06-13,56.15,56.9,57.08,57.4924,,UP,1
2006-06-14,58.15,56.15,56.988,57.5158,,UP,1
2006-06-15,61.88,58.8,57.906,57.6134,,DOWN,0
2006-06-16,61.76,62.47,59.008,57.7056,,DOWN,0
2006-06-19,60.98,61.9,59.784,57.8152,,DOWN,0
2006-06-20,60.67,60.75,60.688,57.9356,,UP,1
2006-06-21,63.0,60.75,61.658,58.121,,DOWN,0
2006-06-22,62.85,62.54,61.852,58.286,,DOWN,0
2006-06-23,61.9,62.91,61.88,58.443,,UP,1
2006-06-26,62.75,61.99,62.234,58.6376,,DOWN,0
2006-06-27,61.8,62.6,62.46,58.7922,,DOWN,0
2006-06-28,59.95,61.8,61.85,58.9128,,UP,1
2006-06-29,60.85,60.1,61.45,59.0498,,UP,1
2006-06-30,60.95,61.45,61.26,59.2056,,DOWN,0
2006-07-03,60.39,61.25,60.788,59.3454,,DOWN,0
2006-07-05,59.35,60.39,60.298,59.4662,,DOWN,0
2006-07-06,59.06,59.36,60.12,59.6044,,DOWN,0
2006-07-07,56.0,59.16,59.15,59.7024,,DOWN,0
2006-07-10,53.59,56.01,57.678,59.7586,,UP,1
2006-07-11,55.18,53.7,56.636,59.8184,,DOWN,0
2006-07-12,54.3,54.8,55.626,59.8714,,UP,1
2006-07-13,55.01,54.0,54.816,59.8804,,DOWN,0
2006-07-14,54.11,55.01,54.438,59.8624,,UP,1
2006-07-17,55.5,54.0,54.82,59.8602,,DOWN,0
2006-07-18,53.9,56.0,54.564,59.8002,,UP,1
2006-07-19,53.96,53.9,54.496,59.694,,DOWN,0
2006-07-20,51.13,53.96,53.72,59.3756,,DOWN,0
2006-07-21,49.37,51.13,52.772,59.066,,UP,1
2006-07-24,50.6,49.38,51.792,58.794,,UP,1
2006-07-25,52.75,50.35,51.562,58.5836,,DOWN,0
2006-07-26,52.35,52.5,51.24,58.3876,,DOWN,0
2006-07-27,50.941,52.35,51.2022,58.1284,,DOWN,0
2006-07-28,50.13,51.05,51.3542,57.8478,,UP,1
2006-07-31,52.5,49.8,51.7342,57.644,,DOWN,0
2006-08-01,52.0,50.01,51.5842,57.4474,,UP,1
2006-08-02,52.25,52.0,51.5642,57.276,,UP,1
2006-08-03,54.08,52.0,52.192,57.1424,,UP,1
2006-08-04,54.9,55.0,53.146,57.0374,,DOWN,0
2006-08-07,54.4,54.56,53.526,56.9004,,DOWN,0
2006-08-08,53.4,54.38,53.806,56.7506,,DOWN,0
2006-08-09,50.28,53.51,53.412,56.5944,,DOWN,0
2006-08-10,48.67,50.0,52.33,56.4124,,UP,1
2006-08-11,49.29,48.89,51.208,56.1982,,UP,1
2006-08-14,49.88,50.0,50.304,55.9844,,UP,1
2006-08-15,50.64,50.25,49.752,55.8192,,UP,1
2006-08-16,53.5,50.89,50.396,55.726,,DOWN,0
2006-08-17,53.08,53.0,51.278,55.6154,,DOWN,0
2006-08-18,51.81,53.25,51.782,55.5058,,DOWN,0
2006-08-21,51.1,51.65,52.026,55.4028,,DOWN,0
2006-08-22,50.58,50.9,52.014,55.2724,,DOWN,0
2006-08-23,50.16,50.58,51.346,55.1526,,DOWN,0
2006-08-24,49.17,50.24,50.564,54.973,,DOWN,0
2006-08-25,48.9,49.05,49.982,54.7134,,DOWN,0
2006-08-28,48.9,48.89,49.542,54.4562,,UP,1
2006-08-29,49.8,48.9,49.386,54.2326,,UP,1
2006-08-30,50.26,49.65,49.406,54.0244,,DOWN,0
2006-08-31,49.34,50.25,49.44,53.7512,,UP,1
2006-09-01,50.69,49.6,49.798,53.508,,DOWN,0
2006-09-05,50.51,50.47,50.12,53.2802,,DOWN,0
2006-09-06,50.09,50.3,50.178,53.027,,DOWN,0
2006-09-07,49.85,50.0,50.096,52.788,,DOWN,0
2006-09-08,47.92,49.9,49.812,52.5474,,UP,1
2006-09-11,49.1,47.8,49.494,52.3124,,UP,1
2006-09-12,51.47,49.35,49.686,52.1228,,UP,1
2006-09-13,52.07,51.39,50.082,51.9564,,DOWN,0
2006-09-14,50.83,51.0,50.278,51.786,,UP,1
2006-09-15,51.2,51.46,50.934,51.6288,,DOWN,0
2006-09-18,50.83,51.21,51.28,51.5254,,DOWN,0
2006-09-19,50.33,50.58,51.052,51.4602,,UP,1
2006-09-20,51.04,50.59,50.846,51.3774,,UP,1
2006-09-21,53.21,51.58,51.322,51.3556,,DOWN,0
2006-09-22,52.12,52.5,51.506,51.2978,,UP,1
2006-09-25,53.16,52.12,51.972,51.2788,,DOWN,0
2006-09-26,52.38,53.26,52.382,51.2164,,DOWN,0
2006-09-27,49.8,52.23,52.134,51.1344,,DOWN,0
2006-09-28,49.6,50.0,51.412,51.0472,,UP,1
2006-09-29,49.67,49.73,50.922,51.018,,DOWN,0
2006-10-02,49.0,49.67,50.09,51.0106,,UP,1
2006-10-03,49.5,49.01,49.514,50.9886,,UP,1
2006-10-04,50.99,49.48,49.752,50.9534,,DOWN,0
2006-10-05,50.12,50.99,49.856,50.9088,,UP,1
2006-10-06,51.59,50.45,50.24,50.9218,,UP,1
2006-10-09,55.69,52.48,51.578,51.033,,UP,1
2006-10-10,56.48,55.5,52.974,51.1126,,DOWN,0
2006-10-11,55.4,56.48,53.856,51.1806,,UP,1
2006-10-12,57.23,55.7,55.278,51.2802,,DOWN,0
2006-10-13,56.8,57.6,56.32,51.3346,,DOWN,0
2006-10-16,56.05,56.8,56.392,51.3576,,DOWN,0
2006-10-17,55.49,55.7,56.194,51.3794,,DOWN,0
2006-10-18,54.85,55.98,56.084,51.4084,,DOWN,0
2006-10-19,54.0,54.25,55.438,51.4828,,UP,1
2006-10-20,54.96,54.2,55.07,51.6086,,UP,1
2006-10-23,56.4,55.05,55.14,51.7508,,UP,1
2006-10-24,57.7,56.1,55.582,51.9072,,DOWN,0
2006-10-25,56.95,57.7,56.002,52.0334,,UP,1
2006-10-26,58.5,57.15,56.902,52.1334,,DOWN,0
2006-10-27,58.42,58.46,57.594,52.2402,,UP,1
2006-10-30,59.05,58.45,58.124,52.385,,UP,1
2006-10-31,59.9,59.0,58.564,52.561,,DOWN,0
2006-11-01,58.22,59.64,58.818,52.7138,,DOWN,0
2006-11-02,56.79,56.7,58.476,52.8464,,UP,1
2006-11-03,57.08,57.1,58.208,53.0046,,UP,1
2006-11-06,58.26,57.79,58.05,53.1918,,DOWN,0
2006-11-07,58.08,58.85,57.686,53.3754,53.2172,DOWN,0
2006-11-08,57.68,57.5,57.578,53.533,53.3956,DOWN,0
2006-11-09,56.58,57.78,57.536,53.6594,53.4585,UP,1
2006-11-10,57.3,57.1,57.58,53.8186,53.534,DOWN,0
2006-11-13,56.65,57.8,57.258,53.9378,53.5932,UP,1
2006-11-14,57.87,57.4,57.216,54.085,53.645,UP,1
2006-11-15,58.84,58.1,57.448,54.26,53.7064,DOWN,0
2006-11-16,58.77,59.0,57.886,54.4384,53.7765,UP,1
2006-11-17,59.88,58.77,58.402,54.6776,53.8431,UP,1
2006-11-20,61.86,59.88,59.444,54.9328,53.9139,DOWN,0
2006-11-21,61.23,61.6,60.116,55.128,53.9886,UP,1
2006-11-22,61.27,61.01,60.602,55.312,54.0663,DOWN,0
2006-11-24,61.01,60.36,61.05,55.5156,54.1511,DOWN,0
2006-11-27,57.81,60.81,60.636,55.6478,54.2286,DOWN,0
2006-11-28,57.32,57.7,59.728,55.7776,54.3078,UP,1
2006-11-29,57.89,57.93,59.06,55.9288,54.3822,UP,1
2006-11-30,57.95,57.89,58.396,56.067,54.4585,DOWN,0
2006-12-01,57.49,57.7,57.692,56.1526,54.5237,UP,1
2006-12-04,58.0,58.15,57.73,56.2702,54.5944,DOWN,0
2006-12-05,56.85,57.75,57.636,56.344,54.6632,UP,1
2006-12-06,57.13,56.8,57.484,56.439,54.7295,DOWN,0
2006-12-07,54.76,57.13,56.846,56.5382,54.7743,UP,1
2006-12-08,55.3,54.91,56.408,56.6522,54.8174,DOWN,0
2006-12-11,54.85,55.96,55.778,56.7558,54.859,DOWN,0
2006-12-12,54.5,55.0,55.308,56.8658,54.9035,DOWN,0
2006-12-13,54.2,54.67,54.722,56.9598,54.947,DOWN,0
2006-12-14,53.95,54.2,54.56,57.019,54.988,DOWN,0
2006-12-15,53.1,53.7,54.12,57.0786,55.0261,UP,1
2006-12-18,53.92,53.03,53.934,57.1252,55.0668,UP,1
2006-12-19,54.61,53.21,53.956,57.1036,55.1148,UP,1
2006-12-20,54.88,54.64,54.092,57.0716,55.1767,DOWN,0
2006-12-21,54.45,54.95,54.192,57.0526,55.2417,UP,1
2006-12-22,55.52,55.75,54.676,57.0184,55.3087,UP,1
2006-12-26,56.25,55.52,55.142,57.0074,55.3729,DOWN,0
2006-12-27,56.05,56.4,55.43,57.0074,55.4097,UP,1
2006-12-28,56.42,55.9,55.738,57.026,55.4317,UP,1
2006-12-29,57.0,56.23,56.248,57.069,55.4415,DOWN,0
2007-01-03,56.41,56.9,56.426,57.1172,55.4542,DOWN,0
2007-01-04,55.38,56.5,56.252,57.1256,55.4807,DOWN,0
2007-01-05,55.0,55.58,56.042,57.0976,55.4957,UP,1
2007-01-08,56.05,55.01,55.968,57.0646,55.5019,UP,1
2007-01-09,56.45,56.04,55.858,57.0546,55.5148,DOWN,0
2007-01-10,56.21,55.73,55.818,57.0088,55.5233,UP,1
2007-01-11,57.67,56.35,56.276,56.9938,55.5412,UP,1
2007-01-12,58.28,57.42,56.932,56.9784,55.5666,UP,1
2007-01-16,60.46,58.29,57.814,56.9896,55.5992,UP,1
2007-01-17,60.6,60.4,58.644,57.0372,55.6252,DOWN,0
2007-01-18,59.58,60.6,59.318,57.093,55.6461,DOWN,0
2007-01-19,58.97,59.34,59.578,57.1308,55.6561,DOWN,0
2007-01-22,58.42,59.54,59.606,57.134,55.6632,UP,1
2007-01-23,58.5,58.95,59.214,57.1424,55.6699,DOWN,0
2007-01-24,58.0,58.7,58.6939,57.1488,55.6824,DOWN,0
2007-01-25,57.48,58.2,58.2739,57.1668,55.6966,DOWN,0
2007-01-26,57.34,58.0,57.9479,57.1676,55.7146,UP,1
2007-01-29,58.7,57.09,58.0039,57.2086,55.7351,UP,1
2007-01-30,59.6,58.67,58.2239,57.2432,55.7629,DOWN,0
2007-01-31,59.42,59.6,58.508,57.2548,55.7949,UP,1
2007-02-01,59.8,59.6,58.972,57.2754,55.8235,UP,1
2007-02-02,60.01,60.18,59.506,57.278,55.854,UP,1
2007-02-05,60.44,60.2,59.854,57.2496,55.8862,UP,1
2007-02-06,60.58,60.51,60.05,57.2366,55.9233,UP,1
2007-02-07,61.57,60.58,60.48,57.2426,55.9641,UP,1
2007-02-08,62.09,61.57,60.938,57.2642,56.008,DOWN,0
2007-02-09,61.91,62.25,61.318,57.3462,56.0568,DOWN,0
2007-02-12,60.72,61.65,61.374,57.4142,56.1049,DOWN,0
2007-02-13,60.45,61.03,61.348,57.4654,56.1533,DOWN,0
2007-02-14,59.69,60.57,60.972,57.5002,56.1908,UP,1
2007-02-15,61.38,60.21,60.83,57.578,56.2394,UP,1
2007-02-16,65.03,64.0,61.454,57.7186,56.2918,DOWN,0
2007-02-20,63.89,64.0,62.088,57.8594,56.3362,DOWN,0
2007-02-21,63.58,63.55,62.714,57.9884,56.376,UP,1
2007-02-22,64.42,64.5,63.66,58.1816,56.4136,DOWN,0
2007-02-23,64.31,64.2,64.246,58.3618,56.4388,DOWN,0
2007-02-26,63.63,64.31,63.966,58.5374,56.4217,DOWN,0
2007-02-27,60.25,62.3,63.238,58.6524,56.3987,DOWN,0
2007-02-28,59.99,60.5,62.52,58.7682,56.3777,UP,1
2007-03-01,61.23,58.65,61.882,58.9138,56.3675,DOWN,0
2007-03-02,60.2,61.02,61.06,59.0558,56.3577,DOWN,0
2007-03-05,59.05,59.7,60.144,59.1584,56.3335,UP,1
2007-03-06,60.07,59.79,60.108,59.2676,56.313,UP,1
2007-03-07,60.22,60.32,60.154,59.3744,56.3007,DOWN,0
2007-03-08,60.09,61.6,59.926,59.4872,56.292,UP,1
2007-03-09,60.57,60.34,60.0,59.5882,56.2907,UP,1
2007-03-12,61.23,60.58,60.436,59.6878,56.2931,DOWN,0
2007-03-13,61.01,61.37,60.624,59.787,56.2974,DOWN,0
2007-03-14,60.59,61.15,60.698,59.8704,56.2941,UP,1
2007-03-15,61.05,60.59,60.89,59.9514,56.2949,DOWN,0
2007-03-16,60.58,61.05,60.892,60.0348,56.3073,UP,1
2007-03-19,63.1,60.75,61.266,60.1892,56.334,UP,1
2007-03-20,64.23,63.1,61.91,60.3738,56.3551,UP,1
2007-03-21,64.75,64.25,62.742,60.5478,56.376,DOWN,0
2007-03-22,64.17,64.65,63.366,60.7022,56.4024,UP,1
2007-03-23,64.8,64.27,64.21,60.874,56.4356,DOWN,0
2007-03-26,63.59,64.35,64.308,60.9924,56.4605,DOWN,0
2007-03-27,62.37,63.55,63.936,61.0742,56.4859,DOWN,0
2007-03-28,62.06,62.12,63.398,61.1062,56.5149,UP,1
2007-03-29,62.2,62.6,63.004,61.1382,56.5404,DOWN,0
2007-03-30,62.1,62.0,62.464,61.1886,56.5702,UP,1
2007-04-02,62.74,62.25,62.294,61.264,56.5931,UP,1
2007-04-03,63.95,63.1,62.61,61.3746,56.6035,UP,1
2007-04-04,64.75,64.2,63.148,61.4996,56.6184,UP,1
2007-04-05,64.91,64.89,63.69,61.6378,56.6381,UP,1
2007-04-09,65.0,65.18,64.27,61.7882,56.6597,DOWN,0
2007-04-10,64.67,64.9,64.656,61.9348,56.6681,DOWN,0
2007-04-11,63.78,64.67,64.622,62.0364,56.6727,UP,1
2007-04-12,64.16,63.75,64.504,62.1276,56.684,DOWN,0
2007-04-13,64.07,64.45,64.336,62.2206,56.6906,UP,1
2007-04-16,65.2,64.0,64.376,62.3286,56.7076,UP,1
2007-04-17,66.54,65.25,64.75,62.4592,56.7406,DOWN,0
2007-04-18,66.25,66.54,65.244,62.5754,56.7676,DOWN,0
2007-04-19,65.37,66.0,65.486,62.6712,56.7897,UP,1
2007-04-20,65.59,65.8,65.79,62.7516,56.8157,DOWN,0
2007-04-23,65.51,65.6,65.852,62.82,56.8465,DOWN,0
2007-04-24,65.0,65.5,65.544,62.8818,56.8762,UP,1
2007-04-25,65.68,65.0,65.43,62.981,56.9246,UP,1
2007-04-26,66.94,66.05,65.744,63.1108,56.9913,DOWN,0
2007-04-27,66.02,66.89,65.83,63.2374,57.0455,DOWN,0
2007-04-30,65.23,68.0,65.774,63.3144,57.1002,UP,1
2007-05-01,66.26,65.65,66.026,63.339,57.1564,UP,1
2007-05-02,78.09,71.39,68.508,63.623,57.2763,UP,1
2007-05-03,79.01,78.09,70.922,63.9316,57.3939,DOWN,0
2007-05-04,78.37,79.24,73.392,64.2106,57.5162,DOWN,0
2007-05-07,76.4,78.37,75.626,64.4524,57.6284,UP,1
2007-05-08,77.62,76.25,77.898,64.7322,57.7609,UP,1
2007-05-09,77.69,77.62,77.818,65.081,57.9025,UP,1
2007-05-10,80.55,77.46,78.126,65.4922,58.0522,UP,1
2007-05-11,81.74,80.5,78.8,65.9024,58.1972,UP,1
2007-05-14,82.7,82.1,80.06,66.3524,58.3489,DOWN,0
2007-05-15,81.1,83.5,80.756,66.7934,58.4997,UP,1
2007-05-16,82.44,81.98,81.706,67.2408,58.6612,DOWN,0
2007-05-17,81.26,81.48,81.848,67.6616,58.805,UP,1
2007-05-18,82.0,82.0,81.9,68.0998,58.955,DOWN,0
2007-05-21,81.8,82.48,81.72,68.5244,59.1028,UP,1
2007-05-22,82.04,82.0,81.908,68.9406,59.2426,DOWN,0
2007-05-23,80.7,82.15,81.56,69.3344,59.3716,UP,1
2007-05-24,82.44,81.2,81.796,69.7714,59.5118,UP,1
2007-05-25,86.55,82.5,82.706,70.2814,59.6775,DOWN,0
2007-05-29,85.65,87.25,83.476,70.7828,59.8544,UP,1
2007-05-30,86.06,85.5,84.28,71.242,60.0413,UP,1
2007-05-31,86.62,86.06,85.464,71.6898,60.228,UP,1
2007-06-01,87.81,87.0,86.538,72.151,60.4176,DOWN,0
2007-06-04,87.52,87.82,86.732,72.618,60.602,DOWN,0
2007-06-05,86.26,87.65,86.854,73.0472,60.7658,DOWN,0
2007-06-06,84.57,85.7,86.556,73.4668,60.9233,DOWN,0
2007-06-07,82.85,82.85,85.802,73.8764,61.0785,UP,1
2007-06-08,84.76,82.65,85.192,74.3304,61.2468,DOWN,0
2007-06-11,84.49,84.65,84.586,74.7762,61.4163,DOWN,0
2007-06-12,82.62,84.49,83.858,75.1866,61.5786,UP,1
2007-06-13,83.35,82.65,83.614,75.5988,61.7495,UP,1
2007-06-14,83.91,83.79,83.826,75.998,61.9246,UP,1
2007-06-15,85.05,84.55,83.884,76.404,62.1053,UP,1
2007-06-18,85.67,85.0,84.12,76.8192,62.2847,UP,1
2007-06-19,85.93,85.78,84.782,77.2378,62.463,DOWN,0
2007-06-20,84.45,86.18,85.002,77.6334,62.6386,DOWN,0
2007-06-21,83.45,84.45,84.91,78.0268,62.8024,DOWN,0
2007-06-22,79.58,81.2,83.816,78.3352,62.9477,UP,1
2007-06-25,80.72,80.0,82.826,78.6682,63.1009,UP,1
2007-06-26,80.88,80.73,81.816,78.9818,63.256,UP,1
2007-06-27,82.3,80.42,81.386,79.297,63.4279,UP,1
2007-06-28,82.52,82.5,81.2,79.6224,63.595,UP,1
2007-06-29,85.28,84.0,82.34,80.0206,63.7641,UP,1
2007-07-02,86.0,86.15,83.396,80.4288,63.9337,DOWN,0
2007-07-03,84.2,86.01,84.06,80.8026,64.1006,DOWN,0
2007-07-05,82.58,84.65,84.116,81.1542,64.2575,UP,1
2007-07-06,85.45,82.95,84.702,81.5496,64.4306,UP,1
2007-07-09,85.76,85.46,84.798,81.926,64.6077,DOWN,0
2007-07-10,85.27,85.3,84.652,82.311,64.7789,DOWN,0
2007-07-11,85.21,85.23,84.854,82.7106,64.9389,UP,1
2007-07-12,89.82,86.15,86.302,83.1818,65.1274,UP,1
2007-07-13,90.52,90.0,87.316,83.4304,65.3142,DOWN,0
2007-07-16,88.8,91.98,87.924,83.6262,65.4963,DOWN,0
2007-07-17,86.04,89.0,88.078,83.7796,65.6775,UP,1
2007-07-18,86.78,85.14,88.392,83.9872,65.8634,UP,1
2007-07-19,87.44,86.79,87.916,84.1836,66.0522,DOWN,0
2007-07-20,85.73,87.5,86.958,84.3444,66.2359,UP,1
2007-07-23,86.81,86.23,86.56,84.4696,66.4224,DOWN,0
2007-07-24,82.21,86.22,85.794,84.479,66.5785,DOWN,0
2007-07-25,79.59,83.1,84.356,84.4168,66.7259,DOWN,0
2007-07-26,78.54,78.34,82.576,84.3656,66.8606,UP,1
2007-07-27,81.5,79.0,81.73,84.3468,66.9897,UP,1
2007-07-30,87.57,82.0,81.882,84.473,67.1451,UP,1
2007-07-31,88.34,88.0,83.108,84.5998,67.3098,UP,1
2007-08-01,99.19,94.1,87.028,84.9476,67.5196,UP,1
2007-08-02,99.91,99.5,91.302,85.305,67.7352,DOWN,0
2007-08-03,97.9,98.32,94.582,85.649,67.9444,UP,1
2007-08-06,99.4,98.26,96.948,85.9882,68.164,UP,1
2007-08-07,108.5,99.0,100.98,86.4272,68.4322,DOWN,0
2007-08-08,107.56,110.3,102.654,86.8654,68.7,DOWN,0
2007-08-09,104.05,104.11,103.482,87.2252,68.9455,DOWN,0
2007-08-10,101.7,101.0,104.242,87.5268,69.172,UP,1
2007-08-13,102.01,103.95,104.764,87.8108,69.3935,DOWN,0
2007-08-14,96.08,102.01,102.28,87.982,69.5892,DOWN,0
2007-08-15,95.36,95.86,99.84,88.164,69.7735,UP,1
2007-08-16,96.0,93.77,98.23,88.3926,69.9614,UP,1
2007-08-17,99.95,99.45,97.88,88.7346,70.1659,UP,1
2007-08-20,101.16,99.95,97.71,89.0626,70.3722,DOWN,0
2007-08-21,99.65,101.89,98.424,89.3658,70.5793,UP,1
2007-08-22,102.0,100.93,99.752,89.7534,70.8054,DOWN,0
2007-08-23,101.37,102.01,100.826,90.1138,71.0268,UP,1
2007-08-24,102.91,101.81,101.418,90.4938,71.2501,DOWN,0
2007-08-27,99.55,102.7,101.096,90.7838,71.4574,DOWN,0
2007-08-28,97.13,98.1,100.592,91.013,71.6547,UP,1
2007-08-29,100.67,98.0,100.326,91.3078,71.8751,DOWN,0
2007-08-30,100.05,100.29,100.062,91.6198,72.0889,UP,1
2007-08-31,103.99,100.98,100.278,92.0306,72.3256,UP,1
2007-09-04,107.75,104.49,101.918,92.594,72.575,DOWN,0
2007-09-05,105.75,107.25,103.642,93.0946,72.8095,DOWN,0
2007-09-06,105.26,106.0,104.56,93.5822,73.042,DOWN,0
2007-09-07,101.69,103.67,104.888,93.97,73.251,DOWN,0
2007-09-10,100.54,101.55,104.198,94.3304,73.4444,UP,1
2007-09-11,103.63,102.09,103.374,94.6974,73.6564,DOWN,0
2007-09-12,103.51,103.51,102.926,95.0476,73.8676,UP,1
2007-09-13,105.58,103.95,102.99,95.4752,74.0905,UP,1
2007-09-14,105.74,104.9,103.8,95.9384,74.3301,UP,1
2007-09-17,108.63,105.5,105.418,96.402,74.5867,UP,1
2007-09-18,111.8,109.5,107.052,96.9228,74.8562,UP,1
2007-09-19,112.88,112.5,108.926,97.475,75.1309,DOWN,0
2007-09-20,110.84,112.88,109.978,97.9876,75.3976,UP,1
2007-09-21,113.9,112.0,111.61,98.4692,75.6771,UP,1
2007-09-24,114.49,114.99,112.782,98.9486,75.9653,UP,1
2007-09-25,114.65,114.0,113.352,99.4656,76.2529,UP,1
2007-09-26,117.09,116.0,114.194,100.0866,76.5646,UP,1
2007-09-27,119.26,117.83,115.878,100.7362,76.8844,DOWN,0
2007-09-28,118.13,116.73,116.724,101.35,77.2008,UP,1
2007-10-01,122.51,117.61,118.328,102.0856,77.5408,UP,1
