ticker,RL US Equity,RL US Equity,RL US Equity,RL US Equity,RL US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,16.0,16.4375,18.635,15.4375,16.4575,DOWN,0
2000-02-10,15.0625,16.0,18.5934,15.575,16.4113,UP,1
2000-02-11,15.125,15.0625,18.5581,15.775,16.3563,UP,1
2000-02-14,15.5,15.5,18.5244,15.625,16.3213,UP,1
2000-02-15,15.5625,15.625,18.4941,15.45,16.2825,DOWN,0
2000-02-16,15.5625,15.5625,18.4525,15.3625,16.245,DOWN,0
2000-02-17,15.1875,15.5,18.4134,15.3875,16.2,DOWN,0
2000-02-18,15.0,15.0625,18.3728,15.3625,16.16,DOWN,0
2000-02-22,14.9375,15.0,18.3341,15.25,16.1238,DOWN,0
2000-02-23,14.875,14.9375,18.2922,15.1125,16.085,DOWN,0
2000-02-24,14.6875,14.8125,18.2509,14.9375,16.05,UP,1
2000-02-25,14.875,15.0,18.2116,14.875,16.015,UP,1
2000-02-28,15.6875,14.75,18.1731,15.0125,15.9988,UP,1
2000-02-29,16.75,15.625,18.1413,15.375,16.0038,UP,1
2000-03-01,17.0,16.5625,18.1122,15.8,16.015,UP,1
2000-03-02,17.25,17.5,18.0841,16.3125,16.0225,DOWN,0
2000-03-03,16.4375,16.875,18.0469,16.625,16.0188,DOWN,0
2000-03-06,15.9375,16.375,18.0075,16.675,16.0,DOWN,0
2000-03-07,15.875,16.125,17.9638,16.5,15.9725,DOWN,0
2000-03-08,15.5625,15.6875,17.9222,16.2125,15.94,UP,1
2000-03-09,15.8125,15.5625,17.8944,15.925,15.9163,DOWN,0
2000-03-10,15.625,15.625,17.8672,15.7625,15.8888,DOWN,0
2000-03-13,15.5625,15.5625,17.84,15.6875,15.8538,UP,1
2000-03-14,15.9375,15.5,17.8166,15.7,15.8313,UP,1
2000-03-15,16.625,15.6875,17.8,15.9125,15.815,UP,1
2000-03-16,17.3125,16.6875,17.7878,16.2125,15.8263,UP,1
2000-03-17,18.125,17.5,17.7822,16.7125,15.8475,DOWN,0
2000-03-20,17.75,18.0625,17.7741,17.15,15.8613,UP,1
2000-03-21,17.8125,17.8125,17.7688,17.525,15.8675,DOWN,0
2000-03-22,17.75,17.75,17.7638,17.75,15.8575,DOWN,0
2000-03-23,17.625,17.75,17.7563,17.8125,15.8575,DOWN,0
2000-03-24,17.625,17.75,17.7466,17.7125,15.875,DOWN,0
2000-03-27,17.5,17.5,17.7391,17.6625,15.8963,UP,1
2000-03-28,18.4375,17.625,17.7344,17.7875,15.9388,UP,1
2000-03-29,20.0625,18.5625,17.74,18.25,16.02,UP,1
2000-03-30,20.25,20.0,17.7441,18.775,16.1,DOWN,0
2000-03-31,18.6875,20.125,17.74,18.9875,16.1588,UP,1
2000-04-03,20.3125,18.75,17.7453,19.55,16.255,DOWN,0
2000-04-04,19.375,20.3125,17.745,19.7375,16.3413,DOWN,0
