ticker,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,CZR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2015-01-23,4.025,4.0,4.087,4.1953,,DOWN,0
2015-01-26,3.98,3.98,4.045,4.1909,,UP,1
2015-01-27,4.0,4.0001,4.009,4.1855,,UP,1
2015-01-28,4.02,4.0399,4.007,4.1797,,DOWN,0
2015-01-29,3.97,3.965,3.999,4.1727,,DOWN,0
2015-01-30,3.965,3.97,3.987,4.1668,,DOWN,0
2015-02-02,3.91,3.93,3.973,4.16,,DOWN,0
2015-02-03,3.89,4.03,3.951,4.1538,,DOWN,0
2015-02-04,3.89,3.92,3.925,4.1474,,UP,1
2015-02-05,4.15,3.93,3.961,4.1444,,DOWN,0
2015-02-06,4.12,4.2,3.992,4.1406,,UP,1
2015-02-09,4.18,4.15,4.046,4.1398,,DOWN,0
2015-02-10,4.158,4.19,4.0996,4.1401,,UP,1
2015-02-11,4.16,4.16,4.1536,4.1405,,UP,1
2015-02-12,4.19,4.21,4.1616,4.1407,,UP,1
2015-02-13,4.2,4.17,4.1776,4.1393,,UP,1
2015-02-17,4.25,4.25,4.1916,4.1387,,DOWN,0
2015-02-18,4.13,4.19,4.186,4.136,,UP,1
2015-02-19,4.5,4.1,4.254,4.1412,,UP,1
2015-02-20,4.5499,4.49,4.326,4.1494,,DOWN,0
2015-02-23,4.5,4.41,4.386,4.1572,,UP,1
2015-02-24,4.65,4.5,4.466,4.1692,,DOWN,0
2015-02-25,4.5,4.51,4.54,4.1776,,UP,1
2015-02-26,4.55,4.505,4.55,4.1876,,UP,1
2015-02-27,4.6,4.6,4.56,4.1966,,DOWN,0
2015-03-02,4.51,4.62,4.562,4.2018,,UP,1
2015-03-03,4.66,4.55,4.564,4.2102,,UP,1
2015-03-04,4.78,4.68,4.62,4.2198,,UP,1
2015-03-05,4.99,4.77,4.708,4.2348,,UP,1
2015-03-06,5.0,4.96,4.788,4.248,,UP,1
