ticker,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,EQIX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2003-05-05,5.38,3.89,3.844,3.3986,,DOWN,0
2003-05-06,4.99,5.38,4.212,3.4212,,DOWN,0
2003-05-07,4.5,4.85,4.462,3.4372,,DOWN,0
2003-05-08,4.1,4.55,4.604,3.4476,,UP,1
2003-05-09,4.2,4.1,4.634,3.4636,,UP,1
2003-05-12,4.58,4.2,4.474,3.4862,,UP,1
2003-05-13,4.6,4.6,4.396,3.51,,UP,1
2003-05-14,5.24,4.58,4.544,3.5356,,UP,1
2003-05-15,5.27,5.2,4.778,3.5736,,UP,1
2003-05-16,5.7,5.73,5.078,3.6226,,DOWN,0
2003-05-19,5.25,5.36,5.212,3.6652,,UP,1
2003-05-20,5.5,5.28,5.392,3.7086,,DOWN,0
2003-05-21,5.5,5.5,5.444,3.7496,,UP,1
2003-05-22,5.789,5.6,5.5478,3.7948,,UP,1
2003-05-23,6.2,5.8,5.6478,3.8424,,UP,1
2003-05-27,7.581,6.48,6.114,3.9194,,UP,1
2003-05-28,8.29,7.58,6.672,4.0048,,UP,1
2003-05-29,8.36,8.45,7.244,4.0912,,DOWN,0
2003-05-30,8.32,8.2,7.7502,4.1772,,UP,1
2003-06-02,8.489,8.31,8.208,4.267,,DOWN,0
2003-06-03,8.35,8.34,8.3618,4.3568,,DOWN,0
2003-06-04,7.77,8.35,8.2578,4.4402,,UP,1
2003-06-05,8.05,7.8,8.1958,4.5306,,UP,1
2003-06-06,8.1,8.05,8.1518,4.6286,,DOWN,0
2003-06-09,7.8,8.0,8.014,4.7226,,DOWN,0
2003-06-10,7.69,7.45,7.882,4.8158,,UP,1
2003-06-11,8.4,7.69,8.008,4.9248,,UP,1
2003-06-12,8.51,8.51,8.1,5.0358,,DOWN,0
2003-06-13,8.23,8.49,8.126,5.1406,,UP,1
2003-06-16,8.41,8.23,8.248,5.2474,,UP,1
2003-06-17,8.85,8.75,8.48,5.3616,,UP,1
2003-06-18,9.3,8.88,8.66,5.4856,,DOWN,0
2003-06-19,8.9,9.49,8.738,5.6046,,UP,1
2003-06-20,9.05,9.14,8.902,5.7256,,UP,1
2003-06-23,9.6,9.14,9.14,5.8596,,UP,1
2003-06-24,10.19,9.75,9.408,6.0044,,UP,1
2003-06-25,10.4,10.27,9.628,6.1518,,DOWN,0
2003-06-26,9.1,10.11,9.668,6.2688,,DOWN,0
2003-06-27,8.8,9.56,9.618,6.3848,,DOWN,0
2003-06-30,7.85,9.0,9.268,6.4818,,UP,1
2003-07-01,8.03,7.61,8.836,6.5782,,UP,1
2003-07-02,8.75,8.0,8.506,6.6894,,DOWN,0
2003-07-03,8.75,8.65,8.436,6.801,,UP,1
2003-07-07,9.02,8.79,8.48,6.9194,,UP,1
2003-07-08,9.5,9.43,8.81,7.0456,,UP,1
2003-07-09,10.09,9.5,9.222,7.1834,,DOWN,0
2003-07-10,10.0,10.0,9.472,7.3204,,UP,1
2003-07-11,10.29,10.0,9.78,7.4612,,UP,1
2003-07-14,10.3,10.1,10.036,7.5994,,UP,1
2003-07-15,10.53,10.22,10.242,7.729,,UP,1
2003-07-16,12.81,10.5,10.786,7.8776,,UP,1
2003-07-17,12.95,12.33,11.376,8.0368,,DOWN,0
2003-07-18,12.881,12.95,11.8942,8.2044,,DOWN,0
2003-07-21,12.56,12.88,12.3462,8.3736,,UP,1
2003-07-22,13.58,12.25,12.9562,8.5612,,UP,1
2003-07-23,17.51,13.7,13.8962,8.8198,,UP,1
2003-07-24,19.28,17.68,15.1622,9.1134,,DOWN,0
2003-07-25,19.0,19.0,16.386,9.3886,,UP,1
2003-07-28,19.98,18.6,17.87,9.6828,,DOWN,0
2003-07-29,18.739,20.09,18.9018,9.9436,,UP,1
2003-07-30,19.4,19.47,19.2798,10.2266,,DOWN,0
2003-07-31,19.05,20.0,19.2338,10.4976,,DOWN,0
2003-08-01,14.613,17.75,18.3564,10.6798,,UP,1
2003-08-04,16.89,14.9,17.7384,10.9019,,DOWN,0
2003-08-05,15.91,16.48,17.1726,11.0961,,DOWN,0
2003-08-06,15.0,15.97,16.2926,11.2444,,DOWN,0
2003-08-07,13.18,15.0,15.1186,11.3422,,DOWN,0
2003-08-08,12.885,12.67,14.773,11.4327,,UP,1
2003-08-11,14.549,12.97,14.3048,11.5573,,DOWN,0
2003-08-12,13.95,14.83,13.9128,11.6665,,DOWN,0
2003-08-13,13.73,14.03,13.6588,11.7741,,DOWN,0
2003-08-14,13.5,13.63,13.7228,11.8887,,UP,1
2003-08-15,14.1,13.53,13.9658,12.0097,,UP,1
2003-08-18,15.89,14.35,14.234,12.1655,,DOWN,0
2003-08-19,15.77,15.92,14.598,12.3249,,UP,1
2003-08-20,16.95,15.64,15.242,12.5101,,UP,1
2003-08-21,17.683,16.97,16.0786,12.6958,,DOWN,0
2003-08-22,17.18,17.45,16.6946,12.8692,,UP,1
2003-08-25,18.11,17.65,17.1386,13.0668,,DOWN,0
2003-08-26,17.66,17.88,17.5166,13.2518,,UP,1
2003-08-27,18.55,17.59,17.8366,13.4458,,DOWN,0
2003-08-28,18.19,18.75,17.938,13.6236,,UP,1
2003-08-29,18.54,18.11,18.21,13.8164,,UP,1
2003-09-02,19.2,18.0,18.428,14.0194,,DOWN,0
2003-09-03,18.52,18.55,18.6,14.1978,,UP,1
2003-09-04,19.71,18.58,18.832,14.3882,,DOWN,0
2003-09-05,19.71,19.75,19.136,14.5744,,DOWN,0
2003-09-08,19.38,18.73,19.304,14.78,,DOWN,0
2003-09-09,19.05,19.49,19.274,14.985,,DOWN,0
2003-09-10,19.05,19.2,19.38,15.209,,DOWN,0
2003-09-11,19.029,18.98,19.2438,15.429,,UP,1
2003-09-12,19.25,19.0,19.1518,15.639,,DOWN,0
2003-09-15,19.131,18.08,19.102,15.8466,,UP,1
2003-09-16,19.23,18.78,19.138,16.0508,,DOWN,0
2003-09-17,19.15,19.0,19.158,16.2438,,UP,1
2003-09-18,19.84,18.85,19.3202,16.4388,,UP,1
2003-09-19,22.0,20.4,19.8702,16.6788,,UP,1
2003-09-22,23.369,21.75,20.7178,16.9404,,DOWN,0
2003-09-23,23.25,23.65,21.5218,17.1994,,DOWN,0
2003-09-24,21.72,23.43,22.0358,17.4232,,DOWN,0
2003-09-25,20.823,22.85,22.2324,17.5834,,DOWN,0
2003-09-26,18.948,21.11,21.622,17.7034,,DOWN,0
2003-09-29,18.82,18.55,20.7122,17.8222,,DOWN,0
2003-09-30,18.64,18.61,19.7902,17.9438,,DOWN,0
2003-10-01,18.0,18.35,19.0462,18.0322,,DOWN,0
2003-10-02,17.82,18.0,18.4456,18.0384,,UP,1
2003-10-03,19.45,18.8,18.546,18.0418,,UP,1
2003-10-06,19.89,19.6,18.76,18.0596,,UP,1
2003-10-07,19.93,19.21,19.018,18.0586,,DOWN,0
2003-10-08,19.72,20.1,19.362,18.0782,,UP,1
2003-10-09,20.15,19.72,19.828,18.0932,,DOWN,0
2003-10-10,19.861,20.15,19.9102,18.1094,,UP,1
2003-10-13,19.99,20.1,19.9302,18.217,,DOWN,0
2003-10-14,19.2,20.14,19.7842,18.2632,,DOWN,0
2003-10-15,18.77,18.95,19.5942,18.3204,9.4055,UP,1
2003-10-16,19.37,19.2,19.4382,18.4078,9.4738,DOWN,0
2003-10-17,18.5,18.995,19.166,18.5142,9.5401,UP,1
2003-10-20,18.61,18.02,18.89,18.6287,9.6078,UP,1
2003-10-21,19.45,18.75,18.94,18.7267,9.6768,DOWN,0
2003-10-22,18.65,19.84,18.916,18.8207,9.7316,UP,1
2003-10-23,19.11,18.41,18.864,18.9283,9.7922,UP,1
2003-10-24,20.0,18.94,19.164,19.0583,9.8568,DOWN,0
2003-10-27,19.811,19.9,19.4042,19.1725,9.9217,DOWN,0
2003-10-28,18.889,19.8,19.292,19.2325,9.9807,DOWN,0
2003-10-29,18.81,18.61,19.324,19.2933,10.0424,DOWN,0
2003-10-30,18.5,18.93,19.202,19.3243,10.1042,DOWN,0
2003-10-31,18.2,18.31,18.842,19.3346,10.1649,UP,1
2003-11-03,18.849,18.2,18.6496,19.368,10.2322,DOWN,0
2003-11-04,18.24,18.89,18.5198,19.3706,10.2989,DOWN,0
2003-11-05,17.04,18.24,18.1658,19.3582,10.3616,UP,1
2003-11-06,17.77,17.35,18.0198,19.3426,10.4298,UP,1
2003-11-07,19.0,17.8,18.1798,19.3588,10.5054,UP,1
2003-11-10,19.47,18.76,18.304,19.3774,10.587,UP,1
2003-11-11,19.67,19.14,18.59,19.3868,10.6669,UP,1
2003-11-12,19.73,19.71,19.128,19.411,10.7491,UP,1
2003-11-13,19.8,19.6,19.534,19.4128,10.8328,UP,1
2003-11-14,20.15,19.7,19.764,19.4216,10.9161,UP,1
2003-11-17,21.4,20.0,20.15,19.462,11.0069,UP,1
2003-11-18,22.6,21.8,20.736,19.533,11.1032,DOWN,0
2003-11-19,22.15,22.32,21.22,19.595,11.1932,UP,1
2003-11-20,22.25,21.85,21.71,19.6594,11.2857,UP,1
2003-11-21,22.35,22.41,22.15,19.7214,11.3787,UP,1
2003-11-24,24.5,22.3,22.77,19.8288,11.4827,UP,1
2003-11-25,25.48,24.35,23.346,19.9538,11.5899,UP,1
2003-11-26,26.05,25.57,24.126,20.0918,11.7008,UP,1
2003-11-28,26.71,26.1,25.018,20.2292,11.8143,UP,1
2003-12-01,27.39,26.55,26.026,20.337,11.9318,UP,1
2003-12-02,28.21,27.84,26.768,20.4338,12.0532,DOWN,0
2003-12-03,27.51,28.26,27.174,20.519,12.1712,DOWN,0
2003-12-04,25.78,27.6,27.12,20.6002,12.2802,DOWN,0
2003-12-05,24.85,25.46,26.748,20.6808,12.3851,UP,1
2003-12-08,26.9,25.14,26.65,20.8398,12.5003,DOWN,0
2003-12-09,26.54,27.42,26.316,20.9942,12.6145,DOWN,0
2003-12-10,26.001,27.13,26.0142,21.1414,12.7266,UP,1
2003-12-11,26.49,25.74,26.1562,21.3112,12.8421,UP,1
2003-12-12,27.43,26.95,26.6722,21.5034,12.962,DOWN,0
2003-12-15,27.17,28.61,26.7262,21.6578,13.0808,DOWN,0
2003-12-16,26.04,26.98,26.6262,21.7808,13.1912,UP,1
2003-12-17,26.36,26.04,26.698,21.9094,13.3061,UP,1
2003-12-18,27.1,26.58,26.82,22.057,13.4254,UP,1
2003-12-19,27.47,27.17,26.828,22.2034,13.5471,DOWN,0
2003-12-22,26.79,27.07,26.752,22.342,13.6644,DOWN,0
2003-12-23,26.11,26.78,26.766,22.4644,13.7777,UP,1
2003-12-24,27.0,26.4,26.894,22.6204,13.8951,UP,1
2003-12-26,27.241,27.1,26.9222,22.7898,14.0122,UP,1
2003-12-29,28.25,27.84,27.0782,22.9674,14.1348,DOWN,0
2003-12-30,27.94,28.26,27.3082,23.1562,14.2544,UP,1
2003-12-31,28.21,28.13,27.7282,23.3482,14.3752,UP,1
2004-01-02,28.83,28.31,28.0942,23.5358,14.4993,UP,1
2004-01-05,28.999,28.99,28.4458,23.7428,14.6243,DOWN,0
2004-01-06,28.91,29.01,28.5778,23.9388,14.7495,UP,1
2004-01-07,29.4,29.0,28.8698,24.1268,14.8785,UP,1
2004-01-08,30.94,29.6,29.4158,24.3494,15.0156,UP,1
2004-01-09,36.87,30.85,31.0238,24.709,15.1839,DOWN,0
2004-01-12,35.14,36.16,32.252,25.0356,15.3441,DOWN,0
2004-01-13,34.0,35.29,33.27,25.3456,15.499,UP,1
2004-01-14,35.8,33.5,34.55,25.6976,15.6632,DOWN,0
2004-01-15,35.629,35.99,35.4878,26.0332,15.8265,UP,1
2004-01-16,36.12,35.63,35.3378,26.3908,15.9922,UP,1
2004-01-20,36.44,35.991,35.5978,26.7788,16.159,DOWN,0
2004-01-21,35.57,35.171,35.9118,27.1348,16.3212,DOWN,0
2004-01-22,34.0,35.789,35.5518,27.4348,16.4757,DOWN,0
2004-01-23,33.35,33.79,35.096,27.7124,16.6277,UP,1
2004-01-26,34.9,33.35,34.852,28.017,16.7872,DOWN,0
2004-01-27,34.16,35.3,34.396,28.3056,16.9435,UP,1
2004-01-28,34.36,34.65,34.154,28.5968,17.1005,DOWN,0
2004-01-29,34.0,34.38,34.154,28.8738,17.2554,DOWN,0
2004-01-30,32.91,33.75,34.066,29.104,17.4037,DOWN,0
2004-02-02,32.03,32.5,33.492,29.2926,17.5488,DOWN,0
2004-02-03,32.013,31.78,33.0626,29.4899,17.6939,UP,1
2004-02-04,32.6,32.19,32.7106,29.6969,17.8409,DOWN,0
2004-02-05,29.5,30.61,31.8106,29.8399,17.9724,UP,1
2004-02-06,29.55,29.65,31.1386,29.9409,18.1043,UP,1
2004-02-09,30.02,29.75,30.7366,30.0317,18.2389,UP,1
2004-02-10,30.42,29.91,30.418,30.1191,18.3751,UP,1
2004-02-11,31.01,30.5,30.1,30.2051,18.5141,DOWN,0
2004-02-12,30.5,31.1,30.3,30.2673,18.6509,DOWN,0
2004-02-13,30.0,30.75,30.39,30.3031,18.7846,UP,1
2004-02-17,30.01,30.35,30.388,30.3531,18.9177,DOWN,0
2004-02-18,29.95,29.9,30.294,30.4365,19.0472,DOWN,0
2004-02-19,28.871,30.279,29.8662,30.5169,19.1647,DOWN,0
2004-02-20,28.07,28.79,29.3802,30.5403,19.2801,DOWN,0
2004-02-23,26.49,28.07,28.6782,30.5393,19.39,UP,1
2004-02-24,26.81,26.01,28.0382,30.5555,19.5036,UP,1
2004-02-25,27.641,26.91,27.5764,30.5785,19.6208,UP,1
2004-02-26,27.73,27.63,27.3482,30.5845,19.7365,UP,1
2004-02-27,28.49,28.23,27.4322,30.6109,19.856,UP,1
2004-03-01,29.25,28.88,27.9842,30.6751,19.976,DOWN,0
2004-03-02,28.85,29.53,28.3922,30.7249,20.0939,DOWN,0
2004-03-03,28.7,28.68,28.604,30.7569,20.2089,UP,1
2004-03-04,30.1,28.701,29.078,30.8095,20.3332,UP,1
2004-03-05,32.55,30.239,29.89,30.9247,20.4684,DOWN,0
2004-03-08,32.06,32.6,30.452,31.0437,20.6012,DOWN,0
2004-03-09,31.99,32.0,31.08,31.1435,20.7322,DOWN,0
2004-03-10,31.75,32.89,31.69,31.2337,20.86,DOWN,0
2004-03-11,31.62,32.04,31.994,31.3011,20.9802,UP,1
2004-03-12,33.2,31.9,32.124,31.4063,21.1047,DOWN,0
2004-03-15,31.44,33.19,32.0,31.4709,21.2201,DOWN,0
2004-03-16,29.8,31.52,31.562,31.4903,21.3275,UP,1
2004-03-17,30.98,29.71,31.408,31.5299,21.44,DOWN,0
2004-03-18,30.98,31.05,31.28,31.5713,21.5531,UP,1
2004-03-19,31.0,31.02,30.84,31.6033,21.6693,UP,1
2004-03-22,31.09,31.36,30.77,31.6063,21.7845,DOWN,0
2004-03-23,31.02,31.25,31.014,31.4893,21.8991,UP,1
2004-03-24,31.72,30.99,31.162,31.4209,22.0187,UP,1
2004-03-25,33.87,31.84,31.74,31.4183,22.1496,UP,1
2004-03-26,33.93,33.74,32.326,31.3809,22.2772,UP,1
2004-03-29,35.53,34.33,33.214,31.3789,22.4123,UP,1
2004-03-30,36.49,35.68,34.308,31.3863,22.5536,DOWN,0
2004-03-31,36.23,36.01,35.21,31.3821,22.6927,DOWN,0
2004-04-01,35.84,36.1,35.604,31.3875,22.8277,DOWN,0
2004-04-02,35.49,35.48,35.916,31.4173,22.9586,DOWN,0
2004-04-05,33.69,35.2,35.548,31.4241,23.0826,DOWN,0
2004-04-06,33.05,33.69,34.86,31.3871,23.2026,DOWN,0
2004-04-07,32.04,32.835,34.022,31.3447,23.3148,UP,1
2004-04-08,33.99,32.12,33.652,31.3373,23.4338,DOWN,0
2004-04-12,33.74,34.0,33.302,31.3321,23.5505,DOWN,0
2004-04-13,32.87,33.92,33.138,31.3313,23.6693,DOWN,0
2004-04-14,31.76,32.72,32.88,31.3259,23.7841,DOWN,0
2004-04-15,31.58,32.15,32.788,31.3172,23.9028,DOWN,0
2004-04-16,30.5,31.5,32.09,31.2752,24.0151,DOWN,0
2004-04-19,29.99,30.4,31.34,31.285,24.1213,DOWN,0
2004-04-20,28.6,29.901,30.486,31.266,24.2206,UP,1
2004-04-21,30.38,28.74,30.21,31.2732,24.3274,UP,1
