ticker,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,BKNG US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2000-04-11,390.374,421.499,438.0741,429.6816,414.1098,DOWN,0
2000-04-12,360.749,398.249,423.8992,430.0266,412.6885,UP,1
2000-04-13,372.749,368.999,405.8992,430.3341,411.0854,DOWN,0
2000-04-14,351.281,356.999,382.4805,430.2123,409.6168,DOWN,0
2000-04-17,312.374,333.749,357.5055,429.2148,407.8337,UP,1
2000-04-18,383.999,316.499,356.2305,429.6648,406.3937,UP,1
2000-04-19,390.374,380.999,362.1555,430.5048,405.0156,UP,1
2000-04-20,407.249,395.249,369.0555,431.6373,403.7312,DOWN,0
2000-04-24,370.499,377.999,372.8993,432.2973,402.3137,UP,1
2000-04-25,387.374,390.749,387.8992,433.5798,401.1053,DOWN,0
2000-04-26,383.249,395.999,387.7492,434.7198,399.9278,UP,1
2000-04-27,389.624,359.999,387.5992,436.1523,398.7484,DOWN,0
2000-04-28,379.499,390.374,382.0492,437.3898,397.6122,UP,1
2000-05-01,381.374,387.374,384.2242,438.4172,396.5969,DOWN,0
2000-05-02,356.999,381.749,378.1492,439.4372,395.4522,DOWN,0
2000-05-03,348.093,352.499,371.118,440.3841,394.4458,DOWN,0
2000-05-04,347.624,350.249,362.718,441.1116,393.5373,DOWN,0
2000-05-05,344.624,344.249,355.743,441.1941,392.7536,DOWN,0
2000-05-08,329.249,349.124,345.3181,440.9466,391.9642,DOWN,0
2000-05-09,317.624,331.124,337.4431,440.8341,391.2067,DOWN,0
2000-05-10,309.374,311.999,329.6993,440.3091,390.5439,DOWN,0
2000-05-11,296.999,314.249,319.5744,438.5241,389.4789,UP,1
2000-05-12,298.124,301.499,310.2744,435.9066,388.5545,UP,1
2000-05-15,302.624,308.999,304.9494,432.9591,387.8008,UP,1
2000-05-16,324.374,311.249,306.2994,428.6241,387.0977,DOWN,0
2000-05-17,304.124,317.624,305.2494,425.2716,386.4264,DOWN,0
2000-05-18,282.374,304.499,302.3244,420.4117,385.8508,DOWN,0
2000-05-19,268.499,278.999,296.3994,414.5392,384.8495,DOWN,0
2000-05-22,266.624,269.999,289.1994,408.5317,383.9514,DOWN,0
2000-05-23,243.0,268.874,272.9245,401.8792,383.0664,DOWN,0
2000-05-24,219.0,240.0,255.8995,394.8667,382.0089,DOWN,0
2000-05-25,217.5,241.125,242.9245,388.5367,380.9964,DOWN,0
2000-05-26,216.75,217.875,232.5745,382.3192,380.0608,UP,1
2000-05-30,235.5,222.75,226.3495,376.2292,379.2433,DOWN,0
2000-05-31,228.75,232.125,223.4996,371.4818,378.3246,UP,1
2000-06-01,251.624,232.125,230.0245,366.7643,377.4808,UP,1
2000-06-02,278.999,254.999,242.3245,361.9043,376.7533,UP,1
2000-06-05,293.999,278.624,257.7745,357.2243,376.2283,DOWN,0
2000-06-06,264.374,295.499,263.5495,351.6518,375.5177,UP,1
2000-06-07,269.999,263.249,271.7995,346.0118,374.8558,UP,1
2000-06-08,273.374,277.124,276.1494,341.0468,374.1939,DOWN,0
2000-06-09,270.749,279.749,274.4995,336.6443,373.5921,DOWN,0
2000-06-12,251.999,269.999,266.0995,331.9493,372.6733,UP,1
2000-06-13,260.999,252.749,265.4245,327.5693,371.7733,DOWN,0
2000-06-14,259.124,262.499,263.2495,324.9069,371.0636,DOWN,0
2000-06-15,256.499,267.374,259.8745,321.0069,370.3024,UP,1
2000-06-16,259.124,259.874,257.5495,317.5569,369.6302,UP,1
2000-06-19,267.374,259.124,260.6245,313.6494,369.0461,UP,1
2000-06-20,278.999,275.249,264.2245,309.8619,368.4499,DOWN,0
2000-06-21,269.999,275.249,266.3995,306.5169,367.7655,UP,1
2000-06-22,271.874,273.749,269.4745,304.1469,367.2274,DOWN,0
2000-06-23,250.874,267.749,267.8245,301.9494,366.7371,DOWN,0
2000-06-26,228.0,252.749,259.9495,299.0544,366.139,UP,1
2000-06-27,240.0,229.125,252.1495,296.8288,365.6702,UP,1
2000-06-28,241.125,240.0,246.3745,295.4038,365.0758,DOWN,0
2000-06-29,220.875,215.625,236.1745,292.1413,364.3802,UP,1
2000-06-30,227.906,219.0,231.5808,288.8919,363.806,UP,1
2000-07-03,240.0,230.625,233.9808,285.5469,363.2585,DOWN,0
2000-07-05,222.75,234.75,230.5308,282.5919,362.4466,UP,1
2000-07-06,228.375,222.375,227.9808,279.4119,361.5832,DOWN,0
2000-07-07,225.375,227.625,228.8808,276.2544,360.5613,DOWN,0
2000-07-10,223.5,227.625,227.9995,272.932,359.7269,DOWN,0
2000-07-11,195.0,223.5,218.9996,269.242,358.7351,UP,1
2000-07-12,213.75,205.5,217.1996,265.8895,357.9523,UP,1
2000-07-13,230.625,219.0,217.6496,263.362,357.2641,UP,1
2000-07-14,236.625,236.25,219.8996,261.1326,356.5573,UP,1
2000-07-17,237.375,240.75,222.6746,258.9276,355.8091,DOWN,0
2000-07-18,232.5,237.375,230.1745,256.6851,355.076,UP,1
2000-07-19,238.5,229.781,235.1245,254.8701,354.4001,UP,1
2000-07-20,243.375,240.75,237.6745,253.3851,353.6894,DOWN,0
2000-07-21,240.375,243.0,238.4245,252.0051,352.7088,DOWN,0
2000-07-24,186.75,234.0,228.2995,249.8001,351.4676,UP,1
2000-07-25,187.5,199.125,219.2996,247.5876,350.1926,DOWN,0
2000-07-26,171.75,186.75,205.9496,244.9701,348.7713,DOWN,0
2000-07-27,154.875,168.0,188.2496,241.5801,347.2676,DOWN,0
2000-07-28,147.0,157.875,169.5747,238.4376,345.8351,DOWN,0
2000-07-31,141.75,153.0,160.5747,235.6252,344.4438,UP,1
2000-08-01,149.625,151.125,152.9997,233.2477,343.1651,DOWN,0
2000-08-02,148.875,151.875,148.4247,230.8927,341.9782,DOWN,0
2000-08-03,145.875,144.375,146.6247,228.9502,340.767,DOWN,0
2000-08-04,145.5,148.125,146.3247,227.4802,339.4995,UP,1
2000-08-07,165.0,147.0,150.9747,226.4302,338.262,UP,1
2000-08-08,168.0,166.5,154.6497,225.4552,337.0995,DOWN,0
2000-08-09,153.75,173.25,155.6247,223.8202,335.8114,DOWN,0
2000-08-10,142.5,153.75,154.9497,222.0952,334.4932,UP,1
2000-08-11,144.0,138.0,154.6497,219.9427,333.2107,UP,1
