ticker,COST US Equity,COST US Equity,COST US Equity,COST US Equity,COST US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,52.875,52.0,40.9753,52.875,47.5016,DOWN,0
2000-02-10,52.125,52.813,41.022,52.4625,47.6272,DOWN,0
2000-02-11,51.688,52.125,41.0777,52.2,47.7066,DOWN,0
2000-02-14,50.75,51.563,41.1291,52.1,47.7653,DOWN,0
2000-02-15,49.375,50.063,41.1653,51.3625,47.7659,DOWN,0
2000-02-16,47.75,49.188,41.1978,50.3375,47.7409,DOWN,0
2000-02-17,44.0,48.0,41.2131,48.7125,47.6659,UP,1
2000-02-18,44.938,43.75,41.2398,47.3625,47.6428,DOWN,0
2000-02-22,44.0,44.813,41.2625,46.0125,47.6034,UP,1
2000-02-23,44.563,44.375,41.2828,45.05,47.5772,DOWN,0
2000-02-24,44.375,44.703,41.2988,44.375,47.5253,UP,1
2000-02-25,47.625,44.25,41.3336,45.1,47.5634,UP,1
2000-02-28,48.938,47.25,41.37,45.9,47.6291,UP,1
2000-02-29,49.625,48.875,41.4153,47.025,47.7216,DOWN,0
2000-03-01,46.5,49.438,41.4503,47.4125,47.7459,UP,1
2000-03-02,49.625,47.563,41.5045,48.4625,47.8553,UP,1
2000-03-03,49.938,50.188,41.5623,48.925,47.9828,UP,1
2000-03-06,50.125,49.875,41.6217,49.1625,48.1103,DOWN,0
2000-03-07,45.375,50.031,41.6611,48.3125,48.1266,UP,1
2000-03-08,45.625,46.313,41.6948,48.1375,48.1441,DOWN,0
2000-03-09,44.563,45.5,41.7325,47.125,48.1228,DOWN,0
2000-03-10,44.125,44.688,41.7694,45.9625,48.0966,DOWN,0
2000-03-13,43.0,44.0,41.8066,44.5375,48.0434,UP,1
2000-03-14,43.313,43.5,41.8419,44.125,47.9972,UP,1
2000-03-15,49.813,43.188,41.9092,44.9625,48.1034,UP,1
2000-03-16,55.953,48.875,42.0029,47.2406,48.3813,DOWN,0
2000-03-17,53.938,54.75,42.0891,49.2031,48.6044,DOWN,0
2000-03-20,52.313,53.75,42.1585,51.0656,48.7778,DOWN,0
2000-03-21,52.188,52.125,42.2285,52.8406,48.8909,UP,1
2000-03-22,52.875,52.313,42.3045,53.4531,48.9984,UP,1
2000-03-23,53.625,52.75,42.3854,52.9875,49.1547,UP,1
2000-03-24,53.875,53.813,42.4699,52.975,49.3172,DOWN,0
2000-03-27,53.438,53.25,42.5559,53.2,49.4366,DOWN,0
2000-03-28,51.125,53.25,42.6321,52.9875,49.4778,DOWN,0
2000-03-29,50.5,51.188,42.706,52.5125,49.4628,DOWN,0
2000-03-30,50.25,50.281,42.7661,51.8375,49.4303,UP,1
2000-03-31,52.563,51.313,42.8392,51.575,49.4816,DOWN,0
2000-04-03,52.5,51.5,42.9159,51.3875,49.5616,UP,1
