ticker,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,NCLH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2013-05-22,31.8,31.84,31.762,30.4317,,UP,1
2013-05-23,31.96,31.51,31.87,30.4553,,UP,1
2013-05-24,32.15,31.81,31.988,30.4984,,DOWN,0
2013-05-28,31.75,32.23,31.932,30.537,,DOWN,0
2013-05-29,31.57,31.6,31.846,30.5626,,DOWN,0
2013-05-30,30.82,31.32,31.65,30.5738,,DOWN,0
2013-05-31,30.75,30.77,31.408,30.5788,,UP,1
2013-06-03,31.35,30.85,31.248,30.6052,,UP,1
2013-06-04,31.41,31.26,31.18,30.6298,,DOWN,0
2013-06-05,30.85,31.42,31.036,30.6572,,DOWN,0
2013-06-06,30.79,30.8,31.03,30.6822,,UP,1
2013-06-07,31.24,30.98,31.128,30.704,,DOWN,0
2013-06-10,31.17,31.47,31.092,30.7344,,UP,1
2013-06-11,31.65,31.07,31.14,30.7688,,DOWN,0
2013-06-12,31.11,31.7,31.192,30.7926,,DOWN,0
2013-06-13,31.08,30.94,31.25,30.8304,,UP,1
2013-06-14,31.28,31.0,31.258,30.8706,,DOWN,0
2013-06-17,31.19,31.16,31.262,30.9084,,UP,1
2013-06-18,31.55,30.87,31.242,30.9396,,DOWN,0
2013-06-19,31.3,31.44,31.28,30.9588,,DOWN,0
2013-06-20,31.28,31.09,31.32,30.9738,,DOWN,0
2013-06-21,29.72,31.25,31.008,30.9554,,DOWN,0
2013-06-24,28.27,30.84,30.424,30.9108,,UP,1
2013-06-25,28.76,28.0,29.866,30.8846,,UP,1
2013-06-26,29.43,28.84,29.492,30.8732,,UP,1
2013-06-27,30.03,29.7,29.242,30.8828,,UP,1
2013-06-28,30.31,29.8,29.36,30.9022,,UP,1
2013-07-01,30.95,30.34,29.896,30.9326,,DOWN,0
2013-07-02,30.48,30.67,30.24,30.9546,,UP,1
2013-07-03,30.59,30.45,30.472,30.9796,,UP,1
2013-07-05,31.65,30.65,30.796,31.0346,,UP,1
2013-07-08,31.79,31.75,31.092,31.0692,,DOWN,0
2013-07-09,31.76,31.84,31.254,31.0966,,DOWN,0
2013-07-10,31.5,31.68,31.458,31.1194,,DOWN,0
2013-07-11,31.43,31.66,31.626,31.1278,,UP,1
2013-07-12,31.53,31.22,31.602,31.1366,,DOWN,0
2013-07-15,31.38,31.56,31.52,31.137,,UP,1
2013-07-16,31.4,31.46,31.448,31.1344,,DOWN,0
2013-07-17,31.35,31.61,31.418,31.125,,UP,1
2013-07-18,31.37,31.49,31.406,31.1192,,DOWN,0
2013-07-19,31.2,31.14,31.34,31.1052,,UP,1
2013-07-22,31.3,31.35,31.324,31.097,,DOWN,0
2013-07-23,31.13,31.25,31.27,31.0994,,DOWN,0
2013-07-24,30.72,31.04,31.144,31.1046,,DOWN,0
2013-07-25,30.27,30.73,30.924,31.0948,,UP,1
2013-07-26,30.97,30.25,30.878,31.087,,DOWN,0
2013-07-29,30.26,30.77,30.67,31.0638,,DOWN,0
2013-07-30,29.76,30.36,30.396,31.0278,,UP,1
2013-07-31,30.31,29.76,30.314,30.9934,,DOWN,0
2013-08-01,30.25,30.5,30.31,30.9584,,UP,1
2013-08-02,30.59,30.07,30.234,30.9342,,UP,1
2013-08-05,30.74,30.54,30.33,30.9098,,DOWN,0
2013-08-06,30.26,30.57,30.43,30.872,,DOWN,0
2013-08-07,30.18,30.36,30.404,30.8406,,DOWN,0
2013-08-08,30.05,28.92,30.364,30.8102,,UP,1
2013-08-09,31.02,30.47,30.45,30.8142,,UP,1
2013-08-12,31.6,30.99,30.622,30.8312,,UP,1
2013-08-13,32.22,31.45,31.014,30.8486,,UP,1
2013-08-14,32.44,32.06,31.466,30.8692,,UP,1
2013-08-15,32.79,32.17,32.014,30.908,,DOWN,0
2013-08-16,31.97,32.92,32.204,30.9316,,DOWN,0
2013-08-19,31.46,32.44,32.176,30.936,,DOWN,0
2013-08-20,31.46,31.21,32.024,30.9418,,UP,1
2013-08-21,31.8,31.17,31.896,30.9448,,UP,1
2013-08-22,32.42,31.73,31.822,30.971,,DOWN,0
2013-08-23,31.78,32.22,31.784,30.985,,DOWN,0
2013-08-26,31.69,31.93,31.83,30.9932,,DOWN,0
2013-08-27,31.21,31.4,31.78,30.9936,,DOWN,0
2013-08-28,31.1,31.1,31.64,30.9846,,UP,1
2013-08-29,31.21,30.97,31.398,30.9828,,DOWN,0
2013-08-30,31.09,31.13,31.26,30.979,,UP,1
2013-09-03,31.46,31.35,31.214,31.0138,,DOWN,0
2013-09-04,31.16,31.92,31.204,31.0716,,DOWN,0
2013-09-05,31.15,31.07,31.214,31.1194,,UP,1
2013-09-06,31.31,31.37,31.234,31.157,,DOWN,0
2013-09-09,31.19,31.43,31.254,31.1802,,UP,1
2013-09-10,31.75,31.43,31.312,31.209,,UP,1
2013-09-11,31.8,31.6,31.44,31.226,,UP,1
2013-09-12,31.88,31.93,31.586,31.254,,UP,1
2013-09-13,32.57,31.98,31.838,31.2936,,DOWN,0
2013-09-16,32.3,32.76,32.06,31.3066,,UP,1
2013-09-17,33.18,32.25,32.346,31.3344,,DOWN,0
2013-09-18,33.06,33.05,32.598,31.3604,,UP,1
2013-09-19,33.19,33.01,32.86,31.3942,,DOWN,0
2013-09-20,33.05,33.14,32.956,31.4266,,DOWN,0
2013-09-23,32.84,33.06,33.064,31.4528,,DOWN,0
2013-09-24,31.94,32.69,32.816,31.464,,DOWN,0
2013-09-25,31.65,31.83,32.534,31.469,,DOWN,0
2013-09-26,31.27,31.6,32.15,31.4674,,DOWN,0
2013-09-27,31.02,31.12,31.744,31.4604,,DOWN,0
2013-09-30,30.85,30.73,31.346,31.4534,,DOWN,0
2013-10-01,30.83,30.86,31.124,31.444,,UP,1
2013-10-02,31.34,30.15,31.062,31.4482,,DOWN,0
2013-10-03,30.54,31.21,30.916,31.4446,,UP,1
2013-10-04,31.25,30.98,30.962,31.4642,,DOWN,0
2013-10-07,30.85,31.15,30.962,31.4618,,DOWN,0
2013-10-08,30.2,30.82,30.836,31.4606,,UP,1
2013-10-09,30.32,30.15,30.632,31.4718,,UP,1
2013-10-10,30.89,30.68,30.702,31.4834,,DOWN,0
2013-10-11,30.74,30.96,30.6,31.4932,,DOWN,0
2013-10-14,30.48,30.52,30.526,31.491,,DOWN,0
2013-10-15,30.16,30.48,30.518,31.4794,,DOWN,0
2013-10-16,29.93,30.23,30.44,31.4728,,DOWN,0
2013-10-17,29.81,29.98,30.224,31.4654,,UP,1
2013-10-18,30.06,30.49,30.088,31.4656,,UP,1
2013-10-21,31.22,31.17,30.236,31.4696,,UP,1
2013-10-22,31.99,31.26,30.602,31.4774,,UP,1
2013-10-23,32.35,31.98,31.086,31.48,,UP,1
2013-10-24,32.87,32.69,31.698,31.4886,,DOWN,0
