ticker,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,WAT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,39.813,40.813,27.7623,40.6688,27.2575,UP,1
2000-02-10,41.594,40.125,27.8377,41.4875,27.5994,DOWN,0
2000-02-11,41.406,41.719,27.9154,41.1938,27.935,UP,1
2000-02-14,41.563,41.625,27.9918,41.0625,28.2675,UP,1
2000-02-15,46.0,41.688,28.094,42.075,28.71,DOWN,0
2000-02-16,44.5,45.5,28.188,43.0125,29.1325,UP,1
2000-02-17,48.188,45.25,28.3043,44.3313,29.6313,DOWN,0
2000-02-18,47.781,48.375,28.416,45.6063,30.1275,DOWN,0
2000-02-22,44.906,47.656,28.5159,46.275,30.5644,DOWN,0
2000-02-23,43.25,45.031,28.6121,45.725,30.9694,UP,1
2000-02-24,45.969,43.625,28.717,46.0188,31.4438,UP,1
2000-02-25,50.0,45.969,28.8378,46.3813,32.0037,DOWN,0
2000-02-28,47.375,49.625,28.9435,46.3,32.5163,UP,1
2000-02-29,49.031,47.75,29.0602,47.125,33.0575,DOWN,0
2000-03-01,48.5,49.031,29.1774,48.175,33.585,DOWN,0
2000-03-02,46.438,48.5,29.282,48.2688,34.0444,UP,1
2000-03-03,47.063,46.438,29.3916,47.6813,34.5256,UP,1
2000-03-06,53.375,47.25,29.5337,48.8813,35.1331,DOWN,0
2000-03-07,51.75,54.5,29.6687,49.425,35.6938,DOWN,0
2000-03-08,48.875,51.75,29.7928,49.5,36.1925,UP,1
2000-03-09,50.188,48.844,29.9245,50.25,36.6925,UP,1
2000-03-10,50.656,50.5,30.0574,50.9688,37.1906,DOWN,0
2000-03-13,49.281,49.25,30.1838,50.15,37.665,DOWN,0
2000-03-14,45.25,50.125,30.2868,48.85,38.04,UP,1
2000-03-15,47.406,45.375,30.3986,48.5563,38.4731,DOWN,0
2000-03-16,45.063,46.5,30.4977,47.5313,38.8844,DOWN,0
2000-03-17,43.969,44.5,30.593,46.1938,39.2431,DOWN,0
2000-03-20,42.969,43.969,30.6833,44.9313,39.5975,DOWN,0
2000-03-21,41.625,42.25,30.764,44.2063,39.9094,UP,1
2000-03-22,47.625,42.25,30.8726,44.25,40.3588,UP,1
2000-03-23,48.875,47.625,30.9878,45.0125,40.8431,DOWN,0
2000-03-24,44.969,48.75,31.0845,45.2125,41.2519,UP,1
2000-03-27,46.625,44.688,31.192,45.9438,41.6931,DOWN,0
2000-03-28,44.375,46.625,31.2891,46.4938,42.0956,DOWN,0
2000-03-29,43.906,44.5,31.3808,45.75,42.4975,DOWN,0
2000-03-30,43.125,43.969,31.4663,44.6,42.8969,UP,1
2000-03-31,47.625,44.0,31.5725,45.1313,43.4094,DOWN,0
2000-04-03,43.563,47.25,31.6597,44.5188,43.8006,UP,1
