ticker,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,WAB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,5.8125,6.0313,9.7651,5.7875,7.69,UP,1
2000-02-09,5.9375,5.875,9.7423,5.8313,7.615,UP,1
2000-02-10,6.3125,6.0,9.7193,5.9438,7.56,UP,1
2000-02-11,6.4375,6.25,9.6959,6.075,7.5081,DOWN,0
2000-02-14,6.2188,6.4375,9.6712,6.1438,7.4563,DOWN,0
2000-02-15,5.7813,6.0,9.6447,6.1375,7.3963,DOWN,0
2000-02-16,5.6875,5.8438,9.6192,6.0875,7.3338,UP,1
2000-02-17,5.75,5.75,9.5929,5.975,7.2744,DOWN,0
2000-02-18,5.625,5.75,9.5661,5.8125,7.2106,DOWN,0
2000-02-22,5.5938,5.5938,9.5392,5.6875,7.1525,DOWN,0
2000-02-23,5.4688,5.6563,9.5125,5.625,7.0894,DOWN,0
2000-02-24,5.25,5.4375,9.4837,5.5375,7.02,DOWN,0
2000-02-25,4.75,5.2188,9.4547,5.3375,6.9481,DOWN,0
2000-02-28,4.6563,4.75,9.4242,5.1438,6.8763,UP,1
2000-02-29,4.75,4.7188,9.3958,4.975,6.805,UP,1
2000-03-01,4.875,4.8125,9.3681,4.8563,6.7188,DOWN,0
2000-03-02,4.875,4.9375,9.339,4.7813,6.6444,DOWN,0
2000-03-03,4.8125,4.8438,9.3089,4.7938,6.5681,DOWN,0
2000-03-06,4.4063,4.75,9.2739,4.7438,6.49,UP,1
2000-03-07,4.4375,4.4063,9.2389,4.6813,6.4113,DOWN,0
2000-03-08,4.4375,4.375,9.2058,4.5938,6.3313,UP,1
2000-03-09,4.625,4.4375,9.1736,4.5438,6.2556,DOWN,0
2000-03-10,4.5625,4.5,9.1412,4.4938,6.18,UP,1
2000-03-13,4.6563,4.5,9.1087,4.5438,6.1063,UP,1
2000-03-14,4.9688,4.8438,9.0764,4.65,6.0281,UP,1
2000-03-15,5.4688,5.1875,9.0465,4.8563,5.9656,UP,1
2000-03-16,5.75,5.4688,9.017,5.0813,5.9113,DOWN,0
2000-03-17,5.5,5.625,8.9854,5.2688,5.8525,DOWN,0
2000-03-20,5.3438,5.5,8.9501,5.4063,5.7975,DOWN,0
2000-03-21,5.25,5.4063,8.9147,5.4625,5.7469,DOWN,0
2000-03-22,5.25,5.1563,8.8787,5.4188,5.6944,DOWN,0
2000-03-23,5.0938,5.25,8.8417,5.2875,5.6431,UP,1
2000-03-24,5.1563,5.125,8.805,5.2188,5.6013,UP,1
2000-03-27,5.1875,5.1563,8.7681,5.1875,5.5588,DOWN,0
2000-03-28,5.125,5.1875,8.7312,5.1625,5.5231,UP,1
2000-03-29,5.1563,5.125,8.6945,5.1438,5.4887,UP,1
2000-03-30,5.3125,5.2188,8.6593,5.1875,5.455,DOWN,0
2000-03-31,5.3125,5.375,8.6236,5.2188,5.4213,UP,1
2000-04-03,5.625,5.2813,8.59,5.3063,5.3956,DOWN,0
2000-04-04,5.4375,5.5625,8.5553,5.3688,5.3688,UP,1
2000-04-05,5.4688,5.4688,8.5209,5.4313,5.3538,UP,1
2000-04-06,5.5,5.5,8.4865,5.4688,5.3463,UP,1
2000-04-07,5.6563,5.7188,8.4534,5.5375,5.3438,DOWN,0
2000-04-10,5.3125,5.5938,8.4179,5.475,5.3369,UP,1
2000-04-11,5.4063,5.3125,8.3828,5.4688,5.3338,UP,1
2000-04-12,5.7188,5.4063,8.3495,5.5188,5.3369,DOWN,0
2000-04-13,5.5313,5.5938,8.3123,5.525,5.3331,UP,1
2000-04-14,5.5938,5.5,8.2772,5.5125,5.33,UP,1
2000-04-17,5.7813,5.5313,8.2417,5.6063,5.33,UP,1
2000-04-18,6.125,5.75,8.2091,5.75,5.335,DOWN,0
2000-04-19,6.0,6.0938,8.1764,5.8063,5.3388,DOWN,0
2000-04-20,5.3438,6.0,8.1409,5.7688,5.3269,UP,1
2000-04-24,5.4375,5.3125,8.1056,5.7375,5.3094,UP,1
2000-04-25,5.7813,5.5625,8.0725,5.7375,5.2963,DOWN,0
2000-04-26,5.6563,5.7188,8.0392,5.6438,5.285,DOWN,0
2000-04-27,5.4688,5.3125,8.0059,5.5375,5.2787,UP,1
2000-04-28,5.6563,5.375,7.9736,5.6,5.2781,UP,1
2000-05-01,5.9375,5.5938,7.9441,5.7,5.2819,DOWN,0
2000-05-02,5.8438,5.875,7.9155,5.7125,5.2863,UP,1
2000-05-03,5.9375,5.8438,7.8877,5.7688,5.2931,UP,1
2000-05-04,6.25,5.9375,7.8631,5.925,5.3088,UP,1
2000-05-05,6.2813,6.2813,7.8384,6.05,5.3294,DOWN,0
2000-05-08,6.0,6.2188,7.8134,6.0625,5.3544,DOWN,0
2000-05-09,6.0,5.9375,7.7883,6.0938,5.3813,UP,1
2000-05-10,6.0313,5.9375,7.7633,6.1125,5.4069,UP,1
2000-05-11,6.0625,6.0,7.7386,6.075,5.4306,DOWN,0
2000-05-12,5.8125,6.0625,7.7128,5.9813,5.4494,UP,1
2000-05-15,6.0,5.8125,7.6834,5.9813,5.4731,DOWN,0
2000-05-16,5.9688,6.0,7.6533,5.975,5.5044,DOWN,0
2000-05-17,5.5,5.9688,7.6223,5.8688,5.5256,UP,1
2000-05-18,5.5625,5.5625,7.5937,5.7688,5.5481,UP,1
2000-05-19,5.625,5.5,7.5662,5.7313,5.5681,DOWN,0
2000-05-22,5.5313,5.5938,7.5383,5.6375,5.5875,DOWN,0
2000-05-23,5.4688,5.5313,7.5086,5.5375,5.6038,UP,1
2000-05-24,5.5625,5.4688,7.4792,5.55,5.6156,DOWN,0
2000-05-25,5.5,5.5625,7.4484,5.5375,5.6163,UP,1
2000-05-26,5.5938,5.5,7.4202,5.5313,5.6131,DOWN,0
2000-05-30,5.5938,5.6563,7.3922,5.5438,5.615,DOWN,0
2000-05-31,5.5391,5.5313,7.3627,5.5578,5.6189,UP,1
2000-06-01,5.6289,5.6875,7.3327,5.5711,5.6265,UP,1
2000-06-02,5.7188,5.75,7.3146,5.6148,5.6359,DOWN,0
2000-06-05,5.6387,5.6875,7.2975,5.6238,5.6468,DOWN,0
2000-06-06,5.625,5.5938,7.2754,5.6301,5.6561,UP,1
2000-06-07,5.6875,5.5625,7.2543,5.6598,5.6661,DOWN,0
2000-06-08,5.625,5.6875,7.2348,5.659,5.6761,UP,1
2000-06-09,5.7813,5.6563,7.2156,5.6715,5.6886,DOWN,0
2000-06-12,5.75,5.75,7.1962,5.6938,5.6974,DOWN,0
2000-06-13,5.7207,5.75,7.1762,5.7129,5.7055,DOWN,0
2000-06-14,5.5,5.6875,7.1556,5.6754,5.703,DOWN,0
2000-06-15,5.4375,5.5,7.1323,5.6379,5.703,UP,1
2000-06-16,5.4688,5.5,7.1101,5.5754,5.703,DOWN,0
2000-06-19,5.4688,5.4688,7.0886,5.5191,5.7024,DOWN,0
2000-06-20,5.25,5.4688,7.0654,5.425,5.6943,DOWN,0
2000-06-21,5.2188,5.25,7.0415,5.3688,5.6924,UP,1
2000-06-22,5.2813,5.2188,7.0179,5.3375,5.6899,DOWN,0
2000-06-23,4.9375,5.2188,6.9934,5.2313,5.6743,DOWN,0
2000-06-26,4.875,4.9688,6.9676,5.1125,5.6612,DOWN,0
2000-06-27,4.875,4.8438,6.9412,5.0375,5.6468,DOWN,0
2000-06-28,4.7813,4.7813,6.914,4.95,5.6268,DOWN,0
2000-06-29,4.75,4.75,6.8865,4.8438,5.5993,UP,1
2000-06-30,5.1875,4.7188,6.8608,4.8938,5.583,DOWN,0
2000-07-03,5.0625,5.125,6.8354,4.9313,5.5774,DOWN,0
2000-07-05,4.9375,5.125,6.8097,4.9438,5.5674,UP,1
2000-07-06,5.0,4.9375,6.7845,4.9875,5.5518,UP,1
2000-07-07,5.0625,5.0,6.7603,5.05,5.5399,DOWN,0
2000-07-10,5.0313,5.0,6.7353,5.0188,5.5312,DOWN,0
2000-07-11,5.0,5.0313,6.7106,5.0063,5.518,UP,1
2000-07-12,5.3438,5.0,6.6908,5.0875,5.5062,UP,1
2000-07-13,5.4063,5.3125,6.6706,5.1688,5.4974,DOWN,0
2000-07-14,5.2188,5.4688,6.6501,5.2,5.483,DOWN,0
2000-07-17,5.2188,5.2188,6.6308,5.2375,5.4624,UP,1
2000-07-18,5.3438,5.1563,6.6131,5.3063,5.4437,DOWN,0
2000-07-19,5.25,5.2813,6.5961,5.2875,5.4287,DOWN,0
2000-07-20,4.9688,4.9375,6.5784,5.2,5.408,UP,1
2000-07-21,5.0625,4.9688,6.5606,5.1688,5.3887,DOWN,0
2000-07-24,4.7813,5.0938,6.5414,5.0813,5.363,UP,1
2000-07-25,4.8125,4.8125,6.5228,4.975,5.343,UP,1
2000-07-26,4.8438,4.8125,6.5058,4.8938,5.3199,UP,1
2000-07-27,4.875,4.8125,6.4887,4.875,5.298,DOWN,0
2000-07-28,4.8125,4.8438,6.4704,4.825,5.2843,UP,1
2000-07-31,5.0313,4.8125,6.454,4.875,5.2737,DOWN,0
2000-08-01,4.9375,5.0625,6.4373,4.9,5.2599,UP,1
2000-08-02,5.0,5.0,6.4198,4.9313,5.2493,UP,1
2000-08-03,5.0625,4.9375,6.4031,4.9688,5.2412,UP,1
2000-08-04,5.0938,5.0625,6.387,5.025,5.2318,UP,1
2000-08-07,5.1563,5.0938,6.3714,5.05,5.2249,UP,1
2000-08-08,5.3125,5.125,6.3556,5.125,5.2193,UP,1
2000-08-09,5.4375,5.3438,6.34,5.2125,5.2162,DOWN,0
2000-08-10,5.4375,5.375,6.3258,5.2875,5.2141,DOWN,0
2000-08-11,5.4375,5.3438,6.3111,5.3563,5.2103,DOWN,0
2000-08-14,5.3438,5.375,6.2959,5.3938,5.2028,DOWN,0
2000-08-15,5.3125,5.3125,6.2765,5.3938,5.1963,UP,1
2000-08-16,5.4375,5.25,6.2572,5.3938,5.1925,DOWN,0
2000-08-17,5.375,5.3125,6.2381,5.3813,5.1863,DOWN,0
2000-08-18,5.2813,5.1875,6.219,5.35,5.1794,UP,1
2000-08-21,5.5,5.2813,6.204,5.3813,5.1738,DOWN,0
2000-08-22,5.4063,5.4688,6.1892,5.4,5.1669,DOWN,0
2000-08-23,5.25,5.3438,6.1725,5.3625,5.1575,UP,1
2000-08-24,5.2813,5.2188,6.1559,5.3438,5.1531,DOWN,0
2000-08-25,5.2188,5.2813,6.1384,5.3313,5.1488,UP,1
2000-08-28,5.3125,5.3125,6.1219,5.2938,5.1456,DOWN,0
2000-08-29,5.2813,5.375,6.1056,5.2688,5.1419,DOWN,0
2000-08-30,5.2813,5.3125,6.0886,5.275,5.1425,DOWN,0
2000-08-31,5.1875,5.2813,6.0712,5.2563,5.1419,UP,1
2000-09-01,5.25,5.1875,6.0544,5.2625,5.1413,UP,1
2000-09-05,5.2813,5.25,6.0372,5.2563,5.1481,UP,1
2000-09-06,5.3125,5.2813,6.0195,5.2625,5.1569,UP,1
2000-09-07,5.3438,5.3125,6.0023,5.275,5.1663,DOWN,0
2000-09-08,5.2813,5.3438,5.9859,5.2938,5.1762,UP,1
2000-09-11,5.3438,5.3438,5.969,5.3125,5.1881,DOWN,0
2000-09-12,5.25,5.25,5.9503,5.3063,5.1894,UP,1
2000-09-13,5.3125,5.3125,5.9284,5.3063,5.1944,DOWN,0
2000-09-14,5.1563,5.2813,5.9089,5.2688,5.1988,UP,1
2000-09-15,5.1875,5.0938,5.8897,5.25,5.2025,DOWN,0
2000-09-18,5.1563,5.1563,5.8714,5.2125,5.2044,UP,1
2000-09-19,5.2188,5.2188,5.8536,5.2063,5.2081,DOWN,0
2000-09-20,5.2188,5.2188,5.8356,5.1875,5.2125,DOWN,0
2000-09-21,5.1563,5.1563,5.8178,5.1875,5.2088,DOWN,0
2000-09-22,5.0938,5.125,5.7992,5.1688,5.2025,DOWN,0
