ticker,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,LEN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,7.3223,7.3506,8.5025,7.396,7.324,UP,1
2000-02-09,7.5209,7.4358,8.4806,7.4471,7.3245,DOWN,0
2000-02-10,7.3506,7.4925,8.4608,7.4301,7.3234,DOWN,0
2000-02-11,7.1804,7.2939,8.4402,7.3563,7.32,UP,1
2000-02-14,7.2087,7.2655,8.4213,7.3166,7.3149,UP,1
2000-02-15,7.5493,7.2087,8.4054,7.362,7.312,DOWN,0
2000-02-16,7.2655,7.4358,8.3888,7.3109,7.3041,UP,1
2000-02-17,7.6912,7.2939,8.3758,7.379,7.3075,DOWN,0
2000-02-18,7.5493,7.7764,8.363,7.4528,7.316,DOWN,0
2000-02-22,7.4074,7.6061,8.3472,7.4925,7.3228,DOWN,0
2000-02-23,7.2371,7.4074,8.3299,7.4301,7.3262,DOWN,0
2000-02-24,7.152,7.3506,8.3125,7.4074,7.3194,DOWN,0
2000-02-25,7.0952,7.152,8.2952,7.2882,7.3183,UP,1
2000-02-28,7.2371,7.0668,8.2774,7.2258,7.3217,UP,1
2000-02-29,7.4925,7.1236,8.2627,7.2428,7.3302,UP,1
2000-03-01,7.6628,7.4642,8.2502,7.3279,7.3427,DOWN,0
2000-03-02,7.6628,7.6628,8.2377,7.4301,7.3529,UP,1
2000-03-03,7.748,7.7764,8.2275,7.5607,7.3626,DOWN,0
2000-03-06,7.6912,7.748,8.2158,7.6515,7.3728,DOWN,0
2000-03-07,7.379,7.5777,8.2026,7.6288,7.375,UP,1
2000-03-08,7.5209,7.4358,8.1894,7.6004,7.3819,UP,1
2000-03-09,7.6628,7.379,8.1772,7.6004,7.3909,DOWN,0
2000-03-10,7.6628,7.6628,8.1667,7.5834,7.3955,DOWN,0
2000-03-13,7.6344,7.4925,8.1558,7.572,7.3989,UP,1
2000-03-14,7.6628,7.5777,8.1427,7.6288,7.4046,UP,1
2000-03-15,8.1737,7.6628,8.1324,7.7593,7.4233,UP,1
2000-03-16,8.6845,8.2021,8.1242,7.9637,7.4534,UP,1
2000-03-17,9.4224,8.9683,8.1185,8.3156,7.4977,UP,1
2000-03-20,9.6495,9.3657,8.1129,8.7186,7.5465,DOWN,0
2000-03-21,9.4792,9.6779,8.1067,9.0819,7.589,DOWN,0
2000-03-22,9.3089,9.4508,8.0985,9.3089,7.6271,UP,1
2000-03-23,9.5927,9.3089,8.0914,9.4906,7.6736,DOWN,0
2000-03-24,9.5643,9.5927,8.086,9.5189,7.7185,DOWN,0
2000-03-27,9.4792,9.536,8.0802,9.4849,7.7582,DOWN,0
2000-03-28,9.3657,9.4792,8.0751,9.4622,7.7951,DOWN,0
2000-03-29,9.3373,9.3657,8.0691,9.4678,7.8325,UP,1
2000-03-30,9.5076,9.3373,8.0624,9.4508,7.8745,UP,1
2000-03-31,9.8482,9.536,8.0563,9.5076,7.9222,DOWN,0
2000-04-03,9.3657,9.763,8.0491,9.4849,7.9614,DOWN,0
2000-04-04,8.9116,9.5927,8.0384,9.3941,7.9915,UP,1
2000-04-05,9.3089,8.7981,8.0306,9.3884,8.0306,DOWN,0
2000-04-06,9.2805,9.3941,8.0253,9.343,8.0698,UP,1
2000-04-07,9.3089,9.3089,8.0201,9.2351,8.109,DOWN,0
2000-04-10,9.1954,9.2522,8.0132,9.2011,8.1498,DOWN,0
2000-04-11,9.0535,9.2238,8.0065,9.2294,8.1862,UP,1
2000-04-12,9.3089,9.0819,8.0013,9.2294,8.227,UP,1
