ticker,GE US Equity,GE US Equity,GE US Equity,GE US Equity,GE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,351.3372,350.0556,315.6766,352.9393,372.351,DOWN,0
2000-02-09,343.6472,351.177,315.953,352.9393,372.3991,UP,1
2000-02-10,347.1718,344.9289,316.2598,350.9848,372.6714,DOWN,0
2000-02-11,342.8462,346.2106,316.5946,346.9796,372.633,UP,1
2000-02-14,344.4483,342.8462,316.9663,345.8902,372.6169,UP,1
2000-02-15,352.4587,343.487,317.3748,346.1144,372.681,DOWN,0
2000-02-16,347.7325,350.2158,317.7686,346.9315,372.6001,DOWN,0
2000-02-17,335.797,345.7299,318.0505,344.6565,372.1387,DOWN,0
2000-02-18,320.7374,335.797,318.2668,340.2348,371.3114,UP,1
2000-02-22,332.2724,323.6212,318.5191,337.7996,370.5969,UP,1
2000-02-23,334.5153,333.2337,318.7979,334.211,369.751,UP,1
2000-02-24,335.797,334.0347,319.055,331.8238,368.8378,DOWN,0
2000-02-25,323.3008,331.952,319.2593,329.3246,367.6202,UP,1
2000-02-28,331.7918,322.9803,319.5172,331.5355,366.8576,UP,1
2000-02-29,339.3216,334.8358,319.8561,332.9453,366.0758,DOWN,0
2000-03-01,336.7583,342.2054,320.1781,333.3939,365.0249,UP,1
2000-03-02,346.5611,336.7583,320.5748,335.5467,364.0989,UP,1
2000-03-03,357.265,351.8179,320.9769,342.3395,363.1536,DOWN,0
2000-03-06,352.2985,357.5854,321.3742,346.4409,362.1059,DOWN,0
2000-03-07,333.0735,352.1383,321.705,345.1913,360.6928,UP,1
2000-03-08,334.0347,333.8745,322.0487,344.6465,359.1965,DOWN,0
2000-03-09,330.6703,334.0347,322.3899,341.4684,357.7482,UP,1
2000-03-10,337.5593,335.4766,322.756,337.5273,356.4729,DOWN,0
2000-03-13,331.7918,330.6703,323.1245,333.4259,355.1624,DOWN,0
2000-03-14,325.5437,332.2724,323.4489,331.92,353.7398,UP,1
2000-03-15,342.3656,325.2233,323.8462,333.5861,352.8971,UP,1
2000-03-16,356.3037,342.686,324.3196,338.7128,352.6407,UP,1
2000-03-17,358.5466,354.0608,324.7938,342.9103,352.4421,UP,1
2000-03-20,361.2702,358.5466,325.256,348.8059,352.1994,UP,1
2000-03-21,385.7821,355.6629,325.8464,360.8536,352.1577,UP,1
2000-03-22,386.7433,385.7821,326.468,369.7292,352.1385,UP,1
2000-03-23,410.1338,388.3454,327.2026,380.4952,352.5743,DOWN,0
2000-03-24,407.7306,404.0458,327.9468,390.332,352.9363,DOWN,0
2000-03-27,404.8469,404.3663,328.6721,399.0473,353.151,DOWN,0
2000-03-28,399.8804,401.8029,329.3418,401.867,353.4073,UP,1
2000-03-29,417.8238,403.405,330.0955,408.0831,354.1763,DOWN,0
2000-03-30,406.9296,415.2604,330.7612,407.4423,354.6906,DOWN,0
2000-03-31,398.9192,408.2113,331.366,405.68,355.1877,UP,1
2000-04-03,412.6971,397.9579,332.0509,407.25,356.0528,DOWN,0
2000-04-04,394.7537,406.449,332.6717,406.2247,356.8666,DOWN,0
2000-04-05,392.9915,389.9475,333.2797,401.2582,357.626,UP,1
2000-04-06,402.1233,395.2344,333.9341,400.297,358.4175,UP,1
2000-04-07,407.0898,404.0458,334.6014,401.9311,359.2922,UP,1
2000-04-10,408.6919,408.5317,335.3063,401.13,360.5963,UP,1
2000-04-11,414.2992,405.8081,336.0169,405.0391,362.0125,DOWN,0
2000-04-12,401.8029,416.8625,336.62,406.8014,363.0763,DOWN,0
2000-04-13,385.7821,403.405,337.1007,403.5332,363.919,DOWN,0
2000-04-14,373.6062,379.3737,337.5396,396.8365,364.2523,UP,1
2000-04-17,389.6271,370.0816,338.0435,393.0235,364.7873,UP,1
2000-04-18,401.1621,391.7098,338.589,390.3961,365.8127,DOWN,0
2000-04-19,398.5987,400.0406,339.0704,389.7552,366.7579,UP,1
2000-04-20,406.2888,400.0406,339.6023,393.8566,368.0107,UP,1
2000-04-24,415.4206,402.4438,340.1783,402.2195,369.3757,UP,1
2000-04-25,425.5138,415.9013,340.8271,409.3968,371.0291,DOWN,0
2000-04-26,418.4646,425.8342,341.4383,412.8573,372.5094,DOWN,0
2000-04-27,413.9788,411.4154,342.0239,415.9333,373.7398,DOWN,0
2000-04-28,403.0846,413.6583,342.5325,415.2925,374.8468,UP,1
2000-05-01,408.5317,407.5704,343.0516,413.9147,376.3015,UP,1
2000-05-02,412.8573,407.5704,343.5779,411.3834,378.1439,DOWN,0
2000-05-03,400.0406,408.8521,344.0713,407.6986,379.4993,DOWN,0
2000-05-04,394.7537,403.5652,344.5464,403.8536,380.7041,UP,1
2000-05-05,405.0071,394.7537,345.0975,404.2381,382.0883,DOWN,0
2000-05-08,403.2448,400.8417,345.6374,403.1807,383.6871,DOWN,0
2000-05-09,400.8417,402.7642,346.1805,400.7776,385.0681,DOWN,0
2000-05-10,389.3067,396.0354,346.6371,398.6308,386.0678,UP,1
2000-05-11,391.7098,396.0354,347.1345,398.022,387.1669,UP,1
2000-05-12,401.8029,390.7485,347.7081,397.3812,388.2717,UP,1
2000-05-15,415.2604,402.2835,348.3874,399.7843,389.4316,UP,1
2000-05-16,417.1829,421.5086,349.0907,403.0525,390.7293,DOWN,0
2000-05-17,412.3767,413.3379,349.77,407.6665,392.3154,DOWN,0
2000-05-18,408.5317,411.4154,350.4444,411.0309,393.8053,DOWN,0
2000-05-19,398.9192,400.8417,351.0348,410.4542,395.1703,DOWN,0
2000-05-22,384.5004,398.9192,351.5859,404.3022,396.1091,DOWN,0
2000-05-23,384.5004,378.2523,352.1619,397.7657,397.1633,UP,1
2000-05-24,390.2679,376.8104,352.7691,393.3439,398.4578,DOWN,0
2000-05-25,390.2679,390.2679,353.361,389.6912,399.4158,DOWN,0
2000-05-26,381.136,387.8648,353.9202,386.1345,399.9125,UP,1
2000-05-30,394.1129,383.0585,354.5097,388.057,400.6238,UP,1
2000-05-31,404.6867,397.9579,355.1257,392.0943,401.4921,DOWN,0
2000-06-01,402.7642,400.361,355.7113,394.5935,401.8318,UP,1
2000-06-02,405.6479,409.9736,356.3081,397.6695,402.2098,DOWN,0
2000-06-05,396.516,399.8804,356.868,400.7455,401.9375,DOWN,0
2000-06-06,393.6323,396.0354,357.3903,400.6494,401.6555,UP,1
2000-06-07,395.0742,393.1517,357.8717,398.7269,401.4601,DOWN,0
2000-06-08,391.2292,396.0354,358.3331,396.4199,401.287,DOWN,0
2000-06-09,383.5391,392.671,358.7216,391.9982,400.6014,DOWN,0
