ticker,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,ALLE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2014-03-25,53.21,53.7,53.588,50.9544,,DOWN,0
2014-03-26,52.04,53.32,53.34,51.0544,,DOWN,0
2014-03-27,51.45,51.87,52.796,51.1274,,UP,1
2014-03-28,52.16,51.62,52.466,51.2206,,UP,1
2014-03-31,52.17,52.38,52.206,51.316,,UP,1
2014-04-01,53.92,52.44,52.348,51.4344,,UP,1
2014-04-02,54.67,53.92,52.874,51.5644,,UP,1
2014-04-03,54.95,54.77,53.574,51.6932,,DOWN,0
2014-04-04,53.73,54.82,53.888,51.8134,,DOWN,0
2014-04-07,51.62,53.71,53.778,51.909,,DOWN,0
2014-04-08,51.41,51.34,53.276,52.0052,,UP,1
2014-04-09,51.5,51.46,52.642,52.0806,,DOWN,0
2014-04-10,50.68,51.52,51.788,52.1386,,DOWN,0
2014-04-11,50.01,50.53,51.044,52.1504,,DOWN,0
2014-04-14,49.77,50.28,50.674,52.1588,,UP,1
2014-04-15,49.96,49.88,50.384,52.2092,,UP,1
2014-04-16,50.23,50.16,50.13,52.2528,,DOWN,0
2014-04-17,50.15,50.07,50.024,52.3038,,UP,1
2014-04-21,50.63,49.98,50.148,52.3316,,UP,1
2014-04-22,51.0,50.71,50.394,52.3528,,DOWN,0
2014-04-23,50.4,50.89,50.482,52.364,,DOWN,0
2014-04-24,50.24,50.62,50.484,52.371,,DOWN,0
2014-04-25,49.54,49.95,50.362,52.3618,,DOWN,0
2014-04-28,48.82,49.84,50.0,52.3358,,UP,1
2014-04-29,48.9,48.96,49.58,52.3212,,UP,1
2014-04-30,49.35,49.0,49.37,52.306,,UP,1
2014-05-01,51.25,51.0,49.572,52.3478,,DOWN,0
2014-05-02,50.7,51.18,49.804,52.3314,,DOWN,0
2014-05-05,50.06,50.28,50.052,52.2852,,DOWN,0
2014-05-06,49.89,49.95,50.25,52.2258,,UP,1
2014-05-07,49.93,49.89,50.366,52.1332,,DOWN,0
2014-05-08,49.36,49.6,49.988,52.0272,,UP,1
2014-05-09,50.0,49.2,49.848,51.9202,,UP,1
2014-05-12,50.48,50.05,49.932,51.8428,,DOWN,0
2014-05-13,50.48,50.5,50.05,51.7826,,DOWN,0
2014-05-14,49.79,50.3,50.022,51.6984,,DOWN,0
2014-05-15,48.29,49.52,49.808,51.5852,,UP,1
2014-05-16,49.28,48.32,49.664,51.507,,UP,1
2014-05-19,50.21,49.3,49.61,51.4434,,UP,1
2014-05-20,50.5,49.87,49.614,51.3876,,UP,1
2014-05-21,50.71,50.52,49.798,51.3118,,UP,1
2014-05-22,51.49,50.65,50.438,51.256,,UP,1
2014-05-23,52.46,51.73,51.074,51.2332,,UP,1
2014-05-27,52.47,52.49,51.526,51.2166,,UP,1
2014-05-28,52.94,52.62,52.014,51.2162,,UP,1
2014-05-29,53.52,52.94,52.576,51.221,,DOWN,0
2014-05-30,52.39,53.49,52.756,51.2032,,DOWN,0
2014-06-02,52.07,52.77,52.678,51.1612,,UP,1
2014-06-03,52.41,51.3,52.666,51.1332,,UP,1
2014-06-04,53.15,52.27,52.708,51.1268,,UP,1
2014-06-05,54.31,53.2,52.866,51.1488,,UP,1
2014-06-06,55.83,54.43,53.554,51.2246,,UP,1
2014-06-09,56.35,55.97,54.41,51.3226,,UP,1
