ticker,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,ULTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2008-02-28,14.62,15.04,14.552,15.3056,,DOWN,0
2008-02-29,14.01,14.5,14.554,15.2286,,UP,1
2008-03-03,14.75,14.25,14.674,15.1696,,DOWN,0
2008-03-04,14.32,14.57,14.504,15.101,,UP,1
2008-03-05,14.44,14.42,14.428,15.0548,,DOWN,0
2008-03-06,14.3,14.34,14.364,15.0092,,DOWN,0
2008-03-07,13.48,14.09,14.258,14.9428,,DOWN,0
2008-03-10,12.69,13.5,13.846,14.8496,,UP,1
2008-03-11,12.82,13.04,13.546,14.7606,,DOWN,0
2008-03-12,12.22,12.86,13.102,14.663,,DOWN,0
2008-03-13,10.49,12.0,12.34,14.5298,,UP,1
2008-03-14,10.7,10.8,11.784,14.4128,,UP,1
2008-03-17,11.28,10.15,11.502,14.3284,,UP,1
2008-03-18,11.8,11.7,11.298,14.2746,,DOWN,0
2008-03-19,11.5,12.0,11.154,14.2542,,UP,1
2008-03-20,12.78,10.71,11.612,14.2388,,UP,1
2008-03-24,13.99,13.03,12.27,14.2286,,UP,1
2008-03-25,15.02,13.88,13.018,14.2076,,DOWN,0
2008-03-26,14.65,14.89,13.588,14.1846,,DOWN,0
2008-03-27,14.47,14.73,14.182,14.153,,DOWN,0
2008-03-28,14.02,14.4,14.43,14.1212,,UP,1
2008-03-31,14.04,14.16,14.44,14.0838,,UP,1
2008-04-01,14.32,14.0,14.3,14.075,,DOWN,0
2008-04-02,13.98,14.35,14.166,14.1046,,UP,1
2008-04-03,14.07,13.81,14.086,14.1344,,DOWN,0
2008-04-04,13.82,14.11,14.046,14.1258,,DOWN,0
2008-04-07,13.52,13.89,13.942,14.1102,,UP,1
2008-04-08,14.18,13.32,13.914,14.09,,DOWN,0
2008-04-09,13.73,14.25,13.864,14.0546,,UP,1
2008-04-10,14.91,13.76,14.032,14.0258,,DOWN,0
2008-04-11,14.3,14.85,14.128,14.0008,,UP,1
2008-04-14,14.41,14.36,14.306,13.9842,,DOWN,0
2008-04-15,14.22,14.42,14.314,13.9736,,DOWN,0
2008-04-16,14.12,14.28,14.392,13.9754,,DOWN,0
2008-04-17,14.0,14.0,14.21,13.9754,,UP,1
2008-04-18,14.1,14.18,14.17,13.9734,,DOWN,0
2008-04-21,14.04,14.06,14.096,13.9358,,DOWN,0
2008-04-22,13.27,13.89,13.906,13.8902,,UP,1
2008-04-23,13.29,13.4,13.74,13.8542,,UP,1
2008-04-24,13.4,13.21,13.62,13.824,,UP,1
2008-04-25,13.88,13.4,13.576,13.803,,DOWN,0
2008-04-28,13.81,13.91,13.53,13.7834,,UP,1
2008-04-29,14.17,13.74,13.71,13.771,,DOWN,0
2008-04-30,14.15,14.24,13.882,13.7584,,UP,1
2008-05-01,14.96,14.15,14.194,13.7592,,DOWN,0
2008-05-02,14.85,15.04,14.388,13.7606,,DOWN,0
2008-05-05,14.55,14.74,14.536,13.7716,,DOWN,0
2008-05-06,14.37,14.43,14.576,13.776,,UP,1
2008-05-07,14.5,14.41,14.646,13.7626,,DOWN,0
2008-05-08,14.35,14.53,14.524,13.7532,,DOWN,0
2008-05-09,14.21,14.07,14.396,13.745,,UP,1
2008-05-12,14.27,14.28,14.34,13.7502,,UP,1
2008-05-13,14.6,14.28,14.386,13.7472,,UP,1
2008-05-14,14.69,14.59,14.424,13.7546,,UP,1
2008-05-15,14.92,14.67,14.538,13.7642,,DOWN,0
2008-05-16,14.62,14.91,14.62,13.7706,,DOWN,0
2008-05-19,14.16,14.59,14.598,13.7842,,DOWN,0
2008-05-20,13.92,14.05,14.462,13.8088,,UP,1
2008-05-21,14.34,13.95,14.392,13.8392,,DOWN,0
2008-05-22,14.29,14.32,14.266,13.8806,,DOWN,0
2008-05-23,13.76,14.19,14.094,13.946,,UP,1
2008-05-27,14.37,13.75,14.136,14.0194,,UP,1
2008-05-28,14.99,14.38,14.35,14.0936,,DOWN,0
2008-05-29,14.9,15.0,14.462,14.1556,,DOWN,0
2008-05-30,14.26,14.98,14.456,14.2108,,UP,1
2008-06-02,14.29,14.39,14.562,14.241,,DOWN,0
2008-06-03,13.98,14.3,14.484,14.2408,,DOWN,0
2008-06-04,13.33,13.77,14.152,14.207,,UP,1
2008-06-05,14.31,14.83,14.034,14.2002,,DOWN,0
2008-06-06,13.84,14.18,13.95,14.1876,,DOWN,0
2008-06-09,13.35,13.85,13.762,14.1742,,UP,1
2008-06-10,14.02,13.29,13.77,14.1738,,DOWN,0
2008-06-11,13.08,13.97,13.72,14.149,,DOWN,0
2008-06-12,12.58,13.18,13.374,14.121,,UP,1
2008-06-13,12.95,12.69,13.196,14.0986,,UP,1
2008-06-16,13.45,12.93,13.216,14.0912,,DOWN,0
2008-06-17,13.05,13.48,13.022,14.0818,,DOWN,0
2008-06-18,12.22,12.91,12.85,14.0426,,UP,1
2008-06-19,12.23,12.22,12.78,14.0126,,UP,1
2008-06-20,12.66,12.43,12.722,13.9676,,DOWN,0
2008-06-23,11.58,12.71,12.348,13.9132,,UP,1
2008-06-24,11.62,11.52,12.062,13.8574,,DOWN,0
2008-06-25,11.29,11.63,11.876,13.7988,,DOWN,0
