ticker,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,LNC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,33.5625,34.4375,45.35,35.35,37.962,DOWN,0
2000-02-10,33.0625,33.0625,45.2741,34.4625,37.7895,DOWN,0
2000-02-11,32.25,32.8125,45.193,33.675,37.6082,DOWN,0
2000-02-14,32.25,32.75,45.1141,33.275,37.4295,UP,1
2000-02-15,32.625,32.4375,45.0347,32.75,37.247,DOWN,0
2000-02-16,31.5,30.75,44.951,32.3375,37.0695,DOWN,0
2000-02-17,30.9375,31.625,44.861,31.9125,36.8607,DOWN,0
2000-02-18,30.375,30.875,44.768,31.5375,36.6895,DOWN,0
2000-02-22,29.75,29.5,44.6649,31.0375,36.4845,DOWN,0
2000-02-23,29.6875,30.0,44.5603,30.45,36.272,DOWN,0
2000-02-24,29.5625,29.5,44.4575,30.0625,36.0825,DOWN,0
2000-02-25,28.375,29.5625,44.3377,29.55,35.8787,DOWN,0
2000-02-28,28.25,27.5,44.2169,29.125,35.6837,DOWN,0
2000-02-29,27.625,28.125,44.1005,28.7,35.4662,UP,1
2000-03-01,28.5,27.8125,43.9856,28.4625,35.2975,DOWN,0
2000-03-02,27.125,28.5,43.8652,27.975,35.0925,DOWN,0
2000-03-03,27.0625,27.625,43.7456,27.7125,34.8912,DOWN,0
2000-03-06,26.5,27.25,43.621,27.3625,34.6787,DOWN,0
2000-03-07,24.5625,26.25,43.4891,26.75,34.4062,DOWN,0
2000-03-08,24.1875,25.0,43.3617,25.8875,34.115,UP,1
2000-03-09,25.0,25.0,43.2325,25.4625,33.8325,UP,1
2000-03-10,25.0625,25.25,43.1016,25.0625,33.5475,DOWN,0
2000-03-13,24.25,25.25,42.9713,24.6125,33.24,DOWN,0
2000-03-14,23.1875,24.25,42.8328,24.3375,32.9037,UP,1
2000-03-15,25.0625,23.3125,42.7121,24.5125,32.6237,UP,1
2000-03-16,28.25,26.375,42.6033,25.1625,32.43,DOWN,0
2000-03-17,28.0,28.25,42.4874,25.75,32.2575,UP,1
2000-03-20,28.25,28.3125,42.3721,26.55,32.0825,UP,1
2000-03-21,29.3125,28.625,42.2602,27.775,31.91,DOWN,0
2000-03-22,29.125,29.0,42.1539,28.5875,31.7325,UP,1
2000-03-23,31.125,29.5,42.0581,29.1625,31.6062,UP,1
2000-03-24,32.0625,31.0625,41.9674,29.975,31.5025,DOWN,0
2000-03-27,30.5,32.3125,41.8674,30.425,31.3225,DOWN,0
2000-03-28,30.1875,30.0,41.7619,30.6,31.1487,UP,1
2000-03-29,31.3125,31.0,41.6596,31.0375,31.0162,UP,1
2000-03-30,35.0,32.25,41.5738,31.8125,30.9837,DOWN,0
2000-03-31,33.5,35.0,41.4781,32.1,30.9587,DOWN,0
2000-04-03,33.0625,33.6875,41.3821,32.6125,30.9037,UP,1
2000-04-04,33.125,34.25,41.2846,33.2,30.8675,DOWN,0
2000-04-05,32.875,33.0625,41.1902,33.5125,30.8075,DOWN,0
2000-04-06,31.4375,32.125,41.0855,32.8,30.7112,DOWN,0
2000-04-07,30.8125,32.0,40.9811,32.2625,30.6062,UP,1
2000-04-10,30.9375,31.0625,40.8811,31.8375,30.5087,UP,1
2000-04-11,31.6875,31.75,40.7814,31.55,30.4037,UP,1
2000-04-12,32.875,31.625,40.6858,31.55,30.3075,UP,1
2000-04-13,34.6875,34.625,40.5977,32.2,30.2325,DOWN,0
2000-04-14,31.4375,33.75,40.4864,32.325,30.1112,DOWN,0
2000-04-17,31.4375,31.75,40.3714,32.425,30.0162,UP,1
2000-04-18,31.8125,31.5,40.2586,32.45,29.9675,UP,1
2000-04-19,32.1875,32.375,40.1442,32.3125,29.9062,UP,1
2000-04-20,33.25,32.75,40.0286,32.025,29.9,UP,1
2000-04-24,34.5625,32.8125,39.9164,32.65,29.93,DOWN,0
2000-04-25,33.4375,34.625,39.7971,33.05,29.9537,DOWN,0
2000-04-26,31.8125,34.5,39.6755,33.05,29.945,DOWN,0
2000-04-27,31.0,31.0,39.5524,32.8125,29.9125,UP,1
2000-04-28,34.8125,31.25,39.4442,33.125,29.9787,UP,1
2000-05-01,34.9375,35.8125,39.3439,33.2,30.0587,UP,1
2000-05-02,35.125,33.0,39.248,33.5375,30.1537,DOWN,0
2000-05-03,32.9375,34.0625,39.1452,33.7625,30.2175,UP,1
2000-05-04,33.125,32.9375,39.0552,34.1875,30.2862,UP,1
2000-05-05,33.5,32.625,38.9589,33.925,30.365,DOWN,0
2000-05-08,33.375,32.5,38.8602,33.6125,30.465,UP,1
2000-05-09,33.4375,33.375,38.7617,33.275,30.5687,UP,1
2000-05-10,33.75,33.375,38.6677,33.4375,30.6912,UP,1
2000-05-11,33.875,33.625,38.5777,33.5875,30.7987,UP,1
2000-05-12,35.25,33.625,38.4996,33.9375,30.9612,UP,1
2000-05-15,36.375,35.0625,38.4314,34.5375,31.1475,DOWN,0
2000-05-16,35.5625,36.5,38.3536,34.9625,31.3287,DOWN,0
2000-05-17,35.1875,35.3125,38.2802,35.25,31.5412,UP,1
2000-05-18,35.25,35.1875,38.2092,35.525,31.7625,DOWN,0
2000-05-19,34.0,34.25,38.1296,35.275,31.9425,UP,1
2000-05-22,35.25,34.5,38.0658,35.05,32.1462,UP,1
2000-05-23,36.375,35.0,38.0042,35.2125,32.3887,UP,1
2000-05-24,37.8125,37.5,37.9546,35.7375,32.6813,DOWN,0
2000-05-25,37.8125,38.0,37.9036,36.25,32.9362,DOWN,0
2000-05-26,37.6875,37.9375,37.8539,36.9875,33.125,UP,1
2000-05-30,38.375,37.625,37.8058,37.6125,33.3325,UP,1
2000-05-31,38.75,38.375,37.7599,38.0875,33.5425,UP,1
2000-06-01,39.625,38.5,37.7111,38.45,33.7487,DOWN,0
2000-06-02,39.0,39.6875,37.6633,38.6875,33.9462,DOWN,0
2000-06-05,37.9375,38.75,37.6111,38.7375,34.0825,DOWN,0
2000-06-06,37.5781,37.75,37.5615,38.5781,34.1928,UP,1
2000-06-07,39.4375,37.5625,37.5165,38.7156,34.3716,DOWN,0
2000-06-08,38.375,39.4375,37.464,38.4656,34.5353,DOWN,0
2000-06-09,38.0625,38.375,37.4009,38.2781,34.6703,DOWN,0
2000-06-12,38.0625,38.3125,37.3399,38.3031,34.7316,UP,1
2000-06-13,38.9375,38.125,37.2865,38.575,34.8403,UP,1
2000-06-14,39.0625,38.5,37.2428,38.5,34.9603,DOWN,0
2000-06-15,38.0,39.25,37.1984,38.425,35.0578,DOWN,0
2000-06-16,36.4375,37.5625,37.1443,38.1,35.1291,UP,1
2000-06-19,37.1875,35.9375,37.0959,37.925,35.2441,DOWN,0
2000-06-20,35.5625,36.875,37.034,37.25,35.3391,UP,1
2000-06-21,36.25,35.875,36.9799,36.6875,35.4453,UP,1
2000-06-22,36.5625,36.5,36.9293,36.4,35.5428,UP,1
2000-06-23,38.4375,38.0,36.8928,36.8,35.6541,DOWN,0
2000-06-26,38.0625,38.4375,36.8556,36.975,35.7216,UP,1
2000-06-27,38.25,38.0625,36.8271,37.5125,35.8578,DOWN,0
2000-06-28,36.7188,38.25,36.7913,37.6063,35.9634,DOWN,0
2000-06-29,36.375,35.75,36.7548,37.5688,36.0547,DOWN,0
2000-06-30,36.125,36.125,36.7192,37.1063,36.1334,UP,1
2000-07-03,36.9375,36.125,36.6788,36.8813,36.2072,UP,1
2000-07-05,37.1875,36.875,36.6617,36.6688,36.2597,UP,1
2000-07-06,38.0,37.9375,36.652,36.925,36.3509,UP,1
2000-07-07,41.0,38.5,36.6604,37.85,36.5347,DOWN,0
2000-07-10,39.875,40.5,36.6604,38.6,36.7122,UP,1
2000-07-11,41.5,39.125,36.6707,39.5125,36.8459,UP,1
2000-07-12,43.375,44.0,36.6876,40.75,37.0147,DOWN,0
2000-07-13,42.5,43.5,36.6988,41.65,37.1622,UP,1
2000-07-14,43.3125,42.5,36.7279,42.1125,37.3697,DOWN,0
2000-07-17,42.2813,42.5,36.7515,42.5938,37.5528,UP,1
2000-07-18,42.375,42.1875,36.7737,42.7688,37.7303,UP,1
2000-07-19,42.6875,41.9375,36.7921,42.6313,37.9166,UP,1
2000-07-20,45.0,42.6875,36.8218,43.1313,38.1478,DOWN,0
2000-07-21,43.3125,44.25,36.8424,43.1313,38.3391,UP,1
2000-07-24,43.5625,42.875,36.8674,43.3875,38.5328,UP,1
2000-07-25,45.3125,43.75,36.8965,43.975,38.7341,DOWN,0
2000-07-26,44.9375,45.25,36.9287,44.425,38.9053,UP,1
2000-07-27,45.5625,46.0,36.9653,44.5375,39.1053,DOWN,0
2000-07-28,44.75,45.375,37.0065,44.825,39.2966,DOWN,0
2000-07-31,43.625,44.9375,37.0284,44.8375,39.4641,UP,1
2000-08-01,44.375,43.625,37.0553,44.65,39.6716,UP,1
2000-08-02,44.4375,43.375,37.0668,44.55,39.8553,UP,1
2000-08-03,44.8125,44.625,37.0806,44.4,40.0241,UP,1
2000-08-04,45.75,45.25,37.1009,44.6,40.1828,UP,1
2000-08-07,46.0,45.5,37.1224,45.075,40.3466,UP,1
2000-08-08,46.0625,45.9375,37.1168,45.4125,40.5141,DOWN,0
2000-08-09,45.8125,45.5,37.1221,45.6875,40.6628,DOWN,0
2000-08-10,45.5,45.875,37.1268,45.825,40.7978,UP,1
2000-08-11,47.9375,45.5,37.1403,46.2625,40.9641,UP,1
2000-08-14,48.4375,47.6875,37.1459,46.75,41.1528,DOWN,0
2000-08-15,48.0,48.125,37.1553,47.1375,41.3541,DOWN,0
2000-08-16,46.9375,47.5,37.1603,47.3625,41.5413,UP,1
