ticker,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,BIIB US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,37.765,39.761,18.2561,35.6351,29.5309,DOWN,0
2000-02-10,35.981,37.88,18.3959,36.4986,29.8613,UP,1
2000-02-11,36.479,36.019,18.5382,37.0705,30.2106,DOWN,0
2000-02-14,36.479,36.537,18.6817,37.3161,30.5558,DOWN,0
2000-02-15,35.731,36.518,18.8181,36.4871,30.8811,UP,1
2000-02-16,37.42,35.616,18.9621,36.418,31.281,UP,1
2000-02-17,40.413,37.727,19.1207,37.3046,31.7408,UP,1
2000-02-18,40.49,41.373,19.2797,38.1067,32.186,DOWN,0
2000-02-22,38.341,40.375,19.4261,38.479,32.6043,UP,1
2000-02-23,42.658,39.934,19.5955,39.8645,33.0925,DOWN,0
2000-02-24,42.601,42.735,19.7648,40.9007,33.5549,DOWN,0
2000-02-25,42.198,43.676,19.9316,41.2576,34.036,DOWN,0
2000-02-28,40.989,42.985,20.0904,41.3574,34.4797,UP,1
2000-02-29,43.253,41.085,20.261,42.3399,34.9809,UP,1
2000-03-01,45.076,43.138,20.4428,42.8235,35.5079,DOWN,0
2000-03-02,42.697,46.017,20.6146,42.8427,35.9734,UP,1
2000-03-03,46.055,43.58,20.8032,43.6141,36.4512,UP,1
2000-03-06,52.599,45.441,21.024,45.9361,36.9747,DOWN,0
2000-03-07,48.684,52.272,21.2252,47.0222,37.3631,DOWN,0
2000-03-08,46.861,49.049,21.4195,47.3791,37.6993,DOWN,0
2000-03-09,43.867,48.492,21.5993,47.6132,37.978,DOWN,0
2000-03-10,39.703,44.482,21.7587,46.3429,38.1841,DOWN,0
2000-03-13,35.539,38.686,21.8977,42.931,38.3178,DOWN,0
2000-03-14,32.239,36.786,22.0201,39.6419,38.3593,UP,1
2000-03-15,33.332,32.699,22.1423,36.9362,38.4533,UP,1
2000-03-16,36.806,34.004,22.2847,35.5238,38.6555,DOWN,0
2000-03-17,36.518,35.923,22.425,34.8867,38.8148,DOWN,0
2000-03-20,32.699,36.652,22.5461,34.3187,38.8724,UP,1
2000-03-21,35.491,32.239,22.6781,34.9692,38.9171,UP,1
2000-03-22,40.298,36.383,22.8343,36.3624,38.9892,DOWN,0
2000-03-23,38.725,40.989,22.983,36.7462,39.0875,DOWN,0
2000-03-24,36.537,39.147,23.1225,36.75,39.1696,DOWN,0
2000-03-27,36.057,36.383,23.2582,37.4216,39.1777,DOWN,0
2000-03-28,34.848,35.846,23.388,37.2931,39.1654,DOWN,0
2000-03-29,29.667,35.496,23.4914,35.1669,39.1013,DOWN,0
2000-03-30,26.635,29.821,23.5758,32.749,38.891,UP,1
2000-03-31,30.166,27.633,23.6766,31.4748,38.7409,DOWN,0
2000-04-03,28.9,30.511,23.7696,30.0432,38.4116,UP,1
2000-04-04,29.629,28.708,23.8648,28.9993,38.161,UP,1
2000-04-05,33.774,29.053,23.9811,29.8206,38.0021,DOWN,0
2000-04-06,32.872,35.309,24.0944,31.068,37.7791,DOWN,0
2000-04-07,31.106,33.467,24.1988,31.256,37.6015,DOWN,0
2000-04-10,29.744,31.394,24.296,31.4249,37.4088,DOWN,0
2000-04-11,27.153,29.015,24.3781,30.9298,37.177,DOWN,0
2000-04-12,24.697,23.757,24.4436,29.1145,36.8546,DOWN,0
2000-04-13,23.795,24.659,24.5035,27.2991,36.6796,DOWN,0
2000-04-14,22.106,23.478,24.5553,25.4991,36.4885,DOWN,0
2000-04-17,19.861,20.61,24.5946,23.5226,36.2133,UP,1
2000-04-18,22.183,20.494,24.6421,22.5286,35.9519,UP,1
2000-04-19,23.757,22.836,24.697,22.3405,35.6295,DOWN,0
2000-04-20,19.382,21.32,24.7306,21.4578,35.2619,DOWN,0
