ticker,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,ICE US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-03-20,14.234,13.81,13.7588,10.8801,,DOWN,0
2006-03-21,14.05,14.34,13.824,10.9998,,DOWN,0
2006-03-22,13.598,13.706,13.772,11.0974,,DOWN,0
2006-03-23,13.41,13.55,13.7824,11.1815,,UP,1
2006-03-24,13.44,13.2,13.7464,11.2626,,UP,1
2006-03-27,13.97,13.57,13.6936,11.3662,,DOWN,0
2006-03-28,13.72,13.97,13.6276,11.4624,,DOWN,0
2006-03-29,13.55,13.72,13.618,11.5479,,UP,1
2006-03-30,14.264,13.9,13.7888,11.65,,DOWN,0
2006-03-31,13.81,14.35,13.8628,11.7364,,DOWN,0
2006-04-03,12.62,13.99,13.5928,11.8036,,UP,1
2006-04-04,13.0,12.81,13.4488,11.8726,,DOWN,0
2006-04-05,12.566,13.15,13.252,11.9128,,DOWN,0
2006-04-06,11.96,12.566,12.7912,11.94,,DOWN,0
2006-04-07,10.6,11.6,12.1492,11.9422,,UP,1
2006-04-10,10.912,10.65,11.8076,11.9564,,UP,1
2006-04-11,11.322,10.97,11.472,11.9863,,UP,1
2006-04-12,11.528,11.372,11.2644,12.0136,,UP,1
2006-04-13,11.75,11.528,11.2224,12.0261,,DOWN,0
2006-04-17,11.574,11.85,11.4172,12.0368,,UP,1
2006-04-18,13.232,11.8,11.8812,12.0794,,UP,1
2006-04-19,13.856,13.252,12.388,12.1336,,UP,1
2006-04-20,14.0,13.906,12.8824,12.1998,,DOWN,0
2006-04-21,13.8,14.0,13.2924,12.2619,,DOWN,0
2006-04-24,13.45,13.62,13.6676,12.319,,UP,1
2006-04-25,13.962,13.3,13.8136,12.3913,,UP,1
2006-04-26,14.062,13.95,13.8548,12.4616,,UP,1
2006-04-27,14.32,13.962,13.9188,12.54,,DOWN,0
2006-04-28,14.262,14.2,14.0112,12.6174,,DOWN,0
2006-05-01,13.392,14.264,13.9996,12.6789,,UP,1
2006-05-02,13.54,13.892,13.9152,12.7443,,UP,1
2006-05-03,14.028,13.5,13.9084,12.8263,,DOWN,0
2006-05-04,13.802,13.976,13.8048,12.9054,,UP,1
2006-05-05,14.842,13.804,13.9208,13.0026,,UP,1
2006-05-08,15.77,14.898,14.3964,13.1,,DOWN,0
2006-05-09,15.442,15.61,14.7768,13.1815,,UP,1
2006-05-10,15.562,15.402,15.0836,13.2737,,UP,1
2006-05-11,15.834,15.8,15.49,13.3634,,DOWN,0
2006-05-12,15.116,15.876,15.5448,13.4282,,UP,1
2006-05-15,15.282,14.99,15.4472,13.4915,,DOWN,0
2006-05-16,15.156,15.29,15.39,13.5494,,DOWN,0
2006-05-17,14.0,15.0,15.0776,13.5894,,DOWN,0
2006-05-18,13.588,14.048,14.6284,13.6244,,UP,1
2006-05-19,14.004,13.788,14.406,13.6485,,DOWN,0
2006-05-22,11.926,13.588,13.7348,13.6184,,DOWN,0
2006-05-23,11.788,12.126,13.0612,13.5691,,DOWN,0
2006-05-24,10.862,11.822,12.4336,13.5118,,UP,1
2006-05-25,11.2,10.998,11.956,13.4587,,UP,1
2006-05-26,11.488,11.418,11.4528,13.4213,,DOWN,0
2006-05-30,10.628,11.408,11.1932,13.3614,,UP,1
2006-05-31,11.14,10.722,11.0636,13.2996,,UP,1
2006-06-01,11.148,11.05,11.1208,13.2415,,DOWN,0
2006-06-02,10.954,11.34,11.0716,13.1886,,DOWN,0
2006-06-05,10.316,11.18,10.8372,13.1268,,DOWN,0
2006-06-06,10.072,10.32,10.726,13.0594,,UP,1
2006-06-07,10.138,10.098,10.5256,12.9828,,DOWN,0
2006-06-08,9.994,9.95,10.2948,12.9082,,UP,1
2006-06-09,10.168,10.25,10.1376,12.8406,,DOWN,0
2006-06-12,9.8,10.218,10.0344,12.7513,,DOWN,0
2006-06-13,9.2,9.8,9.86,12.6591,,UP,1
2006-06-14,9.4,9.24,9.7124,12.5947,,UP,1
2006-06-15,9.802,9.5,9.674,12.5308,,UP,1
2006-06-16,10.118,9.648,9.664,12.4818,,DOWN,0
2006-06-19,10.032,10.31,9.7104,12.4432,,DOWN,0
2006-06-20,9.922,10.032,9.8548,12.4297,,UP,1
2006-06-21,10.742,9.96,10.1232,12.4263,,DOWN,0
2006-06-22,10.602,10.8,10.2832,12.4119,,UP,1
2006-06-23,10.888,10.5,10.4372,12.3991,,UP,1
2006-06-26,10.95,10.938,10.6208,12.3831,,DOWN,0
2006-06-27,10.71,10.958,10.7784,12.3658,,DOWN,0
2006-06-28,10.41,10.6,10.712,12.3094,,UP,1
2006-06-29,11.07,10.46,10.8056,12.2536,,UP,1
2006-06-30,11.588,11.18,10.9456,12.2054,,UP,1
2006-07-03,11.868,11.538,11.1292,12.1668,,DOWN,0
2006-07-05,11.598,11.6,11.3068,12.1297,,DOWN,0
2006-07-06,11.514,11.598,11.5276,12.0808,,DOWN,0
2006-07-07,10.974,11.314,11.5084,12.019,,DOWN,0
2006-07-10,10.562,10.974,11.3032,11.9438,,UP,1
2006-07-11,11.1,10.562,11.1496,11.8806,,UP,1
2006-07-12,11.7,11.09,11.17,11.8468,,UP,1
2006-07-13,11.96,11.7,11.2592,11.8152,,DOWN,0
2006-07-14,11.922,11.912,11.4488,11.773,,DOWN,0
2006-07-17,11.622,11.922,11.6608,11.7294,,DOWN,0
2006-07-18,11.26,11.442,11.6928,11.6578,,UP,1
2006-07-19,11.756,11.38,11.704,11.5775,,DOWN,0
2006-07-20,11.586,11.8,11.6292,11.5004,,UP,1
2006-07-21,11.62,11.56,11.5688,11.4216,,UP,1
2006-07-24,12.15,11.77,11.6744,11.3479,,DOWN,0
2006-07-25,12.03,12.294,11.8284,11.2862,,DOWN,0
2006-07-26,11.44,12.028,11.7652,11.2093,,DOWN,0
2006-07-27,11.4,11.48,11.728,11.1342,,UP,1
2006-07-28,11.794,11.76,11.7628,11.0901,,UP,1
2006-07-31,11.92,11.76,11.7168,11.0567,,DOWN,0
2006-08-01,11.824,11.82,11.6756,11.0131,,UP,1
2006-08-02,11.88,11.824,11.7636,11.0122,,DOWN,0
2006-08-03,11.718,11.83,11.8272,11.0108,,UP,1
2006-08-04,11.892,11.85,11.8468,11.0314,,DOWN,0
2006-08-07,11.75,11.792,11.8128,11.0424,,UP,1
2006-08-08,11.94,11.79,11.836,11.0514,,UP,1
2006-08-09,11.962,11.98,11.8524,11.0781,,UP,1
2006-08-10,12.298,11.92,11.9684,11.1013,,DOWN,0
2006-08-11,12.054,12.458,12.0008,11.1194,,DOWN,0
2006-08-14,12.008,12.104,12.0524,11.1405,,UP,1
2006-08-15,12.17,12.0,12.0984,11.1776,,UP,1
2006-08-16,12.504,12.07,12.2068,11.2262,,UP,1
2006-08-17,12.768,12.49,12.3008,11.2788,,UP,1
2006-08-18,12.872,12.724,12.4644,11.3364,,UP,1
2006-08-21,12.93,12.87,12.6488,11.3916,,DOWN,0
2006-08-22,12.484,12.932,12.7116,11.4453,,UP,1
2006-08-23,12.506,12.6,12.712,11.5114,,DOWN,0
2006-08-24,12.158,12.506,12.59,11.5666,,UP,1
2006-08-25,12.422,12.158,12.5,11.619,,DOWN,0
2006-08-28,12.276,12.422,12.3692,11.6621,,UP,1
2006-08-29,12.39,12.25,12.3504,11.7093,,UP,1
2006-08-30,12.718,12.386,12.3928,11.7652,,DOWN,0
2006-08-31,12.652,12.694,12.4916,11.8034,10.9841,UP,1
2006-09-01,12.73,12.702,12.5532,11.846,11.0218,UP,1
2006-09-05,13.044,12.8,12.7068,11.8891,11.0477,DOWN,0
2006-09-06,13.042,12.938,12.8372,11.9309,11.0777,DOWN,0
2006-09-07,12.822,13.0,12.858,11.9732,11.1068,DOWN,0
2006-09-08,12.814,12.842,12.8904,12.0212,11.135,DOWN,0
2006-09-11,12.682,12.7,12.8808,12.0535,11.1634,DOWN,0
2006-09-12,12.656,12.58,12.8032,12.0748,11.1928,UP,1
2006-09-13,12.944,12.78,12.7836,12.0964,11.2233,DOWN,0
2006-09-14,12.926,12.944,12.8044,12.1229,11.2547,UP,1
2006-09-15,14.87,13.6,13.2156,12.19,11.2971,UP,1
2006-09-18,15.23,15.012,13.7252,12.2752,11.3409,DOWN,0
2006-09-19,14.794,15.194,14.1528,12.3598,11.3799,DOWN,0
2006-09-20,14.49,14.81,14.462,12.4276,11.4162,UP,1
2006-09-21,15.376,14.48,14.952,12.5011,11.4563,DOWN,0
2006-09-22,14.738,15.04,14.9256,12.5567,11.4934,DOWN,0
2006-09-25,13.894,14.738,14.6584,12.5961,11.5274,UP,1
2006-09-26,14.002,14.0,14.5,12.6437,11.5614,UP,1
2006-09-27,14.318,14.078,14.4656,12.7049,11.5968,UP,1
2006-09-28,14.432,14.314,14.2768,12.7584,11.6325,UP,1
2006-09-29,15.014,14.44,14.332,12.827,11.672,DOWN,0
2006-10-02,14.89,14.43,14.5312,12.8924,11.7115,UP,1
2006-10-03,15.442,15.11,14.8192,12.9582,11.7547,UP,1
2006-10-04,16.25,15.46,15.2056,13.0426,11.8017,UP,1
2006-10-05,16.812,16.36,15.6816,13.15,11.8514,UP,1
2006-10-06,17.08,16.63,16.0948,13.2636,11.9019,DOWN,0
2006-10-09,16.984,16.7,16.5136,13.3674,11.952,UP,1
2006-10-10,17.466,16.8,16.9184,13.4784,12.0046,UP,1
2006-10-11,17.56,17.4,17.1804,13.5931,12.0582,DOWN,0
2006-10-12,16.78,17.56,17.174,13.6911,12.1068,DOWN,0
2006-10-13,16.594,16.86,17.0768,13.7886,12.1547,DOWN,0
2006-10-16,15.46,16.452,16.772,13.86,12.1959,UP,1
2006-10-17,16.334,16.28,16.5456,13.9516,12.2412,UP,1
2006-10-18,16.376,16.44,16.3088,14.0404,12.2852,DOWN,0
2006-10-19,16.31,16.276,16.2148,14.1273,12.3299,UP,1
2006-10-20,16.356,16.312,16.1672,14.2085,12.3724,UP,1
2006-10-23,16.482,16.358,16.3716,14.297,12.4144,UP,1
2006-10-24,16.764,16.498,16.4576,14.3922,12.4547,DOWN,0
2006-10-25,16.708,16.814,16.524,14.4829,12.4922,UP,1
2006-10-26,17.134,16.67,16.6888,14.5755,12.5309,DOWN,0
2006-10-27,16.892,17.084,16.796,14.658,12.5714,DOWN,0
2006-10-30,16.428,16.77,16.7852,14.7291,12.609,UP,1
2006-10-31,16.884,17.0,16.8092,14.8082,12.6471,UP,1
2006-11-01,16.98,16.98,16.8636,14.8981,12.6862,DOWN,0
2006-11-02,16.66,17.332,16.7688,14.9812,12.722,DOWN,0
2006-11-03,16.35,16.658,16.6604,15.065,12.7575,UP,1
2006-11-06,16.98,16.35,16.7708,15.1562,12.7946,UP,1
2006-11-07,17.424,17.218,16.8788,15.2592,12.829,UP,1
2006-11-08,17.584,17.34,16.9996,15.363,12.8639,DOWN,0
2006-11-09,16.7,17.694,17.0076,15.4427,12.8949,UP,1
2006-11-10,17.022,16.702,17.142,15.5301,12.929,UP,1
2006-11-13,17.7,16.916,17.286,15.6295,12.9684,UP,1
2006-11-14,19.31,17.95,17.6632,15.7548,13.0141,DOWN,0
2006-11-15,19.13,19.28,17.9724,15.8766,13.0542,DOWN,0
2006-11-16,18.92,19.17,18.4164,15.9985,13.0936,UP,1
2006-11-17,20.24,18.782,19.06,16.147,13.1392,DOWN,0
2006-11-20,19.536,20.262,19.4272,16.2841,13.1812,UP,1
2006-11-21,20.224,19.52,19.61,16.4355,13.2289,DOWN,0
2006-11-22,20.224,20.34,19.8288,16.5811,13.2765,UP,1
2006-11-24,20.82,20.174,20.2088,16.739,13.3276,DOWN,0
2006-11-27,20.124,20.864,20.1856,16.844,13.3765,UP,1
2006-11-28,20.162,20.124,20.3108,16.9427,13.4246,DOWN,0
2006-11-29,19.42,20.462,20.15,17.0352,13.4697,UP,1
2006-11-30,19.65,19.5,20.0352,17.1384,13.516,DOWN,0
2006-12-01,19.016,19.638,19.6744,17.2112,13.5595,UP,1
2006-12-04,19.8,18.9,19.6096,17.3124,13.6071,UP,1
2006-12-05,21.26,20.196,19.8292,17.4598,13.6638,DOWN,0
2006-12-06,21.0,21.19,20.1452,17.5997,13.7196,DOWN,0
2006-12-07,20.968,21.0,20.4088,17.7327,13.7745,UP,1
2006-12-08,21.62,20.9,20.9296,17.8765,13.8281,UP,1
2006-12-11,22.642,22.3,21.498,18.029,13.8845,DOWN,0
2006-12-12,21.998,22.7,21.6456,18.1712,13.9397,DOWN,0
2006-12-13,21.44,22.3,21.7336,18.2912,13.9901,DOWN,0
2006-12-14,20.762,21.494,21.6924,18.3814,14.0346,UP,1
2006-12-15,21.268,20.998,21.622,18.4705,14.0803,UP,1
2006-12-18,21.518,21.3,21.3972,18.5593,14.1266,UP,1
2006-12-19,21.76,21.01,21.3496,18.6548,14.1754,UP,1
2006-12-20,22.0,21.898,21.4616,18.7455,14.2262,DOWN,0
2006-12-21,21.322,22.0,21.5736,18.8207,14.2688,DOWN,0
2006-12-22,20.846,21.202,21.4892,18.902,14.3059,UP,1
2006-12-26,21.092,20.784,21.404,18.992,14.3401,UP,1
2006-12-27,21.39,21.12,21.33,19.1106,14.3784,UP,1
2006-12-28,21.8,21.2,21.29,19.2199,14.4182,DOWN,0
2006-12-29,21.58,21.62,21.3416,19.324,14.4593,UP,1
2007-01-03,23.144,21.676,21.8012,19.4607,14.5069,UP,1
