ticker,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,ASMLF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2002-02-22,18.7553,18.7553,19.0432,19.2971,,UP,1
2002-03-05,23.0,23.0,19.7477,19.2846,,DOWN,0
2002-03-06,22.9,22.9,20.6434,19.2701,,UP,1
2002-03-08,24.5,24.5,21.8184,19.3126,,DOWN,0
2002-03-25,23.8302,23.8302,22.5971,19.3417,,UP,1
2002-04-01,25.1,25.1,23.866,19.3737,,DOWN,0
2002-04-12,22.11,22.11,23.688,19.3611,,UP,1
2002-04-22,23.25,23.25,23.758,19.3161,,DOWN,0
2002-04-29,22.0134,22.0134,23.2607,19.2513,,UP,1
2002-04-30,22.4093,22.4093,22.9765,19.1595,,DOWN,0
2002-05-06,20.0746,20.0746,21.9715,19.019,,DOWN,0
2002-05-10,19.09,19.09,21.3675,18.8754,,UP,1
2002-05-13,20.45,20.45,20.8075,18.8044,,UP,1
2002-05-16,21.415,21.415,20.6878,18.7327,,DOWN,0
2002-05-21,20.75,20.75,20.3559,18.6977,,DOWN,0
2002-06-05,18.0739,18.0739,19.9558,18.6104,,DOWN,0
2002-06-06,17.9109,17.9109,19.72,18.5707,,DOWN,0
2002-06-18,15.9889,15.9889,18.8277,18.5204,,DOWN,0
2002-07-17,15.3363,15.3363,17.612,18.4022,,DOWN,0
2002-08-13,10.2953,10.2953,15.5211,18.1909,,DOWN,0
2002-09-27,6.0,6.0,13.1063,17.9579,,DOWN,0
2002-10-07,5.05,5.05,10.5341,17.7159,,UP,1
2002-10-15,8.05,8.05,8.9463,17.5539,,UP,1
2002-11-04,10.0,10.0,7.8791,17.4589,,DOWN,0
2002-11-07,9.25,9.25,7.67,17.4229,,DOWN,0
2002-11-14,8.8,8.8,8.23,17.3552,,DOWN,0
2002-11-15,8.8,8.8,8.98,17.2652,,UP,1
2002-12-10,9.482,9.482,9.2664,17.1798,,DOWN,0
2002-12-12,8.9541,8.9541,9.0572,17.0719,,DOWN,0
2002-12-16,8.8105,8.8105,8.9693,16.9831,,DOWN,0
2002-12-18,7.7705,7.7705,8.7634,16.8473,,DOWN,0
2002-12-19,7.7023,7.7023,8.5439,16.7043,,UP,1
2002-12-20,8.35,8.35,8.3175,16.5973,,UP,1
2002-12-23,8.5056,8.5056,8.2278,16.4344,,DOWN,0
2002-12-27,8.2,8.2,8.1057,16.2109,,UP,1
2002-12-30,8.5,8.5,8.2516,16.0403,,UP,1
2003-01-10,9.25,9.25,8.5611,15.8503,,DOWN,0
2003-01-14,9.2273,9.2273,8.7366,15.6765,,DOWN,0
2003-01-15,8.8877,8.8877,8.813,15.5089,,DOWN,0
2003-01-24,7.9044,7.9044,8.7539,15.2848,,DOWN,0
2003-01-29,7.3807,7.3807,8.53,15.0347,,UP,1
2003-01-31,7.7309,7.7309,8.2262,14.8193,,DOWN,0
2003-02-10,7.0369,7.0369,7.7881,14.5976,,UP,1
2003-02-12,7.2328,7.2328,7.4571,14.3643,,UP,1
2003-02-20,7.792,7.792,7.4347,14.1451,,DOWN,0
2003-03-10,6.2721,6.2721,7.2129,13.8931,,UP,1
2003-03-13,6.5,6.5,6.9668,13.6335,,UP,1
2003-03-17,7.4811,7.4811,7.0556,13.4147,,UP,1
2003-03-18,7.6898,7.6898,7.147,13.196,,UP,1
2003-03-19,8.1816,8.1816,7.2249,12.9609,,DOWN,0
2003-03-20,7.8823,7.8823,7.547,12.7434,,UP,1
2003-03-21,8.1973,8.1973,7.8864,12.4474,,DOWN,0
2003-03-25,7.5845,7.5845,7.9071,12.1411,,DOWN,0
2003-03-26,7.5845,7.5845,7.8861,11.8028,,DOWN,0
2003-03-28,6.8611,6.8611,7.622,11.4634,,UP,1
2003-04-07,7.25,7.25,7.4955,11.1064,,DOWN,0
2003-04-08,7.25,7.25,7.306,10.8092,,UP,1
2003-04-09,7.3382,7.3382,7.2568,10.491,,DOWN,0
2003-04-14,6.8006,6.8006,7.1,10.1867,,UP,1
2003-06-18,10.2839,10.2839,7.7845,9.9442,,DOWN,0
