ticker,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,GWW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,48.75,48.375,48.6143,48.05,48.5572,UP,1
2000-02-10,50.125,48.625,48.6099,48.575,48.6172,UP,1
2000-02-11,51.563,50.0,48.6162,49.2875,48.6997,UP,1
2000-02-14,52.813,51.625,48.6293,50.25,48.8109,DOWN,0
2000-02-15,51.0,52.813,48.6283,50.85,48.8759,DOWN,0
2000-02-16,50.563,51.0,48.6302,51.2125,48.9197,DOWN,0
2000-02-17,49.938,50.625,48.629,51.175,48.9397,DOWN,0
2000-02-18,47.625,49.25,48.6183,50.3875,48.9022,DOWN,0
2000-02-22,46.75,47.75,48.5924,49.175,48.8872,UP,1
2000-02-23,47.125,47.0,48.5674,48.4,48.8972,DOWN,0
2000-02-24,45.75,46.5,48.5383,47.4375,48.8275,DOWN,0
2000-02-25,43.313,45.688,48.5002,46.1125,48.7237,UP,1
2000-02-28,43.5,43.438,48.4624,45.2875,48.6375,DOWN,0
2000-02-29,42.813,43.625,48.4265,44.5,48.57,DOWN,0
2000-03-01,42.0,42.375,48.3871,43.475,48.485,DOWN,0
2000-03-02,39.688,41.75,48.3374,42.2625,48.3462,UP,1
2000-03-03,40.563,39.688,48.2855,41.7125,48.2225,DOWN,0
2000-03-06,40.438,41.0,48.2293,41.1,48.1125,DOWN,0
2000-03-07,38.875,40.875,48.1583,40.3125,47.9387,DOWN,0
2000-03-08,37.75,38.25,48.0893,39.4625,47.7487,UP,1
2000-03-09,40.438,37.625,48.0371,39.6125,47.5875,DOWN,0
2000-03-10,39.625,40.438,47.979,39.425,47.42,DOWN,0
2000-03-13,38.813,39.625,47.9127,39.1,47.2362,UP,1
2000-03-14,45.5,40.5,47.8749,40.425,47.19,UP,1
2000-03-15,46.938,45.5,47.8249,42.2625,47.21,UP,1
2000-03-16,51.0,48.0,47.8005,44.375,47.3375,DOWN,0
2000-03-17,50.438,51.063,47.7805,46.5375,47.4412,DOWN,0
2000-03-20,50.25,50.188,47.7537,48.825,47.545,UP,1
2000-03-21,51.875,50.0,47.7237,50.1,47.695,UP,1
2000-03-22,52.875,52.0,47.7065,51.2875,47.8262,UP,1
2000-03-23,55.0,52.875,47.7052,52.0875,47.9562,UP,1
2000-03-24,55.375,55.0,47.709,53.075,48.0612,DOWN,0
2000-03-27,55.0,55.0,47.7071,54.025,48.1212,UP,1
2000-03-28,56.0,55.0,47.708,54.85,48.1287,DOWN,0
2000-03-29,56.0,55.938,47.7102,55.475,48.1562,DOWN,0
2000-03-30,54.5,55.75,47.6955,55.375,48.1487,DOWN,0
2000-03-31,54.25,54.5,47.6765,55.15,48.1412,UP,1
2000-04-03,55.375,54.063,47.6683,55.225,48.1675,DOWN,0
2000-04-04,53.75,55.125,47.6493,54.775,48.1587,DOWN,0
2000-04-05,50.75,53.25,47.6215,53.725,48.145,UP,1
2000-04-06,51.563,50.875,47.6024,53.1375,48.1687,DOWN,0
2000-04-07,49.438,51.688,47.5771,52.175,48.1525,DOWN,0
2000-04-10,48.688,50.0,47.5524,50.8375,48.1637,UP,1
2000-04-11,49.938,48.875,47.5415,50.075,48.2037,UP,1
2000-04-12,50.563,49.563,47.5218,50.0375,48.2762,DOWN,0
2000-04-13,50.125,50.625,47.5033,49.75,48.33,DOWN,0
2000-04-14,45.25,49.875,47.4565,48.9125,48.285,UP,1
2000-04-17,46.375,45.625,47.4152,48.45,48.2525,DOWN,0
2000-04-18,45.625,46.438,47.369,47.5875,48.205,DOWN,0
2000-04-19,44.125,45.875,47.3133,46.3,48.1275,DOWN,0
2000-04-20,43.75,43.75,47.2518,45.025,48.0275,DOWN,0
2000-04-24,42.438,43.688,47.1818,44.4625,47.8737,UP,1
2000-04-25,43.5,43.0,47.1146,43.8875,47.7125,DOWN,0
2000-04-26,43.188,43.5,47.0518,43.4,47.52,DOWN,0
2000-04-27,43.125,43.188,46.9824,43.2,47.3625,UP,1
2000-04-28,43.375,43.063,46.9471,43.125,47.2187,UP,1
2000-05-01,45.313,43.375,46.9218,43.7,47.1262,DOWN,0
2000-05-02,44.563,45.313,46.8943,43.9125,47.065,DOWN,0
2000-05-03,44.563,44.438,46.874,44.1875,47.0212,DOWN,0
2000-05-04,44.375,44.25,46.8505,44.4375,46.9662,UP,1
2000-05-05,45.438,44.375,46.8355,44.85,46.96,DOWN,0
2000-05-08,44.063,45.188,46.8168,44.6,46.975,UP,1
2000-05-09,44.125,44.313,46.7993,44.5125,46.9875,DOWN,0
2000-05-10,43.625,44.375,46.7768,44.325,47.0037,DOWN,0
2000-05-11,43.563,43.875,46.7565,44.1625,47.035,DOWN,0
2000-05-12,42.313,43.75,46.7318,43.5375,47.0875,UP,1
2000-05-15,44.688,42.563,46.719,43.6625,47.17,UP,1
2000-05-16,44.75,44.5,46.7087,43.7875,47.2562,UP,1
2000-05-17,44.813,44.5,46.7021,44.025,47.375,UP,1
2000-05-18,44.875,44.813,46.6987,44.2875,47.5175,DOWN,0
2000-05-19,44.75,44.25,46.6974,44.775,47.6037,DOWN,0
2000-05-22,43.125,44.688,46.6943,44.4625,47.6737,DOWN,0
2000-05-23,42.688,43.25,46.6849,44.05,47.7512,DOWN,0
2000-05-24,41.5,42.938,46.6674,43.3875,47.6712,UP,1
2000-05-25,42.188,41.25,46.6512,42.85,47.5762,DOWN,0
2000-05-26,40.875,42.313,46.6308,42.075,47.3737,UP,1
2000-05-30,41.375,40.875,46.6099,41.725,47.1925,DOWN,0
2000-05-31,39.938,41.125,46.5777,41.175,46.9862,UP,1
2000-06-01,40.125,40.0,46.549,40.9,46.7512,UP,1
2000-06-02,41.375,40.625,46.5258,40.7375,46.5212,DOWN,0
2000-06-05,39.875,41.375,46.499,40.5375,46.2187,DOWN,0
2000-06-06,39.75,40.0,46.4646,40.2125,45.9062,DOWN,0
2000-06-07,38.75,39.75,46.4274,39.975,45.5812,DOWN,0
2000-06-08,38.75,38.875,46.394,39.7,45.2362,DOWN,0
2000-06-09,38.188,38.75,46.354,39.0625,44.88,DOWN,0
2000-06-12,35.523,38.375,46.3053,38.1922,44.5005,DOWN,0
2000-06-13,34.75,35.0,46.2553,37.1922,44.1105,UP,1
2000-06-14,35.688,34.875,46.2138,36.5797,43.7167,DOWN,0
2000-06-15,33.813,35.125,46.165,35.5922,43.318,DOWN,0
2000-06-16,32.027,32.0,46.1039,34.3602,42.9435,DOWN,0
2000-06-19,30.5,32.0,46.0355,33.3555,42.5223,UP,1
2000-06-20,31.063,30.625,45.9614,32.618,42.1548,DOWN,0
2000-06-21,29.813,31.063,45.8792,31.443,41.7773,UP,1
2000-06-22,31.688,30.125,45.8098,31.018,41.4123,DOWN,0
2000-06-23,30.438,31.813,45.7286,30.7,41.0098,UP,1
2000-06-26,30.938,31.0,45.648,30.7875,40.626,DOWN,0
2000-06-27,30.875,30.625,45.5652,30.75,40.3385,DOWN,0
2000-06-28,30.586,31.125,45.4721,30.9047,40.0227,UP,1
2000-06-29,30.75,30.563,45.38,30.7172,39.7252,UP,1
2000-06-30,30.813,30.75,45.2853,30.7922,39.459,UP,1
2000-07-03,32.063,30.875,45.1956,31.0172,39.2252,DOWN,0
2000-07-05,30.875,31.625,45.1006,31.0172,38.994,DOWN,0
2000-07-06,29.0,31.0,45.0021,30.7,38.704,DOWN,0
2000-07-07,29.0,29.188,44.8968,30.35,38.4202,UP,1
2000-07-10,30.375,28.938,44.8075,30.2625,38.1652,UP,1
2000-07-11,30.625,30.625,44.7203,29.975,37.9102,DOWN,0
2000-07-12,29.938,30.563,44.6246,29.7875,37.6027,UP,1
2000-07-13,30.875,29.938,44.5406,30.1625,37.329,UP,1
2000-07-14,31.313,30.813,44.4553,30.625,37.064,UP,1
2000-07-17,32.188,31.313,44.3759,30.9875,36.8202,UP,1
2000-07-18,32.5,32.125,44.3,31.3625,36.5615,DOWN,0
2000-07-19,32.5,32.5,44.2262,31.875,36.3302,UP,1
2000-07-20,33.188,32.75,44.1593,32.3375,36.1115,DOWN,0
2000-07-21,33.125,33.25,44.0918,32.7,35.9015,DOWN,0
2000-07-24,32.375,33.0,44.025,32.7375,35.6777,DOWN,0
2000-07-25,31.75,32.625,43.9546,32.5875,35.4665,DOWN,0
2000-07-26,31.25,31.813,43.8871,32.3375,35.1977,UP,1
2000-07-27,31.625,31.313,43.8271,32.025,34.9352,DOWN,0
2000-07-28,31.125,31.5,43.7596,31.625,34.6615,UP,1
2000-07-31,31.75,31.375,43.6956,31.5,34.399,UP,1
2000-08-01,32.188,31.813,43.6359,31.5875,34.1477,DOWN,0
2000-08-02,31.938,32.0,43.5756,31.725,33.924,DOWN,0
2000-08-03,31.625,31.813,43.5187,31.725,33.7027,UP,1
2000-08-04,32.5,31.5,43.4646,32.0,33.5227,UP,1
2000-08-07,32.625,32.5,43.4206,32.175,33.3315,UP,1
2000-08-08,33.0,32.625,43.3675,32.3375,33.174,UP,1
2000-08-09,33.188,33.0,43.3181,32.5875,33.0102,DOWN,0
2000-08-10,33.063,33.0,43.2725,32.875,32.8727,DOWN,0
2000-08-11,33.0,33.438,43.2271,32.975,32.7302,UP,1
2000-08-14,33.25,32.875,43.1834,33.1,32.5677,DOWN,0
2000-08-15,32.0,33.5,43.1315,32.9,32.4102,UP,1
2000-08-16,32.125,32.063,43.079,32.6875,32.2577,DOWN,0
2000-08-17,32.0,32.375,43.0296,32.475,32.1227,DOWN,0
2000-08-18,32.0,32.125,42.9828,32.275,31.9877,DOWN,0
2000-08-21,31.188,31.938,42.9334,31.8625,31.8477,DOWN,0
2000-08-22,31.0,31.25,42.88,31.6625,31.7573,DOWN,0
2000-08-23,30.5,31.0,42.8234,31.3375,31.6723,UP,1
2000-08-24,31.188,30.375,42.7696,31.175,31.5823,DOWN,0
2000-08-25,31.0,31.188,42.7162,30.975,31.526,DOWN,0
2000-08-28,30.688,30.938,42.6378,30.875,31.4992,UP,1
2000-08-29,30.875,30.563,42.5668,30.85,31.5067,DOWN,0
2000-08-30,30.75,30.875,42.494,30.9,31.5005,DOWN,0
2000-08-31,28.895,30.375,42.4038,30.4414,31.4821,UP,1
2000-09-01,29.313,29.125,42.3232,30.1039,31.4346,UP,1
2000-09-05,30.125,29.875,42.2451,29.9914,31.4284,UP,1
2000-09-06,30.375,30.0,42.1719,29.8914,31.4171,DOWN,0
2000-09-07,29.813,30.313,42.0991,29.7039,31.3959,DOWN,0
2000-09-08,29.563,29.75,42.0282,29.8375,31.3754,DOWN,0
2000-09-11,29.438,29.5,41.9463,29.8625,31.3491,DOWN,0
2000-09-12,29.0,29.438,41.8598,29.6375,31.3129,DOWN,0
2000-09-13,28.563,29.0,41.7632,29.275,31.2429,DOWN,0
2000-09-14,27.625,28.188,41.6657,28.8375,31.1779,DOWN,0
2000-09-15,27.438,27.688,41.5657,28.4125,31.1466,UP,1
2000-09-18,27.938,27.625,41.4691,28.1125,31.1254,DOWN,0
2000-09-19,27.5,27.75,41.3679,27.8125,31.0679,DOWN,0
2000-09-20,26.5,27.25,41.2585,27.4,30.9854,UP,1
2000-09-21,26.563,26.5,41.1466,27.1875,30.9179,DOWN,0
2000-09-22,26.125,26.125,41.0298,26.925,30.8229,DOWN,0
2000-09-25,26.125,26.625,40.9229,26.5625,30.7191,DOWN,0
2000-09-26,25.5,26.125,40.8173,26.1625,30.5854,UP,1
2000-09-27,26.125,25.75,40.7017,26.0875,30.4579,UP,1
2000-09-28,26.563,26.125,40.592,26.0875,30.3391,DOWN,0
2000-09-29,26.313,26.75,40.4845,26.125,30.2016,UP,1
2000-10-02,26.625,27.0,40.3867,26.225,30.0716,DOWN,0
2000-10-03,26.25,27.0,40.2867,26.375,29.9491,UP,1
2000-10-04,27.125,26.5,40.1892,26.575,29.8566,DOWN,0
2000-10-05,26.875,27.5,40.0898,26.6375,29.7691,DOWN,0
2000-10-06,26.625,26.75,39.9933,26.7,29.6691,UP,1
2000-10-09,26.938,26.813,39.8902,26.7625,29.5854,DOWN,0
2000-10-10,26.313,27.0,39.7855,26.775,29.4766,DOWN,0
2000-10-11,25.813,26.313,39.672,26.5125,29.3491,DOWN,0
2000-10-12,25.0,26.0,39.557,26.1375,29.2104,UP,1
2000-10-13,25.5,25.063,39.4445,25.9125,29.0879,UP,1
2000-10-16,26.563,25.75,39.3383,25.8375,28.9691,DOWN,0
2000-10-17,24.625,26.5,39.2317,25.5,28.8091,UP,1
2000-10-18,24.875,24.375,39.133,25.3125,28.6466,UP,1
2000-10-19,26.063,25.375,39.037,25.525,28.5041,DOWN,0
2000-10-20,25.438,25.875,38.9389,25.5125,28.3516,UP,1
2000-10-23,26.313,25.688,38.8486,25.4625,28.2179,UP,1
2000-10-24,26.375,26.563,38.7489,25.8125,28.0804,DOWN,0
2000-10-25,26.0,26.375,38.6364,26.0375,27.9604,UP,1
2000-10-26,27.25,26.125,38.522,26.275,27.8629,UP,1
2000-10-27,30.0,27.25,38.412,27.1875,27.8229,UP,1
2000-10-30,30.813,30.0,38.288,28.0875,27.7991,UP,1
2000-10-31,31.938,30.875,38.1745,29.2,27.8141,UP,1
2000-11-01,32.625,31.625,38.0633,30.525,27.8466,UP,1
2000-11-02,33.125,32.438,37.9558,31.7,27.8991,DOWN,0
2000-11-03,32.063,32.75,37.8458,32.1125,27.9166,UP,1
2000-11-06,32.25,32.25,37.7361,32.4,27.9416,DOWN,0
2000-11-07,32.0,32.25,37.6389,32.4125,27.9679,UP,1
2000-11-08,33.625,32.25,37.5552,32.6125,28.0229,UP,1
2000-11-09,35.688,33.438,37.4823,33.125,28.1216,DOWN,0
2000-11-10,33.875,35.0,37.4111,33.4875,28.2212,UP,1
2000-11-13,34.938,34.063,37.3461,34.025,28.3337,UP,1
2000-11-14,36.563,34.938,37.2942,34.9375,28.4625,DOWN,0
2000-11-15,35.688,36.25,37.2355,35.35,28.5687,DOWN,0
2000-11-16,35.438,35.875,37.1752,35.3,28.6812,UP,1
2000-11-17,36.563,35.25,37.118,35.8375,28.8212,DOWN,0
2000-11-20,35.875,36.563,37.0573,36.025,28.95,DOWN,0
2000-11-21,35.0,35.938,36.9923,35.7125,29.07,DOWN,0
2000-11-22,34.813,35.125,36.9227,35.5375,29.195,UP,1
2000-11-24,35.5,34.813,36.8495,35.55,29.3525,UP,1
2000-11-27,36.375,36.0,36.7736,35.5125,29.5312,DOWN,0
2000-11-28,36.0,36.125,36.6895,35.5375,29.6925,UP,1
2000-11-29,37.0,36.375,36.6195,35.9375,29.8825,DOWN,0
2000-11-30,36.563,36.0,36.5495,36.2875,30.0837,UP,1
2000-12-01,37.375,36.438,36.4867,36.6625,30.3,UP,1
2000-12-04,38.188,37.563,36.4395,37.025,30.5412,UP,1
2000-12-05,39.5,38.375,36.4033,37.725,30.8087,DOWN,0
2000-12-06,38.5,39.875,36.3602,38.025,31.0687,DOWN,0
2000-12-07,37.375,38.5,36.3183,38.1875,31.2937,DOWN,0
2000-12-08,37.25,37.375,36.288,38.1625,31.5075,DOWN,0
2000-12-11,36.75,36.625,36.2542,37.875,31.7162,UP,1
2000-12-12,37.0,36.938,36.2252,37.375,31.9237,DOWN,0
2000-12-13,36.563,36.75,36.198,36.9875,32.13,DOWN,0
2000-12-14,35.25,36.313,36.1758,36.5625,32.2925,DOWN,0
2000-12-15,33.938,34.5,36.1427,35.9,32.4337,DOWN,0
2000-12-18,32.938,33.0,36.1052,35.1375,32.56,UP,1
2000-12-19,33.625,33.125,36.0789,34.4625,32.6937,DOWN,0
2000-12-20,32.75,33.688,36.0539,33.7,32.8225,DOWN,0
2000-12-21,32.5,32.813,36.0142,33.15,32.9563,UP,1
2000-12-22,33.563,32.5,35.9839,33.075,33.1275,DOWN,0
2000-12-26,33.438,33.375,35.957,33.175,33.2862,UP,1
2000-12-27,36.063,33.5,35.9098,33.6625,33.4762,DOWN,0
2000-12-28,35.688,35.563,35.8536,34.25,33.6975,UP,1
2000-12-29,36.5,36.125,35.7811,35.05,33.93,DOWN,0
2001-01-02,36.063,35.75,35.7092,35.55,34.13,UP,1
2001-01-03,37.563,36.063,35.6458,36.375,34.3725,UP,1
2001-01-04,38.0,37.313,35.5764,36.7625,34.6062,DOWN,0
2001-01-05,37.625,38.625,35.5002,37.15,34.8313,DOWN,0
2001-01-08,36.625,37.25,35.4083,37.175,35.0437,DOWN,0
2001-01-09,36.063,35.5,35.3117,37.175,35.22,UP,1
2001-01-10,37.313,36.375,35.2233,37.125,35.3662,DOWN,0
2001-01-11,37.063,36.813,35.1286,36.9375,35.4912,DOWN,0
2001-01-12,36.875,37.125,35.033,36.7875,35.59,DOWN,0
2001-01-16,36.5,35.938,34.943,36.7625,35.6675,UP,1
2001-01-17,36.688,36.5,34.8552,36.8875,35.7387,DOWN,0
2001-01-18,36.063,36.625,34.7586,36.6375,35.8187,DOWN,0
2001-01-19,36.063,36.063,34.6702,36.4375,35.895,DOWN,0
2001-01-22,36.0,35.5,34.5964,36.2625,35.975,DOWN,0
2001-01-23,35.875,35.875,34.518,36.1375,36.02,UP,1
2001-01-24,36.75,35.625,34.4545,36.15,36.0413,UP,1
2001-01-25,36.813,36.688,34.3952,36.3,36.1,DOWN,0
2001-01-26,36.125,36.625,34.3261,36.3125,36.1237,DOWN,0
2001-01-29,36.0,36.2,34.2533,36.3125,36.1125,UP,1
2001-01-30,37.0,36.5,34.1877,36.5375,36.1387,UP,1
2001-01-31,39.38,37.5,34.1583,37.0635,36.2176,DOWN,0
2001-02-01,37.46,38.2,34.1137,37.193,36.2355,DOWN,0
2001-02-02,37.26,37.25,34.0719,37.42,36.2633,UP,1
2001-02-05,37.35,37.35,34.038,37.69,36.3102,DOWN,0
2001-02-06,36.39,37.51,34.0012,37.568,36.3418,UP,1
2001-02-07,36.85,35.9,33.9733,37.062,36.3688,DOWN,0
2001-02-08,36.4,36.8,33.9378,36.85,36.3693,DOWN,0
2001-02-09,35.96,36.35,33.9017,36.59,36.3685,DOWN,0
2001-02-12,35.85,35.55,33.8653,36.29,36.3455,UP,1
2001-02-13,36.14,35.83,33.8291,36.24,36.3371,DOWN,0
2001-02-14,35.69,35.7,33.781,36.008,36.3034,UP,1
2001-02-15,36.28,35.85,33.7396,35.984,36.2652,DOWN,0
2001-02-16,35.18,36.51,33.6927,35.828,36.1788,DOWN,0
2001-02-20,35.17,35.0,33.6466,35.692,36.1122,DOWN,0
2001-02-21,34.19,35.0,33.5904,35.302,36.0485,DOWN,0
2001-02-22,34.1,34.2,33.5406,34.984,35.9855,DOWN,0
2001-02-23,33.44,34.0,33.4872,34.416,35.9193,UP,1
2001-02-26,35.02,33.55,33.4441,34.384,35.8797,UP,1
2001-02-27,35.07,35.5,33.4017,34.364,35.8499,DOWN,0
2001-02-28,35.01,35.45,33.3652,34.528,35.8451,DOWN,0
2001-03-01,35.01,34.76,33.3168,34.71,35.8665,UP,1
2001-03-02,35.94,34.6,33.2727,35.21,35.9266,UP,1
2001-03-05,36.82,35.94,33.2328,35.57,35.9905,DOWN,0
2001-03-06,36.66,36.82,33.1917,35.888,36.0687,UP,1
2001-03-07,37.06,36.91,33.1532,36.298,36.1599,UP,1
2001-03-08,37.13,37.5,33.1233,36.722,36.2312,DOWN,0
2001-03-09,36.73,36.35,33.0935,36.88,36.2971,DOWN,0
