ticker,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,DOV US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,26.8251,27.3273,27.5009,27.1766,29.6632,DOWN,0
2000-02-09,26.3648,26.9088,27.5112,27.0009,29.6121,DOWN,0
2000-02-10,26.2392,26.3648,27.515,26.8,29.5544,DOWN,0
2000-02-11,25.737,26.2392,27.5189,26.4987,29.469,UP,1
2000-02-14,25.8626,26.1137,27.5246,26.2058,29.3778,UP,1
2000-02-15,26.0718,25.9881,27.5271,26.0551,29.2715,DOWN,0
2000-02-16,26.0718,26.1137,27.53,25.9965,29.1602,DOWN,0
2000-02-17,25.9463,26.1137,27.5319,25.9379,29.043,DOWN,0
2000-02-18,25.4023,25.4441,27.5283,25.871,28.9275,UP,1
2000-02-22,25.7789,25.4441,27.5254,25.8542,28.8262,DOWN,0
2000-02-23,25.737,25.6533,27.5235,25.7873,28.7308,DOWN,0
2000-02-24,25.4441,25.5696,27.5208,25.6617,28.6321,DOWN,0
2000-02-25,24.8582,25.3186,27.5152,25.4441,28.52,UP,1
2000-02-28,24.9838,25.2349,27.5131,25.3604,28.4137,UP,1
2000-02-29,25.8207,24.8164,27.5166,25.3688,28.3032,DOWN,0
2000-03-01,25.6115,25.8207,27.5202,25.3437,28.1927,UP,1
2000-03-02,26.1137,25.6952,27.5304,25.4776,28.1007,UP,1
2000-03-03,27.955,26.4485,27.5455,26.0969,28.0521,DOWN,0
2000-03-06,27.955,27.8713,27.5599,26.6912,28.0103,DOWN,0
2000-03-07,27.2855,27.955,27.5677,26.9841,27.9534,DOWN,0
2000-03-08,27.0344,27.2436,27.5763,27.2687,27.899,UP,1
2000-03-09,27.7039,26.9925,27.5894,27.5868,27.8563,UP,1
2000-03-10,27.955,27.955,27.6012,27.5868,27.8178,DOWN,0
2000-03-13,27.4528,26.7833,27.615,27.4863,27.7659,DOWN,0
2000-03-14,26.9925,27.3691,27.6238,27.4277,27.6981,UP,1
2000-03-15,28.3317,26.867,27.6378,27.6872,27.6772,UP,1
2000-03-16,29.6708,28.4572,27.6581,28.0806,27.6939,UP,1
2000-03-17,30.0475,30.2986,27.6817,28.4991,27.7157,UP,1
2000-03-20,30.5915,30.1312,27.7037,29.1268,27.7458,UP,1
2000-03-21,31.01,30.5078,27.7292,29.9303,27.7684,UP,1
2000-03-22,31.4285,32.6421,27.7564,30.5497,27.7868,DOWN,0
2000-03-23,31.2611,31.3448,27.7828,30.8677,27.7994,DOWN,0
2000-03-24,30.8008,31.2611,27.8098,31.0184,27.7968,UP,1
2000-03-27,30.8426,30.8008,27.8336,31.0686,27.8019,UP,1
2000-03-28,30.9263,30.8008,27.8529,31.0518,27.8136,UP,1
2000-03-29,31.554,30.8426,27.8759,31.077,27.832,UP,1
2000-03-30,32.0981,31.4703,27.9033,31.2444,27.8605,DOWN,0
2000-03-31,32.0562,32.0981,27.9311,31.4954,27.9023,UP,1
2000-04-03,32.0981,32.0981,27.9575,31.7465,27.95,UP,1
2000-04-04,33.4372,32.0981,27.9933,32.2487,28.0387,DOWN,0
2000-04-05,33.1861,33.5209,28.028,32.5751,28.1224,UP,1
2000-04-06,33.6465,33.3535,28.0653,32.8848,28.2212,DOWN,0
2000-04-07,33.5209,33.6465,28.1036,33.1778,28.3283,UP,1
2000-04-10,34.1487,33.5209,28.1477,33.5879,28.4622,UP,1
2000-04-11,35.153,34.4835,28.1969,33.931,28.6255,DOWN,0
2000-04-12,34.9856,35.1949,28.2423,34.2909,28.7811,UP,1
2000-04-13,35.4878,34.9856,28.3025,34.6592,28.946,DOWN,0
2000-04-14,34.1905,35.153,28.3457,34.7931,29.085,DOWN,0
2000-04-17,33.8139,34.1905,28.3879,34.7262,29.2164,DOWN,0
2000-04-18,33.6465,33.6465,28.4291,34.4249,29.3427,UP,1
2000-04-19,33.7302,33.6465,28.4699,34.1738,29.4808,UP,1
2000-04-20,33.8557,33.4791,28.5133,33.8474,29.6307,UP,1
2000-04-24,35.4878,33.6883,28.5601,34.1068,29.8156,UP,1
2000-04-25,36.0319,35.9063,28.6101,34.5504,30.0215,DOWN,0
2000-04-26,35.4878,36.0319,28.6562,34.9187,30.214,DOWN,0
2000-04-27,34.4416,34.8182,28.6976,35.061,30.3814,DOWN,0
2000-04-28,34.0231,33.8557,28.7338,35.0944,30.5405,UP,1
