ticker,ESS US Equity,ESS US Equity,ESS US Equity,ESS US Equity,ESS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,34.31,34.25,33.4125,34.6875,33.1825,UP,1
2000-02-10,34.38,34.38,33.4309,34.5875,33.2213,DOWN,0
2000-02-11,34.31,34.25,33.4434,34.4375,33.2513,UP,1
2000-02-14,34.56,34.31,33.4584,34.3875,33.29,DOWN,0
2000-02-15,34.44,34.63,33.4719,34.4,33.32,DOWN,0
2000-02-16,34.25,34.38,33.4831,34.3875,33.3625,UP,1
2000-02-17,34.38,34.38,33.4953,34.3875,33.4175,UP,1
2000-02-18,34.44,34.31,33.5072,34.4125,33.4838,UP,1
2000-02-22,34.94,34.44,33.5172,34.4875,33.5488,DOWN,0
2000-02-23,34.88,34.94,33.5244,34.575,33.6125,DOWN,0
2000-02-24,34.69,34.75,33.5303,34.6625,33.6813,DOWN,0
2000-02-25,34.38,34.5,33.5344,34.6625,33.7537,UP,1
2000-02-28,34.56,34.13,33.5422,34.6875,33.84,UP,1
2000-02-29,35.25,34.44,33.555,34.75,33.9438,UP,1
2000-03-01,35.63,35.13,33.5722,34.9,34.025,DOWN,0
2000-03-02,35.63,35.63,33.5894,35.0875,34.09,UP,1
2000-03-03,35.94,35.56,33.6097,35.4,34.1675,UP,1
2000-03-06,36.06,35.88,33.6297,35.7,34.2375,DOWN,0
2000-03-07,36.0,36.0,33.6503,35.85,34.3013,DOWN,0
2000-03-08,36.0,35.94,33.6697,35.925,34.3713,UP,1
2000-03-09,36.06,36.0,33.6903,36.0125,34.425,DOWN,0
2000-03-10,35.94,36.0,33.7103,36.0125,34.47,DOWN,0
2000-03-13,35.94,36.0,33.73,35.9875,34.5163,DOWN,0
2000-03-14,35.94,35.94,33.7491,35.975,34.555,DOWN,0
2000-03-15,35.69,35.94,33.7675,35.9125,34.6025,UP,1
2000-03-16,35.94,35.75,33.7872,35.8875,34.6625,UP,1
2000-03-17,36.0,35.81,33.8081,35.9,34.7263,DOWN,0
2000-03-20,35.88,35.75,33.8266,35.8875,34.7813,UP,1
2000-03-21,35.94,35.75,33.8463,35.8875,34.815,UP,1
2000-03-22,36.0,35.81,33.865,35.95,34.8538,DOWN,0
2000-03-23,35.88,36.0,33.8828,35.9375,34.8975,DOWN,0
2000-03-24,35.56,35.88,33.8991,35.85,34.9363,UP,1
2000-03-27,35.81,35.56,33.915,35.8375,34.9725,DOWN,0
2000-03-28,35.75,35.69,33.9325,35.8,35.01,UP,1
2000-03-29,35.94,34.94,33.9497,35.7875,35.0538,DOWN,0
2000-03-30,35.94,35.94,33.9634,35.8,35.09,UP,1
2000-03-31,36.0,36.06,33.9741,35.8875,35.1238,UP,1
2000-04-03,36.38,36.13,33.9859,36.0,35.17,UP,1
2000-04-04,36.56,36.44,34.0003,36.1625,35.2213,UP,1
2000-04-05,36.69,36.56,34.0184,36.3125,35.2713,UP,1
2000-04-06,37.31,36.81,34.0381,36.5875,35.335,DOWN,0
2000-04-07,37.31,37.06,34.0591,36.85,35.3938,DOWN,0
2000-04-10,37.19,37.31,34.0775,37.0125,35.4588,UP,1
2000-04-11,37.25,37.06,34.0938,37.15,35.5238,UP,1
2000-04-12,37.63,37.25,34.1084,37.3375,35.5838,UP,1
2000-04-13,37.69,37.69,34.12,37.4125,35.6463,UP,1
2000-04-14,37.81,37.31,34.1381,37.5125,35.705,UP,1
2000-04-17,38.0,37.88,34.1541,37.675,35.7638,DOWN,0
2000-04-18,37.88,38.0,34.1694,37.8,35.825,DOWN,0
2000-04-19,37.63,37.94,34.1841,37.8,35.89,UP,1
2000-04-20,37.81,37.63,34.2006,37.825,35.96,DOWN,0
2000-04-24,37.56,37.69,34.2172,37.775,36.0238,UP,1
2000-04-25,38.06,37.5,34.235,37.7875,36.0988,DOWN,0
2000-04-26,37.81,38.13,34.2497,37.775,36.1638,UP,1
2000-04-27,38.63,37.88,34.2709,37.975,36.2475,DOWN,0
2000-04-28,38.63,38.63,34.2919,38.1375,36.335,UP,1
2000-05-01,38.88,38.69,34.3141,38.4,36.425,UP,1
2000-05-02,39.25,39.13,34.3366,38.6375,36.5213,UP,1
2000-05-03,39.38,39.31,34.3609,38.95,36.61,UP,1
2000-05-04,39.88,39.44,34.3881,39.2,36.71,UP,1
2000-05-05,40.25,40.25,34.4169,39.525,36.8213,DOWN,0
2000-05-08,40.06,40.38,34.4456,39.7625,36.935,UP,1
2000-05-09,40.38,40.13,34.4775,39.9875,37.0513,DOWN,0
2000-05-10,40.25,40.38,34.5069,40.1625,37.1513,DOWN,0
2000-05-11,40.19,40.31,34.5366,40.225,37.2425,UP,1
2000-05-12,40.38,40.19,34.5697,40.25,37.3375,UP,1
2000-05-15,40.88,40.44,34.6053,40.4125,37.4363,UP,1
2000-05-16,41.38,40.88,34.6431,40.6125,37.5425,DOWN,0
2000-05-17,41.13,41.25,34.6794,40.7875,37.645,DOWN,0
2000-05-18,40.69,41.0,34.7169,40.8875,37.7388,DOWN,0
2000-05-19,40.69,40.81,34.7537,40.95,37.8313,DOWN,0
2000-05-22,40.56,40.56,34.7916,40.8875,37.9238,DOWN,0
2000-05-23,40.44,40.56,34.8288,40.7,38.0138,DOWN,0
2000-05-24,40.25,40.44,34.8656,40.525,38.1,DOWN,0
2000-05-25,39.75,40.25,34.9013,40.3375,38.1813,UP,1
2000-05-26,39.81,39.88,34.9353,40.1625,38.2588,UP,1
2000-05-30,40.0,39.94,34.9697,40.05,38.3388,DOWN,0
2000-05-31,39.81,39.88,35.0031,39.925,38.4175,UP,1
2000-06-01,39.94,39.81,35.0334,39.8625,38.4975,DOWN,0
2000-06-02,39.94,39.81,35.0641,39.9,38.5763,DOWN,0
2000-06-05,39.94,40.0,35.0947,39.925,38.6575,UP,1
2000-06-06,40.19,40.0,35.1269,39.9625,38.75,UP,1
2000-06-07,40.25,40.25,35.1575,40.05,38.8388,UP,1
2000-06-08,40.31,40.31,35.1869,40.125,38.93,UP,1
2000-06-09,40.44,40.31,35.2166,40.225,39.02,UP,1
2000-06-12,40.5,40.63,35.2459,40.3375,39.1113,UP,1
2000-06-13,41.06,40.56,35.2791,40.5125,39.2125,UP,1
2000-06-14,41.44,41.13,35.3125,40.75,39.3138,UP,1
2000-06-15,41.75,41.5,35.3481,41.0375,39.4175,UP,1
2000-06-16,41.94,41.81,35.3866,41.3375,39.5225,UP,1
2000-06-19,42.94,41.88,35.4294,41.825,39.635,DOWN,0
2000-06-20,42.88,43.0,35.4703,42.1875,39.7463,DOWN,0
2000-06-21,42.44,42.94,35.5075,42.3875,39.8513,DOWN,0
2000-06-22,42.0,42.69,35.5425,42.4375,39.9463,UP,1
2000-06-23,42.88,42.25,35.5838,42.625,40.0513,UP,1
2000-06-26,43.38,43.25,35.6291,42.7125,40.165,UP,1
2000-06-27,44.0,43.38,35.6781,42.9375,40.2888,DOWN,0
2000-06-28,43.38,43.38,35.7225,43.125,40.3963,UP,1
2000-06-29,43.44,43.31,35.7691,43.4125,40.5075,DOWN,0
2000-06-30,42.02,43.5,35.8116,43.2406,40.5953,UP,1
2000-07-03,42.31,42.0,35.852,43.0281,40.6853,UP,1
2000-07-05,42.94,42.44,35.8948,42.8156,40.7928,DOWN,0
2000-07-06,42.69,42.88,35.9363,42.6781,40.8853,DOWN,0
2000-07-07,42.56,42.69,35.9773,42.5031,40.9803,UP,1
2000-07-10,42.63,42.44,36.0179,42.625,41.0603,UP,1
2000-07-11,43.0,42.69,36.0601,42.7625,41.1478,UP,1
2000-07-12,43.38,42.63,36.102,42.85,41.2378,UP,1
2000-07-13,44.25,43.75,36.1532,43.1625,41.3378,DOWN,0
2000-07-14,44.06,44.38,36.2035,43.4625,41.4316,DOWN,0
2000-07-17,44.0,44.06,36.2488,43.7375,41.5141,DOWN,0
2000-07-18,43.94,44.25,36.296,43.925,41.5878,UP,1
2000-07-19,44.56,44.19,36.3445,44.1625,41.6778,UP,1
2000-07-20,45.5,44.44,36.3982,44.4125,41.7803,DOWN,0
2000-07-21,44.75,45.5,36.4482,44.55,41.8703,UP,1
2000-07-24,45.06,45.0,36.5013,44.7625,41.9678,UP,1
2000-07-25,45.63,45.56,36.5598,45.1,42.0728,UP,1
2000-07-26,46.38,45.88,36.622,45.4625,42.1828,UP,1
2000-07-27,47.88,46.88,36.6932,45.9375,42.3128,UP,1
2000-07-28,49.0,47.94,36.7716,46.7875,42.4703,UP,1
2000-07-31,49.25,49.25,36.8523,47.625,42.6416,UP,1
2000-08-01,49.81,49.44,36.9373,48.4625,42.8241,UP,1
2000-08-02,51.0,49.88,37.0282,49.3875,43.0328,UP,1
2000-08-03,51.44,50.88,37.1207,50.1,43.2528,DOWN,0
2000-08-04,51.31,51.31,37.2123,50.5625,43.4741,DOWN,0
2000-08-07,51.0,51.44,37.3029,50.9125,43.6991,DOWN,0
2000-08-08,50.63,50.75,37.3932,51.075,43.9153,UP,1
2000-08-09,51.75,50.38,37.4885,51.225,44.1503,DOWN,0
2000-08-10,50.94,52.0,37.5823,51.125,44.3728,DOWN,0
2000-08-11,50.63,50.88,37.6726,50.9875,44.5866,UP,1
2000-08-14,50.88,50.63,37.7632,50.9625,44.8053,DOWN,0
2000-08-15,50.5,50.81,37.8529,50.9375,45.0166,UP,1
2000-08-16,50.75,50.63,37.9435,50.7375,45.2278,UP,1
2000-08-17,50.88,50.75,38.032,50.725,45.4403,DOWN,0
2000-08-18,50.56,50.69,38.1198,50.7125,45.6453,DOWN,0
2000-08-21,49.81,49.88,38.2029,50.5,45.8328,UP,1
2000-08-22,50.38,49.69,38.2863,50.475,46.0303,DOWN,0
2000-08-23,49.69,50.44,38.3673,50.2625,46.2028,UP,1
2000-08-24,49.75,49.69,38.4479,50.0375,46.3691,UP,1
2000-08-25,49.94,49.63,38.5291,49.9125,46.5328,DOWN,0
2000-08-28,49.63,50.06,38.6082,49.875,46.6866,DOWN,0
2000-08-29,49.5,49.56,38.686,49.7,46.8178,DOWN,0
2000-08-30,49.25,49.5,38.7623,49.6125,46.9453,DOWN,0
2000-08-31,49.19,49.25,38.8407,49.5,47.0803,DOWN,0
2000-09-01,49.19,49.13,38.9179,49.35,47.2241,DOWN,0
2000-09-05,48.94,49.13,38.9948,49.2125,47.3453,DOWN,0
2000-09-06,48.88,48.88,39.0704,49.0875,47.4553,UP,1
2000-09-07,49.13,48.94,39.1479,49.0625,47.5578,UP,1
2000-09-08,50.25,49.19,39.2345,49.275,47.6953,UP,1
2000-09-11,51.0,50.63,39.3245,49.6375,47.8466,UP,1
2000-09-12,51.31,50.75,39.416,50.1125,48.0325,UP,1
2000-09-13,51.88,51.31,39.5129,50.7125,48.2238,UP,1
2000-09-14,52.19,51.63,39.6116,51.325,48.4088,UP,1
2000-09-15,52.94,51.94,39.7123,51.8625,48.6138,DOWN,0
2000-09-18,52.81,53.0,39.8132,52.225,48.8188,UP,1
2000-09-19,53.75,52.88,39.9173,52.7125,49.0413,UP,1
2000-09-20,54.38,53.88,40.0285,53.2125,49.2688,DOWN,0
2000-09-21,53.94,54.63,40.1401,53.5625,49.48,UP,1
2000-09-22,55.25,53.94,40.2607,54.025,49.7,DOWN,0
2000-09-25,54.31,55.25,40.3738,54.325,49.905,UP,1
2000-09-26,54.69,54.44,40.4888,54.5125,50.1188,UP,1
2000-09-27,55.0,54.31,40.6076,54.6375,50.34,UP,1
2000-09-28,56.44,54.88,40.736,55.1375,50.5775,DOWN,0
2000-09-29,55.38,56.44,40.8616,55.1625,50.775,DOWN,0
2000-10-02,55.19,55.63,40.9873,55.3375,50.9838,UP,1
2000-10-03,55.25,55.19,41.1057,55.45,51.1875,UP,1
2000-10-04,55.31,55.19,41.2204,55.5125,51.3813,DOWN,0
2000-10-05,54.63,55.31,41.3332,55.15,51.5463,UP,1
2000-10-06,54.81,54.38,41.4445,55.0375,51.685,UP,1
2000-10-09,55.13,55.06,41.556,55.025,51.8075,DOWN,0
2000-10-10,55.06,55.25,41.6688,54.9875,51.9238,DOWN,0
2000-10-11,54.75,55.13,41.7757,54.875,52.0225,DOWN,0
2000-10-12,53.75,54.75,41.876,54.7,52.0775,UP,1
2000-10-13,53.88,53.38,41.9773,54.5125,52.1263,UP,1
2000-10-16,53.94,54.0,42.077,54.275,52.1788,UP,1
2000-10-17,54.0,54.0,42.1804,54.0625,52.2388,DOWN,0
2000-10-18,53.69,53.81,42.2841,53.85,52.3,UP,1
2000-10-19,54.06,53.81,42.3904,53.9125,52.3463,DOWN,0
2000-10-20,54.0,54.0,42.4948,53.9375,52.4075,UP,1
2000-10-23,54.25,54.13,42.5948,54.0,52.48,DOWN,0
2000-10-24,52.69,54.13,42.6879,53.7375,52.5163,DOWN,0
2000-10-25,52.38,52.63,42.7813,53.475,52.5538,UP,1
2000-10-26,52.5,52.88,42.8757,53.1625,52.5888,UP,1
2000-10-27,52.69,52.63,42.9691,52.9,52.625,DOWN,0
2000-10-30,52.25,52.56,43.061,52.5,52.6588,DOWN,0
2000-10-31,52.0,52.13,43.1523,52.3625,52.7025,DOWN,0
2000-11-01,51.75,52.0,43.2404,52.2375,52.73,DOWN,0
2000-11-02,51.75,52.0,43.3276,52.0875,52.7713,DOWN,0
2000-11-03,51.31,51.75,43.4138,51.8125,52.8025,DOWN,0
2000-11-06,51.06,51.31,43.4991,51.575,52.825,UP,1
2000-11-07,51.5,51.19,43.5857,51.475,52.8625,DOWN,0
2000-11-08,51.31,51.5,43.6716,51.3875,52.8988,UP,1
2000-11-09,51.44,51.31,43.757,51.325,52.9425,DOWN,0
2000-11-10,51.25,51.5,43.8435,51.3125,52.9838,UP,1
2000-11-13,52.06,51.13,43.9338,51.5125,53.0413,UP,1
2000-11-14,52.38,51.94,44.0226,51.6875,53.11,DOWN,0
2000-11-15,52.0,52.13,44.1098,51.825,53.1725,DOWN,0
2000-11-16,50.81,51.75,44.1895,51.7,53.2063,UP,1
2000-11-17,51.44,50.94,44.2713,51.7375,53.23,UP,1
2000-11-20,51.69,51.56,44.3557,51.6625,53.2438,UP,1
2000-11-21,51.88,51.69,44.4432,51.5625,53.255,DOWN,0
2000-11-22,51.88,51.75,44.531,51.5375,53.255,UP,1
2000-11-24,52.44,51.75,44.6213,51.8625,53.26,DOWN,0
2000-11-27,52.0,52.56,44.7098,51.975,53.2413,UP,1
2000-11-28,52.19,52.0,44.7979,52.075,53.2288,UP,1
2000-11-29,52.44,52.44,44.8879,52.1875,53.2025,UP,1
2000-11-30,52.56,52.44,44.9795,52.325,53.1663,UP,1
2000-12-01,52.94,52.44,45.0723,52.425,53.1463,UP,1
2000-12-04,53.06,52.88,45.1654,52.6375,53.1025,UP,1
2000-12-05,54.44,53.13,45.2629,53.0875,53.105,DOWN,0
2000-12-06,53.75,54.69,45.3573,53.35,53.0863,DOWN,0
2000-12-07,53.5,53.63,45.4513,53.5375,53.0563,UP,1
2000-12-08,54.69,53.5,45.5529,53.8875,53.0213,UP,1
2000-12-11,54.94,54.81,45.6548,54.2625,53.0125,UP,1
2000-12-12,55.31,55.06,45.7551,54.4375,53.015,DOWN,0
2000-12-13,55.0,55.19,45.852,54.6875,53.01,DOWN,0
2000-12-14,54.75,55.06,45.9476,54.9375,52.9988,UP,1
2000-12-15,55.81,54.88,46.047,55.1625,53.0225,UP,1
2000-12-18,57.75,55.88,46.1554,55.725,53.0813,DOWN,0
2000-12-19,57.38,57.75,46.2623,56.1375,53.1263,DOWN,0
2000-12-20,57.13,57.38,46.3679,56.5625,53.1675,DOWN,0
2000-12-21,56.38,56.88,46.4695,56.8875,53.2,DOWN,0
2000-12-22,55.5,56.25,46.5673,56.825,53.235,DOWN,0
2000-12-26,55.44,55.38,46.6648,56.3625,53.2663,UP,1
2000-12-27,55.5,54.69,46.7626,55.9875,53.2975,UP,1
2000-12-28,56.56,55.5,46.867,55.875,53.3488,DOWN,0
2000-12-29,54.75,56.44,46.961,55.55,53.37,DOWN,0
2001-01-02,54.31,54.75,47.0526,55.3125,53.375,UP,1
2001-01-03,55.94,54.38,47.1529,55.4125,53.4138,DOWN,0
2001-01-04,55.06,55.69,47.2485,55.325,53.43,DOWN,0
2001-01-05,51.81,55.0,47.3276,54.375,53.4125,UP,1
2001-01-08,52.06,52.19,47.4085,53.8375,53.4063,DOWN,0
2001-01-09,52.0,52.13,47.4907,53.375,53.3963,UP,1
2001-01-10,52.5,52.25,47.5741,52.6875,53.3925,DOWN,0
2001-01-11,52.0,52.63,47.6554,52.075,53.3875,UP,1
2001-01-12,52.19,52.13,47.7366,52.15,53.3913,DOWN,0
2001-01-16,52.0,52.13,47.817,52.1375,53.3963,DOWN,0
2001-01-17,51.69,51.94,47.8954,52.075,53.395,DOWN,0
2001-01-18,51.69,51.63,47.972,51.9125,53.4025,DOWN,0
2001-01-19,51.38,51.56,48.046,51.7875,53.4088,DOWN,0
2001-01-22,50.94,51.63,48.1173,51.5375,53.3975,UP,1
2001-01-23,51.69,51.19,48.1891,51.475,53.405,DOWN,0
2001-01-24,51.19,51.81,48.2585,51.375,53.4,UP,1
2001-01-25,51.44,51.0,48.3298,51.325,53.4038,DOWN,0
2001-01-26,50.75,50.81,48.3973,51.2,53.3775,UP,1
2001-01-29,51.3,51.0,48.4656,51.2725,53.356,UP,1
2001-01-30,51.59,51.5,48.5352,51.253,53.3478,UP,1
2001-01-31,51.75,51.75,48.6048,51.3655,53.3666,UP,1
2001-02-01,52.19,52.0,48.6758,51.516,53.3816,UP,1
2001-02-02,52.82,52.2,48.7505,51.93,53.4043,UP,1
2001-02-05,52.96,52.92,48.8272,52.262,53.426,DOWN,0
2001-02-06,52.9,52.86,48.9026,52.524,53.4465,DOWN,0
2001-02-07,51.45,52.7,48.9721,52.464,53.4267,DOWN,0
2001-02-08,50.5,51.65,49.0343,52.126,53.3967,DOWN,0
2001-02-09,49.99,50.5,49.0951,51.56,53.3528,UP,1
2001-02-12,50.1,50.0,49.1525,50.988,53.306,DOWN,0
2001-02-13,49.8,50.1,49.2084,50.368,53.2508,UP,1
2001-02-14,50.1,49.85,49.2645,50.098,53.194,DOWN,0
2001-02-15,49.95,50.15,49.318,49.988,53.1318,UP,1
2001-02-16,50.0,49.9,49.3711,49.99,53.043,UP,1
2001-02-20,50.05,50.0,49.422,49.98,52.969,DOWN,0
2001-02-21,49.9,50.0,49.4703,50.0,52.897,DOWN,0
2001-02-22,49.16,49.95,49.5158,49.812,52.7865,UP,1
2001-02-23,49.9,49.16,49.5634,49.802,52.6857,UP,1
2001-02-26,50.05,49.9,49.6124,49.812,52.5805,DOWN,0
2001-02-27,49.9,50.05,49.6609,49.782,52.4785,UP,1
2001-02-28,50.15,49.8,49.7098,49.832,52.3865,UP,1
2001-03-01,50.85,50.05,49.7597,50.17,52.2872,UP,1
2001-03-02,51.58,50.65,49.8107,50.506,52.1638,DOWN,0
2001-03-05,51.21,51.63,49.8611,50.738,52.0405,UP,1
2001-03-06,51.68,51.55,49.9161,51.094,51.9316,DOWN,0
2001-03-07,51.57,51.78,49.9705,51.378,51.8355,DOWN,0
2001-03-08,51.44,51.55,50.0249,51.496,51.7543,UP,1
2001-03-09,51.47,51.34,50.0801,51.474,51.675,DOWN,0
2001-03-12,51.0,51.47,50.1338,51.432,51.585,UP,1
2001-03-13,51.16,51.0,50.1909,51.328,51.4769,DOWN,0
2001-03-14,50.9,51.26,50.2463,51.194,51.3999,UP,1
2001-03-15,51.0,50.8,50.3013,51.106,51.3337,DOWN,0
2001-03-16,50.65,51.2,50.3555,50.942,51.2279,UP,1
2001-03-19,51.04,50.65,50.411,50.95,51.1475,DOWN,0
2001-03-20,50.9,51.14,50.4658,50.898,51.1292,DOWN,0
2001-03-21,49.6,50.8,50.5141,50.638,51.08,DOWN,0
2001-03-22,49.4,49.6,50.5602,50.318,51.028,UP,1
2001-03-23,49.85,49.5,50.6082,50.158,50.975,DOWN,0
2001-03-26,49.6,49.87,50.6546,49.87,50.927,DOWN,0
2001-03-27,48.55,49.5,50.6952,49.4,50.8542,DOWN,0
2001-03-28,47.44,47.95,50.7299,48.968,50.763,UP,1
2001-03-29,47.85,47.34,50.7638,48.658,50.6863,UP,1
2001-03-30,48.05,47.8,50.7969,48.298,50.6135,DOWN,0
2001-04-02,47.8,48.15,50.8271,47.938,50.542,DOWN,0
2001-04-03,46.34,47.6,50.8492,47.496,50.4501,DOWN,0
2001-04-04,45.45,46.44,50.8617,47.098,50.3253,UP,1
2001-04-05,45.65,45.55,50.8756,46.658,50.2146,DOWN,0
2001-04-06,44.6,45.4,50.8864,45.968,50.0778,DOWN,0
2001-04-09,44.6,44.55,50.8994,45.328,49.9548,DOWN,0
2001-04-10,44.17,44.5,50.9059,44.894,49.8122,DOWN,0
2001-04-11,43.34,44.24,50.9057,44.472,49.6472,UP,1
2001-04-12,43.35,43.35,50.9025,44.012,49.4792,DOWN,0
2001-04-16,43.2,43.35,50.9016,43.732,49.2994,UP,1
2001-04-17,44.13,43.0,50.905,43.638,49.1256,UP,1
2001-04-18,44.71,43.75,50.9185,43.746,48.9606,UP,1
2001-04-19,45.46,45.01,50.9342,44.17,48.8118,DOWN,0
2001-04-20,44.75,45.36,50.9433,44.45,48.6778,DOWN,0
2001-04-23,44.75,44.85,50.9536,44.76,48.5628,UP,1
2001-04-24,45.64,44.95,50.969,45.062,48.4758,UP,1
2001-04-25,48.37,45.44,50.9977,45.794,48.4412,DOWN,0
2001-04-26,48.02,48.12,51.0228,46.306,48.4056,UP,1
2001-04-27,48.18,48.02,51.0469,46.992,48.3672,DOWN,0
2001-04-30,47.0,48.08,51.0606,47.442,48.3082,DOWN,0
2001-05-01,46.8,47.25,51.0743,47.674,48.2442,DOWN,0
2001-05-02,46.7,47.0,51.0878,47.34,48.1772,UP,1
2001-05-03,46.8,46.6,51.1021,47.096,48.1152,UP,1
2001-05-04,47.0,46.55,51.1143,46.86,48.072,DOWN,0
2001-05-07,46.75,46.95,51.1205,46.81,48.009,UP,1
2001-05-08,46.83,46.85,51.1309,46.816,47.9446,DOWN,0
2001-05-09,46.77,46.7,51.1395,46.83,47.882,DOWN,0
2001-05-10,46.6,46.57,51.1444,46.79,47.811,DOWN,0
2001-05-11,46.6,46.6,51.1455,46.71,47.726,UP,1
2001-05-14,46.92,46.7,51.1407,46.744,47.6328,UP,1
2001-05-15,46.99,47.02,51.1307,46.776,47.5484,UP,1
2001-05-16,47.1,46.89,51.1199,46.842,47.4568,UP,1
2001-05-17,47.26,47.2,51.1071,46.974,47.3706,DOWN,0
2001-05-18,47.0,47.25,51.0871,47.054,47.2818,DOWN,0
2001-05-21,46.9,47.1,51.0645,47.05,47.1904,UP,1
2001-05-22,46.92,46.8,51.0425,47.036,47.1088,UP,1
2001-05-23,46.95,46.92,51.0222,47.006,47.0246,UP,1
2001-05-24,47.35,47.0,51.0059,47.024,46.9536,DOWN,0
2001-05-25,46.9,47.4,50.9816,47.004,46.8716,UP,1
2001-05-29,47.55,46.9,50.9647,47.134,46.8096,DOWN,0
2001-05-30,47.01,47.51,50.9466,47.152,46.729,DOWN,0
2001-05-31,47.0,47.11,50.9272,47.162,46.651,UP,1
2001-06-01,47.11,47.0,50.9103,47.114,46.6012,UP,1
2001-06-04,47.69,47.06,50.895,47.272,46.567,UP,1
2001-06-05,47.87,47.54,50.88,47.336,46.5274,UP,1
2001-06-06,47.97,47.87,50.867,47.528,46.4948,UP,1
2001-06-07,48.05,47.97,50.8582,47.738,46.4848,DOWN,0
2001-06-08,48.02,48.0,50.8464,47.92,46.4964,UP,1
2001-06-11,48.77,48.12,50.8418,48.136,46.5148,UP,1
2001-06-12,49.66,48.67,50.8414,48.494,46.547,DOWN,0
2001-06-13,49.44,49.66,50.8389,48.788,46.5798,DOWN,0
2001-06-14,49.32,49.34,50.8374,49.042,46.6394,UP,1
2001-06-15,49.66,49.57,50.8382,49.37,46.7236,UP,1
2001-06-18,50.35,49.76,50.8437,49.686,46.8176,DOWN,0
2001-06-19,49.85,50.55,50.847,49.724,46.9226,UP,1
2001-06-20,50.05,49.95,50.8513,49.846,47.0316,UP,1
2001-06-21,50.3,50.06,50.8581,50.042,47.1542,UP,1
2001-06-22,50.6,50.3,50.8667,50.23,47.2994,DOWN,0
2001-06-25,50.36,50.45,50.8729,50.232,47.4396,UP,1
2001-06-26,50.91,50.61,50.8762,50.444,47.5938,DOWN,0
2001-06-27,50.14,50.11,50.8719,50.462,47.714,UP,1
2001-06-28,50.38,50.24,50.8672,50.478,47.8274,DOWN,0
2001-06-29,49.55,50.28,50.8556,50.268,47.9092,UP,1
2001-07-02,50.02,49.65,50.8448,50.2,48.0146,DOWN,0
2001-07-03,49.75,49.62,50.8288,49.968,48.1146,DOWN,0
2001-07-05,49.4,49.5,50.8118,49.82,48.1898,DOWN,0
2001-07-06,49.3,49.45,50.7895,49.604,48.2084,DOWN,0
2001-07-09,49.07,49.4,50.763,49.508,48.2294,UP,1
2001-07-10,49.22,49.15,50.7394,49.348,48.2502,DOWN,0
2001-07-11,49.11,49.28,50.7087,49.22,48.2924,UP,1
2001-07-12,49.3,49.11,50.6836,49.2,48.3424,UP,1
2001-07-13,49.45,49.5,50.6575,49.23,48.3974,UP,1
2001-07-16,49.64,49.55,50.6307,49.344,48.4542,UP,1
2001-07-17,49.81,49.79,50.5975,49.462,48.5104,UP,1
2001-07-18,49.91,49.91,50.5702,49.622,48.5736,UP,1
2001-07-19,50.17,49.91,50.5451,49.796,48.6404,UP,1
2001-07-20,50.78,50.07,50.5228,50.062,48.7206,DOWN,0
2001-07-23,50.55,51.03,50.4989,50.244,48.7996,UP,1
2001-07-24,50.65,50.56,50.4791,50.412,48.8806,DOWN,0
