ticker,MELI US Equity,MELI US Equity,MELI US Equity,MELI US Equity,MELI US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2007-12-10,49.97,44.1,45.074,41.9564,,DOWN,0
2007-12-11,47.49,49.68,45.9,42.172,,UP,1
2007-12-12,50.8,48.88,47.212,42.4,,UP,1
2007-12-13,53.63,50.61,49.132,42.6302,,UP,1
2007-12-14,61.55,59.5,52.688,43.0358,,DOWN,0
2007-12-17,60.34,66.66,54.762,43.4204,,DOWN,0
2007-12-18,59.68,61.95,57.2,43.7936,,UP,1
2007-12-19,59.9,59.25,59.02,44.084,,UP,1
2007-12-20,60.47,60.99,60.388,44.3946,,DOWN,0
2007-12-21,60.06,61.81,60.09,44.7716,,UP,1
2007-12-24,60.4,60.7,60.102,45.1704,,UP,1
2007-12-26,72.85,60.84,62.736,45.8586,,UP,1
2007-12-27,75.3,72.65,65.816,46.626,,UP,1
2007-12-28,78.81,80.73,69.484,47.4306,,DOWN,0
2007-12-31,73.88,78.0,72.248,48.1114,,DOWN,0
2008-01-02,70.1,75.98,74.188,48.7674,,DOWN,0
2008-01-03,69.44,72.79,73.506,49.3834,,DOWN,0
2008-01-04,64.09,66.48,71.264,49.8086,,DOWN,0
2008-01-07,61.37,66.16,67.776,50.2484,,DOWN,0
2008-01-08,61.1,62.5,65.22,50.6698,,DOWN,0
2008-01-09,60.68,60.07,63.336,51.022,,UP,1
2008-01-10,64.06,59.64,62.26,51.4114,,DOWN,0
2008-01-11,62.6,63.43,61.962,51.7462,,UP,1
2008-01-14,64.71,64.41,62.63,52.1468,,DOWN,0
2008-01-15,59.98,63.91,62.406,52.5192,,DOWN,0
2008-01-16,54.23,57.28,61.116,52.717,,DOWN,0
2008-01-17,45.41,54.4,57.386,52.7546,,UP,1
2008-01-18,47.05,48.46,54.276,52.786,,UP,1
2008-01-22,47.71,40.39,50.876,52.9522,,UP,1
2008-01-23,50.02,45.97,48.884,53.2022,,UP,1
2008-01-24,56.64,51.97,49.366,53.5998,,DOWN,0
2008-01-25,54.06,59.95,51.096,53.9774,,DOWN,0
2008-01-28,42.6,43.45,50.206,54.0082,,DOWN,0
2008-01-29,41.7,44.46,49.004,53.9784,,DOWN,0
2008-01-30,36.11,40.8,46.222,53.7718,,UP,1
2008-01-31,37.03,34.61,42.3,53.5822,,UP,1
2008-02-01,37.48,38.5,38.984,53.438,,DOWN,0
2008-02-04,36.49,38.28,37.762,53.2954,,DOWN,0
2008-02-05,36.26,35.48,36.674,53.1966,,DOWN,0
2008-02-06,33.95,37.62,36.242,53.0284,,DOWN,0
2008-02-07,31.73,33.14,35.182,52.8396,,DOWN,0
2008-02-08,31.72,32.0,34.03,52.6516,,UP,1
2008-02-11,36.15,32.51,33.962,52.5024,,DOWN,0
2008-02-12,34.61,37.4,33.632,52.3346,,UP,1
2008-02-13,36.75,35.48,34.192,52.2214,,DOWN,0
2008-02-14,35.39,37.3,34.924,52.035,,UP,1
2008-02-15,35.79,35.27,35.738,51.8836,,DOWN,0
2008-02-19,34.63,37.06,35.434,51.6914,,DOWN,0
2008-02-20,34.58,33.75,35.428,51.5024,,DOWN,0
2008-02-21,33.15,34.9,34.708,51.29,,UP,1
2008-02-22,33.4,33.08,34.31,50.9586,,UP,1
2008-02-25,33.83,33.32,33.918,50.6854,,DOWN,0
2008-02-26,33.38,33.1,33.668,50.337,,UP,1
2008-02-27,36.63,33.05,34.078,49.997,,UP,1
2008-02-28,37.38,35.92,34.924,49.5136,,DOWN,0
2008-02-29,36.15,36.82,35.474,49.0298,,UP,1
2008-03-03,37.59,38.35,36.226,48.588,,DOWN,0
2008-03-04,35.87,36.86,36.724,48.1074,,UP,1
2008-03-05,37.128,36.73,36.8236,47.6406,,UP,1
2008-03-06,39.24,38.27,37.1956,47.2242,,DOWN,0
2008-03-07,36.55,37.6,37.2756,46.7472,,DOWN,0
2008-03-10,33.95,36.86,36.5476,45.9692,,UP,1
2008-03-11,36.49,35.42,36.6716,45.193,,UP,1
2008-03-12,38.83,36.5,37.012,44.3934,,DOWN,0
2008-03-13,38.6,37.45,36.884,43.6878,,DOWN,0
2008-03-14,38.24,39.23,37.222,43.0506,,DOWN,0
2008-03-17,35.15,36.03,37.462,42.3648,,UP,1
2008-03-18,37.23,36.56,37.61,41.8276,,DOWN,0
2008-03-19,36.35,37.43,37.114,41.3272,,DOWN,0
2008-03-20,36.35,37.08,36.664,40.8322,,UP,1
2008-03-24,38.5,36.57,36.716,40.3886,,UP,1
2008-03-25,40.45,39.08,37.776,39.9164,,UP,1
2008-03-26,41.55,41.57,38.64,39.4954,,DOWN,0
2008-03-27,38.89,41.71,39.148,38.979,,DOWN,0
2008-03-28,37.04,39.47,39.286,38.5202,,UP,1
2008-03-31,39.76,37.32,39.538,38.2308,,UP,1
2008-04-01,40.82,40.52,39.612,38.139,,DOWN,0
2008-04-02,39.21,40.11,39.144,37.9822,,UP,1
2008-04-03,39.64,38.95,39.294,37.8208,,UP,1
2008-04-04,43.22,39.85,40.53,37.6848,,UP,1
2008-04-07,43.7,44.11,41.318,37.426,,UP,1
2008-04-08,45.36,43.42,42.226,37.252,,DOWN,0
2008-04-09,45.15,46.72,43.414,37.303,,UP,1
2008-04-10,47.14,45.05,44.914,37.4118,,DOWN,0
2008-04-11,46.49,45.65,45.568,37.6194,,DOWN,0
2008-04-14,44.69,45.8,45.766,37.7726,,UP,1
2008-04-15,45.84,45.02,45.862,37.9398,,UP,1
2008-04-16,48.98,46.9,46.628,38.1896,,UP,1
2008-04-17,50.02,48.78,47.204,38.4648,,UP,1
2008-04-18,50.25,52.4,47.956,38.7908,,UP,1
2008-04-21,51.84,50.25,49.386,39.193,,DOWN,0
2008-04-22,50.52,51.88,50.322,39.569,,UP,1
2008-04-23,51.4,50.9,50.806,39.874,,UP,1
2008-04-24,51.81,50.94,51.164,40.218,,UP,1
2008-04-25,51.9,52.12,51.494,40.521,,UP,1
2008-04-28,52.0,52.12,51.526,40.8532,,DOWN,0
2008-04-29,49.87,52.06,51.396,41.1348,,UP,1
2008-04-30,50.58,49.87,51.232,41.4538,,DOWN,0
2008-05-01,50.25,50.45,50.92,41.7672,,DOWN,0
2008-05-02,49.99,51.5,50.538,42.104,,UP,1
2008-05-05,56.0,50.74,51.338,42.556,,DOWN,0
2008-05-06,54.75,56.2,52.314,42.9744,,UP,1
2008-05-07,56.05,55.56,53.408,43.4278,,DOWN,0
2008-05-08,55.0,56.36,54.358,43.7952,,DOWN,0
2008-05-09,54.02,54.64,55.164,44.128,,DOWN,0
2008-05-12,52.26,53.8,54.416,44.4502,,UP,1
2008-05-13,55.86,52.59,54.638,44.8156,,DOWN,0
2008-05-14,53.89,50.9,54.206,45.176,,UP,1
2008-05-15,54.49,54.65,54.104,45.5232,,UP,1
2008-05-16,54.7,55.0,54.24,45.8324,,DOWN,0
2008-05-19,53.39,54.59,54.466,46.1692,,UP,1
2008-05-20,53.56,52.18,54.006,46.5614,,DOWN,0
2008-05-21,50.42,53.0,53.312,46.84,,DOWN,0
2008-05-22,44.63,50.33,51.34,46.956,,UP,1
2008-05-23,45.29,44.0,49.458,47.0898,43.1061,DOWN,0
2008-05-27,43.45,45.35,47.47,47.194,43.2334,UP,1
2008-05-28,44.9,44.9,45.738,47.389,43.3154,DOWN,0
2008-05-29,44.78,44.6,44.61,47.54,43.381,UP,1
2008-05-30,46.95,44.44,45.074,47.752,43.4656,DOWN,0
2008-06-02,46.33,47.6,45.282,47.9516,43.5545,DOWN,0
2008-06-03,45.47,46.34,45.686,48.091,43.6413,UP,1
2008-06-04,46.28,45.12,45.962,48.2076,43.7085,UP,1
2008-06-05,47.88,46.68,46.582,48.3342,43.7955,DOWN,0
2008-06-06,44.5,47.47,46.092,48.4464,43.8729,DOWN,0
2008-06-09,40.41,44.03,44.908,48.5138,43.9271,DOWN,0
2008-06-10,38.75,39.0,43.564,48.4936,43.9709,DOWN,0
2008-06-11,37.86,39.25,41.88,48.4344,44.0102,DOWN,0
2008-06-12,37.11,38.5,39.726,48.3924,44.0487,UP,1
2008-06-13,38.28,37.28,38.482,48.3652,44.0956,UP,1
2008-06-16,39.95,38.06,38.39,48.2998,44.1487,UP,1
2008-06-17,41.14,40.63,38.868,48.2486,44.2107,DOWN,0
2008-06-18,39.68,40.7,39.232,48.135,44.2685,UP,1
2008-06-19,40.64,39.64,39.938,48.0448,44.3317,DOWN,0
2008-06-20,38.75,39.21,40.032,47.877,44.3829,DOWN,0
2008-06-23,37.45,38.87,39.532,47.6962,44.4205,UP,1
2008-06-24,37.86,37.1,38.876,47.5596,44.4623,UP,1
2008-06-25,38.8,37.87,38.7,47.4188,44.5098,DOWN,0
2008-06-26,35.22,37.03,37.616,47.1436,44.5405,UP,1
2008-06-27,35.9,35.1,37.046,46.8612,44.5741,DOWN,0
2008-06-30,34.49,35.56,36.454,46.546,44.6016,UP,1
2008-07-01,35.02,34.08,35.886,46.2096,44.6342,DOWN,0
2008-07-02,32.95,35.28,34.716,45.8582,44.6602,DOWN,0
2008-07-03,29.52,32.56,33.576,45.4206,44.6678,DOWN,0
2008-07-07,27.47,29.53,31.89,44.9338,44.6387,DOWN,0
2008-07-08,26.79,27.5,30.35,44.4316,44.5874,UP,1
2008-07-09,31.23,28.5,29.592,44.0162,44.5409,DOWN,0
2008-07-10,30.96,30.55,29.194,43.638,44.4904,DOWN,0
2008-07-11,30.15,30.26,29.32,43.2294,44.4502,UP,1
2008-07-14,30.54,31.35,29.934,42.8352,44.4125,UP,1
2008-07-15,31.75,30.14,30.926,42.4704,44.3866,UP,1
2008-07-16,34.15,32.0,31.51,42.0334,44.3761,DOWN,0
2008-07-17,33.3,34.22,31.978,41.6044,44.359,UP,1
2008-07-18,33.72,33.02,32.692,41.1578,44.3306,UP,1
2008-07-21,34.44,33.88,33.472,40.7466,44.2922,DOWN,0
2008-07-22,34.3,33.79,33.982,40.3522,44.2574,DOWN,0
2008-07-23,33.95,34.11,33.942,39.986,44.2216,DOWN,0
2008-07-24,32.91,34.38,33.864,39.527,44.181,UP,1
2008-07-25,33.0,33.0,33.72,39.1092,44.1191,DOWN,0
2008-07-28,31.09,32.96,33.05,38.6412,44.0499,UP,1
2008-07-29,33.39,29.75,32.868,38.215,44.0108,DOWN,0
2008-07-30,33.25,32.57,32.728,37.8122,43.9747,UP,1
2008-07-31,35.85,32.76,33.316,37.458,43.9618,DOWN,0
2008-08-01,35.84,35.32,33.884,37.1664,43.9563,DOWN,0
2008-08-04,32.64,35.68,34.194,36.9266,43.9266,UP,1
2008-08-05,33.17,33.12,34.15,36.6842,43.8933,UP,1
2008-08-06,35.29,33.54,34.558,36.521,43.8832,UP,1
2008-08-07,35.61,35.0,34.51,36.3352,43.8681,UP,1
2008-08-08,36.8,35.57,34.702,36.1756,43.8379,UP,1
2008-08-11,36.98,37.5,35.57,35.9762,43.8259,DOWN,0
2008-08-12,36.05,35.87,36.146,35.7706,43.806,DOWN,0
2008-08-13,34.62,34.41,36.012,35.5536,43.7638,DOWN,0
2008-08-14,34.61,34.45,35.812,35.3202,43.7139,DOWN,0
2008-08-15,34.6,35.12,35.372,35.0546,43.6576,DOWN,0
2008-08-18,32.3,34.71,34.436,34.8106,43.5957,DOWN,0
2008-08-19,31.85,32.01,33.596,34.6394,43.5481,DOWN,0
2008-08-20,31.0,31.97,32.872,34.4844,43.4814,DOWN,0
2008-08-21,30.13,30.78,31.976,34.3298,43.4144,DOWN,0
2008-08-22,30.0,30.23,31.056,34.1876,43.337,UP,1
2008-08-25,30.05,30.11,30.606,34.023,43.2903,DOWN,0
2008-08-26,29.31,29.81,30.098,33.8102,43.2492,UP,1
2008-08-27,29.99,29.21,29.896,33.5872,43.2154,UP,1
2008-08-28,31.06,30.06,30.082,33.4148,43.1948,DOWN,0
2008-08-29,30.87,30.79,30.256,33.2194,43.1438,DOWN,0
2008-09-02,29.68,31.41,30.182,33.038,43.0763,DOWN,0
2008-09-03,28.93,29.64,30.106,32.8676,42.9887,DOWN,0
2008-09-04,26.5,28.66,29.408,32.6404,42.8887,UP,1
2008-09-05,28.83,26.57,28.962,32.441,42.8094,DOWN,0
2008-09-08,28.62,29.88,28.512,32.309,42.7344,DOWN,0
2008-09-09,26.43,28.55,27.862,32.1196,42.6605,DOWN,0
2008-09-10,26.1,26.59,27.296,31.9518,42.5792,DOWN,0
2008-09-11,24.8,25.6,26.956,31.7474,42.4974,UP,1
2008-09-12,25.86,24.51,26.362,31.6056,42.4211,DOWN,0
2008-09-15,25.53,25.44,25.744,31.5258,42.3307,UP,1
2008-09-16,25.92,24.45,25.642,31.4948,42.2453,DOWN,0
2008-09-17,23.85,25.27,25.192,31.436,42.1525,UP,1
2008-09-18,28.4,23.44,25.912,31.3794,42.0709,UP,1
2008-09-19,30.74,30.1,26.888,31.375,42.0078,DOWN,0
2008-09-22,26.65,30.38,27.112,31.305,41.9199,DOWN,0
2008-09-23,25.26,26.51,26.98,31.1994,41.826,DOWN,0
2008-09-24,24.3,25.01,27.07,31.0504,41.7287,DOWN,0
2008-09-25,23.63,24.75,26.116,30.84,41.597,DOWN,0
2008-09-26,22.46,22.91,24.46,30.6232,41.4718,DOWN,0
2008-09-29,20.1,21.83,23.15,30.3508,41.3183,UP,1
2008-09-30,20.35,20.2,22.168,30.069,41.1519,UP,1
2008-10-01,20.36,20.21,21.38,29.7902,40.946,DOWN,0
2008-10-02,17.63,20.06,20.18,29.4638,40.7324,DOWN,0
2008-10-03,17.37,18.04,19.162,29.153,40.5209,UP,1
2008-10-06,19.12,16.59,18.966,28.8754,40.317,DOWN,0
2008-10-07,17.77,19.99,18.45,28.609,40.1035,UP,1
2008-10-08,19.28,16.88,18.234,28.3268,39.8996,DOWN,0
2008-10-09,17.35,19.76,18.178,28.0088,39.6843,DOWN,0
2008-10-10,17.2,16.6,18.144,27.6358,39.4061,UP,1
2008-10-13,21.14,18.27,18.548,27.3418,39.1353,UP,1
2008-10-14,21.58,23.0,19.31,27.1206,38.8491,DOWN,0
2008-10-15,18.2,20.51,19.094,26.8212,38.5707,UP,1
2008-10-16,19.0,18.56,19.424,26.4954,38.3152,DOWN,0
2008-10-17,17.59,18.17,19.502,26.135,38.056,UP,1
2008-10-20,18.1,17.94,18.894,25.761,37.826,DOWN,0
2008-10-21,16.02,17.76,17.782,25.3418,37.5993,DOWN,0
2008-10-22,14.25,15.81,16.992,24.9058,37.365,DOWN,0
2008-10-23,12.36,14.33,15.664,24.4606,37.1234,DOWN,0
2008-10-24,12.24,9.83,14.594,24.0132,36.8643,DOWN,0
2008-10-27,11.06,11.87,13.186,23.5424,36.6066,UP,1
2008-10-28,12.13,11.4,12.408,23.139,36.3437,UP,1
2008-10-29,12.89,12.3,12.136,22.7598,36.1083,UP,1
2008-10-30,13.35,13.59,12.334,22.4068,35.9039,UP,1
2008-10-31,13.67,13.19,12.62,22.0776,35.7452,DOWN,0
2008-11-03,13.2,13.78,13.048,21.7416,35.5759,UP,1
2008-11-04,14.92,13.13,13.606,21.439,35.412,DOWN,0
2008-11-05,13.92,14.85,13.812,21.1312,35.2315,DOWN,0
2008-11-06,12.36,13.81,13.614,20.7786,35.0101,DOWN,0
2008-11-07,12.15,12.65,13.31,20.4004,34.8005,DOWN,0
2008-11-10,11.63,12.6,12.996,20.0156,34.6457,DOWN,0
2008-11-11,10.33,11.21,12.078,19.6286,34.4888,UP,1
2008-11-12,10.78,11.45,11.45,19.2656,34.3622,UP,1
2008-11-13,11.17,10.51,11.212,18.959,34.2329,DOWN,0
2008-11-14,10.27,10.9,10.836,18.5878,34.0968,DOWN,0
2008-11-17,10.15,10.27,10.54,18.2184,33.9651,DOWN,0
2008-11-18,10.08,10.27,10.49,17.8914,33.8342,DOWN,0
2008-11-19,9.21,10.09,10.176,17.5536,33.7105,DOWN,0
2008-11-20,8.28,9.0,9.598,17.2232,33.5933,UP,1
2008-11-21,8.88,8.47,9.32,16.8836,33.4791,UP,1
2008-11-24,10.37,9.06,9.364,16.5804,33.3502,UP,1
2008-11-25,10.62,10.56,9.472,16.2744,33.2302,UP,1
2008-11-26,12.1,10.35,10.05,16.0394,33.107,UP,1
2008-11-28,12.32,11.94,10.858,15.7178,32.9916,DOWN,0
2008-12-01,10.25,12.0,11.132,15.308,32.8639,UP,1
2008-12-02,10.81,10.57,11.22,14.9912,32.7448,UP,1
2008-12-03,11.67,10.47,11.43,14.7194,32.6303,DOWN,0
2008-12-04,11.07,11.43,11.224,14.4548,32.5199,UP,1
2008-12-05,11.75,10.9,11.11,14.2172,32.4116,UP,1
2008-12-08,15.98,12.09,12.256,14.0876,32.3224,DOWN,0
2008-12-09,14.35,15.0,12.964,13.9726,32.2272,UP,1
2008-12-10,15.69,14.6,13.768,13.8794,32.1225,DOWN,0
2008-12-11,15.55,15.45,14.664,13.7832,32.0134,UP,1
2008-12-12,17.17,15.0,15.748,13.774,31.9185,DOWN,0
2008-12-15,15.1,17.26,15.572,13.7286,31.806,DOWN,0
2008-12-16,14.97,15.41,15.696,13.6456,31.7015,DOWN,0
2008-12-17,14.58,14.74,15.474,13.5818,31.5888,DOWN,0
2008-12-18,14.55,14.85,15.274,13.4872,31.4653,UP,1
2008-12-19,15.36,14.91,14.912,13.4474,31.3594,DOWN,0
2008-12-22,13.58,15.47,14.608,13.375,31.2575,UP,1
2008-12-23,14.23,13.75,14.46,13.2368,31.1462,DOWN,0
2008-12-24,13.96,14.1,14.336,13.0844,31.0219,UP,1
2008-12-26,14.06,14.05,14.238,13.0016,30.8992,UP,1
2008-12-29,14.1,14.01,13.986,12.9036,30.7785,UP,1
2008-12-30,15.69,14.21,14.408,12.8656,30.6812,UP,1
2008-12-31,16.41,15.75,14.844,12.8318,30.5771,UP,1
2009-01-02,17.58,16.43,15.568,12.863,30.4832,UP,1
2009-01-05,18.77,17.3,16.51,12.9534,30.3953,DOWN,0
2009-01-06,18.47,19.12,17.384,13.0756,30.2952,DOWN,0
2009-01-07,17.1,18.16,17.666,13.1728,30.1784,DOWN,0
2009-01-08,17.0,16.96,17.784,13.2916,30.0557,DOWN,0
2009-01-09,16.23,17.0,17.514,13.3736,29.9424,DOWN,0
2009-01-12,15.48,16.28,16.856,13.4254,29.8346,UP,1
2009-01-13,15.55,15.45,16.272,13.4694,29.7135,DOWN,0
2009-01-14,14.6,15.3,15.772,13.488,29.5824,UP,1
2009-01-15,14.85,15.4,15.342,13.521,29.4606,UP,1
2009-01-16,15.43,15.07,15.182,13.5312,29.3396,DOWN,0
2009-01-20,12.47,15.18,14.58,13.5022,29.1858,UP,1
2009-01-21,13.29,12.98,14.128,13.5208,29.0338,DOWN,0
2009-01-22,12.56,12.8,13.72,13.529,28.8698,UP,1
2009-01-23,12.6,12.17,13.27,13.5484,28.707,UP,1
2009-01-26,13.47,12.86,12.878,13.6112,28.5387,UP,1
2009-01-27,13.55,13.75,13.094,13.6666,28.374,UP,1
2009-01-28,14.29,14.05,13.294,13.729,28.222,DOWN,0
2009-01-29,13.82,14.33,13.546,13.8,28.0619,DOWN,0
2009-01-30,13.41,14.01,13.708,13.8652,27.884,DOWN,0
2009-02-02,12.51,13.21,13.516,13.9138,27.6965,UP,1
2009-02-03,12.94,12.85,13.394,13.9884,27.5099,UP,1
2009-02-04,14.07,13.2,13.35,14.1042,27.3211,UP,1
2009-02-05,14.73,13.97,13.532,14.2212,27.1421,UP,1
2009-02-06,15.39,14.74,13.928,14.3216,26.9621,UP,1
2009-02-09,15.71,14.75,14.568,14.4234,26.7816,DOWN,0
2009-02-10,15.33,15.62,15.046,14.488,26.5987,UP,1
2009-02-11,17.0,15.58,15.632,14.5816,26.4237,DOWN,0
2009-02-12,16.52,16.6,15.99,14.707,26.257,DOWN,0
2009-02-13,16.05,16.59,16.122,14.8118,26.0843,DOWN,0
2009-02-17,14.66,15.6,15.912,14.8716,25.9064,DOWN,0
2009-02-18,14.58,14.78,15.762,14.9418,25.7293,DOWN,0
2009-02-19,14.5,14.75,15.262,14.9968,25.5218,DOWN,0
2009-02-20,14.31,14.12,14.82,14.9634,25.3196,DOWN,0
2009-02-23,13.07,14.41,14.224,14.9378,25.1047,UP,1
2009-02-24,14.74,12.81,14.24,14.9188,24.9034,UP,1
2009-02-25,15.89,14.99,14.502,14.9256,24.7128,UP,1
2009-02-26,16.08,16.25,14.818,14.9038,24.5319,UP,1
2009-02-27,16.71,15.85,15.298,14.936,24.3361,DOWN,0
2009-03-02,15.68,16.42,15.82,14.9502,24.1451,DOWN,0
2009-03-03,15.17,15.91,15.906,14.962,23.9485,UP,1
2009-03-04,15.32,15.59,15.792,14.9774,23.7516,DOWN,0
2009-03-05,14.63,14.76,15.502,14.9628,23.5578,DOWN,0
2009-03-06,14.57,14.83,15.074,14.9826,23.3628,DOWN,0
2009-03-09,14.09,14.4,14.756,14.9798,23.1812,UP,1
2009-03-10,15.61,14.65,14.844,15.0128,23.0361,UP,1
2009-03-11,16.71,15.8,15.122,15.0658,22.8932,UP,1
2009-03-12,17.24,16.85,15.644,15.1286,22.7621,DOWN,0
2009-03-13,17.15,17.28,16.16,15.1578,22.6234,DOWN,0
2009-03-16,16.55,17.27,16.652,15.1606,22.4822,UP,1
2009-03-17,17.03,16.62,16.936,15.1496,22.3326,DOWN,0
2009-03-18,16.89,16.8,16.972,15.112,22.1854,DOWN,0
2009-03-19,16.51,17.03,16.826,15.0728,22.0406,DOWN,0
2009-03-20,16.27,16.73,16.65,15.0562,21.8906,UP,1
2009-03-23,17.25,16.87,16.79,15.0612,21.7374,DOWN,0
2009-03-24,16.88,17.05,16.76,15.0742,21.5993,UP,1
2009-03-25,18.95,17.04,17.172,15.1436,21.492,UP,1
2009-03-26,19.61,19.43,17.792,15.2248,21.3963,DOWN,0
2009-03-27,18.9,19.57,18.318,15.3108,21.3015,DOWN,0
2009-03-30,18.66,18.21,18.6,15.387,21.2093,DOWN,0
2009-03-31,18.55,19.1,18.934,15.4494,21.1106,DOWN,0
2009-04-01,18.53,18.2,18.85,15.5706,21.0035,UP,1
2009-04-02,19.62,19.1,18.852,15.6972,20.8959,DOWN,0
2009-04-03,19.57,19.65,18.986,15.8374,20.7954,UP,1
2009-04-06,19.59,19.5,19.172,15.9772,20.6901,DOWN,0
2009-04-07,19.17,19.15,19.296,16.0912,20.5922,UP,1
2009-04-08,19.42,19.27,19.474,16.2086,20.5021,UP,1
2009-04-09,21.52,19.93,19.854,16.3532,20.4204,UP,1
2009-04-13,21.63,21.07,20.266,16.5094,20.3345,UP,1
2009-04-14,21.76,21.43,20.7,16.6764,20.2672,UP,1
