ticker,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,RJF US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,5.7037,5.8333,5.9627,5.737,5.3737,DOWN,0
2000-02-09,5.5556,5.6852,5.9586,5.7333,5.3722,UP,1
2000-02-10,5.5926,5.5926,5.9546,5.7148,5.3726,DOWN,0
2000-02-11,5.463,5.537,5.95,5.6296,5.37,DOWN,0
2000-02-14,5.4444,5.5,5.9452,5.5519,5.3663,UP,1
2000-02-15,5.5926,5.4815,5.9413,5.5296,5.3645,DOWN,0
2000-02-16,5.5,5.5741,5.937,5.5185,5.3674,DOWN,0
2000-02-17,5.4815,5.5,5.933,5.4963,5.3697,DOWN,0
2000-02-18,5.3333,5.5,5.9283,5.4704,5.3689,UP,1
2000-02-22,5.3519,5.3889,5.9226,5.4519,5.3708,UP,1
2000-02-23,5.4444,5.3704,5.917,5.4222,5.373,UP,1
2000-02-24,5.4815,5.4815,5.9107,5.4185,5.3752,DOWN,0
2000-02-25,5.3333,5.4444,5.9044,5.3889,5.3741,UP,1
2000-02-28,5.6111,5.3889,5.8976,5.4444,5.38,UP,1
2000-02-29,5.8519,5.6296,5.8932,5.5444,5.3922,UP,1
2000-03-01,5.9444,5.8889,5.8892,5.6444,5.4056,UP,1
2000-03-02,5.9815,5.9815,5.8854,5.7444,5.4208,UP,1
2000-03-03,6.0926,5.9259,5.8827,5.8963,5.4363,UP,1
2000-03-06,6.1481,6.0185,5.8797,6.0037,5.4526,DOWN,0
2000-03-07,5.7222,6.0741,5.8747,5.9778,5.4611,DOWN,0
2000-03-08,5.6111,5.7222,5.87,5.9111,5.4682,UP,1
2000-03-09,5.6852,5.537,5.8667,5.8519,5.4778,DOWN,0
2000-03-10,5.6296,5.7407,5.8629,5.7593,5.4822,DOWN,0
2000-03-13,5.5926,5.6481,5.8585,5.6481,5.4844,DOWN,0
2000-03-14,5.5741,5.537,5.8536,5.6185,5.4856,DOWN,0
2000-03-15,5.5741,5.537,5.8493,5.6111,5.4926,UP,1
2000-03-16,5.9444,5.6667,5.8483,5.663,5.5107,DOWN,0
2000-03-17,5.8889,5.6667,5.8474,5.7148,5.5289,UP,1
2000-03-20,5.9815,5.8889,5.8469,5.7926,5.5489,DOWN,0
2000-03-21,5.9259,5.8704,5.8447,5.863,5.5667,DOWN,0
2000-03-22,5.9259,5.9074,5.8426,5.9333,5.5837,DOWN,0
2000-03-23,5.9074,5.9259,5.841,5.9259,5.5993,UP,1
2000-03-24,6.4444,5.9259,5.8419,6.037,5.6244,DOWN,0
2000-03-27,6.1111,6.3704,5.8411,6.063,5.6367,DOWN,0
2000-03-28,5.963,6.1481,5.8393,6.0704,5.6522,UP,1
2000-03-29,5.9815,6.037,5.838,6.0815,5.6644,DOWN,0
2000-03-30,5.9074,5.9815,5.8357,6.0815,5.6785,UP,1
2000-03-31,6.1481,5.9444,5.8346,6.0222,5.6985,DOWN,0
2000-04-03,6.0556,6.1111,5.833,6.0111,5.7178,DOWN,0
2000-04-04,5.6852,5.7593,5.8293,5.9556,5.7278,UP,1
2000-04-05,5.7963,5.6296,5.8262,5.9185,5.737,UP,1
2000-04-06,5.8889,5.6667,5.823,5.9148,5.7467,DOWN,0
2000-04-07,5.6852,5.8333,5.82,5.8222,5.7444,UP,1
2000-04-10,5.7407,5.6852,5.8171,5.7593,5.7481,DOWN,0
2000-04-11,5.6296,5.8148,5.8121,5.7481,5.7481,DOWN,0
2000-04-12,5.6111,5.7037,5.8074,5.7111,5.75,DOWN,0
2000-04-13,5.5,5.6111,5.7993,5.6333,5.7485,DOWN,0
2000-04-14,5.0185,5.4444,5.791,5.5,5.7352,UP,1
2000-04-17,5.0741,5.0185,5.7819,5.3667,5.7189,UP,1
2000-04-18,5.2963,5.0185,5.7718,5.3,5.7081,UP,1
2000-04-19,5.3148,5.4074,5.7639,5.2407,5.7004,DOWN,0
2000-04-20,5.2778,5.2407,5.7553,5.1963,5.6948,UP,1
2000-04-24,5.3333,5.2963,5.7468,5.2593,5.6896,UP,1
2000-04-25,5.6667,5.3704,5.7388,5.3778,5.6937,UP,1
2000-04-26,5.7778,5.6852,5.7321,5.4741,5.7004,UP,1
2000-04-27,5.7963,5.6667,5.7253,5.5704,5.7044,UP,1
2000-04-28,5.963,5.8889,5.7201,5.7074,5.7137,DOWN,0
2000-05-01,5.9259,5.963,5.7154,5.8259,5.7226,DOWN,0
2000-05-02,5.7407,5.8519,5.7106,5.8407,5.7307,DOWN,0
2000-05-03,5.5556,5.6296,5.7052,5.7963,5.7348,UP,1
2000-05-04,5.6296,5.4815,5.7008,5.763,5.7385,UP,1
2000-05-05,5.7037,5.5741,5.6963,5.7111,5.743,DOWN,0
