ticker,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,HCA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-07-12,32.8,33.05,33.594,33.9786,,UP,1
2011-07-13,33.24,32.98,33.444,33.9746,,DOWN,0
2011-07-14,33.22,33.3,33.23,33.9868,,DOWN,0
2011-07-15,33.22,33.27,33.108,33.9802,,DOWN,0
2011-07-18,32.59,33.04,33.014,33.9452,,UP,1
2011-07-19,33.03,33.04,33.06,33.9208,,UP,1
2011-07-20,33.25,33.2,33.062,33.896,,UP,1
2011-07-21,34.43,33.43,33.304,33.8928,,UP,1
2011-07-22,34.61,34.32,33.582,33.8942,,DOWN,0
2011-07-25,27.97,30.05,32.658,33.7634,,UP,1
2011-07-26,28.04,27.67,31.66,33.6322,,DOWN,0
2011-07-27,27.37,27.96,30.484,33.4946,,DOWN,0
2011-07-28,27.22,27.52,29.042,33.3482,,DOWN,0
2011-07-29,26.68,27.03,27.456,33.1804,,DOWN,0
2011-08-01,24.94,26.96,26.85,32.9782,,DOWN,0
2011-08-02,24.64,25.95,26.17,32.7784,,UP,1
2011-08-03,24.76,24.57,25.648,32.5854,,DOWN,0
2011-08-04,22.9,24.63,24.784,32.3536,,DOWN,0
2011-08-05,21.99,23.09,23.846,32.0998,,DOWN,0
2011-08-08,18.19,21.58,22.496,31.767,,UP,1
2011-08-09,18.35,18.51,21.238,31.4392,,UP,1
2011-08-10,18.58,17.8,20.002,31.113,,UP,1
2011-08-11,19.47,18.79,19.316,30.807,,UP,1
2011-08-12,21.22,19.52,19.162,30.5442,,UP,1
2011-08-15,22.58,21.42,20.04,30.313,,DOWN,0
2011-08-16,21.77,22.33,20.724,30.0736,,DOWN,0
2011-08-17,20.99,21.95,21.206,29.803,,DOWN,0
2011-08-18,19.96,20.49,21.304,29.507,,DOWN,0
2011-08-19,19.27,19.67,20.914,29.1876,,DOWN,0
2011-08-22,19.06,19.57,20.21,28.8908,,UP,1
2011-08-23,19.58,19.14,19.772,28.6094,,UP,1
2011-08-24,20.04,19.56,19.582,28.3394,,DOWN,0
2011-08-25,19.06,20.24,19.402,28.0576,,UP,1
2011-08-26,19.5,19.02,19.448,27.7702,,UP,1
2011-08-29,19.98,19.73,19.632,27.478,,DOWN,0
2011-08-30,19.86,19.93,19.688,27.1906,,UP,1
2011-08-31,20.03,19.89,19.686,26.9132,,DOWN,0
2011-09-01,19.19,20.16,19.712,26.6286,,DOWN,0
2011-09-02,18.65,18.82,19.542,26.3374,,UP,1
2011-09-06,18.76,18.08,19.298,26.0676,,UP,1
2011-09-07,19.84,19.1,19.294,25.8148,,DOWN,0
2011-09-08,19.49,19.71,19.186,25.5496,,DOWN,0
2011-09-09,18.3,19.32,19.008,25.2604,,UP,1
2011-09-12,18.4,18.09,18.958,24.9684,,DOWN,0
2011-09-13,17.66,18.07,18.738,24.6604,,UP,1
2011-09-14,18.61,17.71,18.492,24.3692,,UP,1
2011-09-15,20.84,19.96,18.762,24.1062,,UP,1
2011-09-16,21.23,21.26,19.348,23.845,,DOWN,0
2011-09-19,19.81,20.73,19.63,23.5646,,UP,1
2011-09-20,19.9,20.0,20.078,23.3014,,DOWN,0
2011-09-21,19.82,19.89,20.32,23.0418,,UP,1
2011-09-22,19.92,19.03,20.136,22.7754,,DOWN,0
2011-09-23,19.46,19.53,19.782,22.5002,,UP,1
2011-09-26,19.85,19.77,19.79,22.2328,,DOWN,0
2011-09-27,19.83,20.3,19.776,21.9776,,DOWN,0
2011-09-28,19.2,19.88,19.652,21.701,,UP,1
2011-09-29,19.8,19.5,19.628,21.432,,UP,1
2011-09-30,20.16,19.52,19.768,21.1466,,DOWN,0
2011-10-03,18.81,20.09,19.56,20.8306,,DOWN,0
2011-10-04,18.61,18.51,19.316,20.6434,,DOWN,0
2011-10-05,18.07,17.88,19.09,20.444,,UP,1
2011-10-06,18.27,18.11,18.784,20.262,,UP,1
2011-10-07,18.6,18.58,18.472,20.0896,,UP,1
2011-10-10,19.18,18.99,18.546,19.9396,,DOWN,0
2011-10-11,19.1,19.19,18.644,19.8228,,UP,1
2011-10-12,20.32,19.29,19.094,19.7364,,UP,1
2011-10-13,21.13,20.12,19.666,19.6638,,UP,1
2011-10-14,22.05,21.47,20.356,19.6468,,DOWN,0
2011-10-17,21.8,21.95,20.88,19.643,,UP,1
2011-10-18,22.7,21.92,21.6,19.7332,,DOWN,0
2011-10-19,21.94,22.75,21.924,19.805,,DOWN,0
2011-10-20,21.67,21.93,22.032,19.8668,,UP,1
2011-10-21,23.31,22.1,22.284,19.9436,,DOWN,0
2011-10-24,22.8,23.27,22.484,19.9752,,DOWN,0
2011-10-25,22.16,22.59,22.376,19.9668,,UP,1
2011-10-26,22.34,22.52,22.456,19.9782,,UP,1
2011-10-27,22.54,22.95,22.63,20.0092,,UP,1
2011-10-28,22.78,22.48,22.524,20.0656,,UP,1
2011-10-31,23.45,22.68,22.654,20.1492,,UP,1
2011-11-01,23.5,22.94,22.922,20.238,,DOWN,0
2011-11-02,23.35,24.05,23.124,20.3134,,DOWN,0
2011-11-03,23.09,23.0,23.234,20.3744,,UP,1
2011-11-04,23.51,23.23,23.38,20.4634,,UP,1
2011-11-07,24.52,23.35,23.594,20.5638,,UP,1
2011-11-08,25.21,24.38,23.936,20.6684,,DOWN,0
2011-11-09,25.02,24.32,24.27,20.7716,,UP,1
2011-11-10,25.87,25.01,24.826,20.8884,,UP,1
2011-11-11,26.53,26.12,25.43,21.0352,,DOWN,0
2011-11-14,26.53,26.4,25.832,21.1928,,UP,1
2011-11-15,26.61,26.43,26.112,21.3498,,DOWN,0
2011-11-16,25.52,26.52,26.212,21.4634,,DOWN,0
2011-11-17,25.05,25.41,26.048,21.5746,,UP,1
2011-11-18,25.2,25.09,25.782,21.7126,,DOWN,0
2011-11-21,25.04,24.68,25.484,21.8454,,DOWN,0
2011-11-22,23.95,24.93,24.952,21.9712,,DOWN,0
2011-11-23,23.58,23.73,24.564,22.0706,,DOWN,0
2011-11-25,23.46,23.59,24.246,22.123,,UP,1
2011-11-28,23.77,23.86,23.96,22.1738,,UP,1
2011-11-29,24.05,23.9,23.762,22.2586,,UP,1
2011-11-30,24.38,24.68,23.848,22.3482,,DOWN,0
2011-12-01,24.19,24.29,23.97,22.4356,,DOWN,0
2011-12-02,22.45,24.02,23.768,22.4862,,UP,1
2011-12-05,23.65,23.74,23.744,22.57,,DOWN,0
2011-12-06,23.24,23.65,23.582,22.6378,,DOWN,0
2011-12-07,22.67,23.06,23.24,22.6946,,DOWN,0
2011-12-08,21.45,22.53,22.692,22.7396,,DOWN,0
2011-12-09,21.18,21.51,22.438,22.7672,,DOWN,0
2011-12-12,20.66,21.08,21.84,22.7772,,DOWN,0
2011-12-13,20.22,20.68,21.236,22.8054,,UP,1
2011-12-14,20.6,20.16,20.822,22.8452,,UP,1
2011-12-15,21.14,20.63,20.76,22.9066,,UP,1
2011-12-16,21.57,21.42,20.838,22.9726,,DOWN,0
2011-12-19,21.23,21.67,20.952,23.0252,,DOWN,0
2011-12-20,21.06,21.53,21.12,23.0628,27.2585,UP,1
2011-12-21,21.9,21.07,21.38,23.1188,27.218,DOWN,0
2011-12-22,21.88,21.91,21.528,23.15,27.1723,DOWN,0
2011-12-23,21.46,21.8,21.506,23.1566,27.124,DOWN,0
2011-12-27,21.38,21.41,21.536,23.1432,27.0763,DOWN,0
2011-12-28,20.91,21.4,21.506,23.1254,27.0242,UP,1
2011-12-29,21.27,20.93,21.38,23.0968,26.9743,UP,1
2011-12-30,22.03,21.22,21.41,23.0986,26.9249,DOWN,0
2012-01-03,21.64,22.0,21.446,23.098,26.8678,DOWN,0
2012-01-04,20.8,21.5,21.33,23.0478,26.8105,UP,1
2012-01-05,21.29,20.65,21.406,23.0176,26.7576,UP,1
2012-01-06,22.34,21.3,21.62,23.0212,26.7059,DOWN,0
2012-01-09,21.65,22.14,21.544,23.0074,26.6507,UP,1
2012-01-10,22.46,21.98,21.708,23.0058,26.5983,UP,1
2012-01-11,23.8,22.29,22.308,23.0262,26.5521,DOWN,0
2012-01-12,23.32,23.95,22.714,23.0236,26.4992,UP,1
2012-01-13,23.9,23.32,23.026,23.0316,26.4475,UP,1
2012-01-17,24.02,23.92,23.5,23.045,26.3983,UP,1
2012-01-18,24.26,24.05,23.86,23.0684,26.3509,UP,1
2012-01-19,24.51,24.25,24.002,23.0884,26.3051,DOWN,0
2012-01-20,24.5,24.5,24.238,23.088,26.2575,UP,1
2012-01-23,24.64,24.43,24.386,23.0766,26.2142,UP,1
2012-01-24,26.06,24.6,24.794,23.0974,26.1762,UP,1
2012-01-25,27.0,26.12,25.342,23.12,26.1453,DOWN,0
2012-01-26,26.36,26.55,25.712,23.1166,26.1165,DOWN,0
2012-01-27,25.72,26.23,25.956,23.1004,26.0875,DOWN,0
2012-01-30,24.85,25.65,25.998,23.0652,26.0514,DOWN,0
2012-01-31,24.44,25.13,25.674,23.0436,26.0129,UP,1
2012-02-01,24.97,24.83,25.268,23.042,25.9779,UP,1
2012-02-02,25.27,25.04,25.05,23.0434,25.9438,UP,1
2012-02-03,26.46,25.26,25.198,23.0718,25.9174,UP,1
2012-02-06,28.4,28.99,25.908,23.1608,25.9012,UP,1
2012-02-07,28.82,28.48,26.784,23.2656,25.8883,UP,1
2012-02-08,28.97,28.9,27.584,23.3758,25.8761,DOWN,0
2012-02-09,27.8,29.0,28.09,23.4564,25.8551,UP,1
2012-02-10,27.83,27.8,28.364,23.532,25.831,DOWN,0
2012-02-13,27.31,28.13,28.146,23.5906,25.8047,DOWN,0
2012-02-14,25.09,25.21,27.4,23.6086,25.7662,DOWN,0
2012-02-15,24.84,25.23,26.574,23.6564,25.7232,UP,1
2012-02-16,25.94,25.0,26.202,23.7022,25.6898,DOWN,0
2012-02-17,25.08,25.83,25.652,23.739,25.6475,UP,1
2012-02-21,25.17,25.18,25.224,23.789,25.6016,UP,1
2012-02-22,25.6,25.16,25.326,23.872,25.5584,UP,1
2012-02-23,26.07,26.08,25.572,23.9698,25.5163,UP,1
2012-02-24,26.74,26.11,25.732,24.0914,25.477,UP,1
2012-02-27,26.98,26.54,26.112,24.2266,25.4392,DOWN,0
2012-02-28,26.93,26.67,26.464,24.3532,25.4013,DOWN,0
2012-02-29,26.67,26.96,26.678,24.4638,25.3617,DOWN,0
2012-03-01,26.25,26.75,26.714,24.5574,25.3217,DOWN,0
2012-03-02,25.91,26.1,26.548,24.651,25.2785,DOWN,0
2012-03-05,25.88,25.87,26.328,24.7474,25.2326,DOWN,0
2012-03-06,25.16,25.54,25.974,24.8126,25.1831,UP,1
2012-03-07,25.39,25.26,25.718,24.8828,25.1369,DOWN,0
2012-03-08,25.28,25.56,25.524,24.9592,25.0913,UP,1
2012-03-09,25.62,25.43,25.466,25.044,25.0469,DOWN,0
2012-03-12,25.02,25.53,25.294,25.1262,24.9986,UP,1
2012-03-13,25.25,25.18,25.312,25.2058,24.9507,UP,1
2012-03-14,25.76,25.21,25.386,25.2804,24.9058,DOWN,0
2012-03-15,25.42,25.82,25.414,25.356,24.8585,UP,1
2012-03-16,25.44,25.48,25.378,25.4488,24.8118,DOWN,0
2012-03-19,25.16,25.32,25.406,25.5262,24.7658,DOWN,0
2012-03-20,24.67,25.0,25.29,25.5728,24.7185,UP,1
2012-03-21,25.02,24.72,25.142,25.6402,24.6749,DOWN,0
2012-03-22,24.78,24.82,25.014,25.6866,24.6262,UP,1
2012-03-23,25.05,24.95,24.936,25.7116,24.5776,UP,1
2012-03-26,25.31,25.24,24.966,25.7514,24.528,DOWN,0
2012-03-27,24.28,25.3,24.888,25.759,24.4799,DOWN,0
2012-03-28,23.96,24.4,24.676,25.7578,24.4314,DOWN,0
2012-03-29,23.89,23.76,24.498,25.7504,24.3832,UP,1
2012-03-30,24.74,23.92,24.436,25.755,24.3411,UP,1
2012-04-02,25.98,24.7,24.57,25.7846,24.3017,UP,1
2012-04-03,26.92,26.02,25.098,25.8302,24.2633,DOWN,0
2012-04-04,26.86,26.67,25.678,25.8462,24.2265,UP,1
2012-04-05,26.96,26.86,26.292,25.8454,24.1918,DOWN,0
2012-04-09,26.85,26.79,26.714,25.8552,24.1589,DOWN,0
2012-04-10,26.35,26.85,26.788,25.8678,24.1246,UP,1
2012-04-11,26.73,26.57,26.75,25.9054,24.097,UP,1
2012-04-12,27.57,27.5,26.892,25.968,24.0725,DOWN,0
2012-04-13,27.0,27.46,26.9,26.0086,24.0437,UP,1
2012-04-16,27.18,27.04,26.966,26.0468,24.0158,UP,1
2012-04-17,27.61,27.27,27.218,26.0698,23.9889,DOWN,0
2012-04-18,27.49,27.49,27.37,26.0516,23.961,UP,1
2012-04-19,27.6,27.6,27.376,26.0272,23.9332,DOWN,0
2012-04-20,26.98,27.6,27.372,25.9874,23.8981,DOWN,0
2012-04-23,26.26,26.72,27.188,25.9566,23.858,UP,1
2012-04-24,26.86,26.28,27.038,25.9372,23.8231,UP,1
2012-04-25,27.05,26.91,26.95,25.932,23.7931,UP,1
2012-04-26,27.3,26.74,26.89,25.9762,23.7656,DOWN,0
2012-04-27,27.23,27.37,26.94,26.024,23.7355,DOWN,0
2012-04-30,26.92,27.38,27.072,26.0436,23.704,UP,1
2012-05-01,27.56,27.02,27.212,26.0932,23.6757,DOWN,0
2012-05-02,26.99,27.36,27.2,26.1296,23.6477,DOWN,0
2012-05-03,26.76,27.04,27.092,26.1528,23.6164,DOWN,0
2012-05-04,26.69,26.96,26.984,26.1652,23.5836,DOWN,0
2012-05-07,26.26,26.57,26.852,26.1556,23.5427,UP,1
2012-05-08,26.6,25.97,26.66,26.148,23.5027,DOWN,0
2012-05-09,26.44,26.3,26.55,26.1382,23.495,DOWN,0
2012-05-10,26.27,26.49,26.452,26.1302,23.4862,DOWN,0
2012-05-11,26.25,26.12,26.364,26.1302,23.4806,DOWN,0
2012-05-14,25.89,26.09,26.29,26.1298,23.4739,DOWN,0
2012-05-15,25.72,25.79,26.114,26.1266,23.4691,DOWN,0
2012-05-16,25.37,25.93,25.9,26.1308,23.4713,UP,1
2012-05-17,25.44,25.47,25.734,26.1318,23.4753,DOWN,0
2012-05-18,24.63,25.45,25.41,26.1188,23.4746,UP,1
