ticker,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,4.125,4.1094,5.7996,4.1203,4.7619,UP,1
2000-02-09,4.1641,4.125,5.7856,4.1406,4.7436,UP,1
2000-02-10,4.2031,4.1328,5.7698,4.1438,4.7264,DOWN,0
2000-02-11,4.1641,4.2344,5.7546,4.1484,4.7078,UP,1
2000-02-14,4.2109,4.1563,5.7402,4.1734,4.6916,UP,1
2000-02-15,4.25,4.2266,5.7266,4.1984,4.6752,DOWN,0
2000-02-16,4.1172,4.2344,5.7114,4.1891,4.6578,DOWN,0
2000-02-17,4.0234,4.1406,5.6956,4.1531,4.6383,DOWN,0
2000-02-18,3.9297,4.0547,5.6795,4.1063,4.6166,UP,1
2000-02-22,3.9375,3.9375,5.6629,4.0516,4.5953,DOWN,0
2000-02-23,3.875,3.9297,5.6454,3.9766,4.5731,DOWN,0
2000-02-24,3.7578,3.8438,5.6271,3.9047,4.5508,UP,1
2000-02-25,3.875,3.7891,5.6095,3.875,4.5302,UP,1
2000-02-28,3.8828,3.8672,5.5916,3.8656,4.5084,UP,1
2000-02-29,4.0,3.875,5.5743,3.8781,4.4883,UP,1
2000-03-01,4.0625,3.9844,5.5583,3.9156,4.472,UP,1
2000-03-02,4.125,4.0313,5.5428,3.9891,4.4573,DOWN,0
2000-03-03,4.0781,4.1563,5.5268,4.0297,4.4408,UP,1
2000-03-06,4.0859,4.1094,5.5113,4.0703,4.4241,DOWN,0
2000-03-07,3.9922,4.0859,5.4953,4.0688,4.4034,DOWN,0
2000-03-08,3.9141,4.0,5.4796,4.0391,4.3834,DOWN,0
2000-03-09,3.875,3.9141,5.4641,3.9891,4.3595,UP,1
2000-03-10,3.9688,3.875,5.4496,3.9672,4.3378,UP,1
2000-03-13,4.0547,3.875,5.4363,3.9609,4.3178,UP,1
2000-03-14,4.0703,4.0625,5.422,3.9766,4.298,UP,1
2000-03-15,4.1563,4.0703,5.408,4.025,4.2844,UP,1
2000-03-16,4.3438,4.2031,5.3946,4.1188,4.2745,UP,1
2000-03-17,4.5625,4.3203,5.3812,4.2375,4.2686,DOWN,0
2000-03-20,4.5234,4.4688,5.3678,4.3313,4.2631,UP,1
2000-03-21,4.5938,4.5313,5.355,4.4359,4.2564,DOWN,0
2000-03-22,4.5703,4.5938,5.3421,4.5188,4.2503,UP,1
2000-03-23,4.6563,4.5703,5.3299,4.5813,4.2463,DOWN,0
2000-03-24,4.6094,4.6875,5.3181,4.5906,4.2414,DOWN,0
2000-03-27,4.5234,4.6094,5.3063,4.5906,4.2342,DOWN,0
2000-03-28,4.5078,4.5391,5.2943,4.5734,4.2275,DOWN,0
2000-03-29,4.3906,4.5078,5.2819,4.5375,4.2202,UP,1
2000-03-30,4.5391,4.3906,5.2705,4.5141,4.2169,UP,1
2000-03-31,4.9219,4.5781,5.2603,4.5766,4.2217,DOWN,0
2000-04-03,4.7422,4.9219,5.2492,4.6203,4.2231,DOWN,0
2000-04-04,4.6563,4.7813,5.238,4.65,4.2248,UP,1
2000-04-05,4.8281,4.625,5.2279,4.7375,4.2322,UP,1
2000-04-06,4.9063,4.8516,5.2182,4.8109,4.2416,UP,1
2000-04-07,4.9141,4.9219,5.2084,4.8094,4.253,UP,1
2000-04-10,4.9531,4.9375,5.1985,4.8516,4.2675,UP,1
2000-04-11,5.0,4.9531,5.1882,4.9203,4.2834,UP,1
2000-04-12,5.2031,5.0156,5.1791,4.9953,4.3064,DOWN,0
2000-04-13,5.1094,5.1719,5.1703,5.0359,4.3273,DOWN,0
2000-04-14,4.8672,5.125,5.1598,5.0266,4.3409,DOWN,0
2000-04-17,4.7344,4.875,5.1478,4.9828,4.3528,UP,1
2000-04-18,4.8984,4.75,5.1364,4.9625,4.3691,UP,1
2000-04-19,4.9844,4.9688,5.1257,4.9188,4.3863,DOWN,0
2000-04-20,4.9453,4.9844,5.1148,4.8859,4.4019,DOWN,0
2000-04-24,4.9141,4.9531,5.1038,4.8953,4.4161,UP,1
2000-04-25,5.2188,4.9688,5.0948,4.9922,4.4372,DOWN,0
2000-04-26,5.2188,5.25,5.0861,5.0563,4.4573,DOWN,0
2000-04-27,5.1172,5.1797,5.0771,5.0828,4.4747,UP,1
2000-04-28,5.2266,5.1406,5.0687,5.1391,4.4969,UP,1
2000-05-01,5.2656,5.2344,5.061,5.2094,4.5217,DOWN,0
2000-05-02,5.2578,5.2734,5.0533,5.2172,4.5483,DOWN,0
2000-05-03,5.0,5.25,5.0446,5.1734,4.5695,UP,1
2000-05-04,5.1172,5.0313,5.0359,5.1734,4.5944,UP,1
2000-05-05,5.2344,5.1563,5.0286,5.175,4.6239,DOWN,0
2000-05-08,5.1328,5.2188,5.021,5.1484,4.6491,UP,1
2000-05-09,5.2969,5.125,5.015,5.1563,4.6773,UP,1
2000-05-10,5.3281,5.2969,5.0087,5.2219,4.7039,UP,1
2000-05-11,5.4922,5.375,5.0032,5.2969,4.7325,DOWN,0
2000-05-12,5.4141,5.4922,4.9984,5.3328,4.7583,DOWN,0
2000-05-15,5.375,5.4297,4.9935,5.3813,4.7842,UP,1
2000-05-16,5.5156,5.4219,4.99,5.425,4.8128,DOWN,0
2000-05-17,5.4609,5.4844,4.9866,5.4516,4.8422,DOWN,0
2000-05-18,5.4219,5.4609,4.9821,5.4375,4.8723,DOWN,0
2000-05-19,5.375,5.4219,4.9785,5.4297,4.9023,DOWN,0
2000-05-22,5.2188,5.3594,4.9743,5.3984,4.9273,DOWN,0
2000-05-23,5.1641,5.1875,4.9699,5.3281,4.9495,UP,1
2000-05-24,5.1875,5.1797,4.9666,5.2734,4.9719,DOWN,0
2000-05-25,5.1484,5.2031,4.9627,5.2188,4.9917,DOWN,0
2000-05-26,4.9766,5.125,4.958,5.1391,5.0044,UP,1
2000-05-30,5.0938,4.9766,4.9539,5.1141,5.015,DOWN,0
2000-05-31,4.9688,5.0781,4.9496,5.075,5.0239,UP,1
2000-06-01,5.0781,4.9844,4.9453,5.0531,5.0336,DOWN,0
2000-06-02,5.0703,5.0938,4.9402,5.0375,5.0436,UP,1
2000-06-05,5.125,5.0547,4.9352,5.0672,5.053,DOWN,0
2000-06-06,5.0078,5.1328,4.9295,5.05,5.0609,UP,1
2000-06-07,5.0234,5.0234,4.9236,5.0609,5.0709,DOWN,0
2000-06-08,4.8984,5.0313,4.9177,5.025,5.0788,DOWN,0
2000-06-09,4.7344,4.9063,4.9104,4.9578,5.0856,UP,1
2000-06-12,4.8281,4.75,4.9037,4.8984,5.0914,DOWN,0
2000-06-13,4.8125,4.7969,4.8975,4.8594,5.0892,DOWN,0
2000-06-14,4.7344,4.7813,4.8911,4.8016,5.0891,DOWN,0
2000-06-15,4.6328,4.7031,4.8847,4.7484,5.0886,DOWN,0
2000-06-16,4.4766,4.6094,4.8773,4.6969,5.0816,UP,1
2000-06-19,4.5234,4.5078,4.871,4.6359,5.0739,DOWN,0
2000-06-20,4.4844,4.5547,4.8644,4.5703,5.0653,DOWN,0
2000-06-21,4.4531,4.5,4.857,4.5141,5.0553,UP,1
2000-06-22,4.5234,4.5156,4.85,4.4922,5.0458,UP,1
2000-06-23,4.5781,4.5234,4.8436,4.5125,5.0333,UP,1
2000-06-26,4.5938,4.6094,4.8375,4.5266,5.023,UP,1
2000-06-27,4.6094,4.5781,4.8311,4.5516,5.0178,UP,1
2000-06-28,4.625,4.6172,4.8256,4.5859,5.0156,DOWN,0
2000-06-29,4.6094,4.625,4.8204,4.6031,5.0098,DOWN,0
2000-06-30,4.3906,4.625,4.8149,4.5656,4.998,UP,1
2000-07-03,4.625,4.4219,4.8104,4.5719,4.9916,DOWN,0
2000-07-05,4.6016,4.5781,4.8059,4.5703,4.9853,DOWN,0
2000-07-06,4.5859,4.6016,4.8019,4.5625,4.9727,DOWN,0
2000-07-07,4.4844,4.6016,4.797,4.5375,4.958,UP,1
2000-07-10,4.625,4.5156,4.7938,4.5844,4.9481,DOWN,0
2000-07-11,4.5938,4.625,4.7906,4.5781,4.9355,UP,1
2000-07-12,4.625,4.625,4.7868,4.5828,4.9227,DOWN,0
2000-07-13,4.5781,4.625,4.7833,4.5813,4.9091,UP,1
2000-07-14,4.5859,4.5625,4.7806,4.6016,4.9008,UP,1
2000-07-17,4.6016,4.5703,4.7767,4.5969,4.8905,DOWN,0
2000-07-18,4.5938,4.5781,4.7734,4.5969,4.8777,UP,1
2000-07-19,4.6172,4.6016,4.7697,4.5953,4.8673,DOWN,0
2000-07-20,4.6172,4.6172,4.7676,4.6031,4.8538,DOWN,0
2000-07-21,4.5,4.5781,4.7645,4.5859,4.8372,DOWN,0
2000-07-24,4.4844,4.4844,4.7606,4.5625,4.817,DOWN,0
2000-07-25,4.4531,4.4844,4.7566,4.5344,4.7978,DOWN,0
2000-07-26,4.3359,4.4688,4.7517,4.4781,4.777,DOWN,0
2000-07-27,4.3047,4.3438,4.7469,4.4156,4.7528,DOWN,0
2000-07-28,4.1719,4.2813,4.7415,4.35,4.727,UP,1
