ticker,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,144.3125,143.9688,136.2463,142.7063,142.8394,DOWN,0
2000-02-09,141.2813,144.4688,136.2665,142.75,142.8463,UP,1
2000-02-10,141.5625,141.625,136.2974,142.425,142.8919,DOWN,0
2000-02-11,138.6875,141.8438,136.3192,141.6438,142.8575,UP,1
2000-02-14,139.5,139.7813,136.3504,141.0688,142.8225,UP,1
2000-02-15,141.0938,139.25,136.3774,140.425,142.7675,DOWN,0
2000-02-16,139.0,140.375,136.4037,139.9688,142.6919,DOWN,0
2000-02-17,138.2813,140.4375,136.421,139.3125,142.625,DOWN,0
2000-02-18,135.3125,138.875,136.4277,138.6375,142.5169,DOWN,0
2000-02-22,134.9688,135.1875,136.4275,137.7313,142.3881,UP,1
2000-02-23,136.5625,135.625,136.4387,136.825,142.2819,DOWN,0
2000-02-24,133.8125,136.6875,136.4293,135.7875,142.1156,DOWN,0
2000-02-25,133.3281,135.1875,136.4122,134.7969,141.9672,UP,1
2000-02-28,136.125,133.375,136.4061,134.9594,141.8597,UP,1
2000-02-29,137.4375,136.0625,136.4244,135.4531,141.7659,UP,1
2000-03-01,138.4375,137.625,136.4456,135.8281,141.6809,UP,1
2000-03-02,138.5313,138.6875,136.4686,136.7719,141.6184,UP,1
2000-03-03,141.125,140.4375,136.4997,138.3313,141.5647,DOWN,0
2000-03-06,139.75,140.8125,136.528,139.0563,141.4759,DOWN,0
2000-03-07,137.0469,140.0,136.5465,138.9781,141.2872,DOWN,0
2000-03-08,136.875,136.4688,136.5753,138.6656,141.0991,UP,1
2000-03-09,140.875,137.25,136.6346,139.1344,140.9928,DOWN,0
2000-03-10,140.125,140.1875,136.6831,138.9344,140.8591,DOWN,0
2000-03-13,138.5938,136.6875,136.7332,138.7031,140.6981,DOWN,0
2000-03-14,136.625,139.2813,136.7653,138.6188,140.4931,UP,1
