ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,18.375,17.875,30.1617,18.65,19.9363,DOWN,0
2000-02-10,18.313,18.063,30.0427,18.5875,19.905,DOWN,0
2000-02-11,17.5,18.125,29.9149,18.2625,19.8513,UP,1
2000-02-14,18.063,17.75,29.7899,18.125,19.8113,UP,1
2000-02-15,18.125,18.0,29.6577,18.075,19.7738,DOWN,0
2000-02-16,17.75,17.5,29.528,17.95,19.7375,UP,1
2000-02-17,18.0,17.938,29.3974,17.8875,19.705,DOWN,0
2000-02-18,17.438,17.75,29.2627,17.875,19.6538,UP,1
2000-02-22,18.0,17.063,29.1355,17.8625,19.6163,DOWN,0
2000-02-23,17.813,17.938,29.0124,17.8,19.5763,DOWN,0
2000-02-24,17.563,17.625,28.8955,17.7625,19.53,UP,1
2000-02-25,17.75,17.625,28.7692,17.7125,19.4813,DOWN,0
2000-02-28,17.5,17.563,28.6511,17.725,19.4313,DOWN,0
2000-02-29,17.438,17.438,28.5299,17.6125,19.3738,UP,1
2000-03-01,17.688,17.438,28.4102,17.5875,19.3213,DOWN,0
2000-03-02,17.125,17.5,28.2908,17.5,19.265,DOWN,0
2000-03-03,17.0,17.063,28.1721,17.35,19.2087,UP,1
2000-03-06,18.0,17.75,28.0577,17.45,19.175,DOWN,0
2000-03-07,17.313,18.0,27.938,17.425,19.1263,UP,1
2000-03-08,17.625,17.25,27.8199,17.4125,19.085,DOWN,0
2000-03-09,17.125,17.5,27.7008,17.4125,19.0363,DOWN,0
2000-03-10,16.813,17.125,27.5758,17.375,18.975,UP,1
2000-03-13,16.938,16.813,27.4624,17.1625,18.9075,DOWN,0
2000-03-14,16.625,17.0,27.3433,17.025,18.8025,UP,1
2000-03-15,17.125,16.625,27.2186,16.925,18.74,UP,1
2000-03-16,18.063,17.188,27.1014,17.1125,18.6825,DOWN,0
2000-03-17,18.0,18.063,26.9889,17.35,18.6213,DOWN,0
2000-03-20,17.762,18.0,26.874,17.5149,18.549,DOWN,0
2000-03-21,17.313,17.25,26.753,17.6524,18.4665,DOWN,0
2000-03-22,17.125,17.25,26.6365,17.6524,18.3965,DOWN,0
2000-03-23,17.063,17.063,26.5474,17.4524,18.339,UP,1
2000-03-24,17.5,17.063,26.4646,17.3524,18.2652,UP,1
2000-03-27,17.813,17.5,26.3834,17.3625,18.2065,UP,1
2000-03-28,18.75,18.25,26.304,17.65,18.1715,UP,1
2000-03-29,19.25,18.563,26.2265,18.075,18.1565,UP,1
