ticker,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,41.0313,41.2188,47.8141,41.4313,45.8656,DOWN,0
2000-02-09,40.0,41.0313,47.7592,40.8938,45.615,DOWN,0
2000-02-10,39.0,39.9063,47.7055,40.3625,45.3575,DOWN,0
2000-02-11,38.7207,38.875,47.6524,39.8941,45.1069,UP,1
2000-02-14,38.8125,38.4688,47.6027,39.5129,44.8823,UP,1
2000-02-15,39.8438,38.8438,47.5575,39.2754,44.7067,UP,1
2000-02-16,39.9063,40.125,47.5195,39.2566,44.5367,DOWN,0
2000-02-17,39.5938,40.4688,47.4825,39.3754,44.3948,DOWN,0
2000-02-18,38.7188,39.25,47.432,39.375,44.2571,UP,1
2000-02-22,39.3125,39.0,47.3883,39.475,44.1109,DOWN,0
2000-02-23,38.0625,39.0625,47.3452,39.1188,43.9284,DOWN,0
2000-02-24,36.875,37.5,47.2975,38.5125,43.7341,DOWN,0
2000-02-25,36.0,36.2813,47.2408,37.7938,43.5122,UP,1
2000-02-28,36.375,36.0,47.1845,37.325,43.293,DOWN,0
2000-02-29,36.0,36.625,47.1324,36.6625,43.0668,UP,1
2000-03-01,36.6875,36.125,47.0864,36.3875,42.8518,UP,1
2000-03-02,36.8438,36.5,47.0447,36.3813,42.6688,DOWN,0
2000-03-03,36.75,37.125,46.995,36.5313,42.4938,DOWN,0
2000-03-06,35.25,36.4688,46.9338,36.3063,42.2832,DOWN,0
2000-03-07,34.25,35.25,46.8738,35.9563,42.0125,UP,1
2000-03-08,35.5,33.8438,46.825,35.7188,41.745,UP,1
2000-03-09,36.3438,35.5,46.7872,35.6188,41.5175,DOWN,0
2000-03-10,35.4375,36.3438,46.7394,35.3563,41.3019,DOWN,0
2000-03-13,35.0,34.8125,46.6888,35.3063,41.0669,UP,1
2000-03-14,36.375,35.9063,46.6391,35.7313,40.8619,UP,1
2000-03-15,38.4688,36.125,46.5999,36.325,40.7094,UP,1
2000-03-16,39.9063,39.9375,46.5702,37.0375,40.6194,DOWN,0
2000-03-17,39.7813,39.6563,46.5349,37.9063,40.5175,DOWN,0
2000-03-20,39.6563,39.8438,46.4914,38.8375,40.385,UP,1
2000-03-21,40.125,39.0625,46.4522,39.5875,40.2225,UP,1
2000-03-22,41.125,40.4375,46.4259,40.1188,40.1044,DOWN,0
2000-03-23,40.0,40.625,46.3964,40.1375,39.9607,DOWN,0
2000-03-24,36.125,36.5,46.3533,39.4063,39.7482,DOWN,0
2000-03-27,34.875,35.5,46.3005,38.45,39.5119,UP,1
2000-03-28,36.0,34.7188,46.2539,37.625,39.295,DOWN,0
2000-03-29,35.5313,35.0313,46.2049,36.5063,39.0925,DOWN,0
2000-03-30,35.375,35.2813,46.1545,35.5813,38.8838,DOWN,0
2000-03-31,35.125,35.5,46.1003,35.3813,38.68,UP,1
2000-04-03,36.125,35.3125,46.0541,35.6313,38.5038,UP,1
2000-04-04,38.375,36.5938,46.0208,36.1063,38.4344,UP,1
2000-04-05,38.75,38.0,45.9875,36.75,38.3569,DOWN,0
2000-04-06,37.4375,38.625,45.9484,37.1625,38.2707,DOWN,0
2000-04-07,37.0313,38.125,45.9047,37.5438,38.2063,UP,1
2000-04-10,38.0,37.4063,45.8681,37.9188,38.1213,UP,1
2000-04-11,39.125,38.0,45.8366,38.0688,38.0432,DOWN,0
2000-04-12,38.5,38.8438,45.7941,38.0188,37.965,DOWN,0
2000-04-13,38.125,38.0313,45.7397,38.1563,37.8738,DOWN,0
2000-04-14,36.6563,37.5625,45.6794,38.0813,37.7738,UP,1
2000-04-17,38.75,37.8125,45.6295,38.2313,37.7275,UP,1
2000-04-18,40.75,40.0,45.5911,38.5563,37.7282,UP,1
2000-04-19,41.125,40.75,45.552,39.0813,37.73,DOWN,0
2000-04-20,40.8125,41.0625,45.5169,39.6188,37.7463,UP,1
2000-04-24,41.9375,40.75,45.4864,40.675,37.805,UP,1
2000-04-25,42.1563,41.8438,45.4536,41.3563,37.8738,DOWN,0
2000-04-26,41.375,42.0313,45.4186,41.4813,37.925,UP,1
2000-04-27,41.5,41.125,45.3858,41.5563,37.9581,DOWN,0
2000-04-28,41.25,41.375,45.3502,41.6438,37.985,UP,1
2000-05-01,41.3438,41.125,45.3131,41.525,38.02,UP,1
2000-05-02,42.0938,41.0625,45.2838,41.5125,38.0875,DOWN,0
2000-05-03,41.625,42.0625,45.2508,41.5625,38.1338,DOWN,0
2000-05-04,41.5313,41.5,45.2149,41.5688,38.2031,UP,1
2000-05-05,42.0,41.5938,45.1789,41.7188,38.3056,UP,1
2000-05-08,43.875,42.4688,45.1538,42.225,38.4631,DOWN,0
