ticker,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,1.4583,1.4792,3.1075,1.4917,2.0325,DOWN,0
2000-02-09,1.4167,1.4583,3.0911,1.4625,2.0138,DOWN,0
2000-02-10,1.3333,1.4167,3.075,1.425,1.9929,UP,1
2000-02-11,1.3542,1.3333,3.0579,1.4042,1.975,DOWN,0
2000-02-14,1.25,1.3542,3.041,1.3625,1.9533,UP,1
2000-02-15,1.2917,1.25,3.0242,1.3292,1.9325,DOWN,0
2000-02-16,1.2917,1.3125,3.007,1.3042,1.9117,UP,1
2000-02-17,1.3125,1.3125,2.9896,1.3,1.8933,DOWN,0
2000-02-18,1.2708,1.2708,2.9716,1.2833,1.8729,DOWN,0
2000-02-22,1.2708,1.2708,2.9535,1.2875,1.8538,UP,1
2000-02-23,1.2917,1.3125,2.9345,1.2875,1.8346,DOWN,0
2000-02-24,1.2917,1.3125,2.9168,1.2875,1.8146,DOWN,0
2000-02-25,1.1667,1.3125,2.8966,1.2583,1.7921,DOWN,0
2000-02-28,1.0417,1.1667,2.8752,1.2125,1.7671,DOWN,0
2000-02-29,1.0,1.0833,2.8545,1.1583,1.7425,DOWN,0
2000-03-01,0.9583,1.0,2.8345,1.0917,1.7179,UP,1
2000-03-02,1.0417,0.8333,2.815,1.0417,1.6967,DOWN,0
2000-03-03,1.0,1.0625,2.7951,1.0083,1.6758,UP,1
2000-03-06,1.1667,1.0833,2.7748,1.0333,1.6583,DOWN,0
2000-03-07,1.1667,1.1667,2.7549,1.0667,1.6396,DOWN,0
2000-03-08,1.1458,1.1667,2.7353,1.1042,1.6217,DOWN,0
2000-03-09,1.1042,1.125,2.7159,1.1167,1.6021,DOWN,0
2000-03-10,1.0417,1.1042,2.6961,1.125,1.5813,DOWN,0
2000-03-13,0.9583,1.0208,2.6753,1.0833,1.5579,UP,1
2000-03-14,1.0,0.9792,2.6547,1.05,1.5333,DOWN,0
2000-03-15,0.8958,1.0,2.6343,1.0,1.5054,UP,1
2000-03-16,0.9583,0.8958,2.6143,0.9708,1.4796,DOWN,0
2000-03-17,0.9583,0.9167,2.5942,0.9542,1.4575,DOWN,0
2000-03-20,0.8958,0.9375,2.5736,0.9417,1.4354,DOWN,0
2000-03-21,0.8542,0.875,2.5529,0.9125,1.4083,DOWN,0
2000-03-22,0.8542,0.8542,2.5324,0.9042,1.3804,DOWN,0
2000-03-23,0.8542,0.8542,2.5122,0.8833,1.3529,UP,1
2000-03-24,1.0,0.875,2.4928,0.8917,1.3288,DOWN,0
2000-03-27,0.875,0.9792,2.4722,0.8875,1.3,DOWN,0
2000-03-28,0.875,0.875,2.4518,0.8917,1.2696,UP,1
2000-03-29,0.8958,0.875,2.4324,0.9,1.2396,UP,1
2000-03-30,0.9792,0.9167,2.4129,0.925,1.2267,UP,1
2000-03-31,1.0417,1.0,2.394,0.9333,1.2121,DOWN,0
2000-04-03,1.0,1.0625,2.3743,0.9583,1.1937,UP,1
2000-04-04,1.0208,1.0417,2.3548,0.9875,1.1808,DOWN,0
2000-04-05,1.0208,1.0208,2.3356,1.0125,1.1683,UP,1
2000-04-06,1.0417,1.0417,2.3167,1.025,1.1562,UP,1
2000-04-07,1.0625,1.0417,2.2988,1.0292,1.1458,UP,1
2000-04-10,1.1667,1.125,2.2813,1.0625,1.1387,UP,1
2000-04-11,1.4792,1.1667,2.2646,1.1542,1.1375,DOWN,0
2000-04-12,1.1667,1.3958,2.2454,1.1833,1.1304,DOWN,0
2000-04-13,1.1042,1.1667,2.225,1.1958,1.1212,DOWN,0
2000-04-14,0.8958,1.0625,2.204,1.1625,1.1087,UP,1
2000-04-17,0.9167,0.9167,2.1833,1.1125,1.0979,UP,1
