ticker,TROW US Equity,TROW US Equity,TROW US Equity,TROW US Equity,TROW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,18.3438,18.5938,17.4826,18.8563,18.3955,DOWN,0
2000-02-09,17.9688,18.3438,17.4751,18.4875,18.4011,DOWN,0
2000-02-10,17.8438,18.0,17.4671,18.2125,18.398,DOWN,0
2000-02-11,17.5469,17.8125,17.4577,18.0094,18.3927,DOWN,0
2000-02-14,16.8438,17.6719,17.4477,17.7094,18.3645,UP,1
2000-02-15,17.6563,16.75,17.4397,17.5719,18.3408,UP,1
2000-02-16,17.6875,17.625,17.4322,17.5156,18.3283,DOWN,0
2000-02-17,16.6563,17.6875,17.4211,17.2781,18.2727,DOWN,0
2000-02-18,16.2188,16.5625,17.4038,17.0125,18.2227,UP,1
2000-02-22,16.3125,16.625,17.3894,16.9063,18.1856,DOWN,0
2000-02-23,16.1563,16.2188,17.3749,16.6063,18.145,UP,1
2000-02-24,17.6875,16.25,17.3646,16.6063,18.1375,DOWN,0
2000-02-25,17.0938,17.7188,17.3502,16.6938,18.1306,UP,1
2000-02-28,17.125,17.1563,17.3336,16.875,18.1284,DOWN,0
2000-02-29,16.4688,17.125,17.3215,16.9063,18.1216,UP,1
2000-03-01,16.6563,16.6563,17.3106,17.0063,18.1097,UP,1
2000-03-02,17.1563,16.75,17.3011,16.9,18.1041,DOWN,0
2000-03-03,17.0313,17.375,17.2878,16.8875,18.0922,DOWN,0
2000-03-06,16.8125,17.0,17.2731,16.825,18.0759,DOWN,0
2000-03-07,16.2813,17.0,17.2607,16.7875,18.0478,DOWN,0
2000-03-08,15.4375,16.125,17.2454,16.5438,17.9978,UP,1
2000-03-09,15.9375,15.4375,17.2354,16.3,17.9616,UP,1
2000-03-10,16.0313,15.7188,17.2223,16.1,17.9122,DOWN,0
2000-03-13,15.375,15.5625,17.2051,15.8125,17.8597,DOWN,0
2000-03-14,15.0938,15.4063,17.184,15.575,17.7922,UP,1
2000-03-15,17.4375,15.2188,17.1753,15.975,17.7897,UP,1
2000-03-16,18.0,17.8125,17.1683,16.3875,17.8091,UP,1
2000-03-17,18.1875,17.2813,17.1649,16.8188,17.8328,DOWN,0
2000-03-20,18.0313,18.1875,17.1629,17.35,17.8434,DOWN,0
2000-03-21,18.0,18.0,17.1626,17.9313,17.8559,DOWN,0
2000-03-22,17.5313,17.9375,17.1653,17.95,17.8553,UP,1
2000-03-23,19.0938,17.4063,17.1732,18.1688,17.8872,UP,1
2000-03-24,19.2813,18.9375,17.1864,18.3875,17.9078,DOWN,0
2000-03-27,18.25,19.875,17.1939,18.4313,17.8878,DOWN,0
2000-03-28,18.0313,18.0938,17.2013,18.4375,17.8578,UP,1
2000-03-29,18.2813,18.4063,17.2091,18.5875,17.8478,UP,1
2000-03-30,19.1563,18.0313,17.2179,18.6,17.8497,UP,1
2000-03-31,19.75,19.3125,17.2296,18.6938,17.8634,DOWN,0
2000-04-03,19.2188,19.7188,17.2382,18.8875,17.8484,DOWN,0
2000-04-04,18.5625,19.1875,17.2426,18.9938,17.8247,UP,1
2000-04-05,19.25,18.625,17.249,19.1875,17.7859,DOWN,0
2000-04-06,19.25,19.3281,17.255,19.2063,17.7509,UP,1
2000-04-07,20.2188,19.375,17.2664,19.3,17.7628,DOWN,0
2000-04-10,20.125,20.3125,17.2775,19.4813,17.8003,UP,1
2000-04-11,20.2344,20.2734,17.2877,19.8156,17.8163,DOWN,0
2000-04-12,19.6563,20.25,17.2927,19.8969,17.8181,DOWN,0
2000-04-13,18.75,19.8672,17.2905,19.7969,17.7969,DOWN,0
2000-04-14,17.1875,18.5625,17.2786,19.1906,17.7563,UP,1
2000-04-17,18.1875,16.75,17.2697,18.8031,17.7488,UP,1
2000-04-18,19.5938,18.0,17.2682,18.675,17.7738,DOWN,0
2000-04-19,19.4688,19.5938,17.2713,18.6375,17.7963,UP,1
2000-04-20,19.9063,19.5313,17.2808,18.8688,17.835,DOWN,0
2000-04-24,19.9063,18.875,17.2938,19.4125,17.8763,UP,1
2000-04-25,20.5156,20.1875,17.3073,19.8781,17.9356,DOWN,0
2000-04-26,19.5,19.1563,17.3164,19.8594,17.9888,DOWN,0
2000-04-27,18.7188,19.0,17.3213,19.7094,18.01,UP,1
2000-04-28,19.0625,18.9219,17.325,19.5406,18.0375,DOWN,0
2000-05-01,18.9063,19.1094,17.3319,19.3406,18.0825,UP,1
2000-05-02,19.0625,18.875,17.3397,19.05,18.1394,DOWN,0
2000-05-03,17.5,18.5,17.3386,18.65,18.1631,DOWN,0
2000-05-04,16.75,17.75,17.3306,18.2563,18.175,UP,1
2000-05-05,17.25,17.0625,17.3242,17.8938,18.1663,UP,1
2000-05-08,17.5703,17.3438,17.3242,17.6266,18.1758,DOWN,0
2000-05-09,17.4063,17.8438,17.3231,17.2953,18.1814,DOWN,0
2000-05-10,16.75,17.2188,17.3169,17.1453,18.187,DOWN,0
2000-05-11,16.6563,17.0313,17.3114,17.1266,18.187,DOWN,0
2000-05-12,16.5078,16.6563,17.3093,16.9781,18.1741,UP,1
2000-05-15,19.0625,16.5938,17.3171,17.2766,18.2147,UP,1
2000-05-16,19.6563,19.0625,17.3298,17.7266,18.2716,DOWN,0
2000-05-17,19.0,19.1875,17.34,18.1766,18.3259,UP,1
2000-05-18,19.375,18.9688,17.3543,18.7203,18.4047,DOWN,0
2000-05-19,18.7188,18.9063,17.3651,19.1625,18.4603,UP,1
2000-05-22,19.0313,18.5625,17.377,19.1563,18.5203,DOWN,0
2000-05-23,19.0313,18.8125,17.3884,19.0313,18.5934,DOWN,0
2000-05-24,18.875,19.25,17.3993,19.0063,18.6691,DOWN,0
2000-05-25,18.7188,18.9844,17.4093,18.875,18.6947,DOWN,0
2000-05-26,18.0938,18.7188,17.4167,18.75,18.6966,UP,1
2000-05-30,18.6875,18.2188,17.4268,18.6813,18.7066,UP,1
2000-05-31,19.0938,18.5,17.4386,18.6938,18.7278,UP,1
2000-06-01,19.2188,19.2109,17.4512,18.7625,18.7522,UP,1
2000-06-02,20.9063,19.3594,17.4723,19.2,18.8197,UP,1
2000-06-05,21.8438,20.6875,17.499,19.95,18.8747,DOWN,0
2000-06-06,21.3125,21.6875,17.5228,20.475,18.9153,UP,1
2000-06-07,21.75,21.5625,17.5473,21.0063,18.9853,DOWN,0
2000-06-08,20.625,21.6875,17.5673,21.2875,19.0372,UP,1
2000-06-09,21.125,20.9688,17.5911,21.3313,19.0941,DOWN,0
2000-06-12,21.0,21.1875,17.6146,21.1625,19.1309,UP,1
2000-06-13,21.5313,20.875,17.642,21.2063,19.1666,UP,1
2000-06-14,22.25,21.7813,17.6745,21.3063,19.2272,DOWN,0
2000-06-15,21.3438,22.1875,17.7039,21.45,19.2828,DOWN,0
2000-06-16,21.1875,21.6875,17.7336,21.4625,19.3216,UP,1
2000-06-19,24.0,21.1563,17.7774,22.0625,19.4166,DOWN,0
2000-06-20,21.625,23.375,17.8086,22.0813,19.4447,DOWN,0
2000-06-21,21.3203,21.9063,17.838,21.8953,19.4686,DOWN,0
2000-06-22,20.5938,21.7813,17.866,21.7453,19.4758,DOWN,0
2000-06-23,20.3125,20.875,17.8916,21.5703,19.4889,UP,1
2000-06-26,20.8125,20.375,17.9209,20.9328,19.5302,UP,1
2000-06-27,21.4063,20.7656,17.9534,20.8891,19.6145,DOWN,0
2000-06-28,20.875,21.4375,17.9841,20.8,19.6683,DOWN,0
2000-06-29,20.8438,20.9688,18.0142,20.85,19.6933,UP,1
2000-06-30,21.25,21.0,18.0464,21.0375,19.7289,UP,1
2000-07-03,22.0313,21.3438,18.0823,21.2813,19.7714,DOWN,0
2000-07-05,21.5,21.8438,18.1179,21.3,19.8033,DOWN,0
2000-07-06,21.1563,21.625,18.1524,21.3563,19.8161,UP,1
2000-07-07,21.5625,21.5,18.187,21.5,19.8573,DOWN,0
2000-07-10,21.125,21.7188,18.2209,21.475,19.9055,DOWN,0
2000-07-11,21.125,21.2188,18.254,21.2938,19.9467,UP,1
2000-07-12,22.25,21.8125,18.2929,21.4438,20.0136,UP,1
2000-07-13,23.5938,22.5625,18.3399,21.9313,20.1042,DOWN,0
2000-07-14,23.25,23.5,18.3862,22.2688,20.2192,DOWN,0
2000-07-17,22.8125,23.1875,18.4316,22.6063,20.3405,DOWN,0
2000-07-18,21.9688,22.75,18.4754,22.775,20.4348,DOWN,0
2000-07-19,20.9063,22.0625,18.5094,22.5063,20.5016,UP,1
2000-07-20,22.6875,21.2188,18.5509,22.325,20.6072,DOWN,0
2000-07-21,22.2188,22.125,18.587,22.1188,20.7166,UP,1
2000-07-24,22.625,22.2031,18.625,22.0813,20.8359,DOWN,0
2000-07-25,22.0625,22.9063,18.6621,22.1,20.947,DOWN,0
2000-07-26,21.1875,21.7813,18.6928,22.1563,20.9895,DOWN,0
2000-07-27,21.0313,21.625,18.7183,21.825,21.017,DOWN,0
2000-07-28,20.1875,21.25,18.7447,21.4188,21.0408,UP,1
2000-07-31,20.4375,20.0781,18.7709,20.9813,21.062,UP,1
2000-08-01,20.5078,20.5469,18.8004,20.6703,21.0978,UP,1
2000-08-02,20.7188,20.8125,18.8338,20.5766,21.1316,DOWN,0
2000-08-03,20.6484,20.4688,18.8655,20.5,21.1639,UP,1
2000-08-04,20.9688,20.7188,18.8991,20.6563,21.2058,UP,1
2000-08-07,21.75,21.2188,18.9342,20.9188,21.2664,DOWN,0
2000-08-08,21.6563,21.7188,18.9648,21.1484,21.3377,UP,1
2000-08-09,21.75,21.6563,18.9959,21.3547,21.3989,DOWN,0
2000-08-10,21.6563,21.7813,19.0273,21.5563,21.4502,DOWN,0
2000-08-11,21.4688,21.6875,19.058,21.6563,21.4952,UP,1
2000-08-14,21.6875,21.5,19.085,21.6438,21.5108,DOWN,0
2000-08-15,21.25,21.8906,19.1025,21.5625,21.4989,DOWN,0
2000-08-16,20.75,21.4688,19.1131,21.3625,21.4877,UP,1
2000-08-17,21.4688,20.9688,19.1316,21.325,21.482,UP,1
2000-08-18,21.5,21.875,19.1516,21.3313,21.4995,DOWN,0
2000-08-21,21.375,21.5938,19.168,21.2688,21.5045,UP,1
2000-08-22,22.25,21.5,19.1858,21.4688,21.5295,DOWN,0
2000-08-23,22.0,22.3125,19.2014,21.7188,21.5389,DOWN,0
2000-08-24,21.4688,22.0313,19.2169,21.7188,21.5233,UP,1
2000-08-25,21.5625,21.5313,19.2345,21.7313,21.5277,DOWN,0
2000-08-28,21.3438,21.625,19.2511,21.725,21.5308,DOWN,0
2000-08-29,21.3125,21.5,19.2661,21.5375,21.477,UP,1
2000-08-30,21.9375,21.625,19.2833,21.525,21.4833,UP,1
2000-08-31,22.625,21.875,19.2983,21.7563,21.5094,UP,1
2000-09-01,22.9063,22.75,19.3175,22.025,21.5556,UP,1
2000-09-05,23.375,23.4219,19.3406,22.4313,21.6169,UP,1
2000-09-06,23.4688,23.3438,19.3594,22.8625,21.67,DOWN,0
2000-09-07,23.2813,23.7578,19.3752,23.1313,21.7075,UP,1
2000-09-08,23.4375,23.4063,19.3952,23.2938,21.7588,UP,1
2000-09-11,23.5313,23.4844,19.4192,23.4188,21.8125,UP,1
2000-09-12,23.9063,23.4375,19.4466,23.525,21.8656,UP,1
2000-09-13,24.25,24.4688,19.4794,23.6813,21.91,UP,1
2000-09-14,24.3125,24.375,19.5109,23.8875,21.9663,DOWN,0
2000-09-15,24.0,24.1875,19.5419,24.0,22.0231,DOWN,0
2000-09-18,22.4688,23.8594,19.563,23.7875,22.0413,UP,1
2000-09-19,23.8438,22.625,19.588,23.775,22.0956,DOWN,0
2000-09-20,23.6563,23.8594,19.6147,23.6563,22.1462,UP,1
2000-09-21,23.875,23.7344,19.6369,23.5688,22.1788,DOWN,0
2000-09-22,23.7188,23.5313,19.6619,23.5125,22.1813,DOWN,0
2000-09-25,23.7188,23.625,19.6896,23.7625,22.1906,DOWN,0
2000-09-26,23.2188,23.8906,19.7148,23.6375,22.1988,UP,1
2000-09-27,23.625,23.6563,19.7426,23.6313,22.2319,DOWN,0
2000-09-28,23.5,23.6563,19.7729,23.5563,22.2838,DOWN,0
2000-09-29,23.4688,23.4688,19.8041,23.5063,22.2994,UP,1
2000-10-02,23.5625,23.4063,19.8379,23.475,22.3263,DOWN,0
2000-10-03,23.125,23.625,19.8672,23.4563,22.3363,DOWN,0
2000-10-04,22.9063,23.4063,19.8946,23.3125,22.3531,UP,1
2000-10-05,23.4375,23.2188,19.9236,23.3,22.3981,DOWN,0
2000-10-06,22.625,23.4375,19.9486,23.1313,22.43,DOWN,0
2000-10-09,21.9688,22.6563,19.97,22.8125,22.4656,DOWN,0
2000-10-10,20.9375,22.0469,19.985,22.375,22.4756,DOWN,0
2000-10-11,20.7188,20.8125,19.9999,21.9375,22.4798,DOWN,0
2000-10-12,20.375,21.0938,20.0093,21.325,22.473,UP,1
2000-10-13,21.4063,20.8438,20.0263,21.0813,22.4881,UP,1
2000-10-16,21.4375,21.7813,20.0411,20.975,22.4975,DOWN,0
2000-10-17,20.4688,21.7188,20.0557,20.8813,22.4719,DOWN,0
2000-10-18,19.6875,20.4375,20.0689,20.675,22.4325,UP,1
2000-10-19,20.4375,19.8594,20.0861,20.6875,22.4063,UP,1
2000-10-20,21.4375,20.5,20.1058,20.6938,22.4019,DOWN,0
2000-10-23,21.0313,21.5313,20.1241,20.6125,22.3931,UP,1
2000-10-24,21.4375,21.1875,20.1435,20.8063,22.3881,UP,1
2000-10-25,21.5313,21.6797,20.1636,21.175,22.3938,DOWN,0
2000-10-26,20.875,21.4688,20.1768,21.2625,22.3962,UP,1
2000-10-27,21.2813,20.9844,20.1869,21.2313,22.3925,UP,1
2000-10-30,22.1875,21.3594,20.2002,21.4625,22.4063,UP,1
2000-10-31,23.4063,22.2109,20.2233,21.8563,22.4469,DOWN,0
2000-11-01,23.125,23.3906,20.2436,22.175,22.4644,UP,1
2000-11-02,23.4688,23.0781,20.2657,22.6938,22.4938,UP,1
2000-11-03,23.875,23.5313,20.2852,23.2125,22.5419,DOWN,0
2000-11-06,23.7813,23.9688,20.3054,23.5313,22.5863,DOWN,0
2000-11-07,23.5313,24.0,20.3171,23.5563,22.63,UP,1
2000-11-08,23.5625,24.0313,20.3299,23.6438,22.675,DOWN,0
2000-11-09,23.4219,23.5,20.3489,23.6344,22.7047,DOWN,0
2000-11-10,23.0313,23.3438,20.3728,23.4656,22.7128,DOWN,0
2000-11-13,20.6563,22.4688,20.3789,22.8406,22.6678,DOWN,0
2000-11-14,20.6563,21.0156,20.3843,22.2656,22.6134,UP,1
2000-11-15,20.7188,20.75,20.3889,21.6969,22.5584,DOWN,0
2000-11-16,20.5,21.0,20.3953,21.1125,22.5028,DOWN,0
2000-11-17,20.125,20.625,20.4031,20.5313,22.4366,DOWN,0
2000-11-20,19.5,19.75,20.4089,20.3,22.3559,DOWN,0
2000-11-21,18.5,19.2188,20.4096,19.8688,22.2478,DOWN,0
2000-11-22,17.9688,18.4688,20.4096,19.3188,22.1222,UP,1
2000-11-24,18.3984,18.4375,20.4124,18.8984,22.0039,UP,1
2000-11-27,18.7813,18.5313,20.4186,18.6297,21.8995,DOWN,0
2000-11-28,18.4688,17.875,20.4267,18.4234,21.8195,UP,1
2000-11-29,18.5313,18.5938,20.4311,18.4297,21.7133,DOWN,0
2000-11-30,18.25,18.5,20.4339,18.4859,21.6052,UP,1
2000-12-01,19.125,18.5,20.4463,18.6313,21.5102,DOWN,0
2000-12-04,19.0313,18.9063,20.4603,18.6813,21.4164,UP,1
2000-12-05,20.0,19.4375,20.4788,18.9875,21.342,DOWN,0
2000-12-06,19.6875,20.125,20.4964,19.2188,21.2714,UP,1
2000-12-07,19.9688,19.75,20.5078,19.5625,21.1983,UP,1
2000-12-08,20.7188,19.9375,20.5259,19.8813,21.1427,UP,1
2000-12-11,21.4375,21.0,20.5475,20.3625,21.102,DOWN,0
2000-12-12,20.375,20.9219,20.567,20.4375,21.0383,UP,1
2000-12-13,20.4063,20.625,20.5858,20.5813,20.9839,DOWN,0
2000-12-14,20.125,20.4531,20.6006,20.6125,20.9283,DOWN,0
2000-12-15,19.9688,20.4063,20.6153,20.4625,20.8589,UP,1
2000-12-18,20.0547,20.1406,20.6315,20.1859,20.8075,DOWN,0
2000-12-19,20.0313,20.1563,20.6503,20.1172,20.7688,DOWN,0
2000-12-20,19.5313,20.0938,20.6707,19.9422,20.7406,UP,1
2000-12-21,20.1563,19.5156,20.6918,19.9484,20.7294,UP,1
2000-12-22,20.4688,20.2188,20.714,20.0484,20.7313,UP,1
2000-12-26,21.1563,20.4688,20.7429,20.2688,20.7263,UP,1
2000-12-27,21.3125,21.2188,20.774,20.525,20.7238,UP,1
2000-12-28,21.7813,21.2031,20.7957,20.975,20.75,DOWN,0
2000-12-29,21.1328,21.8125,20.8114,21.1703,20.7789,DOWN,0
2001-01-02,20.125,21.25,20.8211,21.1016,20.7727,UP,1
2001-01-03,21.25,20.0,20.8372,21.1203,20.7689,DOWN,0
2001-01-04,20.4375,21.3906,20.8494,20.9453,20.757,UP,1
2001-01-05,20.625,20.5547,20.8648,20.7141,20.7408,UP,1
2001-01-08,21.1563,20.6719,20.8752,20.7188,20.7333,DOWN,0
2001-01-09,20.9688,21.4688,20.8836,20.8875,20.7352,DOWN,0
2001-01-10,20.7188,20.9063,20.8959,20.7813,20.7239,DOWN,0
2001-01-11,20.5,20.7813,20.9083,20.7938,20.6902,UP,1
2001-01-12,20.9063,20.75,20.9214,20.85,20.6402,UP,1
2001-01-16,21.0938,21.2188,20.9311,20.8375,20.5995,UP,1
2001-01-17,21.2188,21.3125,20.9384,20.8875,20.5545,UP,1
2001-01-18,21.2813,21.25,20.9488,21.0,20.5027,DOWN,0
2001-01-19,21.125,21.125,20.9616,21.125,20.4495,UP,1
2001-01-22,21.25,21.125,20.9716,21.1938,20.4039,UP,1
2001-01-23,21.3438,21.4375,20.982,21.2438,20.3595,DOWN,0
2001-01-24,20.0,20.5,20.9809,21.0,20.2911,DOWN,0
2001-01-25,19.8438,19.7188,20.9795,20.7125,20.2273,DOWN,0
2001-01-26,19.0938,19.25,20.9738,20.3063,20.1961,UP,1
2001-01-29,19.8125,19.0938,20.9746,20.0188,20.1792,DOWN,0
2001-01-30,19.5625,19.8125,20.9787,19.6625,20.1561,DOWN,0
2001-01-31,19.5,19.5938,20.9902,19.5625,20.1361,DOWN,0
2001-02-01,19.3438,19.4375,20.996,19.4625,20.1205,DOWN,0
2001-02-02,18.9688,19.3125,20.9929,19.4375,20.1098,UP,1
2001-02-05,19.1875,19.0938,20.9915,19.3125,20.1236,DOWN,0
2001-02-06,18.9375,19.3594,20.9866,19.1875,20.143,DOWN,0
2001-02-07,18.4688,18.875,20.9795,18.9813,20.1444,UP,1
2001-02-08,18.9063,18.5625,20.9714,18.8938,20.1469,DOWN,0
2001-02-09,18.875,18.7969,20.9683,18.875,20.155,UP,1
2001-02-12,19.1563,18.875,20.9705,18.8688,20.1675,DOWN,0
2001-02-13,18.8125,19.1563,20.9692,18.8438,20.1788,DOWN,0
2001-02-14,18.4375,18.8125,20.9669,18.8375,20.165,UP,1
2001-02-15,18.6563,18.5078,20.9648,18.7875,20.1575,DOWN,0
2001-02-16,18.5938,18.5938,20.9703,18.7313,20.1294,DOWN,0
2001-02-20,18.2813,18.8047,20.978,18.5563,20.1013,DOWN,0
2001-02-21,17.4063,18.1484,20.9788,18.275,20.05,DOWN,0
2001-02-22,17.375,17.375,20.9778,18.0625,19.9831,UP,1
2001-02-23,17.4375,17.1719,20.9779,17.8188,19.9031,UP,1
2001-02-26,18.3438,17.4688,20.9859,17.7688,19.8625,DOWN,0
2001-02-27,18.125,18.1875,20.9932,17.7375,19.8169,DOWN,0
2001-02-28,17.8438,18.2188,20.9999,17.825,19.7712,UP,1
2001-03-01,18.2188,17.5625,20.9957,17.9938,19.7362,UP,1
2001-03-02,18.4375,18.0313,20.9896,18.1938,19.7039,UP,1
2001-03-05,18.5,18.5313,20.9871,18.225,19.6733,UP,1
2001-03-06,18.7188,18.75,20.9838,18.3438,19.657,DOWN,0
2001-03-07,18.375,19.25,20.9821,18.45,19.6214,DOWN,0
2001-03-08,18.1875,18.5,20.9779,18.4438,19.5758,DOWN,0
2001-03-09,17.8125,18.0313,20.9718,18.3188,19.5089,DOWN,0
2001-03-12,17.2813,17.625,20.9638,18.075,19.4283,UP,1
2001-03-13,17.5313,17.3125,20.9579,17.8375,19.3433,DOWN,0
2001-03-14,17.0313,17.4063,20.9526,17.5688,19.2613,DOWN,0
2001-03-15,16.6563,17.0625,20.9424,17.2625,19.1919,DOWN,0
2001-03-16,16.0313,16.5,20.9271,16.9063,19.0875,UP,1
2001-03-19,16.9063,16.2188,20.9155,16.8313,19.0169,DOWN,0
2001-03-20,16.0,16.875,20.891,16.525,18.9244,DOWN,0
2001-03-21,15.3438,16.1875,20.8585,16.1875,18.8081,DOWN,0
2001-03-22,14.5625,15.5,20.8248,15.7688,18.68,UP,1
2001-03-23,15.125,14.875,20.7916,15.5875,18.5681,UP,1
2001-03-26,15.3125,15.125,20.7651,15.2688,18.4644,UP,1
2001-03-27,16.125,15.1875,20.7401,15.2938,18.3688,DOWN,0
2001-03-28,15.6563,16.0781,20.7134,15.3563,18.26,DOWN,0
2001-03-29,15.4063,15.5703,20.6827,15.525,18.1438,UP,1
2001-03-30,15.6563,15.5313,20.6498,15.6313,18.0313,DOWN,0
2001-04-02,15.375,15.7188,20.6199,15.6438,17.9163,DOWN,0
2001-04-03,14.6875,15.375,20.5874,15.3563,17.785,DOWN,0
2001-04-04,14.2813,14.625,20.5388,15.0813,17.6438,UP,1
2001-04-05,15.5,14.4688,20.5082,15.1,17.5538,DOWN,0
2001-04-06,14.875,15.4375,20.476,14.9438,17.4544,UP,1
2001-04-09,15.11,14.93,20.4486,14.8908,17.3747,UP,1
2001-04-10,16.14,15.165,20.4277,15.1813,17.3013,UP,1
2001-04-11,17.015,16.18,20.4087,15.728,17.2503,DOWN,0
2001-04-12,16.875,16.9825,20.3861,16.003,17.1978,DOWN,0
2001-04-16,16.795,16.8625,20.3657,16.387,17.1468,UP,1
2001-04-17,17.12,16.495,20.347,16.789,17.1098,UP,1
2001-04-18,18.765,17.26,20.3346,17.314,17.1014,DOWN,0
2001-04-19,18.475,18.705,20.3168,17.606,17.0922,DOWN,0
2001-04-20,18.175,18.475,20.3002,17.866,17.0863,DOWN,0
2001-04-23,17.38,18.1175,20.2813,17.983,17.0558,DOWN,0
2001-04-24,17.2,17.385,20.2595,17.999,17.0223,UP,1
2001-04-25,17.235,17.275,20.2401,17.693,16.9838,UP,1
2001-04-26,17.41,17.44,20.2215,17.48,16.9558,UP,1
2001-04-27,17.885,17.52,20.1997,17.422,16.9447,DOWN,0
2001-04-30,17.38,18.005,20.1686,17.422,16.9192,UP,1
2001-05-01,17.78,17.35,20.1412,17.538,16.9029,DOWN,0
2001-05-02,17.78,17.525,20.1161,17.647,16.8929,DOWN,0
2001-05-03,17.78,17.7875,20.0951,17.721,16.9004,DOWN,0
2001-05-04,17.725,17.565,20.0792,17.689,16.9074,UP,1
2001-05-07,17.77,17.805,20.0546,17.767,16.914,DOWN,0
2001-05-08,17.535,17.9,20.0312,17.718,16.8978,UP,1
2001-05-09,17.545,17.5825,20.0058,17.671,16.8862,DOWN,0
2001-05-10,17.545,17.7075,19.9832,17.624,16.8803,DOWN,0
2001-05-11,17.525,17.445,19.9649,17.584,16.8664,DOWN,0
2001-05-14,17.49,17.5475,19.9472,17.528,16.8474,UP,1
2001-05-15,17.5,17.45,19.9338,17.521,16.8274,UP,1
2001-05-16,17.935,17.525,19.9213,17.599,16.8118,DOWN,0
2001-05-17,17.935,17.94,19.9084,17.677,16.803,DOWN,0
2001-05-18,17.665,17.93,19.8931,17.705,16.7925,UP,1
2001-05-21,18.01,17.73,19.8799,17.809,16.7965,UP,1
2001-05-22,18.4,17.8175,19.8671,17.989,16.8188,DOWN,0
2001-05-23,18.085,18.25,19.8488,18.019,16.8299,UP,1
2001-05-24,18.335,18.05,19.8322,18.099,16.856,UP,1
2001-05-25,18.345,18.25,19.8151,18.235,16.8898,UP,1
2001-05-29,18.455,18.33,19.7991,18.324,16.9382,DOWN,0
2001-05-30,18.26,18.425,19.7831,18.296,16.9653,UP,1
2001-05-31,18.345,18.2,19.7664,18.348,17.0122,DOWN,0
2001-06-01,18.14,18.35,19.7508,18.309,17.0681,UP,1
2001-06-04,18.355,18.27,19.7389,18.311,17.144,UP,1
2001-06-05,18.63,18.26,19.7247,18.346,17.2141,DOWN,0
2001-06-06,18.445,18.7775,19.7094,18.383,17.2767,DOWN,0
2001-06-07,18.32,18.49,19.6941,18.378,17.3206,UP,1
2001-06-08,18.4,18.265,19.6749,18.43,17.3755,DOWN,0
2001-06-11,18.155,18.28,19.6556,18.39,17.4305,DOWN,0
2001-06-12,17.87,17.725,19.6376,18.238,17.4748,DOWN,0
2001-06-13,17.48,17.775,19.6172,18.045,17.5169,DOWN,0
2001-06-14,17.185,17.55,19.5964,17.818,17.5668,DOWN,0
2001-06-15,17.125,17.11,19.5755,17.563,17.6237,UP,1
2001-06-18,17.43,17.025,19.553,17.418,17.6623,UP,1
2001-06-19,17.875,17.435,19.5292,17.419,17.7223,UP,1
2001-06-20,18.15,17.875,19.5054,17.553,17.7831,UP,1
2001-06-21,18.525,18.195,19.4812,17.821,17.8308,DOWN,0
2001-06-22,18.175,18.48,19.4547,18.031,17.854,UP,1
2001-06-25,18.195,18.125,19.4293,18.184,17.8804,UP,1
