ticker,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-08-09,23.67,23.4,23.3,24.1794,,DOWN,0
2017-08-10,22.96,23.43,23.328,24.1166,,UP,1
2017-08-11,23.78,22.91,23.482,24.0862,,UP,1
2017-08-14,24.03,24.23,23.6,24.0682,,DOWN,0
2017-08-15,23.61,24.0,23.61,24.0482,,UP,1
2017-08-16,24.58,23.67,23.792,24.0428,,DOWN,0
2017-08-17,24.25,24.54,24.05,24.014,,UP,1
2017-08-18,24.86,24.06,24.266,23.9682,,UP,1
2017-08-21,25.07,24.75,24.474,23.9678,,UP,1
2017-08-22,25.7,25.27,24.892,24.0056,,DOWN,0
2017-08-23,25.44,25.38,25.064,24.0038,,DOWN,0
2017-08-24,25.41,25.59,25.296,23.981,,DOWN,0
2017-08-25,24.93,25.47,25.31,23.9668,,DOWN,0
2017-08-28,24.46,25.07,25.188,23.9264,,UP,1
2017-08-29,24.49,24.23,24.946,23.87,,UP,1
2017-08-30,26.31,24.58,25.12,23.864,,UP,1
2017-08-31,26.99,26.63,25.436,23.885,,DOWN,0
2017-09-01,26.59,26.94,25.768,23.8908,,DOWN,0
2017-09-05,26.35,26.61,26.146,23.9072,,UP,1
2017-09-06,27.02,26.49,26.652,23.942,,UP,1
2017-09-07,27.12,27.01,26.814,24.0036,,UP,1
2017-09-08,30.3,28.32,27.476,24.1298,,DOWN,0
2017-09-11,30.19,30.26,28.196,24.2678,,DOWN,0
2017-09-12,29.4,31.69,28.806,24.3998,,UP,1
2017-09-13,29.56,29.35,29.314,24.541,,DOWN,0
2017-09-14,28.97,29.5,29.684,24.6728,,DOWN,0
2017-09-15,28.62,29.1,29.348,24.7896,,UP,1
2017-09-18,29.25,28.72,29.16,24.9066,,UP,1
2017-09-19,29.46,29.25,29.172,25.0316,,DOWN,0
2017-09-20,29.16,29.5,29.092,25.1544,,UP,1
2017-09-21,29.4,29.18,29.178,25.276,,DOWN,0
2017-09-22,29.2,29.2,29.294,25.3962,,DOWN,0
2017-09-25,28.8,29.3,29.204,25.5094,,DOWN,0
2017-09-26,28.54,28.78,29.02,25.605,,UP,1
2017-09-27,29.13,28.95,29.014,25.7126,,DOWN,0
2017-09-28,28.99,29.0,28.932,25.8094,,DOWN,0
2017-09-29,28.21,29.0,28.734,25.893,,DOWN,0
2017-10-02,27.65,28.35,28.504,25.9606,,UP,1
2017-10-03,28.01,27.81,28.398,26.0476,,DOWN,0
2017-10-04,27.04,26.4,27.98,26.1148,,UP,1
2017-10-05,27.75,27.0,27.732,26.1994,,UP,1
2017-10-06,27.99,27.4,27.688,26.3054,,UP,1
2017-10-09,28.0,27.99,27.758,26.418,,UP,1
2017-10-10,28.56,28.25,27.868,26.5502,,UP,1
2017-10-11,28.57,28.6,28.174,26.6678,,DOWN,0
2017-10-12,28.51,28.5,28.326,26.7942,,DOWN,0
2017-10-13,27.63,28.5,28.254,26.8904,,DOWN,0
2017-10-16,26.58,27.75,27.97,26.9618,,UP,1
2017-10-17,26.77,26.59,27.612,27.0284,,UP,1
2017-10-18,27.74,27.0,27.446,27.112,,UP,1
2017-10-19,28.02,27.5,27.348,27.199,,UP,1
2017-10-20,28.6,28.25,27.542,27.3118,,DOWN,0
2017-10-23,27.91,28.58,27.808,27.3944,,DOWN,0
2017-10-24,27.65,27.92,27.984,27.4668,,DOWN,0
2017-10-25,27.55,27.6,27.946,27.5456,,UP,1
2017-10-26,27.59,27.57,27.86,27.6058,,UP,1
2017-10-27,27.92,28.0,27.724,27.6792,,DOWN,0
2017-10-30,27.65,27.94,27.672,27.735,,UP,1
2017-10-31,28.92,27.69,27.926,27.812,,UP,1
2017-11-01,28.97,29.0,28.21,27.8774,,DOWN,0
2017-11-02,28.47,29.08,28.386,27.938,,UP,1
2017-11-03,28.5,28.4,28.502,27.9998,,UP,1
2017-11-06,28.94,28.41,28.76,28.08,,DOWN,0
2017-11-07,28.53,28.67,28.682,28.1614,,UP,1
2017-11-08,29.16,28.36,28.72,28.2548,,DOWN,0
2017-11-09,29.0,29.05,28.826,28.3086,,UP,1
2017-11-10,29.19,29.07,28.964,28.3526,,DOWN,0
2017-11-13,29.155,29.01,29.007,28.4039,,DOWN,0
2017-11-14,29.15,29.14,29.131,28.4599,,DOWN,0
2017-11-15,28.62,28.79,29.023,28.4919,,UP,1
2017-11-16,29.69,28.68,29.161,28.5433,,DOWN,0
2017-11-17,29.24,29.6,29.171,28.5221,,UP,1
2017-11-20,29.54,29.21,29.248,28.5091,,UP,1
2017-11-21,29.98,29.76,29.414,28.5207,,UP,1
2017-11-22,29.99,30.0,29.688,28.5293,,UP,1
2017-11-24,31.28,30.16,30.006,28.5755,,DOWN,0
2017-11-27,30.83,31.29,30.324,28.6197,,UP,1
2017-11-28,31.22,30.88,30.66,28.6591,,DOWN,0
2017-11-29,29.41,31.29,30.546,28.6581,,DOWN,0
2017-11-30,29.21,29.65,30.39,28.6591,,DOWN,0
2017-12-01,28.72,29.11,29.878,28.6455,,DOWN,0
