ticker,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,19.9688,19.875,23.4745,19.975,22.1281,UP,1
2000-02-09,20.0,20.0,23.4497,20.0,22.14,DOWN,0
2000-02-10,19.4688,20.0,23.4197,19.8813,22.1406,DOWN,0
2000-02-11,19.2813,19.4688,23.3809,19.7313,22.1381,UP,1
2000-02-14,19.375,19.25,23.3386,19.6188,22.1181,UP,1
2000-02-15,19.75,19.3438,23.2972,19.575,22.0919,DOWN,0
2000-02-16,19.5625,19.6875,23.2553,19.4875,22.0619,DOWN,0
2000-02-17,19.3125,19.5625,23.2106,19.4563,22.0344,DOWN,0
2000-02-18,18.6563,19.125,23.1608,19.3313,21.9875,UP,1
2000-02-22,19.8125,18.5,23.1114,19.4188,21.9538,DOWN,0
2000-02-23,19.1875,19.875,23.0578,19.3063,21.8875,DOWN,0
2000-02-24,18.25,19.2188,22.9997,19.0438,21.805,DOWN,0
2000-02-25,17.9063,18.2188,22.9426,18.7625,21.7013,UP,1
2000-02-28,18.75,18.0625,22.8903,18.7813,21.6138,DOWN,0
2000-02-29,17.9688,18.75,22.8398,18.4125,21.5194,DOWN,0
2000-03-01,17.3438,17.9688,22.7931,18.0438,21.4044,DOWN,0
2000-03-02,17.2188,17.3438,22.7492,17.8375,21.3044,UP,1
2000-03-03,18.375,17.1875,22.7105,17.9313,21.2225,DOWN,0
2000-03-06,18.0,18.3125,22.673,17.7813,21.1338,DOWN,0
2000-03-07,17.0938,18.0,22.6291,17.6063,21.0238,UP,1
2000-03-08,17.625,17.0938,22.5867,17.6625,20.9244,DOWN,0
2000-03-09,17.3125,17.5625,22.5472,17.6813,20.8019,UP,1
2000-03-10,18.0625,17.3125,22.5089,17.6188,20.6788,UP,1
2000-03-13,18.1563,17.8125,22.4731,17.65,20.5656,DOWN,0
2000-03-14,17.6875,18.0313,22.435,17.7688,20.4425,UP,1
2000-03-15,19.7813,18.125,22.4055,18.2,20.3738,UP,1
2000-03-16,20.7813,20.0,22.3847,18.8938,20.3363,DOWN,0
2000-03-17,19.9063,20.5,22.3567,19.2625,20.2588,UP,1
2000-03-20,21.7813,21.1875,22.3366,19.9875,20.1888,DOWN,0
2000-03-21,21.625,21.7813,22.3161,20.775,20.1169,DOWN,0
2000-03-22,20.875,21.5625,22.2898,20.9938,20.0456,UP,1
2000-03-23,21.5,20.875,22.2625,21.1375,19.9925,DOWN,0
2000-03-24,21.4375,21.4688,22.2361,21.4438,19.9225,UP,1
2000-03-27,21.9063,21.875,22.2097,21.4688,19.8675,UP,1
2000-03-28,22.0,22.0,22.1786,21.5438,19.8225,UP,1
2000-03-29,22.0938,22.0,22.147,21.7875,19.7913,UP,1
2000-03-30,22.8125,22.2188,22.1194,22.05,19.79,DOWN,0
2000-03-31,22.75,22.8125,22.0923,22.3125,19.7963,UP,1
2000-04-03,24.0,23.125,22.0736,22.7313,19.8394,DOWN,0
2000-04-04,23.4688,24.0,22.0525,23.025,19.8725,DOWN,0
2000-04-05,23.3125,24.0,22.0316,23.2688,19.9281,UP,1
2000-04-06,23.4375,23.5625,22.0133,23.3938,19.9731,DOWN,0
2000-04-07,23.0313,23.5,21.9973,23.45,20.0056,UP,1
2000-04-10,23.625,22.9063,21.9836,23.375,20.0788,UP,1
2000-04-11,24.125,23.5,21.9728,23.5063,20.1625,UP,1
2000-04-12,24.4688,24.125,21.9642,23.7375,20.255,DOWN,0
2000-04-13,24.1563,24.4375,21.9556,23.8813,20.3406,DOWN,0
2000-04-14,22.9688,24.0,21.9405,23.8688,20.3988,DOWN,0
2000-04-17,22.9688,23.0,21.9244,23.7375,20.4575,DOWN,0
2000-04-18,22.4688,23.0625,21.9076,23.4063,20.5081,DOWN,0
2000-04-19,22.0625,22.4688,21.8867,22.925,20.55,UP,1
2000-04-20,23.2188,21.8125,21.8716,22.7375,20.6144,UP,1
2000-04-24,23.4688,23.1875,21.855,22.8375,20.6944,UP,1
2000-04-25,24.0313,23.5938,21.8426,23.05,20.7894,DOWN,0
2000-04-26,23.125,23.8438,21.8256,23.1813,20.8644,UP,1
2000-04-27,23.2188,23.25,21.8083,23.4125,20.9338,UP,1
2000-04-28,26.1563,24.9375,21.8053,24.0,21.0656,UP,1
2000-05-01,26.25,26.1563,21.8042,24.5563,21.2044,UP,1
2000-05-02,26.375,26.25,21.8048,25.025,21.3588,DOWN,0
2000-05-03,25.9063,26.3438,21.8036,25.5813,21.4806,UP,1
2000-05-04,26.0938,25.875,21.8048,26.1563,21.6188,DOWN,0
2000-05-05,26.0938,26.0625,21.8034,26.1438,21.7756,DOWN,0
2000-05-08,25.7188,25.5313,21.8005,26.0375,21.9319,UP,1
2000-05-09,25.8125,25.7188,21.8012,25.925,22.0731,DOWN,0
2000-05-10,25.4688,25.375,21.7966,25.8375,22.2231,UP,1
2000-05-11,26.5,25.6875,21.7967,25.9188,22.4063,DOWN,0
2000-05-12,26.0938,26.5313,21.7975,25.9188,22.5837,UP,1
2000-05-15,26.7188,26.0313,21.8019,26.1188,22.7506,DOWN,0
2000-05-16,26.4375,26.75,21.8037,26.2438,22.9194,DOWN,0
2000-05-17,25.9688,25.9375,21.8067,26.3438,23.0969,DOWN,0
2000-05-18,25.7813,25.875,21.8056,26.2,23.26,UP,1
2000-05-19,26.4375,25.6875,21.808,26.2688,23.4425,UP,1
2000-05-22,27.0625,26.4688,21.8133,26.3375,23.6225,DOWN,0
2000-05-23,26.6875,27.0625,21.8169,26.3875,23.7931,DOWN,0
2000-05-24,26.3125,27.0,21.8189,26.4563,23.9656,DOWN,0
2000-05-25,24.875,26.2188,21.815,26.275,24.0675,DOWN,0
2000-05-26,24.5,24.9375,21.8097,25.8875,24.1419,DOWN,0
2000-05-30,24.3125,24.5,21.8037,25.3375,24.23,DOWN,0
2000-05-31,22.7813,23.0,21.79,24.5563,24.25,UP,1
2000-06-01,23.7813,22.7188,21.7805,24.05,24.2931,DOWN,0
2000-06-02,23.7188,23.9375,21.77,23.8188,24.35,DOWN,0
2000-06-05,23.0313,23.5938,21.7575,23.525,24.3806,UP,1
2000-06-06,23.4688,23.125,21.7467,23.3563,24.4213,UP,1
2000-06-07,23.9063,23.4688,21.7362,23.5813,24.4613,DOWN,0
2000-06-08,23.8438,23.8438,21.727,23.5938,24.4981,UP,1
2000-06-09,24.0938,23.8438,21.7247,23.6688,24.5381,DOWN,0
2000-06-12,23.8438,24.125,21.7209,23.8313,24.5588,DOWN,0
2000-06-13,23.6563,23.5313,21.7164,23.8688,24.5769,UP,1
2000-06-14,24.0625,23.7813,21.7161,23.9,24.5781,DOWN,0
2000-06-15,24.0,24.0,21.72,23.9313,24.5888,DOWN,0
2000-06-16,23.75,24.0,21.7212,23.8625,24.5975,DOWN,0
2000-06-19,22.875,23.625,21.7181,23.6688,24.5863,DOWN,0
2000-06-20,22.6563,23.125,21.712,23.4688,24.5788,UP,1
