ticker,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-07-18,41.68,42.32,40.992,33.8847,,DOWN,0
2018-07-19,40.38,41.45,40.96,34.1417,,DOWN,0
2018-07-20,39.79,40.57,40.97,34.3805,,UP,1
2018-07-23,41.38,39.62,41.022,34.6445,,DOWN,0
2018-07-24,39.81,41.52,40.608,34.8543,,UP,1
2018-07-25,41.22,39.69,40.516,35.1093,,DOWN,0
2018-07-26,39.67,39.87,40.374,35.3545,,DOWN,0
2018-07-27,37.38,40.1,39.892,35.5603,,DOWN,0
2018-07-30,36.22,37.29,38.86,35.7369,,DOWN,0
2018-07-31,35.31,36.1,37.96,35.8975,,UP,1
2018-08-01,36.06,35.6,36.928,36.0703,,UP,1
2018-08-02,37.03,35.66,36.4,36.2691,,UP,1
2018-08-03,37.33,37.17,36.39,36.4845,,DOWN,0
2018-08-06,36.59,37.42,36.464,36.6853,,UP,1
