ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,4.7188,4.5,4.7461,4.4219,4.2331,DOWN,0
2000-02-09,4.4844,4.5938,4.7396,4.4969,4.2291,UP,1
2000-02-10,4.5,4.5625,4.7342,4.5219,4.2266,DOWN,0
2000-02-11,4.4922,4.5,4.7284,4.5359,4.2267,UP,1
2000-02-14,4.5781,4.4844,4.723,4.5547,4.2283,DOWN,0
2000-02-15,4.5313,4.5313,4.717,4.5172,4.2273,UP,1
2000-02-16,5.0625,4.625,4.7124,4.6328,4.2433,UP,1
2000-02-17,5.1563,4.9688,4.7082,4.7641,4.2589,DOWN,0
2000-02-18,4.9688,5.2188,4.7019,4.8594,4.2695,UP,1
2000-02-22,5.0938,4.9688,4.6963,4.9625,4.2827,UP,1
2000-02-23,5.75,5.0313,4.6941,5.2063,4.3092,UP,1
2000-02-24,6.0781,5.7656,4.6925,5.4094,4.343,UP,1
2000-02-25,7.0469,6.0156,4.6959,5.7875,4.3964,UP,1
2000-02-28,7.1406,7.0156,4.6996,6.2219,4.4492,UP,1
2000-02-29,7.3906,7.0938,4.7037,6.6813,4.5092,DOWN,0
2000-03-01,7.2813,7.375,4.7078,6.9875,4.5683,DOWN,0
2000-03-02,7.1719,7.1797,4.7104,7.2063,4.622,UP,1
2000-03-03,7.25,7.125,4.7124,7.2469,4.6792,DOWN,0
2000-03-06,7.0938,7.1719,4.7141,7.2375,4.7355,DOWN,0
2000-03-07,6.9219,7.0,4.7156,7.1438,4.7889,UP,1
2000-03-08,7.0,6.7969,4.7183,7.0875,4.8483,UP,1
2000-03-09,7.125,6.9375,4.7214,7.0781,4.9089,DOWN,0
2000-03-10,6.9844,7.0625,4.7239,7.025,4.9673,DOWN,0
2000-03-13,6.625,6.9297,4.7254,6.9313,5.0202,DOWN,0
2000-03-14,6.3906,6.625,4.7255,6.825,5.0673,UP,1
2000-03-15,6.6719,6.3906,4.7284,6.7594,5.1205,UP,1
2000-03-16,7.0469,6.8203,4.7318,6.7438,5.1883,DOWN,0
2000-03-17,6.4531,6.9453,4.7323,6.6375,5.242,UP,1
2000-03-20,6.5938,6.4063,4.7325,6.6313,5.2989,UP,1
2000-03-21,6.7656,6.5938,4.7314,6.7063,5.3552,DOWN,0
2000-03-22,6.7656,6.7813,4.7314,6.725,5.4086,DOWN,0
2000-03-23,6.7656,6.75,4.7327,6.6688,5.4552,DOWN,0
2000-03-24,6.7188,6.7422,4.7358,6.7219,5.502,DOWN,0
2000-03-27,6.6953,6.625,4.7391,6.7422,5.5472,DOWN,0
2000-03-28,6.5469,6.6875,4.7416,6.6984,5.5897,DOWN,0
2000-03-29,6.375,6.5,4.7436,6.6203,5.6316,DOWN,0
2000-03-30,5.5,6.3906,4.7409,6.3672,5.6572,UP,1
2000-03-31,5.8281,5.75,4.7402,6.1891,5.6913,DOWN,0
2000-04-03,5.7344,5.8438,4.7393,5.9969,5.7241,DOWN,0
2000-04-04,5.5,5.7813,4.7379,5.7875,5.7538,UP,1
2000-04-05,5.5469,5.4688,4.7369,5.6219,5.7891,UP,1
