ticker,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,9.875,9.2188,6.5344,8.6813,7.9052,DOWN,0
2000-02-09,9.5156,9.75,6.5472,8.9906,7.954,UP,1
2000-02-10,9.5313,9.5781,6.5597,9.2469,7.998,DOWN,0
2000-02-11,9.2188,9.5625,6.5679,9.4563,8.0349,UP,1
2000-02-14,9.2969,9.1719,6.5772,9.4875,8.0677,DOWN,0
2000-02-15,9.2031,9.2813,6.5864,9.3531,8.0821,UP,1
2000-02-16,9.3125,9.1875,6.5973,9.3125,8.1034,UP,1
2000-02-17,9.6875,9.3125,6.6163,9.3438,8.1327,DOWN,0
2000-02-18,9.5156,9.6406,6.633,9.4031,8.1656,DOWN,0
2000-02-22,9.0313,9.4688,6.645,9.35,8.1881,UP,1
2000-02-23,9.625,9.1875,6.6606,9.4344,8.2178,UP,1
2000-02-24,10.2656,9.5938,6.6804,9.625,8.2638,UP,1
2000-02-25,12.0,10.75,6.7079,10.0875,8.3513,DOWN,0
2000-02-28,11.3906,11.875,6.7323,10.4625,8.4197,DOWN,0
2000-02-29,11.1719,11.25,6.7555,10.8906,8.4834,UP,1
2000-03-01,11.2031,11.1563,6.7788,11.2063,8.5578,DOWN,0
2000-03-02,10.9844,11.1563,6.8,11.35,8.6197,UP,1
2000-03-03,11.4844,10.9844,6.8236,11.2469,8.6913,UP,1
2000-03-06,11.7656,11.5156,6.8483,11.3219,8.7663,UP,1
2000-03-07,12.0,11.75,6.8736,11.4875,8.8466,DOWN,0
2000-03-08,12.0,12.0313,6.8994,11.6469,8.9309,UP,1
2000-03-09,12.5781,12.0625,6.9273,11.9656,9.0234,UP,1
2000-03-10,13.7188,13.375,6.9625,12.4125,9.1322,DOWN,0
2000-03-13,13.2344,13.125,6.9956,12.7063,9.2369,DOWN,0
2000-03-14,13.1875,13.2656,7.027,12.9438,9.3319,DOWN,0
2000-03-15,12.7813,13.0547,7.0585,13.1,9.4206,DOWN,0
2000-03-16,12.7344,12.7422,7.0908,13.1313,9.5166,DOWN,0
