ticker,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,INCY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,79.5,70.0313,19.5556,71.6,42.6772,UP,1
2000-02-10,95.0469,84.9375,19.9864,76.1094,44.2881,DOWN,0
2000-02-11,91.2813,94.5,20.3997,80.8656,45.8281,UP,1
2000-02-14,93.4688,89.75,20.8219,85.5594,47.3488,UP,1
2000-02-15,97.7188,95.0,21.2611,91.4031,48.9719,UP,1
2000-02-16,108.5,95.7188,21.7546,97.2031,50.805,UP,1
2000-02-17,138.0625,112.125,22.3974,105.8063,53.23,DOWN,0
2000-02-18,133.4688,129.5938,23.0191,114.2438,55.5763,DOWN,0
2000-02-22,112.5313,130.1875,23.5346,118.0563,57.5225,UP,1
2000-02-23,126.0,119.3125,24.1177,123.7125,59.7519,UP,1
2000-02-24,131.0,128.25,24.7224,128.2125,62.0506,UP,1
2000-02-25,140.25,136.0313,25.3714,128.65,64.5544,DOWN,0
2000-02-28,136.9063,139.25,25.9957,129.3375,66.9725,UP,1
2000-02-29,137.7813,142.0,26.6261,134.3875,69.4131,DOWN,0
2000-03-01,119.9688,138.6875,27.1682,133.1813,71.5175,DOWN,0
2000-03-02,111.4688,122.75,27.6685,129.275,73.3969,UP,1
2000-03-03,123.0,118.375,28.2261,125.825,75.5031,DOWN,0
2000-03-06,119.875,116.0,28.7652,122.4188,77.4287,DOWN,0
2000-03-07,112.4453,115.875,29.2624,117.3516,79.162,DOWN,0
2000-03-08,110.5625,109.0,29.7565,115.4703,80.742,DOWN,0
2000-03-09,103.0,111.0,30.2123,113.7766,82.2036,DOWN,0
2000-03-10,101.625,97.3125,30.662,109.5016,83.6198,DOWN,0
2000-03-13,98.5,92.0,31.0955,105.2266,84.9745,DOWN,0
2000-03-14,71.75,100.25,31.3893,97.0875,85.8095,DOWN,0
2000-03-15,62.9375,74.4688,31.644,87.5625,86.1717,UP,1
2000-03-16,73.1875,66.875,31.9491,81.6,86.703,DOWN,0
2000-03-17,68.4375,70.125,32.2302,74.9625,87.212,DOWN,0
2000-03-20,54.0625,69.0,32.4365,66.075,87.4602,UP,1
2000-03-21,59.2656,52.375,32.6731,63.5781,87.6017,UP,1
2000-03-22,62.125,61.6875,32.9261,63.4156,87.7417,DOWN,0
2000-03-23,55.5938,63.4688,33.1434,59.8969,87.7673,DOWN,0
2000-03-24,53.6875,57.2188,33.3545,56.9469,87.8111,UP,1
2000-03-27,54.375,56.9688,33.5692,57.0094,87.5261,DOWN,0
2000-03-28,51.6563,55.4688,33.7705,55.4875,87.2411,DOWN,0
2000-03-29,41.25,51.5625,33.918,51.3125,86.7655,DOWN,0
2000-03-30,39.8125,36.8125,34.0594,48.1563,86.163,UP,1
2000-03-31,43.7188,44.375,34.2192,46.1625,85.5802,DOWN,0
2000-04-03,41.0625,43.9375,34.3655,43.5,84.8302,DOWN,0
2000-04-04,40.2188,41.75,34.5097,41.2125,84.2539,UP,1
2000-04-05,47.3125,37.625,34.6889,42.425,83.9064,UP,1
2000-04-06,54.25,57.0313,34.9028,45.3125,83.6327,DOWN,0
2000-04-07,50.0,56.25,35.0936,46.5688,83.2433,DOWN,0
2000-04-10,45.625,52.4063,35.2645,47.4813,82.8708,DOWN,0
2000-04-11,39.625,44.5,35.4039,47.3625,82.5658,DOWN,0
2000-04-12,38.6563,39.0313,35.5373,45.6313,82.2202,UP,1
2000-04-13,43.0,39.5313,35.6863,43.3813,81.8414,DOWN,0
2000-04-14,37.375,41.9063,35.8075,40.8563,81.1389,UP,1
2000-04-17,38.4688,34.875,35.9296,39.425,80.5583,UP,1
2000-04-18,42.75,38.5,36.0734,40.05,80.0133,UP,1
2000-04-19,43.0,43.5,36.2179,40.9188,79.5033,DOWN,0
2000-04-20,38.5313,44.0,36.3459,40.025,78.6839,DOWN,0
2000-04-24,36.625,35.4063,36.4563,39.875,77.5155,UP,1
2000-04-25,40.25,37.9375,36.5858,40.2313,76.4948,DOWN,0
2000-04-26,35.75,40.125,36.695,38.8313,75.3405,DOWN,0
2000-04-27,35.5,33.25,36.8048,37.3313,74.0961,UP,1
2000-04-28,38.5,36.3125,36.9259,37.325,72.6961,UP,1
2000-05-01,43.8125,38.875,37.075,38.7625,70.8111,DOWN,0
2000-05-02,38.2813,43.375,37.2027,38.3688,68.9073,UP,1
2000-05-03,38.6875,37.9375,37.333,38.9563,67.4305,UP,1
2000-05-04,40.2188,38.6875,37.4702,39.9,65.7148,UP,1
2000-05-05,45.4688,39.0313,37.635,41.2938,64.0042,DOWN,0
2000-05-08,43.0859,45.625,37.7848,41.1484,62.0609,DOWN,0
2000-05-09,38.5547,44.0,37.9129,41.2031,60.0939,DOWN,0
2000-05-10,35.9375,37.5313,38.0284,40.6531,58.057,DOWN,0
2000-05-11,34.4375,37.0,38.1373,39.4969,56.3464,DOWN,0
2000-05-12,34.375,35.5,38.2459,37.2781,54.8045,DOWN,0
2000-05-15,34.0938,34.75,38.3498,35.4797,53.0264,DOWN,0
2000-05-16,33.6875,34.75,38.452,34.5063,51.3027,DOWN,0
2000-05-17,33.2813,33.5938,38.5559,33.975,49.7194,DOWN,0
2000-05-18,30.5,33.375,38.6451,33.1875,48.1181,DOWN,0
2000-05-19,28.875,29.75,38.7268,32.0875,46.6356,DOWN,0
2000-05-22,27.0703,28.625,38.7996,30.6828,45.1445,DOWN,0
2000-05-23,25.0,27.5,38.8596,28.9453,43.6745,DOWN,0
2000-05-24,24.5,25.1875,38.9174,27.1891,42.7295,DOWN,0
2000-05-25,23.5625,25.125,38.9718,25.8016,41.942,UP,1
2000-05-26,24.5313,24.5,39.0318,24.9328,40.9689,UP,1
2000-05-30,28.5625,24.9688,39.1126,25.2313,40.1714,DOWN,0
2000-05-31,26.375,27.875,39.1816,25.5063,39.6177,UP,1
2000-06-01,30.0625,27.4688,39.273,26.6188,39.0336,UP,1
