ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,27.9085,28.0818,32.4873,28.2898,29.1311,DOWN,0
2000-02-09,26.4639,27.5618,32.4284,27.9662,29.0733,DOWN,0
2000-02-10,25.9439,26.7528,32.355,27.4693,28.9936,DOWN,0
2000-02-11,24.9038,25.9439,32.2629,26.7413,28.8954,UP,1
2000-02-14,26.5217,25.4239,32.1782,26.3484,28.8226,UP,1
2000-02-15,26.8106,26.7528,32.0852,26.1288,28.774,DOWN,0
2000-02-16,25.8861,26.7528,31.9907,26.0132,28.7093,UP,1
2000-02-17,26.3484,26.2328,31.9032,26.0941,28.6666,DOWN,0
2000-02-18,25.0194,26.1172,31.8113,26.1172,28.5822,UP,1
2000-02-22,25.7128,24.5571,31.7186,25.9554,28.5152,DOWN,0
2000-02-23,25.135,25.8861,31.6244,25.6203,28.4331,DOWN,0
2000-02-24,24.3838,25.135,31.5212,25.3199,28.3568,DOWN,0
2000-02-25,24.1527,24.6149,31.425,24.8807,28.2552,DOWN,0
2000-02-28,24.1527,24.3838,31.3314,24.7074,28.1627,DOWN,0
2000-02-29,23.806,23.9793,31.2372,24.326,28.0668,UP,1
2000-03-01,23.9793,23.806,31.1537,24.0949,27.9651,DOWN,0
2000-03-02,23.5749,23.9793,31.0749,23.9331,27.8715,UP,1
2000-03-03,24.326,23.5749,30.9882,23.9678,27.816,DOWN,0
2000-03-06,23.4015,24.0949,30.9004,23.8175,27.7455,DOWN,0
2000-03-07,22.3614,23.1704,30.8097,23.5286,27.623,UP,1
2000-03-08,22.9393,22.1303,30.7247,23.3206,27.5109,DOWN,0
2000-03-09,22.9393,22.3614,30.6412,23.1935,27.3896,UP,1
2000-03-10,23.0548,23.3437,30.5583,22.9393,27.2313,DOWN,0
2000-03-13,22.8237,22.7659,30.4826,22.8237,27.0753,UP,1
2000-03-14,22.997,22.8237,30.4081,22.9508,26.9146,UP,1
2000-03-15,25.3083,23.0548,30.3347,23.4246,26.8141,UP,1
