ticker,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2020-11-02,118.98,117.51,120.436,111.7712,,UP,1
2020-11-03,121.63,119.34,119.606,111.9658,,UP,1
2020-11-04,128.69,124.68,121.64,112.294,,UP,1
2020-11-05,134.97,132.0,124.21,112.7428,,DOWN,0
2020-11-06,132.56,134.59,127.366,113.1634,,UP,1
2020-11-09,137.22,136.6373,131.014,113.6778,,DOWN,0
2020-11-10,132.22,137.13,133.132,114.0886,,UP,1
2020-11-11,133.41,133.67,134.076,114.4886,,DOWN,0
2020-11-12,131.26,133.06,133.334,114.764,,UP,1
2020-11-13,131.6,131.12,133.142,115.1852,,UP,1
2020-11-16,134.83,133.75,132.664,115.763,,DOWN,0
2020-11-17,131.35,134.57,132.49,116.3488,,DOWN,0
2020-11-18,131.35,133.75,132.078,116.8646,,UP,1
2020-11-19,132.31,131.19,132.288,117.4016,,DOWN,0
2020-11-20,130.57,131.92,132.082,117.94,,UP,1
2020-11-23,138.23,131.07,132.762,118.5394,,UP,1
2020-11-24,138.67,137.65,134.226,119.0932,,UP,1
2020-11-25,139.01,139.34,135.758,119.7074,,UP,1
2020-11-27,139.63,139.16,137.222,120.3488,,DOWN,0
2020-11-30,139.21,139.11,138.95,120.9648,,UP,1
2020-12-01,143.31,141.21,139.966,121.694,,DOWN,0
2020-12-02,138.93,142.1,140.018,122.3424,,UP,1
2020-12-03,140.14,138.08,140.244,123.0874,,UP,1
2020-12-04,145.39,139.72,141.396,123.9266,,UP,1
2020-12-07,146.07,144.31,142.768,124.733,,DOWN,0
2020-12-08,145.42,146.56,143.19,125.4696,,DOWN,0
2020-12-09,143.52,146.63,144.108,126.1576,,UP,1
2020-12-10,147.32,143.15,145.544,126.891,,UP,1
2020-12-11,148.11,146.81,146.088,127.529,,DOWN,0
2020-12-14,144.81,149.6,145.836,128.1864,,UP,1
2020-12-15,150.84,146.5,146.92,128.9222,,UP,1
2020-12-16,153.9,152.75,148.996,129.716,,DOWN,0
2020-12-17,148.75,155.0,149.282,130.401,,UP,1
2020-12-18,155.07,150.93,150.674,131.2334,,DOWN,0
2020-12-21,154.15,152.26,152.542,132.0688,,UP,1
2020-12-22,156.12,153.91,153.598,132.9852,,DOWN,0
2020-12-23,153.39,157.57,153.496,133.8298,,DOWN,0
2020-12-24,152.08,153.04,154.162,134.676,,DOWN,0
2020-12-28,150.08,153.64,153.164,135.4542,,UP,1
2020-12-29,150.22,151.0,152.378,136.2144,,UP,1
2020-12-30,152.0,152.2,151.554,136.9944,,DOWN,0
2020-12-31,151.19,152.25,151.114,137.721,,DOWN,0
2021-01-04,149.92,153.31,150.682,138.3582,,UP,1
2021-01-05,150.29,148.54,150.724,139.0296,,DOWN,0
2021-01-06,148.81,147.7,150.442,139.5998,,UP,1
2021-01-07,152.86,149.49,150.614,140.2718,,DOWN,0
2021-01-08,151.79,154.2,150.734,140.792,,UP,1
2021-01-11,151.9,151.62,151.13,141.4596,,UP,1
