ticker,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,11.0469,10.875,8.6562,10.7781,9.6467,UP,1
2000-02-09,11.9688,11.0625,8.6795,11.0438,9.7155,DOWN,0
2000-02-10,11.7969,12.0625,8.7022,11.2781,9.777,DOWN,0
2000-02-11,10.8906,11.9063,8.7204,11.3156,9.8173,DOWN,0
2000-02-14,10.8125,11.0313,8.7371,11.3031,9.858,DOWN,0
2000-02-15,10.4375,10.8125,8.7511,11.1813,9.8886,UP,1
2000-02-16,10.6563,10.5625,8.7647,10.9188,9.9261,DOWN,0
2000-02-17,10.5313,10.6797,8.7775,10.6656,9.9611,DOWN,0
2000-02-18,10.1875,10.625,8.7878,10.525,9.9895,UP,1
2000-02-22,10.375,10.1563,8.8,10.4375,10.0242,UP,1
2000-02-23,11.1719,11.125,8.8152,10.5844,10.0805,UP,1
2000-02-24,11.3125,11.125,8.8309,10.7156,10.1367,UP,1
2000-02-25,11.4766,11.3438,8.8458,10.9047,10.1925,UP,1
2000-02-28,12.375,11.5,8.865,11.3422,10.2644,UP,1
2000-02-29,12.75,12.375,8.8881,11.8172,10.3419,DOWN,0
2000-03-01,12.5625,12.6016,8.9102,12.0953,10.4122,DOWN,0
2000-03-02,12.4141,12.5938,8.9329,12.3156,10.4692,DOWN,0
2000-03-03,12.4063,12.5,8.9557,12.5016,10.5223,DOWN,0
2000-03-06,12.3906,12.4219,8.9779,12.5047,10.5803,UP,1
2000-03-07,12.7344,12.375,9.0016,12.5016,10.6419,DOWN,0
2000-03-08,12.7188,12.5938,9.0268,12.5328,10.6962,DOWN,0
2000-03-09,12.5938,12.8125,9.0502,12.5688,10.7378,DOWN,0
2000-03-10,12.3594,12.5938,9.0717,12.5594,10.7825,DOWN,0
2000-03-13,12.1563,12.3125,9.0923,12.5125,10.8269,DOWN,0
2000-03-14,11.5156,12.1563,9.1095,12.2688,10.8584,DOWN,0
2000-03-15,11.3594,11.5625,9.1235,11.9969,10.89,DOWN,0
2000-03-16,11.0156,11.4063,9.1349,11.6813,10.9213,DOWN,0
2000-03-17,10.4219,10.5547,9.1442,11.2938,10.9431,DOWN,0
2000-03-20,10.0313,10.8438,9.1525,10.8688,10.9563,UP,1
2000-03-21,10.2656,10.1563,9.1625,10.6188,10.9716,UP,1
2000-03-22,10.5156,10.3906,9.174,10.45,10.9834,DOWN,0
2000-03-23,10.5156,10.5,9.1875,10.35,10.9984,DOWN,0
2000-03-24,10.5,10.625,9.2007,10.3656,11.0116,DOWN,0
2000-03-27,10.4688,10.5938,9.2132,10.4531,11.0222,DOWN,0
2000-03-28,10.4688,10.4922,9.2259,10.4938,11.0316,DOWN,0
2000-03-29,10.125,10.4688,9.2367,10.4156,11.0356,DOWN,0
2000-03-30,9.8906,10.1563,9.2438,10.2906,11.0291,DOWN,0
2000-03-31,9.3125,10.0313,9.2471,10.0531,11.0131,DOWN,0
2000-04-03,8.75,9.5,9.2466,9.7094,10.9916,UP,1
2000-04-04,10.0938,8.8906,9.2525,9.6344,10.9875,DOWN,0
2000-04-05,9.8438,9.9375,9.2578,9.5781,10.9819,UP,1
2000-04-06,10.0938,9.875,9.2636,9.6188,10.98,UP,1
2000-04-07,10.8594,10.2656,9.2742,9.9281,10.9975,DOWN,0
2000-04-10,10.4219,10.7188,9.2818,10.2625,10.9984,UP,1
2000-04-11,10.5313,10.3906,9.2886,10.35,11.0056,UP,1
2000-04-12,11.5,10.5313,9.3004,10.6813,11.0294,DOWN,0
2000-04-13,11.0156,11.5,9.3095,10.8656,11.0369,DOWN,0
2000-04-14,10.3125,10.9531,9.3154,10.7563,11.0306,UP,1
2000-04-17,10.3281,10.25,9.3204,10.7375,11.0231,UP,1
2000-04-18,11.25,10.3125,9.3305,10.8813,11.0306,UP,1
2000-04-19,11.7266,11.4219,9.347,10.9266,11.0442,UP,1
2000-04-20,12.0,11.75,9.3631,11.1234,11.0448,UP,1
2000-04-24,12.2188,12.0,9.3803,11.5047,11.0533,UP,1
2000-04-25,12.3594,12.3125,9.3981,11.9109,11.0827,DOWN,0
2000-04-26,12.0469,12.4375,9.4148,12.0703,11.1073,UP,1
2000-04-27,12.3125,11.9375,9.4335,12.1875,11.1448,UP,1
2000-04-28,12.5,12.3594,9.4528,12.2875,11.1817,UP,1
2000-05-01,12.5938,12.4375,9.4727,12.3625,11.223,UP,1
2000-05-02,12.6563,12.5,9.4921,12.4219,11.2723,DOWN,0
2000-05-03,11.8438,12.625,9.5059,12.3813,11.3017,UP,1
2000-05-04,12.0938,12.0313,9.5212,12.3375,11.3202,UP,1
2000-05-05,12.9688,12.1563,9.542,12.4313,11.3533,DOWN,0
2000-05-08,12.9063,13.0469,9.5626,12.4938,11.3819,UP,1
2000-05-09,12.9531,12.9063,9.5826,12.5531,11.3934,DOWN,0
2000-05-10,12.8594,13.0,9.602,12.7563,11.3956,UP,1
2000-05-11,12.9375,12.8906,9.6228,12.925,11.4031,DOWN,0
2000-05-12,12.9297,12.9375,9.6437,12.9172,11.4134,DOWN,0
2000-05-15,12.9219,12.875,9.6641,12.9203,11.4238,DOWN,0
2000-05-16,12.1875,12.9375,9.6805,12.7672,11.4197,DOWN,0
2000-05-17,11.4219,12.2813,9.6946,12.4797,11.3934,DOWN,0
2000-05-18,11.0938,11.5313,9.7077,12.1109,11.3609,DOWN,0
2000-05-19,11.0313,10.75,9.718,11.7313,11.3297,UP,1
2000-05-22,11.1094,10.8906,9.7294,11.3688,11.3047,UP,1
2000-05-23,11.9063,11.1875,9.7461,11.3125,11.2997,DOWN,0
2000-05-24,11.8281,11.7813,9.7625,11.3938,11.3059,DOWN,0
2000-05-25,11.5,12.0781,9.7775,11.475,11.3088,DOWN,0
2000-05-26,11.5,11.4688,9.7944,11.5688,11.3184,DOWN,0
2000-05-30,11.3438,11.5313,9.8096,11.6156,11.3369,DOWN,0
2000-05-31,11.2344,11.3438,9.8242,11.4813,11.3609,UP,1
2000-06-01,11.9531,11.3438,9.8427,11.5063,11.3947,DOWN,0
2000-06-02,11.5,12.0938,9.8596,11.5063,11.4144,DOWN,0
2000-06-05,11.3906,11.5781,9.8755,11.4844,11.4319,DOWN,0
2000-06-06,11.2578,11.3203,9.8902,11.4672,11.447,DOWN,0
2000-06-07,11.2188,11.3125,9.9047,11.4641,11.462,DOWN,0
2000-06-08,10.7813,11.125,9.9172,11.2297,11.4683,UP,1
2000-06-09,10.8047,10.9063,9.9294,11.0906,11.4819,UP,1
2000-06-12,11.5938,10.875,9.9461,11.1313,11.5159,UP,1
2000-06-13,11.7188,11.5625,9.9649,11.2234,11.5641,UP,1
2000-06-14,11.7656,11.7188,9.9853,11.3328,11.6244,DOWN,0
2000-06-15,11.7031,11.75,10.0044,11.5172,11.6566,UP,1
2000-06-16,11.8125,11.7813,10.024,11.7188,11.6959,DOWN,0
2000-06-19,11.5,11.875,10.0427,11.7,11.7241,DOWN,0
2000-06-20,11.0156,11.5313,10.056,11.5594,11.7272,DOWN,0
2000-06-21,10.625,11.0313,10.0674,11.3313,11.7313,DOWN,0
2000-06-22,10.375,10.6406,10.078,11.0656,11.7281,UP,1
2000-06-23,10.4375,10.6875,10.0871,10.7906,11.7069,DOWN,0
2000-06-26,10.4375,10.5,10.0968,10.5781,11.6953,DOWN,0
2000-06-27,10.3906,10.4063,10.1076,10.4531,11.6969,UP,1
2000-06-28,10.625,10.375,10.1183,10.4531,11.7028,DOWN,0
2000-06-29,10.3906,10.6563,10.1271,10.4563,11.6856,UP,1
2000-06-30,12.375,10.3438,10.1479,10.8438,11.6986,DOWN,0
2000-07-03,11.8594,11.875,10.1653,11.1281,11.6958,UP,1
2000-07-05,11.9375,11.6719,10.1832,11.4375,11.6902,DOWN,0
2000-07-06,11.75,11.9531,10.2003,11.6625,11.678,UP,1
2000-07-07,11.875,11.7188,10.2184,11.9594,11.6745,UP,1
2000-07-10,12.5,12.0,10.2398,11.9844,11.6783,UP,1
2000-07-11,12.875,12.4531,10.2632,12.1875,11.6858,UP,1
2000-07-12,13.2969,12.9375,10.2876,12.4594,11.6998,DOWN,0
2000-07-13,13.2813,13.1406,10.3112,12.7656,11.7123,UP,1
2000-07-14,13.5469,13.2969,10.3361,13.1,11.7464,UP,1
2000-07-17,13.8438,13.5625,10.3632,13.3688,11.7814,UP,1
2000-07-18,13.9063,13.75,10.3914,13.575,11.8002,DOWN,0
2000-07-19,13.3125,14.1094,10.4172,13.5781,11.8083,UP,1
2000-07-20,14.0938,13.4063,10.4465,13.7406,11.8311,UP,1
2000-07-21,14.1719,14.0938,10.4756,13.8656,11.8573,DOWN,0
2000-07-24,13.9688,14.2344,10.5032,13.8906,11.878,UP,1
2000-07-25,14.25,14.0938,10.5317,13.9594,11.9044,UP,1
2000-07-26,14.9219,14.5,10.5632,14.2813,11.9444,DOWN,0
2000-07-27,14.7344,14.75,10.595,14.4094,11.9953,UP,1
2000-07-28,14.9844,14.75,10.6293,14.5719,12.0666,UP,1
2000-07-31,15.9414,14.9688,10.668,14.9664,12.1635,DOWN,0
2000-08-01,14.9531,15.875,10.7022,15.107,12.242,DOWN,0
2000-08-02,14.625,15.0313,10.7344,15.0477,12.3123,DOWN,0
2000-08-03,14.5156,14.4375,10.7659,15.0039,12.3645,DOWN,0
2000-08-04,14.4531,14.5938,10.7966,14.8977,12.417,UP,1
2000-08-07,14.5156,14.5625,10.8279,14.6125,12.4773,DOWN,0
2000-08-08,14.1914,14.5469,10.8573,14.4602,12.5311,UP,1
2000-08-09,14.5313,14.375,10.8891,14.4414,12.5948,UP,1
2000-08-10,14.7813,14.5938,10.9238,14.4945,12.6658,UP,1
2000-08-11,15.0313,14.8594,10.9577,14.6102,12.7273,DOWN,0
2000-08-14,15.0313,15.0625,10.9921,14.7133,12.798,DOWN,0
2000-08-15,14.4063,15.0313,11.0219,14.7563,12.8583,UP,1
2000-08-16,15.0625,14.4063,11.0558,14.8625,12.9344,UP,1
2000-08-17,15.2656,15.0,11.0904,14.9594,13.0153,UP,1
2000-08-18,15.2813,15.2266,11.1255,15.0094,13.1053,DOWN,0
2000-08-21,15.1445,15.375,11.1622,15.032,13.1921,DOWN,0
