ticker,LW US Equity,LW US Equity,LW US Equity,LW US Equity,LW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2017-03-10,41.4,41.02,40.852,38.4508,,UP,1
2017-03-13,41.53,41.39,41.074,38.5368,,UP,1
2017-03-14,42.21,41.5,41.368,38.6256,,UP,1
2017-03-15,42.36,42.44,41.696,38.7158,,DOWN,0
2017-03-16,41.99,42.28,41.898,38.8058,,UP,1
2017-03-17,42.25,41.94,42.068,38.9112,,UP,1
2017-03-20,42.48,42.31,42.258,39.0284,,UP,1
2017-03-21,42.87,42.59,42.39,39.1492,,DOWN,0
2017-03-22,42.44,43.02,42.406,39.2602,,UP,1
2017-03-23,43.01,42.4,42.61,39.3836,,DOWN,0
2017-03-24,42.67,43.0,42.694,39.4992,,UP,1
2017-03-27,42.96,42.53,42.79,39.6192,,DOWN,0
2017-03-28,42.92,42.86,42.8,39.7332,,DOWN,0
2017-03-29,42.64,42.88,42.84,39.8482,,DOWN,0
2017-03-30,42.09,42.7,42.656,39.9572,,DOWN,0
2017-03-31,42.06,42.07,42.534,40.0592,,DOWN,0
2017-04-03,42.0,42.01,42.342,40.157,,UP,1
2017-04-04,42.19,42.08,42.196,40.2654,,DOWN,0
2017-04-05,41.74,42.13,42.016,40.3504,,UP,1
2017-04-06,43.14,43.12,42.226,40.4798,,DOWN,0
2017-04-07,42.99,42.13,42.412,40.613,,DOWN,0
2017-04-10,42.76,42.94,42.564,40.7394,,UP,1
2017-04-11,42.88,42.78,42.702,40.8614,,DOWN,0
2017-04-12,42.16,42.9,42.786,40.9574,,DOWN,0
2017-04-13,41.87,42.18,42.532,41.0394,,UP,1
2017-04-17,42.23,41.89,42.38,41.1156,,UP,1
2017-04-18,42.38,42.27,42.304,41.1852,,DOWN,0
2017-04-19,42.2,42.29,42.168,41.2444,,UP,1
2017-04-20,42.6,42.31,42.256,41.3082,,DOWN,0
2017-04-21,42.26,42.57,42.334,41.3702,,UP,1
2017-04-24,42.67,42.53,42.422,41.442,,DOWN,0
2017-04-25,42.46,42.84,42.438,41.5058,,DOWN,0
2017-04-26,42.24,42.33,42.446,41.562,,UP,1
2017-04-27,42.64,42.14,42.454,41.6218,,DOWN,0
2017-04-28,41.75,42.59,42.352,41.6642,,UP,1
2017-05-01,41.8,41.86,42.178,41.7022,,DOWN,0
2017-05-02,41.39,41.68,41.964,41.7376,,DOWN,0
2017-05-03,40.9,41.17,41.696,41.7632,,UP,1
2017-05-04,41.26,41.18,41.42,41.7914,,UP,1
2017-05-05,41.57,41.18,41.384,41.8328,,UP,1
2017-05-08,41.58,41.42,41.34,41.8728,,UP,1
2017-05-09,41.75,41.62,41.412,41.9182,,UP,1
2017-05-10,42.47,41.68,41.726,41.9838,,DOWN,0
2017-05-11,42.2,42.33,41.914,42.0288,,DOWN,0
2017-05-12,42.2,42.07,42.04,42.0684,,UP,1
2017-05-15,42.93,42.14,42.31,42.119,,UP,1
2017-05-16,44.47,43.23,42.854,42.2,,DOWN,0
2017-05-17,44.17,44.39,43.194,42.2686,,DOWN,0
2017-05-18,43.94,44.05,43.542,42.333,,UP,1
2017-05-19,44.38,44.42,43.978,42.401,,UP,1
2017-05-22,44.58,44.5,44.308,42.4646,,DOWN,0
2017-05-23,44.22,44.51,44.258,42.5184,,UP,1
2017-05-24,45.49,44.68,44.522,42.584,,UP,1
2017-05-25,45.63,45.58,44.86,42.6494,,UP,1
2017-05-26,45.66,45.55,45.116,42.7228,,UP,1
2017-05-30,46.17,45.5,45.434,42.8012,,UP,1
2017-05-31,46.41,46.31,45.872,42.8798,,UP,1
