ticker,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2005-04-19,39.8,40.9,41.56,46.4354,,DOWN,0
2005-04-20,37.87,39.5,40.334,46.2138,,DOWN,0
2005-04-21,37.38,38.21,39.15,46.0212,,DOWN,0
2005-04-22,37.0,37.54,38.38,45.815,,UP,1
2005-04-25,37.26,37.15,37.862,45.6092,,UP,1
2005-04-26,38.75,37.56,37.652,45.4432,,DOWN,0
2005-04-27,38.45,38.84,37.768,45.252,,DOWN,0
2005-04-28,38.0,38.95,37.892,44.9962,,DOWN,0
2005-04-29,37.45,38.45,37.982,44.7508,,UP,1
2005-05-02,38.3,37.4,38.19,44.5138,,DOWN,0
2005-05-03,36.1,36.5,37.66,44.2548,,UP,1
2005-05-04,36.13,36.0,37.196,44.025,,DOWN,0
2005-05-05,35.54,36.38,36.704,43.7878,,UP,1
2005-05-06,36.0,35.74,36.414,43.5616,,UP,1
2005-05-09,36.35,35.57,36.024,43.3186,,DOWN,0
2005-05-10,35.77,36.1,35.958,43.076,,UP,1
2005-05-11,35.91,35.77,35.914,42.7938,,DOWN,0
2005-05-12,35.1,35.69,35.826,42.4962,,DOWN,0
2005-05-13,33.7,35.1,35.366,42.1762,,UP,1
2005-05-16,33.95,33.51,34.886,41.8886,,UP,1
2005-05-17,35.02,33.9,34.736,41.593,,UP,1
2005-05-18,36.5,35.4,34.854,41.376,,UP,1
2005-05-19,37.2,36.55,35.274,41.218,,DOWN,0
2005-05-20,37.12,36.98,35.958,41.0458,,UP,1
2005-05-23,37.2,37.11,36.608,40.87,,DOWN,0
2005-05-24,36.76,37.0,36.956,40.6558,,DOWN,0
2005-05-25,35.62,36.56,36.78,40.3802,,UP,1
2005-05-26,36.72,35.7,36.684,40.1484,,UP,1
2005-05-27,37.19,36.78,36.698,39.922,,DOWN,0
2005-05-31,36.26,37.19,36.51,39.6724,,UP,1
2005-06-01,37.39,36.55,36.636,39.454,,UP,1
2005-06-02,38.8,37.5,37.272,39.3002,,UP,1
2005-06-03,39.0,39.2,37.728,39.165,,DOWN,0
2005-06-06,38.2,38.91,37.93,39.009,,DOWN,0
2005-06-07,37.5,38.25,38.178,38.8394,,DOWN,0
2005-06-08,36.88,37.75,38.076,38.697,,UP,1
2005-06-09,36.95,36.75,37.706,38.5238,,UP,1
2005-06-10,37.18,37.2,37.342,38.3674,,UP,1
2005-06-13,37.5,37.2,37.202,38.2322,,UP,1
2005-06-14,39.11,37.65,37.524,38.1572,,DOWN,0
2005-06-15,38.5,39.23,37.848,38.085,,UP,1
2005-06-16,38.8,38.45,38.218,37.985,,UP,1
2005-06-17,39.95,38.8,38.772,37.901,,DOWN,0
2005-06-20,39.5,39.8,39.172,37.8224,,DOWN,0
