ticker,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-09,37.063,37.25,29.9006,37.0625,35.6325,UP,1
2000-02-10,37.375,37.25,29.9581,37.5375,35.6688,DOWN,0
2000-02-11,37.313,37.625,30.0134,37.425,35.7013,UP,1
2000-02-14,37.875,37.375,30.0722,37.4,35.7537,UP,1
2000-02-15,38.188,37.938,30.13,37.5625,35.825,UP,1
2000-02-16,38.375,38.25,30.1934,37.825,35.9063,DOWN,0
2000-02-17,37.938,38.5,30.2563,37.9375,35.955,DOWN,0
2000-02-18,36.5,37.688,30.31,37.775,35.9513,DOWN,0
2000-02-22,36.25,36.563,30.3634,37.45,35.9438,UP,1
2000-02-23,36.938,36.375,30.4184,37.2,35.91,DOWN,0
2000-02-24,36.813,36.938,30.4741,36.8875,35.875,UP,1
2000-02-25,37.0,36.813,30.5291,36.7,35.8525,UP,1
2000-02-28,38.688,37.0,30.5956,37.1375,35.8888,DOWN,0
2000-02-29,38.625,38.625,30.6656,37.6125,35.9213,DOWN,0
2000-03-01,38.438,38.0,30.7319,37.9125,35.9625,DOWN,0
2000-03-02,37.313,38.438,30.7903,38.0125,35.9813,DOWN,0
2000-03-03,37.313,37.25,30.8488,38.075,36.0013,DOWN,0
2000-03-06,36.875,37.25,30.9044,37.7125,36.0275,UP,1
2000-03-07,38.5,37.0,30.9697,37.6875,36.0763,DOWN,0
2000-03-08,37.5,38.75,31.0334,37.5,36.1213,DOWN,0
2000-03-09,37.0,37.5,31.0991,37.4375,36.1588,UP,1
2000-03-10,37.5,37.0,31.1656,37.475,36.1738,UP,1
2000-03-13,38.188,37.375,31.2334,37.7375,36.1875,UP,1
2000-03-14,38.438,38.0,31.3019,37.725,36.1925,UP,1
2000-03-15,39.25,38.438,31.3703,38.075,36.27,UP,1
2000-03-16,42.625,39.313,31.4459,39.2,36.43,DOWN,0
2000-03-17,42.438,42.188,31.5269,40.1875,36.6013,UP,1
2000-03-20,42.875,42.688,31.6069,41.125,36.7663,UP,1
2000-03-21,42.938,42.25,31.6875,42.025,36.9125,UP,1
2000-03-22,44.5,43.063,31.7766,43.075,37.0575,DOWN,0
2000-03-23,44.063,44.5,31.8644,43.3625,37.2175,DOWN,0
2000-03-24,41.688,43.875,31.9409,43.2125,37.3338,DOWN,0
2000-03-27,40.563,41.813,32.0106,42.75,37.4275,DOWN,0
2000-03-28,39.5,40.375,32.0737,42.0625,37.5075,UP,1
2000-03-29,40.5,39.125,32.1419,41.2625,37.615,DOWN,0
2000-03-30,40.5,40.25,32.2081,40.55,37.7188,UP,1
2000-03-31,40.938,40.625,32.2766,40.4,37.84,DOWN,0
2000-04-03,40.188,40.75,32.3425,40.325,37.9463,DOWN,0
2000-04-04,40.0,40.375,32.4128,40.425,38.0538,UP,1
2000-04-05,40.125,40.0,32.4809,40.35,38.1725,DOWN,0
2000-04-06,40.063,40.125,32.55,40.2625,38.295,UP,1
2000-04-07,40.563,40.25,32.6216,40.1875,38.4425,DOWN,0
2000-04-10,40.188,40.563,32.6903,40.1875,38.6,DOWN,0
2000-04-11,40.0,40.5,32.7594,40.1875,38.7625,UP,1
2000-04-12,40.313,40.125,32.8303,40.225,38.9288,UP,1
2000-04-13,40.938,39.813,32.9075,40.4,39.1,DOWN,0
2000-04-14,38.75,41.0,32.9756,40.0375,39.175,UP,1
2000-04-17,40.375,39.0,33.0472,40.075,39.225,UP,1
