ticker,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-04-12,29.8,29.75,29.74,29.4361,,DOWN,0
2011-04-13,29.68,29.81,29.702,29.4441,,UP,1
2011-04-14,29.97,29.67,29.716,29.4611,,UP,1
2011-04-15,30.0,30.04,29.87,29.4831,,DOWN,0
2011-04-18,29.81,29.8,29.852,29.4953,,UP,1
2011-04-19,29.98,29.85,29.888,29.5049,,UP,1
2011-04-20,30.41,30.14,30.034,29.5163,,UP,1
2011-04-21,30.96,30.44,30.232,29.5463,,UP,1
2011-04-25,31.02,30.98,30.436,29.5817,,UP,1
2011-04-26,31.82,31.0,30.838,29.6355,,DOWN,0
2011-04-27,31.69,31.93,31.18,29.6927,,DOWN,0
2011-04-28,31.65,31.6,31.428,29.7449,,DOWN,0
2011-04-29,31.35,31.67,31.506,29.7891,,UP,1
2011-05-02,31.6,31.36,31.622,29.8407,,DOWN,0
2011-05-03,31.29,31.6,31.516,29.8713,,UP,1
2011-05-04,31.3,31.38,31.438,29.9131,,DOWN,0
2011-05-05,31.21,31.27,31.35,29.9561,,DOWN,0
2011-05-06,31.08,31.33,31.296,29.9957,,UP,1
2011-05-09,31.38,31.14,31.252,30.0373,,UP,1
2011-05-10,31.98,31.33,31.39,30.0919,,DOWN,0
2011-05-11,30.94,31.89,31.318,30.1295,,UP,1
2011-05-12,31.45,30.81,31.366,30.1837,,DOWN,0
2011-05-13,31.375,31.41,31.425,30.2296,,UP,1
2011-05-16,31.94,31.28,31.537,30.2924,,DOWN,0
2011-05-17,31.69,31.85,31.479,30.3662,,UP,1
2011-05-18,31.74,31.57,31.639,30.4262,,DOWN,0
2011-05-19,31.5,31.8,31.649,30.4782,,DOWN,0
2011-05-20,31.39,31.49,31.652,30.536,,DOWN,0
2011-05-23,30.72,30.97,31.408,30.5848,,UP,1
2011-05-24,31.78,30.7,31.426,30.6568,,DOWN,0
2011-05-25,31.2,31.6,31.318,30.6994,,UP,1
2011-05-26,31.82,31.12,31.382,30.7486,,UP,1
2011-05-27,34.6,31.82,32.024,30.8412,,DOWN,0
2011-05-31,32.25,34.44,32.33,30.8794,,DOWN,0
2011-06-01,31.88,32.25,32.35,30.9052,,UP,1
2011-06-02,32.15,31.99,32.54,30.9528,,UP,1
2011-06-03,32.88,31.91,32.752,31.0124,,UP,1
2011-06-06,33.33,32.69,32.498,31.0845,,UP,1
2011-06-07,33.97,33.37,32.842,31.1623,,UP,1
2011-06-08,34.09,33.84,33.284,31.2367,,DOWN,0
2011-06-09,33.88,33.88,33.63,31.3123,,DOWN,0
2011-06-10,33.2,33.96,33.694,31.3657,,DOWN,0
2011-06-13,33.2,33.47,33.668,31.4115,,UP,1
2011-06-14,33.76,33.4,33.626,31.4723,,DOWN,0
2011-06-15,33.53,33.76,33.514,31.5395,,UP,1
2011-06-16,33.83,33.59,33.504,31.6195,,UP,1
2011-06-17,34.25,34.0,33.714,31.7071,,DOWN,0
2011-06-20,34.05,34.24,33.884,31.7901,,DOWN,0
2011-06-21,34.05,34.22,33.942,31.8865,,UP,1
2011-06-22,34.44,34.17,34.124,31.9773,,DOWN,0
2011-06-23,33.81,34.13,34.12,32.0575,,DOWN,0
2011-06-24,32.96,33.65,33.862,32.1231,,DOWN,0
2011-06-27,32.75,33.22,33.602,32.1787,,DOWN,0
2011-06-28,31.25,31.81,33.042,32.2037,,UP,1
2011-06-29,31.44,31.25,32.442,32.2363,,UP,1
2011-06-30,32.28,31.65,32.136,32.2823,,DOWN,0
2011-07-01,31.0,31.8,31.744,32.2941,,DOWN,0
2011-07-05,31.0,31.07,31.394,32.2949,,DOWN,0
2011-07-06,30.4,30.9,31.224,32.2825,,UP,1
2011-07-07,30.56,30.57,31.048,32.2573,,DOWN,0
2011-07-08,30.26,30.4,30.644,32.2287,,DOWN,0
2011-07-11,30.05,30.1,30.454,32.1967,,UP,1
2011-07-12,30.42,29.87,30.338,32.1781,,UP,1
