ticker,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-02-08,10.3194,10.1667,9.1051,10.2972,10.6203,DOWN,0
2000-02-09,9.8611,10.4167,9.1122,10.2139,10.6308,DOWN,0
2000-02-10,9.3333,9.8889,9.1156,9.9778,10.6186,DOWN,0
2000-02-11,9.0833,9.3472,9.1196,9.7389,10.5986,DOWN,0
2000-02-14,8.9861,9.1111,9.124,9.5167,10.5781,DOWN,0
2000-02-15,8.7222,9.0556,9.128,9.1972,10.5519,DOWN,0
2000-02-16,8.1667,8.75,9.1266,8.8583,10.5075,DOWN,0
2000-02-17,7.9583,8.25,9.1243,8.5833,10.4575,DOWN,0
2000-02-18,7.6389,8.0,9.1223,8.2944,10.4108,DOWN,0
2000-02-22,7.125,7.6111,9.1157,7.9222,10.3539,UP,1
2000-02-23,7.9444,7.25,9.1155,7.7667,10.3131,UP,1
2000-02-24,8.0139,7.8611,9.1168,7.7361,10.2747,DOWN,0
2000-02-25,7.75,7.8889,9.1189,7.6944,10.2303,UP,1
2000-02-28,8.25,7.7083,9.1213,7.8167,10.1936,UP,1
2000-02-29,8.625,8.2778,9.1245,8.1167,10.1528,DOWN,0
2000-03-01,8.0972,8.6806,9.1246,8.1472,10.0925,UP,1
2000-03-02,8.3889,8.1389,9.1259,8.2222,10.0336,UP,1
2000-03-03,8.7083,8.4444,9.1288,8.4139,9.9828,DOWN,0
2000-03-06,7.9583,8.6667,9.1275,8.3556,9.925,DOWN,0
2000-03-07,7.7361,8.0556,9.1266,8.1778,9.8614,UP,1
2000-03-08,8.3889,7.7222,9.1305,8.2361,9.8081,UP,1
2000-03-09,9.5,8.2639,9.1402,8.4583,9.7842,DOWN,0
2000-03-10,8.9028,9.1667,9.1458,8.4972,9.7431,DOWN,0
2000-03-13,8.875,8.6944,9.1524,8.6806,9.6992,DOWN,0
2000-03-14,8.375,8.8889,9.1569,8.8083,9.6514,UP,1
2000-03-15,9.8611,8.4444,9.1694,9.1028,9.6314,UP,1
2000-03-16,10.4722,9.8333,9.1836,9.2972,9.6239,DOWN,0
2000-03-17,10.4167,10.5451,9.1984,9.6,9.615,DOWN,0
2000-03-20,9.9583,10.3889,9.2104,9.8167,9.5931,UP,1
2000-03-21,10.4306,9.8889,9.2238,10.2278,9.5725,UP,1
2000-03-22,10.5,10.3333,9.2395,10.3556,9.5447,DOWN,0
2000-03-23,10.5,10.4583,9.2542,10.3611,9.5258,DOWN,0
2000-03-24,9.9583,10.5417,9.2641,10.2694,9.5003,UP,1
2000-03-27,10.0,10.2639,9.2731,10.2778,9.4686,DOWN,0
2000-03-28,10.0,10.0,9.2825,10.1917,9.4311,UP,1
2000-03-29,11.1111,10.0417,9.298,10.3139,9.4158,UP,1
2000-03-30,11.4722,10.7292,9.313,10.5083,9.4131,UP,1
2000-03-31,11.5833,11.5278,9.3266,10.8333,9.4258,UP,1
2000-04-03,12.1667,11.7222,9.3431,11.2667,9.4561,DOWN,0
2000-04-04,11.5833,12.0833,9.3548,11.5833,9.4853,DOWN,0
2000-04-05,11.3611,11.5972,9.3661,11.6333,9.505,UP,1
2000-04-06,11.8472,10.4306,9.3799,11.7083,9.5353,DOWN,0
2000-04-07,11.5972,11.8472,9.3937,11.7111,9.5694,DOWN,0
2000-04-10,11.2917,11.5556,9.4051,11.5361,9.5969,DOWN,0
2000-04-11,11.2639,11.1111,9.4149,11.4722,9.6264,UP,1
