ticker,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-02-11,3.625,3.709,3.1187,3.625,3.1229,3.475
2000-02-14,3.475,3.638,3.1165,3.6175,3.1467,3.238
2000-02-15,3.238,3.4,3.115,3.5425,3.1656,3.225
2000-02-16,3.225,3.238,3.1138,3.455,3.1839,3.2
2000-02-17,3.2,3.175,3.1121,3.3525,3.2017,3.075
2000-02-18,3.075,3.194,3.1094,3.2425,3.2192,3.2
2000-02-22,3.2,3.075,3.1071,3.1875,3.2394,3.625
2000-02-23,3.625,3.188,3.1067,3.265,3.2682,3.494
2000-02-24,3.494,3.688,3.1046,3.3188,3.2931,3.513
2000-02-25,3.513,3.463,3.1035,3.3813,3.3181,3.6
