ticker,IQV US Equity,IQV US Equity,IQV US Equity,IQV US Equity,IQV US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2013-09-18,45.09,44.8,44.63,44.1746,,44.0
2013-09-19,44.0,45.01,44.536,44.1824,,44.72
2013-09-20,44.72,43.94,44.606,44.2114,,44.86
2013-09-23,44.86,44.73,44.688,44.2386,,44.76
2013-09-24,44.76,45.0,44.686,44.2608,,44.69
2013-09-25,44.69,44.81,44.606,44.2798,,45.1
2013-09-26,45.1,44.66,44.826,44.3052,,44.93
2013-09-27,44.93,44.91,44.868,44.323,,44.88
2013-09-30,44.88,44.57,44.872,44.3392,,44.67
2013-10-01,44.67,44.81,44.854,44.3412,,44.04
2013-10-02,44.04,44.4,44.724,44.3356,,43.25
2013-10-03,43.25,43.97,44.354,44.3302,,43.98
2013-10-04,43.98,43.09,44.164,44.3402,,42.55
2013-10-07,42.55,43.74,43.698,44.3258,,41.58
2013-10-08,41.58,42.53,43.08,44.288,,42.22
2013-10-09,42.22,42.39,42.716,44.2646,,42.57
2013-10-10,42.57,42.69,42.58,44.219,,42.23
2013-10-11,42.23,42.43,42.23,44.1378,,42.02
2013-10-14,42.02,42.09,42.124,44.0738,,41.99
2013-10-15,41.99,42.05,42.206,44.007,,43.12
2013-10-16,43.12,42.07,42.386,43.9504,,43.53
2013-10-17,43.53,42.92,42.578,43.9102,,43.93
2013-10-18,43.93,43.66,42.918,43.8812,,43.98
2013-10-21,43.98,43.85,43.31,43.848,,44.11
2013-10-22,44.11,43.99,43.734,43.8186,,43.81
2013-10-23,43.81,44.04,43.872,43.7872,,44.55
2013-10-24,44.55,43.76,44.076,43.7722,,44.31
2013-10-25,44.31,44.52,44.152,43.7634,,43.9
2013-10-28,43.9,44.39,44.136,43.7582,,43.77
2013-10-29,43.77,43.89,44.068,43.7472,,43.38
2013-10-30,43.38,43.72,43.982,43.729,,41.99
2013-10-31,41.99,43.75,43.47,43.6888,,43.43
2013-11-01,43.43,42.75,43.294,43.6842,,44.2
2013-11-04,44.2,43.69,43.354,43.6976,,44.09
2013-11-05,44.09,44.14,43.418,43.7108,,44.0
2013-11-06,44.0,44.08,43.542,43.7284,,44.05
2013-11-07,44.05,44.01,43.954,43.7298,,44.09
2013-11-08,44.09,43.95,44.086,43.7336,,43.98
2013-11-11,43.98,44.1,44.042,43.748,,44.14
2013-11-12,44.14,44.0,44.052,43.7688,,44.37
2013-11-13,44.37,43.93,44.126,43.7916,,43.97
2013-11-14,43.97,44.3,44.11,43.8072,,43.98
2013-11-15,43.98,44.0,44.088,43.8304,,43.31
2013-11-18,43.31,43.64,43.954,43.8336,,42.86
2013-11-19,42.86,42.96,43.698,43.8154,,42.88
2013-11-20,42.88,42.51,43.4,43.7984,,43.25
2013-11-21,43.25,42.75,43.256,43.774,,43.11
2013-11-22,43.11,43.19,43.082,43.7488,,42.7
2013-11-25,42.7,43.0,42.96,43.7138,,43.0
2013-11-26,43.0,42.8,42.988,43.6784,,42.99
2013-11-27,42.99,43.11,43.01,43.6364,,43.19
2013-11-29,43.19,43.24,42.998,43.6202,,42.79
2013-12-02,42.79,43.3,42.934,43.5816,,42.35
2013-12-03,42.35,42.47,42.864,43.5314,,41.94
2013-12-04,41.94,42.3,42.652,43.475,,41.87
2013-12-05,41.87,41.89,42.428,43.4186,,42.03
2013-12-06,42.03,41.96,42.196,43.3572,,42.74
2013-12-09,42.74,42.1,42.186,43.3134,,43.73
2013-12-10,43.73,43.23,42.462,43.2904,,43.77
2013-12-11,43.77,44.15,42.828,43.2724,,45.07
2013-12-12,45.07,43.64,43.468,43.293,,44.97
2013-12-13,44.97,45.0,44.056,43.3274,,45.15
2013-12-16,45.15,44.97,44.538,43.3508,,45.22
2013-12-17,45.22,45.38,44.836,43.4042,,45.68
2013-12-18,45.68,45.35,45.218,43.4862,,45.16
2013-12-19,45.16,45.35,45.236,43.545,,45.42
2013-12-20,45.42,44.68,45.326,43.602,,46.2
2013-12-23,46.2,45.92,45.536,43.6814,,46.4
2013-12-24,46.4,46.36,45.772,43.769,,46.48
2013-12-26,46.48,46.51,45.932,43.8588,,46.4
2013-12-27,46.4,46.47,46.18,43.9244,,46.45
2013-12-30,46.45,46.4,46.386,43.9828,,46.34
2013-12-31,46.34,46.58,46.414,44.031,,45.8
2014-01-02,45.8,46.11,46.294,44.0674,,46.29
2014-01-03,46.29,45.94,46.256,44.111,,46.03
2014-01-06,46.03,46.46,46.182,44.1554,,46.79
2014-01-07,46.79,46.5,46.25,44.2002,,47.42
2014-01-08,47.42,46.81,46.466,44.2624,,47.84
2014-01-09,47.84,47.5,46.874,44.3412,,48.61
2014-01-10,48.61,47.96,47.338,44.438,,49.16
2014-01-13,49.16,48.66,47.964,44.5536,,49.0
2014-01-14,49.0,49.32,48.406,44.6938,,49.5
2014-01-15,49.5,49.34,48.822,44.8152,,49.78
2014-01-16,49.78,49.43,49.21,44.9268,,48.98
2014-01-17,48.98,49.89,49.284,45.0246,,48.15
2014-01-21,48.15,51.95,49.082,45.1076,,48.01
2014-01-22,48.01,48.14,48.884,45.1868,,47.74
2014-01-23,47.74,48.01,48.532,45.2598,,46.21
2014-01-24,46.21,47.45,47.818,45.3044,,46.54
2014-01-27,46.54,46.3,47.33,45.3524,,47.3
2014-01-28,47.3,46.8,47.16,45.411,,46.43
2014-01-29,46.43,47.07,46.844,45.4602,,47.7
2014-01-30,47.7,46.79,46.836,45.5346,,47.63
2014-01-31,47.63,47.23,47.12,45.621,,46.43
2014-02-03,46.43,47.22,47.098,45.6924,,46.61
2014-02-04,46.61,46.77,46.96,45.767,,48.37
2014-02-05,48.37,46.58,47.348,45.8694,,49.0
2014-02-06,49.0,48.74,47.608,45.9872,,48.23
2014-02-07,48.23,49.1,47.728,46.0978,,48.61
2014-02-10,48.61,48.1,48.164,46.21,,49.15
2014-02-11,49.15,48.73,48.672,46.3332,,49.44
2014-02-12,49.44,49.05,48.886,46.4582,,52.2
2014-02-13,52.2,50.0,49.526,46.6464,,53.15
2014-02-14,53.15,52.2,50.51,46.8624,,53.77
2014-02-18,53.77,53.0,51.542,47.099,,54.94
2014-02-19,54.94,53.68,52.7,47.3604,,54.54
2014-02-20,54.54,54.48,53.72,47.6106,,53.93
2014-02-21,53.93,54.79,54.066,47.8344,44.7873,53.63
2014-02-24,53.63,54.0,54.162,48.0324,44.8554,53.26
2014-02-25,53.26,53.52,54.06,48.2222,44.9112,53.62
2014-02-26,53.62,53.4,53.796,48.3932,44.9673,53.5
2014-02-27,53.5,53.29,53.588,48.5638,45.0182,54.15
2014-02-28,54.15,53.51,53.632,48.7438,45.0668,52.87
2014-03-03,52.87,53.6,53.48,48.8968,45.1037,54.06
2014-03-04,54.06,53.09,53.64,49.0644,45.1447,54.12
2014-03-05,54.12,54.32,53.74,49.2436,45.1877,54.48
2014-03-06,54.48,54.52,53.936,49.4248,45.2333,54.11
2014-03-07,54.11,54.58,53.928,49.583,45.2786,54.3
2014-03-10,54.3,53.94,54.214,49.741,45.3268,52.81
2014-03-11,52.81,54.18,53.964,49.8676,45.3659,52.82
2014-03-12,52.82,52.1,53.704,49.996,45.4048,51.24
2014-03-13,51.24,51.59,53.056,50.0918,45.4338,52.17
2014-03-14,52.17,51.07,52.668,50.2084,45.4724,52.45
2014-03-17,52.45,52.21,52.298,50.3414,45.5134,52.96
2014-03-18,52.96,52.55,52.328,50.4748,45.5579,52.72
2014-03-19,52.72,53.0,52.308,50.6086,45.5986,52.92
2014-03-20,52.92,52.41,52.644,50.7312,45.6473,51.02
2014-03-21,51.02,53.02,52.414,50.8032,45.6881,50.44
2014-03-24,50.44,51.33,52.012,50.8552,45.7242,49.8
2014-03-25,49.8,50.48,51.38,50.879,45.7583,50.01
2014-03-26,50.01,50.07,50.838,50.896,45.7902,50.06
2014-03-27,50.06,50.06,50.266,50.9172,45.8207,49.97
2014-03-28,49.97,50.13,50.056,50.9266,45.8556,50.77
2014-03-31,50.77,50.3,50.122,50.9464,45.8949,51.11
2014-04-01,51.11,50.3,50.384,50.989,45.935,51.07
2014-04-02,51.07,51.0,50.596,51.0474,45.9727,50.94
2014-04-03,50.94,51.34,50.772,51.106,46.008,50.11
2014-04-04,50.11,51.22,50.8,51.1534,46.0396,49.71
2014-04-07,49.71,49.94,50.588,51.2234,46.0714,51.05
2014-04-08,51.05,49.57,50.576,51.3136,46.1057,51.34
2014-04-09,51.34,51.07,50.63,51.3944,46.1458,51.4
2014-04-10,51.4,51.34,50.722,51.4938,46.1878,50.28
2014-04-11,50.28,51.0,50.756,51.5454,46.2291,50.55
2014-04-14,50.55,50.84,50.924,51.6038,46.2702,50.67
2014-04-15,50.67,50.8,50.848,51.6886,46.3108,50.6
2014-04-16,50.6,50.88,50.7,51.7684,46.349,50.22
2014-04-17,50.22,50.63,50.464,51.8054,46.3848,50.68
2014-04-21,50.68,50.37,50.544,51.839,46.4201,49.95
2014-04-22,49.95,50.75,50.424,51.8734,46.4537,49.47
2014-04-23,49.47,49.92,50.184,51.8906,46.4814,49.94
2014-04-24,49.94,49.92,50.052,51.9064,46.5126,49.39
2014-04-25,49.39,49.9,49.886,51.9054,46.5415,47.52
2014-04-28,47.52,49.51,49.254,51.8118,46.5628,47.58
2014-04-29,47.58,47.5,48.78,51.7004,46.5832,47.13
2014-04-30,47.13,47.62,48.312,51.5676,46.6006,48.76
2014-05-01,48.76,49.99,48.076,51.444,46.6257,47.32
2014-05-02,47.32,49.17,47.662,51.2996,46.6431,46.99
2014-05-05,46.99,47.24,47.556,51.1608,46.6579,46.75
2014-05-06,46.75,46.94,47.39,51.0232,46.6713,47.35
2014-05-07,47.35,46.63,47.434,50.905,46.6852,46.99
2014-05-08,46.99,47.24,47.08,50.7724,46.6985,47.54
2014-05-09,47.54,46.9,47.124,50.6532,46.7186,47.87
2014-05-12,47.87,47.73,47.3,50.5276,46.7406,47.5
2014-05-13,47.5,47.94,47.45,50.4202,46.7617,47.76
2014-05-14,47.76,47.49,47.532,50.2942,46.7832,49.22
2014-05-15,49.22,47.91,47.978,50.1962,46.8123,49.6
2014-05-16,49.6,49.01,48.39,50.0986,46.8361,49.81
2014-05-19,49.81,49.5,48.778,50.0126,46.8537,50.4
2014-05-20,50.4,49.71,49.358,49.9346,46.8796,50.64
2014-05-21,50.64,50.48,49.934,49.8912,46.9061,50.89
2014-05-22,50.89,50.41,50.268,49.8526,46.9308,51.24
2014-05-23,51.24,50.71,50.596,49.8526,46.9593,51.26
2014-05-27,51.26,51.22,50.886,49.8344,46.9887,50.87
2014-05-28,50.87,51.19,50.98,49.8028,47.0149,50.87
2014-05-29,50.87,51.05,51.026,49.761,47.0413,50.98
2014-05-30,50.98,51.13,51.044,49.7262,47.0693,51.1
2014-06-02,51.1,50.9,51.016,49.6898,47.0983,51.44
2014-06-03,51.44,51.0,51.052,49.6982,47.1318,52.63
2014-06-04,52.63,51.24,51.404,49.742,47.1741,52.81
2014-06-05,52.81,52.9,51.792,49.8022,47.2166,52.99
2014-06-06,52.99,53.0,52.194,49.8618,47.2601,52.98
2014-06-09,52.98,52.93,52.57,49.9202,47.305,52.67
2014-06-10,52.67,52.68,52.816,49.9742,47.35,52.34
2014-06-11,52.34,52.5,52.758,50.0056,47.3941,52.14
2014-06-12,52.14,52.28,52.624,50.0262,47.4376,51.61
2014-06-13,51.61,52.09,52.348,50.037,47.4801,51.05
2014-06-16,51.05,51.5,51.962,50.0392,47.5154,51.25
2014-06-17,51.25,51.0,51.678,50.062,47.5522,51.25
2014-06-18,51.25,51.31,51.46,50.0928,47.5921,52.93
2014-06-19,52.93,51.42,51.618,50.1304,47.6413,53.33
2014-06-20,53.33,52.85,51.962,50.1702,47.6918,52.95
2014-06-23,52.95,53.24,52.342,50.2012,47.7406,52.88
2014-06-24,52.88,52.7,52.668,50.2532,47.7909,52.69
2014-06-25,52.69,52.66,52.956,50.296,47.8386,52.28
2014-06-26,52.28,52.58,52.826,50.3282,47.8811,51.92
2014-06-27,51.92,52.25,52.544,50.3546,47.9221,53.29
2014-06-30,53.29,52.02,52.612,50.416,47.9662,53.56
2014-07-01,53.56,53.3,52.748,50.4736,48.0121,54.42
2014-07-02,54.42,53.63,53.094,50.563,48.062,54.96
2014-07-03,54.96,54.4,53.63,50.6728,48.1129,55.3
2014-07-07,55.3,54.47,54.306,50.78,48.164,54.92
2014-07-08,54.92,55.04,54.632,50.8906,48.2186,55.05
2014-07-09,55.05,54.97,54.93,51.0412,48.2702,55.55
2014-07-10,55.55,54.63,55.156,51.2006,48.3237,55.39
2014-07-11,55.39,55.41,55.242,51.3658,48.3768,55.02
2014-07-14,55.02,55.4,55.186,51.491,48.4285,55.1
2014-07-15,55.1,55.19,55.222,51.6466,48.4785,54.9
2014-07-16,54.9,55.4,55.192,51.8048,48.5283,54.48
2014-07-17,54.48,54.77,54.978,51.9594,48.5763,55.21
2014-07-18,55.21,54.68,54.942,52.1166,48.629,55.27
2014-07-21,55.27,55.13,54.992,52.2822,48.6852,54.97
2014-07-22,54.97,55.34,54.966,52.4308,48.7438,55.0
2014-07-23,55.0,54.96,54.986,52.5734,48.7989,54.84
2014-07-24,54.84,55.0,55.058,52.7202,48.8603,54.99
2014-07-25,54.99,54.75,55.014,52.8648,48.9274,54.8
2014-07-28,54.8,54.77,54.92,52.9764,48.9903,55.94
2014-07-29,55.94,54.86,55.114,53.1032,49.0571,56.82
2014-07-30,56.82,56.28,55.478,53.2434,49.1301,54.93
2014-07-31,54.93,54.85,55.496,53.334,49.1946,55.04
2014-08-01,55.04,55.52,55.506,53.422,49.2599,55.41
2014-08-04,55.41,55.23,55.628,53.5124,49.3213,55.53
2014-08-05,55.53,55.1,55.546,53.5982,49.3813,55.06
2014-08-06,55.06,55.24,55.194,53.6742,49.437,55.76
2014-08-07,55.76,55.46,55.36,53.772,49.4959,55.85
2014-08-08,55.85,55.87,55.522,53.8716,49.5546,55.94
2014-08-11,55.94,55.85,55.628,53.9708,49.6152,56.1
2014-08-12,56.1,55.89,55.742,54.0708,49.673,56.39
2014-08-13,56.39,56.13,56.008,54.1698,49.7334,57.17
2014-08-14,57.17,56.86,56.29,54.2606,49.7997,57.02
2014-08-15,57.02,57.17,56.524,54.3448,49.866,57.08
2014-08-18,57.08,57.32,56.752,54.4266,49.9345,56.13
2014-08-19,56.13,56.65,56.758,54.4896,50.0052,56.05
2014-08-20,56.05,55.99,56.69,54.5572,50.0683,56.34
2014-08-21,56.34,56.08,56.524,54.6372,50.129,55.74
2014-08-22,55.74,56.31,56.268,54.7092,50.1872,55.49
2014-08-25,55.49,55.9,55.95,54.7868,50.2447,55.85
2014-08-26,55.85,55.72,55.894,54.8828,50.3037,56.76
2014-08-27,56.76,56.0,56.036,54.993,50.367,56.36
2014-08-28,56.36,56.68,56.04,55.0952,50.4289,56.12
2014-08-29,56.12,56.6,56.116,55.159,50.4888,55.88
2014-09-02,55.88,56.32,56.194,55.21,50.5464,55.98
2014-09-03,55.98,55.94,56.22,55.2706,50.6064,56.27
2014-09-04,56.27,56.0,56.122,55.3384,50.6679,55.69
2014-09-05,55.69,55.97,55.988,55.3984,50.7298,55.96
2014-09-08,55.96,56.09,55.956,55.472,50.7953,55.54
2014-09-09,55.54,56.12,55.888,55.5444,50.8586,56.5
2014-09-10,56.5,55.82,55.992,55.6086,50.9248,58.67
2014-09-11,58.67,56.44,56.472,55.7108,51.0026,57.57
2014-09-12,57.57,58.67,56.848,55.7738,51.077,57.25
2014-09-15,57.25,57.68,57.106,55.8196,51.1482,57.16
2014-09-16,57.16,57.36,57.43,55.8568,51.2191,56.22
2014-09-17,56.22,57.29,57.374,55.8828,51.2842,57.0
2014-09-18,57.0,56.43,57.04,55.9218,51.3553,57.32
2014-09-19,57.32,57.36,56.99,55.9572,51.4301,56.29
2014-09-22,56.29,57.32,56.798,55.9752,51.5019,55.76
2014-09-23,55.76,56.41,56.518,55.99,51.5713,56.98
2014-09-24,56.98,55.97,56.67,56.0276,51.6461,55.83
2014-09-25,55.83,56.92,56.436,56.0462,51.7115,56.92
2014-09-26,56.92,56.19,56.356,56.095,51.7775,57.2
2014-09-29,57.2,56.58,56.538,56.1348,51.8446,55.78
2014-09-30,55.78,57.41,56.542,56.145,51.8982,54.56
2014-10-01,54.56,56.26,56.058,56.1368,51.9461,54.57
2014-10-02,54.57,54.75,55.806,56.1282,51.9932,56.19
2014-10-03,56.19,54.81,55.66,56.1552,52.0481,55.38
2014-10-06,55.38,56.45,55.296,56.163,52.0966,54.6
2014-10-07,54.6,55.13,55.06,56.159,52.1438,55.3
2014-10-08,55.3,54.64,55.208,56.1462,52.1932,54.64
2014-10-09,54.64,55.08,55.222,56.1026,52.2354,53.2
2014-10-10,53.2,53.55,54.624,56.068,52.2694,52.6
2014-10-13,52.6,53.4,54.068,56.0192,52.3,52.91
2014-10-14,52.91,52.96,53.73,55.9692,52.3325,52.54
2014-10-15,52.54,52.5,53.178,55.9094,52.363,54.11
2014-10-16,54.11,52.64,53.072,55.8904,52.4018,55.3
2014-10-17,55.3,54.74,53.492,55.8812,52.4493,54.78
2014-10-20,54.78,55.04,53.928,55.8598,52.4918,56.5
2014-10-21,56.5,55.28,54.646,55.871,52.5441,56.55
2014-10-22,56.55,56.52,55.448,55.88,52.5929,56.99
2014-10-23,56.99,57.0,56.024,55.892,52.6408,57.56
2014-10-24,57.56,56.94,56.476,55.8998,52.6894,57.53
2014-10-27,57.53,57.69,57.026,55.91,52.734,57.74
2014-10-28,57.74,57.93,57.274,55.9232,52.7769,57.99
2014-10-29,57.99,58.0,57.562,55.9604,52.8218,56.3
2014-10-30,56.3,57.75,57.424,55.9654,52.8558,58.54
2014-10-31,58.54,56.33,57.62,56.0094,52.8996,59.65
2014-11-03,59.65,59.0,58.044,56.0876,52.953,58.85
2014-11-04,58.85,59.5,58.266,56.1548,53.0065,57.06
2014-11-05,57.06,57.27,58.08,56.179,53.0517,57.95
2014-11-06,57.95,57.06,58.41,56.2028,53.1028,57.21
2014-11-07,57.21,58.03,58.144,56.2198,53.1578,57.22
2014-11-10,57.22,57.68,57.658,56.2418,53.2112,56.81
2014-11-11,56.81,57.24,57.25,56.2604,53.2587,56.41
2014-11-12,56.41,56.71,57.12,56.269,53.3086,56.39
2014-11-13,56.39,56.53,56.808,56.2714,53.3521,55.83
2014-11-14,55.83,56.47,56.532,56.2742,53.3931,56.43
2014-11-17,56.43,55.57,56.374,56.2836,53.4431,57.33
2014-11-18,57.33,56.47,56.478,56.3194,53.4967,57.72
2014-11-19,57.72,57.41,56.74,56.3438,53.5434,57.75
2014-11-20,57.75,57.32,57.012,56.3254,53.5872,57.86
2014-11-21,57.86,58.27,57.418,56.3312,53.6353,57.59
2014-11-24,57.59,58.0,57.65,56.338,53.6802,57.75
2014-11-25,57.75,57.85,57.734,56.3498,53.7232,57.96
2014-11-26,57.96,57.65,57.782,56.3846,53.7658,57.82
2014-11-28,57.82,58.07,57.796,56.401,53.7939,56.75
2014-12-01,56.75,57.32,57.574,56.3896,53.8119,57.54
2014-12-02,57.54,57.02,57.564,56.4146,53.8308,58.25
2014-12-03,58.25,57.78,57.664,56.4644,53.8473,57.4
2014-12-04,57.4,58.0,57.552,56.4728,53.8616,57.37
2014-12-05,57.37,57.68,57.462,56.5036,53.8788,57.0
2014-12-08,57.0,57.17,57.512,56.5052,53.8957,57.79
2014-12-09,57.79,57.62,57.562,56.517,53.9183,57.21
2014-12-10,57.21,58.49,57.354,56.5456,53.9363,57.48
2014-12-11,57.48,57.36,57.37,56.604,53.9562,57.37
2014-12-12,57.37,57.0,57.37,56.66,53.9723,57.05
2014-12-15,57.05,57.81,57.38,56.6772,53.9932,57.17
2014-12-16,57.17,56.79,57.256,56.713,54.0087,57.54
2014-12-17,57.54,57.17,57.322,56.7718,54.0258,59.38
2014-12-18,59.38,58.57,57.702,56.8534,54.0503,60.39
2014-12-19,60.39,60.0,58.306,56.9684,54.0817,60.09
2014-12-22,60.09,60.28,58.914,57.1062,54.1107,59.47
2014-12-23,59.47,60.65,59.374,57.2436,54.144,59.48
2014-12-24,59.48,59.42,59.762,57.375,54.1773,60.66
2014-12-26,60.66,59.56,60.018,57.5374,54.2244,59.95
2014-12-29,59.95,60.62,59.93,57.6542,54.2633,59.69
2014-12-30,59.69,59.95,59.85,57.742,54.2995,58.87
2014-12-31,58.87,59.65,59.73,57.8238,54.329,59.11
2015-01-02,59.11,59.14,59.656,57.876,54.361,58.41
2015-01-05,58.41,58.46,59.206,57.9132,54.3884,57.07
2015-01-06,57.07,58.63,58.63,57.9148,54.4187,57.77
2015-01-07,57.77,57.82,58.246,57.919,54.4553,59.2
2015-01-08,59.2,58.44,58.312,57.9524,54.5023,58.82
2015-01-09,58.82,59.33,58.254,57.974,54.5464,59.06
2015-01-12,59.06,59.06,58.384,57.9954,54.5914,59.49
2015-01-13,59.49,59.44,58.868,58.0592,54.639,59.1
2015-01-14,59.1,59.04,59.134,58.0704,54.6806,59.04
2015-01-15,59.04,59.24,59.102,58.0582,54.7203,59.58
2015-01-16,59.58,58.58,59.254,58.0728,54.7628,59.95
2015-01-20,59.95,60.0,59.432,58.1306,54.8079,59.78
2015-01-21,59.78,59.86,59.49,58.1672,54.8562,60.54
2015-01-22,60.54,60.08,59.778,58.2338,54.9104,60.97
2015-01-23,60.97,60.53,60.164,58.3088,54.96,61.96
2015-01-26,61.96,60.79,60.64,58.4118,55.0131,61.9
2015-01-27,61.9,61.35,61.03,58.5216,55.0656,61.66
2015-01-28,61.66,62.25,61.406,58.627,55.1225,61.76
2015-01-29,61.76,61.65,61.65,58.7456,55.1785,60.5
2015-01-30,60.5,61.6,61.556,58.827,55.2277,60.56
2015-02-02,60.56,60.31,61.276,58.8916,55.2775,60.27
2015-02-03,60.27,60.61,60.95,58.9426,55.3277,60.75
2015-02-04,60.75,59.96,60.768,59.0026,55.3781,61.21
2015-02-05,61.21,60.85,60.658,59.0696,55.4344,60.46
2015-02-06,60.46,61.22,60.65,59.127,55.4893,59.24
2015-02-09,59.24,60.36,60.386,59.1568,55.5358,60.11
2015-02-10,60.11,59.61,60.354,59.1998,55.5894,60.68
2015-02-11,60.68,60.21,60.34,59.257,55.6552,63.25
2015-02-12,63.25,63.35,60.748,59.387,55.7336,63.31
2015-02-13,63.31,64.02,61.318,59.5024,55.8145,64.01
2015-02-17,64.01,63.31,62.272,59.6176,55.8907,64.61
2015-02-18,64.61,64.6,63.172,59.7618,55.9772,64.52
2015-02-19,64.52,64.44,63.94,59.9048,56.0648,65.15
2015-02-20,65.15,64.24,64.32,60.0678,56.1568,64.99
