ticker,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,NETTF US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2021-02-09,26.7,26.4,,,,26.6
2021-02-10,26.6,26.6,,,,26.9
2021-02-11,26.9,26.3,,,,27.0
2021-02-12,27.0,27.0,,,,25.88
2021-02-16,25.88,24.72,26.616,,,25.1
2021-02-17,25.1,25.9,26.296,,,25.1
2021-02-18,25.1,25.1,25.996,,,25.5
2021-02-19,25.5,26.0,25.716,,,24.45
2021-02-22,24.45,24.45,25.206,,,24.45
2021-02-23,24.45,23.95,24.92,,,24.1
2021-02-24,24.1,24.05,24.72,,,22.9
2021-02-25,22.9,23.3,24.28,,,22.9
2021-02-26,22.9,22.9,23.76,,,23.25
2021-03-01,23.25,23.25,23.52,,,23.25
2021-03-02,23.25,21.5,23.28,,,23.0
2021-03-03,23.0,23.25,23.06,,,22.5
2021-03-04,22.5,22.5,22.98,,,20.5
2021-03-05,20.5,22.5,22.5,,,22.0
2021-03-08,22.0,22.0,22.25,,,22.0
2021-03-09,22.0,22.0,22.0,,,21.55
2021-03-10,21.55,23.5,21.71,,,23.0
2021-03-11,23.0,21.8,21.81,,,23.0
2021-03-12,23.0,23.0,22.31,,,23.0
2021-03-16,23.0,23.0,22.51,,,22.5
2021-03-17,22.5,22.5,22.61,,,22.0
2021-03-18,22.0,22.0,22.7,,,23.0
2021-03-19,23.0,22.0,22.7,,,23.0
2021-03-22,23.0,23.0,22.7,,,23.0
2021-03-23,23.0,23.0,22.7,,,22.0
2021-03-24,22.0,22.0,22.6,,,22.0
2021-03-25,22.0,20.0,22.6,,,22.0
2021-03-26,22.0,22.0,22.4,,,21.5
2021-03-29,21.5,21.5,22.1,,,19.5
2021-03-30,19.5,21.5,21.4,,,22.0
2021-03-31,22.0,22.0,21.4,,,21.0
2021-04-01,21.0,23.0,21.2,,,23.05
2021-04-05,23.05,23.05,21.41,,,23.04
2021-04-06,23.04,22.0,21.718,,,20.0
2021-04-07,20.0,23.04,21.818,,,22.0
2021-04-08,22.0,22.0,21.818,,,23.0
2021-04-09,23.0,22.0,22.218,,,22.0
2021-04-13,22.0,22.0,22.008,,,23.0
2021-04-14,23.0,21.0,22.0,,,22.0
2021-04-15,22.0,22.0,22.4,,,22.0
2021-04-16,22.0,22.0,22.4,,,23.0
2021-04-19,23.0,22.5,22.4,,,21.0
2021-04-20,21.0,23.0,22.2,,,22.0
2021-04-21,22.0,22.8,22.0,,,23.5
2021-04-22,23.5,21.5,22.3,,,23.5
2021-04-23,23.5,23.5,22.6,23.0244,,23.5
2021-04-26,23.5,23.5,22.7,22.9604,,23.5
2021-04-27,23.5,22.1,23.2,22.8984,,23.5
2021-04-28,23.5,23.5,23.5,22.8304,,23.1
2021-04-29,23.1,24.0,23.42,22.7524,,23.5
2021-04-30,23.5,23.5,23.42,22.7048,,24.0
2021-05-03,24.0,24.0,23.52,22.6828,,22.6
2021-05-04,22.6,22.7,23.34,22.6328,,23.0
2021-05-06,23.0,23.0,23.24,22.5828,,23.5
2021-05-07,23.5,23.5,23.32,22.5638,,22.5
2021-05-11,22.5,22.5,23.12,22.5248,,22.0
2021-05-12,22.0,22.0,22.72,22.4828,,22.0
2021-05-13,22.0,22.0,22.6,22.4648,,22.0
2021-05-14,22.0,20.0,22.4,22.4468,,21.3
2021-05-17,21.3,20.9,21.96,22.4078,,23.0
2021-05-19,23.0,23.0,22.06,22.4028,,24.0
2021-05-20,24.0,24.0,22.46,22.4228,,25.0
2021-05-21,25.0,25.0,23.06,22.4728,,24.0
2021-05-25,24.0,24.0,23.46,22.5428,,24.0
2021-05-26,24.0,25.0,24.0,22.5828,,24.5
2021-05-27,24.5,24.5,24.3,22.6328,,24.5
2021-05-28,24.5,24.5,24.4,22.6918,,22.5
2021-06-01,22.5,24.5,23.9,22.6818,,24.0
2021-06-02,24.0,24.0,23.9,22.7018,,24.5
2021-06-03,24.5,24.5,24.0,22.7318,,24.5
2021-06-04,24.5,24.5,24.0,22.7718,,21.5
2021-06-07,21.5,21.5,23.4,22.7618,,24.0
2021-06-08,24.0,24.0,23.7,22.7818,,22.1
2021-06-09,22.1,21.0,23.32,22.7638,,23.5
2021-06-10,23.5,23.5,23.12,22.7738,,23.5
2021-06-11,23.5,23.5,22.92,22.8038,,24.0
2021-06-15,24.0,23.0,23.42,22.8438,,23.0
2021-06-16,23.0,23.0,23.22,22.8638,,21.0
2021-06-17,21.0,23.0,23.0,22.8538,,24.0
2021-06-18,24.0,24.0,23.1,22.9438,,22.5
2021-06-21,22.5,20.5,22.9,22.9538,,22.5
2021-06-22,22.5,22.5,22.6,22.9838,,23.0
2021-06-24,23.0,23.0,22.6,22.9828,,21.0
2021-06-25,21.0,22.0,22.6,22.942,,21.5
2021-06-28,21.5,23.5,22.1,22.972,,23.0
2021-06-29,23.0,23.0,22.2,22.992,,24.0
2021-06-30,24.0,24.0,22.5,23.012,,22.0
2021-07-01,22.0,24.0,22.3,23.012,,24.0
