ticker,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,GOOG US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2014-08-04,28.579,28.374,28.7595,28.4368,,28.176
2014-08-05,28.176,28.424,28.5547,28.4492,,28.241
2014-08-06,28.241,28.012,28.3448,28.4496,,28.091
2014-08-07,28.091,28.322,28.2626,28.4513,,28.361
2014-08-08,28.361,28.101,28.2896,28.4599,,28.316
2014-08-11,28.316,28.421,28.237,28.4679,,28.059
2014-08-12,28.059,28.149,28.2137,28.4767,,28.66
2014-08-13,28.66,28.288,28.2975,28.5064,,28.654
2014-08-14,28.654,28.73,28.4101,28.5363,,28.595
2014-08-15,28.595,28.814,28.4571,28.5559,,29.028
2014-08-18,29.028,28.727,28.5995,28.5816,,29.263
2014-08-19,29.263,29.17,28.8401,28.6063,,29.144
2014-08-20,29.144,29.214,28.9369,28.6302,,29.089
2014-08-21,29.089,29.111,29.0239,28.6546,,29.048
2014-08-22,29.048,29.1,29.1145,28.6857,,28.931
2014-08-25,28.931,29.156,29.0949,28.7141,,28.814
2014-08-26,28.814,28.983,29.0052,28.7476,,28.472
2014-08-27,28.472,28.784,28.8706,28.7755,,28.382
2014-08-28,28.382,28.4,28.7293,28.7913,,28.502
2014-08-29,28.502,28.488,28.62,28.808,,28.787
2014-09-02,28.787,28.514,28.5914,28.8289,,28.818
2014-09-03,28.818,28.921,28.5922,28.8418,,29.019
2014-09-04,29.019,28.921,28.7017,28.8591,,29.224
2014-09-05,29.224,29.119,28.87,28.8665,,29.405
2014-09-08,29.405,29.25,29.0507,28.8802,,28.971
2014-09-09,28.971,29.364,29.0874,28.884,,29.075
2014-09-10,29.075,28.995,29.1389,28.8918,,28.988
2014-09-11,28.988,28.939,29.1326,28.8905,,28.702
2014-09-12,28.702,28.97,29.0283,28.8838,,28.577
2014-09-15,28.577,28.569,28.8625,28.8722,,28.918
2014-09-16,28.918,28.56,28.852,28.8699,,29.158
2014-09-17,29.158,28.921,28.8686,28.8835,,29.383
2014-09-18,29.383,29.27,28.9476,28.8967,,29.722
2014-09-19,29.722,29.494,29.1516,28.9216,,29.288
2014-09-22,29.288,29.61,29.294,28.9298,,28.977
2014-09-23,28.977,29.262,29.3057,28.926,,29.319
2014-09-24,29.319,28.993,29.3378,28.9292,,28.674
2014-09-25,28.674,29.297,29.1961,28.9216,,28.776
2014-09-26,28.776,28.724,29.0068,28.925,,28.739
2014-09-29,28.739,28.509,28.897,28.9063,,28.789
2014-09-30,28.789,28.768,28.8595,28.8943,,28.336
2014-10-01,28.336,28.722,28.6628,28.8679,,28.426
2014-10-02,28.426,28.288,28.6131,28.842,,28.685
2014-10-03,28.685,28.574,28.595,28.824,,28.788
2014-10-06,28.788,28.861,28.6049,28.8124,,28.11
2014-10-07,28.11,28.641,28.469,28.7856,,28.547
2014-10-08,28.547,28.201,28.5112,28.7725,,27.967
2014-10-09,27.967,28.481,28.4195,28.746,,27.15
2014-10-10,27.15,27.81,28.1124,28.719,,26.587
2014-10-13,26.587,27.175,27.6722,28.6862,,26.823
2014-10-14,26.823,26.871,27.4149,28.6511,,26.429
2014-10-15,26.429,26.478,26.9914,28.6162,,26.154
2014-10-16,26.154,25.879,26.6287,28.5744,,25.489
2014-10-17,25.489,26.29,26.2964,28.5224,,25.971
2014-10-20,25.971,25.403,26.173,28.4746,,26.255
2014-10-21,26.255,26.188,26.0593,28.4334,,26.563
2014-10-22,26.563,26.422,26.0861,28.4034,,27.125
2014-10-23,27.125,26.892,26.2802,28.3727,,26.915
2014-10-24,26.915,27.143,26.5656,28.3379,,26.964
2014-10-27,26.964,26.778,26.7643,28.3053,,27.37
2014-10-28,27.37,27.076,26.9873,28.2721,,27.391
2014-10-29,27.391,27.425,27.153,28.2347,,27.44
2014-10-30,27.44,27.372,27.2162,28.2006,,27.877
2014-10-31,27.877,27.891,27.4086,28.1764,,27.685
2014-11-03,27.685,27.699,27.5527,28.1491,,27.63
2014-11-04,27.63,27.574,27.6047,28.1231,,27.221
2014-11-05,27.221,27.764,27.5707,28.0913,,27.028
2014-11-06,27.028,27.2,27.4882,28.0624,,26.976
2014-11-07,26.976,27.236,27.308,28.0343,,27.3
2014-11-10,27.3,26.999,27.2309,28.0102,,27.439
2014-11-11,27.439,27.349,27.1928,27.9833,,27.291
2014-11-12,27.291,27.444,27.2067,27.9527,,27.194
2014-11-13,27.194,27.415,27.24,27.9162,,27.145
2014-11-14,27.145,27.259,27.2738,27.8747,,26.752
2014-11-17,26.752,27.105,27.1643,27.8216,,26.678
2014-11-18,26.678,26.801,27.0121,27.7757,,26.776
2014-11-19,26.776,26.677,26.9092,27.7298,,26.668
2014-11-20,26.668,26.49,26.804,27.6834,,26.801
2014-11-21,26.801,27.006,26.7352,27.6453,,26.89
2014-11-24,26.89,26.809,26.7627,27.6116,,26.98
2014-11-25,26.98,26.876,26.823,27.5728,,26.945
2014-11-26,26.945,26.97,26.8568,27.5286,,27.017
2014-11-28,27.017,26.957,26.9266,27.4813,,26.617
2014-12-01,26.617,26.871,26.8897,27.4191,,26.614
2014-12-02,26.614,26.602,26.8346,27.3657,,26.493
2014-12-03,26.493,26.499,26.7373,27.316,,26.792
2014-12-04,26.792,26.485,26.7068,27.2655,,26.191
2014-12-05,26.191,26.477,26.5415,27.2158,,26.277
2014-12-08,26.277,26.284,26.4735,27.1658,,26.595
2014-12-09,26.595,26.036,26.4697,27.1229,,26.231
2014-12-10,26.231,26.581,26.4173,27.0718,,26.345
2014-12-11,26.345,26.318,26.3278,27.032,,25.862
2014-12-12,25.862,26.104,26.262,26.9807,,25.62
2014-12-15,25.62,26.065,26.1305,26.9194,,24.702
2014-12-16,24.702,25.508,25.7518,26.8376,,25.175
2014-12-17,25.175,24.782,25.5407,26.7789,,25.485
2014-12-18,25.485,25.577,25.3687,26.7177,,25.747
2014-12-19,25.747,25.505,25.3457,26.6733,,26.172
2014-12-22,26.172,25.733,25.4561,26.6537,,26.457
2014-12-23,26.457,26.278,25.8071,26.6511,,26.366
2014-12-24,26.366,26.453,26.0453,26.642,,26.628
2014-12-26,26.628,26.366,26.274,26.646,,26.444
2014-12-29,26.444,26.537,26.4134,26.6518,,26.448
2014-12-30,26.448,26.332,26.4687,26.671,,26.248
2014-12-31,26.248,26.49,26.4269,26.6765,,26.169
2015-01-02,26.169,26.378,26.3874,26.6748,,25.623
2015-01-05,25.623,26.091,26.1864,26.656,,25.029
2015-01-06,25.029,25.679,25.9035,26.6141,,24.986
2015-01-07,24.986,25.281,25.6111,26.5755,,25.065
2015-01-08,25.065,24.831,25.3745,26.5375,,24.741
2015-01-09,24.741,25.169,25.0889,26.485,27.5624,24.56
2015-01-12,24.56,24.679,24.8763,26.4283,27.546,24.741
2015-01-13,24.741,24.874,24.8186,26.3743,27.5301,24.975
2015-01-14,24.975,24.665,24.8164,26.3163,27.5161,25.021
2015-01-15,25.021,25.209,24.8075,26.263,27.4998,25.334
2015-01-16,25.334,24.932,24.9263,26.2171,27.4851,25.276
2015-01-20,25.276,25.48,25.0694,26.1782,27.4694,25.831
2015-01-21,25.831,25.293,25.2874,26.1543,27.4632,26.646
2015-01-22,26.646,26.003,25.6216,26.1477,27.4623,26.924
2015-01-23,26.924,26.706,26.0022,26.1401,27.4585,26.687
2015-01-26,26.687,26.853,26.2728,26.1251,27.4513,25.86
2015-01-27,25.86,26.426,26.3897,26.0965,27.4457,25.43
2015-01-28,25.43,26.067,26.3096,26.0612,27.4406,25.463
2015-01-29,25.463,25.48,26.0729,26.0276,27.4352,26.653
2015-01-30,26.653,25.722,26.0188,26.0256,27.4347,26.352
2015-02-02,26.352,26.514,25.9516,26.0191,27.4277,26.39
2015-02-03,26.39,26.328,26.0574,26.0113,27.426,26.066
2015-02-04,26.066,26.39,26.1847,25.9993,27.4245,26.307
2015-02-05,26.307,26.118,26.3534,25.9894,27.4227,26.477
2015-02-06,26.477,26.31,26.3183,25.9811,27.4237,26.319
2015-02-09,26.319,26.328,26.3118,25.9679,27.4244,26.773
2015-02-10,26.773,26.393,26.3886,25.9645,27.4296,26.725
2015-02-11,26.725,26.692,26.5204,25.9587,27.4343,27.072
2015-02-12,27.072,26.789,26.6735,25.9678,27.4381,27.375
2015-02-13,27.375,27.093,26.8531,25.983,27.4436,27.068
2015-02-17,27.068,27.267,27.0028,25.9945,27.4465,26.911
2015-02-18,26.911,26.996,27.0303,25.9969,27.4494,27.069
2015-02-19,27.069,26.828,27.0991,26.0144,27.4532,26.874
2015-02-20,26.874,27.082,27.0594,26.0264,27.4591,26.523
2015-02-23,26.523,26.729,26.8889,26.0249,27.4646,26.731
2015-02-24,26.731,26.427,26.8215,26.0349,27.4708,27.119
2015-02-25,27.119,26.722,26.8631,26.0504,27.4771,27.698
2015-02-26,27.698,27.086,26.9889,26.0871,27.4835,27.844
2015-02-27,27.844,27.636,27.1829,26.1316,27.4898,28.489
2015-03-02,28.489,27.95,27.5761,26.2073,27.5009,28.603
2015-03-03,28.603,28.444,27.9505,26.2759,27.5143,28.59
2015-03-04,28.59,28.515,28.2447,26.338,27.5275,28.688
2015-03-05,28.688,28.672,28.4427,26.3968,27.5391,28.307
2015-03-06,28.307,28.665,28.5353,26.4395,27.5485,28.365
2015-03-09,28.365,28.265,28.5105,26.4777,27.556,27.675
2015-03-10,27.675,28.135,28.3247,26.5038,27.5584,27.484
2015-03-11,27.484,27.681,28.1034,26.5209,27.5581,27.699
2015-03-12,27.699,27.6,27.9057,26.546,27.5555,27.291
2015-03-13,27.291,27.599,27.7026,26.5629,27.5519,27.65
2015-03-16,27.65,27.472,27.5596,26.5909,27.5505,27.467
2015-03-17,27.467,27.51,27.518,26.6169,27.5482,27.898
2015-03-18,27.898,27.549,27.601,26.6624,27.5496,27.823
2015-03-19,27.823,27.893,27.6257,26.7183,27.5529,27.941
2015-03-20,27.941,28.006,27.7558,26.7774,27.5568,27.864
2015-03-23,27.864,27.945,27.7987,26.8334,27.558,28.431
2015-03-24,28.431,28.051,27.9916,26.9072,27.5615,27.863
2015-03-25,27.863,28.447,27.9845,26.9732,27.5606,27.682
2015-03-26,27.682,27.803,27.9564,27.032,27.5593,27.342
2015-03-27,27.342,27.574,27.8365,27.0794,27.5567,27.526
2015-03-30,27.526,27.505,27.7689,27.1295,27.5568,27.325
2015-03-31,27.325,27.425,27.5476,27.1693,27.5559,27.054
2015-04-01,27.054,27.355,27.3858,27.2049,27.5555,26.703
2015-04-02,26.703,26.968,27.1899,27.2223,27.5536,26.765
2015-04-06,26.765,26.538,27.0745,27.2247,27.5495,26.777
2015-04-07,26.777,26.83,26.9248,27.2218,27.545,27.006
2015-04-08,27.006,26.845,26.8611,27.2281,27.5413,26.965
2015-04-09,26.965,26.977,26.8433,27.2502,27.5353,26.927
2015-04-10,26.927,27.04,26.888,27.2802,27.5292,26.885
2015-04-13,26.885,26.847,26.912,27.3086,27.5193,26.447
2015-04-14,26.447,26.739,26.8459,27.3045,27.508,26.554
2015-04-15,26.554,26.363,26.7553,27.3085,27.4968,26.617
2015-04-16,26.617,26.422,26.6857,27.3131,27.4865,26.131
2015-04-17,26.131,26.361,26.5266,27.3143,27.4719,26.696
2015-04-20,26.696,26.208,26.4888,27.3221,27.4602,26.625
2015-04-21,26.625,26.802,26.5245,27.3251,27.4475,26.894
2015-04-22,26.894,26.647,26.5926,27.3366,27.4368,27.275
2015-04-23,27.275,26.976,26.7243,27.3466,27.4308,28.176
2015-04-24,28.176,28.227,27.1332,27.3756,27.4281,27.769
2015-04-27,27.769,28.17,27.3478,27.3896,27.4245,27.684
2015-04-28,27.684,27.732,27.5595,27.3957,27.4185,27.454
2015-04-29,27.454,27.524,27.6714,27.4035,27.41,26.867
2015-04-30,26.867,27.394,27.5898,27.4026,27.3985,26.895
2015-05-01,26.895,26.922,27.3337,27.3991,27.3877,27.039
2015-05-04,27.039,26.926,27.1878,27.4024,27.3799,26.54
2015-05-05,26.54,26.911,26.959,27.4027,27.3642,26.211
2015-05-06,26.211,26.562,26.7104,27.3923,27.3483,26.535
2015-05-07,26.535,26.2,26.644,27.3807,27.3327,26.911
2015-05-08,26.911,26.833,26.6472,27.3649,27.3187,26.785
2015-05-11,26.785,26.919,26.5964,27.3437,27.3047,26.452
2015-05-12,26.452,26.58,26.5788,27.303,27.2901,26.481
2015-05-13,26.481,26.528,26.6328,27.2606,27.2752,26.92
2015-05-14,26.92,26.688,26.7098,27.2272,27.2638,26.693
2015-05-15,26.693,26.959,26.6661,27.1873,27.2509,26.615
2015-05-18,26.615,26.601,26.6321,27.1534,27.2414,26.868
2015-05-19,26.868,26.699,26.7153,27.1235,27.2346,26.964
2015-05-20,26.964,26.925,26.8118,27.1093,27.2266,27.126
2015-05-21,27.126,26.898,26.8529,27.1021,27.2213,27.006
2015-05-22,27.006,27.008,26.9155,27.0882,27.2151,26.616
2015-05-26,26.616,26.906,26.9157,27.0747,27.2077,26.99
2015-05-27,26.99,26.64,26.94,27.0615,27.2009,26.989
2015-05-28,26.989,26.901,26.9451,27.052,27.1943,26.606
2015-05-29,26.606,26.869,26.8411,27.0261,27.187,26.7
2015-06-01,26.7,26.839,26.7799,27.0037,27.1772,26.959
2015-06-02,26.959,26.646,26.8485,26.984,27.1687,27.015
2015-06-03,27.015,26.996,26.8537,26.967,27.1608,26.835
2015-06-04,26.835,26.888,26.8229,26.9351,27.1498,26.667
2015-06-05,26.667,26.818,26.8351,26.9112,27.1369,26.342
2015-06-08,26.342,26.665,26.7635,26.8844,27.1228,26.335
2015-06-09,26.335,26.378,26.6386,26.8642,27.1091,26.835
2015-06-10,26.835,26.468,26.6024,26.8504,27.098,26.731
2015-06-11,26.731,26.921,26.5815,26.8385,27.087,26.617
2015-06-12,26.617,26.58,26.5715,26.8298,27.076,26.36
2015-06-15,26.36,26.4,26.5752,26.8229,27.0655,26.408
2015-06-16,26.408,26.42,26.5898,26.8157,27.0556,26.463
2015-06-17,26.463,26.469,26.5155,26.8095,27.0454,26.837
2015-06-18,26.837,26.55,26.5367,26.8061,27.0356,26.835
2015-06-19,26.835,26.861,26.5803,26.8035,27.0257,26.91
2015-06-22,26.91,26.98,26.6902,26.8031,27.0152,27.024
2015-06-23,27.024,26.982,26.8135,26.8059,27.0042,26.892
2015-06-24,26.892,27.0,26.8993,26.8148,26.9916,26.762
2015-06-25,26.762,26.944,26.8843,26.819,26.9806,26.585
2015-06-26,26.585,26.863,26.8343,26.8183,26.9681,26.076
2015-06-29,26.076,26.251,26.6676,26.8172,26.9536,26.026
2015-06-30,26.026,26.301,26.4679,26.8038,26.9402,26.092
2015-07-01,26.092,26.237,26.3079,26.7931,26.9277,26.17
2015-07-02,26.17,26.054,26.1896,26.7787,26.914,26.143
2015-07-06,26.143,25.975,26.1013,26.756,26.8989,26.251
2015-07-07,26.251,26.157,26.1363,26.7175,26.8833,25.842
2015-07-08,25.842,26.053,26.0995,26.679,26.8639,26.034
2015-07-09,26.034,26.156,26.0879,26.646,26.8476,26.507
2015-07-10,26.507,26.315,26.1552,26.627,26.8352,27.327
2015-07-13,27.327,26.644,26.3921,26.6362,26.8253,28.055
2015-07-14,28.055,27.338,26.7529,26.6594,26.8222,28.011
2015-07-15,28.011,28.007,27.1868,26.6789,26.8184,28.993
2015-07-16,28.993,28.256,27.7785,26.7279,26.8196,33.646
2015-07-17,33.646,32.45,29.2065,26.8766,26.8439,33.151
2015-07-20,33.151,32.962,30.3712,27.009,26.868,33.115
2015-07-21,33.115,32.761,31.3832,27.133,26.8914,33.105
2015-07-22,33.105,33.045,32.402,27.2594,26.9135,32.214
2015-07-23,32.214,33.064,33.0463,27.3747,26.9307,31.178
2015-07-24,31.178,32.35,32.5526,27.4686,26.946,31.363
2015-07-27,31.363,31.05,32.195,27.5575,26.9601,31.4
2015-07-28,31.4,31.642,31.852,27.6516,26.9773,31.597
2015-07-29,31.597,31.44,31.5503,27.7513,26.9995,31.63
2015-07-30,31.63,31.5,31.4334,27.8465,27.0247,31.281
2015-07-31,31.281,31.569,31.4539,27.9328,27.047,31.561
2015-08-03,31.561,31.267,31.4934,28.0215,27.0726,31.463
2015-08-04,31.463,31.421,31.5059,28.1107,27.0992,32.189
2015-08-05,32.189,31.717,31.6244,28.2221,27.1327,32.134
2015-08-06,32.134,32.25,31.7253,28.325,27.1635,31.765
2015-08-07,31.765,32.011,31.8222,28.4205,27.1911,31.687
2015-08-10,31.687,31.974,31.8474,28.5222,27.2167,33.039
2015-08-11,33.039,33.46,32.1627,28.649,27.2462,32.978
2015-08-12,32.978,33.154,32.3205,28.7693,27.2766,32.823
2015-08-13,32.823,32.966,32.4582,28.8855,27.3058,32.856
2015-08-14,32.856,32.751,32.6764,29.0059,27.3333,33.044
2015-08-17,33.044,32.84,32.9478,29.1334,27.3615,32.807
2015-08-18,32.807,33.095,32.9013,29.2627,27.3884,33.045
2015-08-19,33.045,32.83,32.9147,29.3969,27.4142,32.342
2015-08-20,32.342,32.773,32.8185,29.5071,27.4375,30.624
2015-08-21,30.624,31.989,32.3721,29.585,27.4525,29.481
2015-08-24,29.481,28.65,31.6595,29.6422,27.4638,29.103
2015-08-25,29.103,30.746,30.9188,29.6971,27.4741,31.431
2015-08-26,31.431,30.518,30.596,29.7976,27.4964,31.881
2015-08-27,31.881,31.97,30.5038,29.9059,27.5193,31.519
2015-08-28,31.519,31.641,30.6828,29.9996,27.5397,30.913
2015-08-31,30.913,31.377,30.9692,30.0811,27.5578,29.89
2015-09-01,29.89,30.118,31.1265,30.1407,27.5713,30.717
2015-09-02,30.717,30.28,30.9837,30.2146,27.5892,30.313
2015-09-03,30.313,30.85,30.6701,30.283,27.607,30.035
2015-09-04,30.035,30.0,30.3733,30.3485,27.6237,30.733
2015-09-08,30.733,30.625,30.3374,30.4314,27.6435,30.636
2015-09-09,30.636,31.061,30.4867,30.5226,27.6634,31.068
2015-09-10,31.068,30.655,30.5568,30.6235,27.6847,31.289
2015-09-11,31.289,30.988,30.752,30.7274,27.7067,31.162
2015-09-14,31.162,31.285,30.9774,30.8272,27.7276,31.757
2015-09-15,31.757,31.335,31.1822,30.9395,27.7517,31.799
2015-09-16,31.799,31.774,31.4148,31.0505,27.7756,32.145
2015-09-17,32.145,31.89,31.6303,31.1766,27.8032,31.463
2015-09-18,31.463,31.839,31.6651,31.2851,27.8275,31.772
2015-09-21,31.772,31.72,31.7871,31.3904,27.8538,31.135
2015-09-22,31.135,31.35,31.6626,31.4666,27.8756,31.118
2015-09-23,31.118,31.103,31.5264,31.5278,27.9002,31.29
2015-09-24,31.29,30.832,31.3554,31.5934,27.9253,30.599
2015-09-25,30.599,31.489,31.1826,31.6255,27.9453,29.745
2015-09-28,29.745,30.517,30.7771,31.5475,27.9628,29.749
2015-09-29,29.749,29.864,30.4999,31.4794,27.9799,30.421
2015-09-30,30.421,30.164,30.3605,31.4256,28.0027,30.565
2015-10-01,30.565,30.419,30.2154,31.3748,28.0274,31.345
2015-10-02,31.345,30.36,30.3648,31.3574,28.0606,32.074
2015-10-05,32.074,31.6,30.8306,31.3753,28.0951,32.272
2015-10-06,32.272,31.942,31.3353,31.3935,28.129,32.118
2015-10-07,32.118,32.462,31.6747,31.4078,28.1609,31.958
2015-10-08,31.958,32.068,31.9534,31.4151,28.1898,32.181
2015-10-09,32.181,32.0,32.1204,31.4261,28.2184,32.334
2015-10-12,32.334,32.105,32.1724,31.4471,28.2483,32.615
2015-10-13,32.615,32.158,32.241,31.4682,28.2782,32.558
2015-10-14,32.558,32.661,32.329,31.4901,28.3088,33.087
2015-10-15,33.087,32.733,32.5548,31.5081,28.342,33.11
2015-10-16,33.11,33.206,32.7407,31.5276,28.3763,33.305
2015-10-19,33.305,33.059,32.935,31.5584,28.412,32.514
2015-10-20,32.514,33.202,32.9148,31.575,28.4464,32.13
2015-10-21,32.13,32.707,32.8293,31.5568,28.4819,32.59
2015-10-22,32.59,32.335,32.7298,31.549,28.5199,35.1
2015-10-23,35.1,36.375,33.1278,31.5946,28.5701,35.639
2015-10-26,35.639,35.078,33.5946,31.6502,28.6246,35.425
2015-10-27,35.425,35.369,34.1767,31.6979,28.6789,35.648
2015-10-28,35.648,35.367,34.8801,31.7547,28.7335,35.846
2015-10-29,35.846,35.525,35.5314,31.8107,28.7878,35.54
2015-10-30,35.54,35.787,35.6195,31.8747,28.8404,36.056
2015-11-02,36.056,35.553,35.7028,31.9833,28.894,36.108
2015-11-03,36.108,35.943,35.8395,32.1159,28.9482,36.406
2015-11-04,36.406,36.1,35.9911,32.2619,29.001,36.563
2015-11-05,36.563,36.474,36.1344,32.3645,29.0506,36.688
2015-11-06,36.688,36.575,36.3639,32.4607,29.0995,36.245
2015-11-09,36.245,36.51,36.4017,32.5552,29.1472,36.416
2015-11-10,36.416,36.22,36.4633,32.6653,29.2,36.77
2015-11-11,36.77,36.623,36.5362,32.8029,29.2567,36.562
2015-11-12,36.562,36.55,36.536,32.9198,29.3122,35.85
2015-11-13,35.85,36.459,36.3684,33.0305,29.3582,36.448
2015-11-16,36.448,35.78,36.4091,33.1588,29.4087,36.265
2015-11-17,36.265,36.465,36.3789,33.2694,29.4581,37.0
2015-11-18,37.0,36.379,36.4249,33.3967,29.5127,36.921
2015-11-19,36.921,36.937,36.4967,33.5138,29.5658,37.83
2015-11-20,37.83,37.326,36.8927,33.6446,29.6226,37.799
2015-11-23,37.799,37.873,37.1629,33.7773,29.68,37.414
2015-11-24,37.414,37.6,37.3927,33.8905,29.7332,37.408
2015-11-25,37.408,37.407,37.4742,34.0026,29.7866,37.513
2015-11-27,37.513,37.423,37.5927,34.11,29.8388,37.13
2015-11-30,37.13,37.441,37.4527,34.2233,29.8875,38.352
2015-12-01,38.352,37.356,37.5633,34.3549,29.944,38.119
2015-12-02,38.119,38.445,37.7043,34.4946,30.0,37.627
2015-12-03,37.627,38.301,37.7482,34.6248,30.0528,38.341
2015-12-04,38.341,37.655,37.9137,34.7658,30.1101,38.163
2015-12-07,38.163,38.389,38.1202,34.9171,30.1683,38.119
2015-12-08,38.119,37.895,38.0735,35.0846,30.2253,37.581
2015-12-09,37.581,37.959,37.9658,35.2412,30.2776,37.473
2015-12-10,37.473,37.643,37.935,35.3823,30.3264,36.944
2015-12-11,36.944,37.058,37.6556,35.5098,30.3719,37.389
2015-12-14,37.389,37.09,37.5008,35.6307,30.4164,37.17
2015-12-15,37.17,37.65,37.3111,35.7326,30.4593,37.905
2015-12-16,37.905,37.5,37.3759,35.8453,30.5059,37.472
2015-12-17,37.472,38.121,37.3756,35.9524,30.5498,36.966
