ticker,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-12-23,4.702,4.691,4.6197,4.3757,,4.802
2004-12-27,4.802,4.733,4.6789,4.4007,,4.824
2004-12-28,4.824,4.807,4.7177,4.4251,,4.827
2004-12-29,4.827,4.804,4.7635,4.447,,4.945
2004-12-30,4.945,4.829,4.82,4.4718,,4.824
2004-12-31,4.824,4.986,4.8445,4.498,,5.073
2005-01-03,5.073,4.94,4.8985,4.5247,,4.867
2005-01-04,4.867,5.038,4.9073,4.5357,,4.842
2005-01-05,4.842,4.841,4.9103,4.5388,,4.718
2005-01-06,4.718,4.886,4.865,4.5422,,4.851
2005-01-07,4.851,4.771,4.8703,4.5461,,4.881
2005-01-10,4.881,4.867,4.832,4.547,,4.843
2005-01-11,4.843,4.895,4.8272,4.5484,,4.889
2005-01-12,4.889,4.863,4.8366,4.5481,,4.888
2005-01-13,4.888,4.889,4.8705,4.5483,,5.004
2005-01-14,5.004,4.905,4.9011,4.5525,,5.102
2005-01-18,5.102,5.027,4.9454,4.5621,,4.937
2005-01-19,4.937,5.121,4.9642,4.5761,,4.853
