ticker,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,FOXA US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2019-07-23,36.22,36.19,36.294,36.0554,,36.6
2019-07-24,36.6,36.13,36.38,36.028,,37.17
2019-07-25,37.17,36.63,36.504,36.0136,,37.21
2019-07-26,37.21,37.29,36.66,36.0036,,37.51
2019-07-29,37.51,37.16,36.942,36.019,,37.82
2019-07-30,37.82,37.35,37.262,36.029,,37.32
2019-07-31,37.32,37.67,37.406,36.0326,,36.89
2019-08-01,36.89,37.25,37.35,36.0166,,36.63
2019-08-02,36.63,36.73,37.234,36.0068,,36.05
2019-08-05,36.05,36.47,36.942,35.9896,,36.45
2019-08-06,36.45,36.16,36.668,35.9802,,37.04
2019-08-07,37.04,35.89,36.612,35.9882,,35.13
2019-08-08,35.13,37.22,36.26,35.975,,35.4
2019-08-09,35.4,35.11,36.014,35.9786,,34.95
2019-08-12,34.95,35.04,35.794,35.973,,35.06
2019-08-13,35.06,34.84,35.516,35.9894,,33.69
2019-08-14,33.69,34.7,34.846,35.9736,,32.75
2019-08-15,32.75,33.88,34.37,35.9414,,32.99
2019-08-16,32.99,33.0,33.888,35.9188,,33.87
2019-08-19,33.87,33.32,33.672,35.916,,33.59
2019-08-20,33.59,33.83,33.378,35.9072,,33.41
2019-08-21,33.41,33.64,33.322,35.8918,,33.05
2019-08-22,33.05,33.38,33.382,35.8518,,31.75
2019-08-23,31.75,32.93,33.134,35.781,,32.08
2019-08-26,32.08,31.84,32.776,35.7178,,31.93
2019-08-27,31.93,32.22,32.444,35.6338,,31.79
2019-08-28,31.79,32.05,32.12,35.5458,,32.74
2019-08-29,32.74,32.0,32.058,35.4808,,33.17
2019-08-30,33.17,33.72,32.342,35.4326,,32.77
2019-09-03,32.77,32.66,32.48,35.3644,,33.56
2019-09-04,33.56,32.99,32.806,35.3196,,34.25
2019-09-05,34.25,33.64,33.298,35.2978,,34.23
2019-09-06,34.23,34.32,33.596,35.273,,34.3
2019-09-09,34.3,33.39,33.822,35.2392,,34.3
2019-09-10,34.3,33.85,34.128,35.1924,,34.0
2019-09-11,34.0,34.28,34.216,35.154,,33.79
2019-09-12,33.79,34.19,34.124,35.098,,33.83
2019-09-13,33.83,33.96,34.044,35.0476,,33.6
2019-09-16,33.6,33.68,33.904,34.9876,,32.86
2019-09-17,32.86,33.59,33.616,34.9222,,32.64
2019-09-18,32.64,32.88,33.344,34.8546,,32.04
2019-09-19,32.04,32.48,32.994,34.7726,,32.27
2019-09-20,32.27,31.99,32.682,34.6922,,32.27
2019-09-23,32.27,32.37,32.416,34.5984,,31.59
2019-09-24,31.59,32.28,32.162,34.49,,32.01
2019-09-25,32.01,31.61,32.036,34.3964,,31.45
