ticker,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,TSLA US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2010-06-28,1.133,1.133,,,,1.593
2010-06-29,1.593,1.267,,,,1.589
2010-06-30,1.589,1.719,,,,1.464
2010-07-01,1.464,1.667,,,,1.28
2010-07-02,1.28,1.533,1.4117,,,1.074
2010-07-06,1.074,1.333,1.3999,,,1.053
2010-07-07,1.053,1.093,1.292,,,1.164
2010-07-08,1.164,1.076,1.2071,,,1.16
2010-07-09,1.16,1.172,1.1463,,,1.137
2010-07-12,1.137,1.197,1.1176,,,1.209
2010-07-13,1.209,1.16,1.1447,,,1.323
2010-07-14,1.323,1.196,1.1985,,,1.326
2010-07-15,1.326,1.329,1.2309,,,1.376
2010-07-16,1.376,1.38,1.2741,,,1.461
2010-07-19,1.461,1.425,1.3389,,,1.353
2010-07-20,1.353,1.457,1.3677,,,1.348
2010-07-21,1.348,1.377,1.3728,,,1.4
2010-07-22,1.4,1.367,1.3876,,,1.419
2010-07-23,1.419,1.413,1.3963,,,1.397
2010-07-26,1.397,1.433,1.3835,,,1.37
2010-07-27,1.37,1.394,1.3868,,,1.381
2010-07-28,1.381,1.37,1.3935,,,1.357
2010-07-29,1.357,1.385,1.3848,,,1.329
2010-07-30,1.329,1.347,1.3668,,,1.395
2010-08-02,1.395,1.367,1.3664,,,1.463
2010-08-03,1.463,1.4,1.3851,,,1.417
2010-08-04,1.417,1.463,1.3923,,,1.363
2010-08-05,1.363,1.436,1.3936,,,1.306
2010-08-06,1.306,1.34,1.3889,,,1.307
2010-08-09,1.307,1.327,1.3713,,,1.269
2010-08-10,1.269,1.31,1.3324,,,1.193
2010-08-11,1.193,1.246,1.2876,,,1.173
2010-08-12,1.173,1.187,1.2496,,,1.221
2010-08-13,1.221,1.212,1.2327,,,1.252
2010-08-16,1.252,1.23,1.2217,,,1.277
2010-08-17,1.277,1.264,1.2233,,,1.251
2010-08-18,1.251,1.306,1.2349,,,1.253
2010-08-19,1.253,1.236,1.2508,,,1.273
2010-08-20,1.273,1.243,1.2612,,,1.342
2010-08-23,1.342,1.273,1.2792,,,1.28
2010-08-24,1.28,1.283,1.2799,,,1.327
2010-08-25,1.327,1.277,1.2949,,,1.317
2010-08-26,1.317,1.326,1.3077,,,1.313
2010-08-27,1.313,1.317,1.3157,,,1.325
2010-08-30,1.325,1.313,1.3123,,,1.299
2010-08-31,1.299,1.311,1.316,,,1.363
2010-09-01,1.363,1.308,1.3233,,,1.404
2010-09-02,1.404,1.358,1.3408,,,1.403
2010-09-03,1.403,1.391,1.3588,,,1.369
2010-09-07,1.369,1.374,1.3677,1.317,,1.393
2010-09-08,1.393,1.377,1.3867,1.3222,,1.381
2010-09-09,1.381,1.4,1.3901,1.318,,1.345
2010-09-10,1.345,1.383,1.3783,1.3131,,1.381
2010-09-13,1.381,1.393,1.3739,1.3115,,1.408
2010-09-14,1.408,1.369,1.3816,1.314,,1.465
2010-09-15,1.465,1.399,1.396,1.3219,,1.396
2010-09-16,1.396,1.477,1.3991,1.3287,,1.349
2010-09-17,1.349,1.401,1.3999,1.3324,,1.404
2010-09-20,1.404,1.378,1.4043,1.3373,,1.385
2010-09-21,1.385,1.393,1.3997,1.3422,,1.325
2010-09-22,1.325,1.391,1.3715,1.3445,,1.304
2010-09-23,1.304,1.326,1.3531,1.3442,,1.34
2010-09-24,1.34,1.33,1.3514,1.3444,,1.369
2010-09-27,1.369,1.36,1.3444,1.3443,,1.427
2010-09-28,1.427,1.403,1.3528,1.3436,,1.465
2010-09-29,1.465,1.413,1.3809,1.3459,,1.36
2010-09-30,1.36,1.467,1.3922,1.3461,,1.373
2010-10-01,1.373,1.379,1.3989,1.3456,,1.399
2010-10-04,1.399,1.362,1.405,1.3452,,1.408
2010-10-05,1.408,1.41,1.4013,1.3454,,1.364
2010-10-06,1.364,1.404,1.381,1.3453,,1.362
2010-10-07,1.362,1.371,1.3813,1.3449,,1.362
2010-10-08,1.362,1.362,1.3791,1.345,,1.349
2010-10-11,1.349,1.363,1.3691,1.3454,,1.349
2010-10-12,1.349,1.347,1.3573,1.3445,,1.369
2010-10-13,1.369,1.376,1.3584,1.3426,,1.383
2010-10-14,1.383,1.4,1.3627,1.3419,,1.369
2010-10-15,1.369,1.393,1.3641,1.3421,,1.349
2010-10-18,1.349,1.368,1.364,1.3429,,1.337
2010-10-19,1.337,1.347,1.3615,1.3435,,1.377
2010-10-20,1.377,1.344,1.3629,1.3457,,1.383
2010-10-21,1.383,1.374,1.3629,1.3495,,1.381
2010-10-22,1.381,1.379,1.3653,1.3536,,1.39
2010-10-25,1.39,1.396,1.3736,1.357,,1.424
2010-10-26,1.424,1.387,1.3911,1.3604,,1.4
2010-10-27,1.4,1.417,1.3957,1.3629,,1.413
2010-10-28,1.413,1.426,1.4016,1.3661,,1.456
2010-10-29,1.456,1.409,1.4165,1.3702,,1.427
2010-11-01,1.427,1.463,1.424,1.3733,,1.417
