ticker,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,CAT US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-02-09,19.5625,20.0,27.6634,20.6,23.2179,19.0313
2000-02-10,19.0313,19.5313,27.5971,20.175,23.1348,18.0
2000-02-11,18.0,18.625,27.5234,19.5438,23.0254,19.3125
2000-02-14,19.3125,18.5,27.459,19.2813,22.9366,20.0
2000-02-15,20.0,19.4375,27.396,19.1813,22.8539,19.5938
2000-02-16,19.5938,19.875,27.3304,19.1875,22.7696,19.3438
2000-02-17,19.3438,19.5625,27.2643,19.25,22.6996,18.8438
2000-02-18,18.8438,19.125,27.1951,19.4188,22.6252,19.1563
2000-02-22,19.1563,18.9688,27.1329,19.3875,22.5502,18.9063
2000-02-23,18.9063,19.1875,27.0731,19.1688,22.4614,18.125
2000-02-24,18.125,18.9063,27.0057,18.875,22.3608,18.0
2000-02-25,18.0,18.1563,26.9438,18.6063,22.2595,17.7813
2000-02-28,17.7813,18.0,26.8812,18.3938,22.15,17.5313
2000-02-29,17.5313,17.5313,26.8163,18.0688,22.0294,17.4375
2000-03-01,17.4375,17.5625,26.7507,17.775,21.9287,17.2188
2000-03-02,17.2188,17.4063,26.6901,17.5938,21.8219,18.1875
2000-03-03,18.1875,17.25,26.636,17.6313,21.7419,18.3438
2000-03-06,18.3438,18.5938,26.5804,17.7438,21.675,16.9063
2000-03-07,16.9063,18.25,26.5159,17.6188,21.565,17.4688
2000-03-08,17.4688,17.6563,26.4553,17.625,21.45,17.625
2000-03-09,17.625,17.4688,26.3967,17.7063,21.3269,17.8438
2000-03-10,17.8438,17.5,26.3413,17.6375,21.2187,17.8125
2000-03-13,17.8125,17.5,26.292,17.5313,21.115,17.9063
2000-03-14,17.9063,18.375,26.2443,17.7313,21.0025,19.125
2000-03-15,19.125,18.125,26.1931,18.0625,20.8987,20.3438
2000-03-16,20.3438,19.7188,26.1488,18.6063,20.8256,19.8125
2000-03-17,19.8125,20.0625,26.0968,19.0,20.7306,19.25
2000-03-20,19.25,19.7188,26.036,19.2875,20.5994,19.9063
2000-03-21,19.9063,19.2813,25.9774,19.6875,20.4644,19.4688
2000-03-22,19.4688,19.6875,25.9195,19.7563,20.3381,19.7813
2000-03-23,19.7813,19.75,25.8646,19.6438,20.2262,19.75
2000-03-24,19.75,19.6563,25.8087,19.6313,20.105,19.5313
2000-03-27,19.5313,19.5,25.7578,19.6875,19.9737,19.1563
2000-03-28,19.1563,19.2188,25.7037,19.5375,19.8375,19.5
2000-03-29,19.5,19.125,25.6551,19.5438,19.7281,20.375
2000-03-30,20.375,19.625,25.6096,19.6625,19.6425,19.7188
2000-03-31,19.7188,20.3125,25.561,19.6563,19.5656,20.9375
2000-04-03,20.9375,19.9688,25.512,19.9375,19.5106,21.7188
2000-04-04,21.7188,21.0313,25.4684,20.45,19.4919,21.2188
2000-04-05,21.2188,21.6563,25.424,20.7938,19.48,21.1563
2000-04-06,21.1563,21.25,25.3807,20.95,19.4537,20.6875
2000-04-07,20.6875,20.9375,25.3367,21.1438,19.4219,20.7188
2000-04-10,20.7188,20.625,25.2937,21.1,19.4012,21.0313
2000-04-11,21.0313,21.0,25.247,20.9625,19.3975,21.7188
2000-04-12,21.7188,21.4375,25.2028,21.0625,19.4,21.0
2000-04-13,21.0,21.9688,25.1578,21.0313,19.3856,20.25
2000-04-14,20.25,20.7813,25.106,20.9438,19.3675,20.4688
2000-04-17,20.4688,20.3125,25.0535,20.8938,19.3537,20.125
2000-04-18,20.125,21.4375,25.0059,20.7125,19.3437,18.8125
2000-04-19,18.8125,19.0938,24.9446,20.1313,19.31,19.0
2000-04-20,19.0,18.7813,24.8867,19.7313,19.2987,19.5
2000-04-24,19.5,19.125,24.8312,19.5813,19.3081,20.0625
2000-04-25,20.0625,19.5,24.779,19.5,19.3494,19.875
2000-04-26,19.875,20.0625,24.7287,19.45,19.3606,20.0625
2000-04-27,20.0625,19.5,24.6795,19.7,19.3619,19.7188
2000-04-28,19.7188,20.5,24.6293,19.8438,19.3644,19.4063
2000-05-01,19.4063,19.7188,24.579,19.825,19.3656,19.8125
2000-05-02,19.8125,19.5,24.5274,19.775,19.385,19.4375
2000-05-03,19.4375,19.5625,24.4742,19.6875,19.3906,18.9688
2000-05-04,18.9688,19.4688,24.4174,19.4688,19.3919,19.5313
2000-05-05,19.5313,18.9688,24.3638,19.4313,19.42,19.4688
2000-05-08,19.4688,19.6875,24.3087,19.4438,19.4494,19.0
2000-05-09,19.0,20.0,24.2537,19.2813,19.4737,19.1875
2000-05-10,19.1875,19.0625,24.1993,19.2313,19.5069,19.4063
2000-05-11,19.4063,19.3125,24.1432,19.3188,19.5462,19.6875
2000-05-12,19.6875,19.3438,24.0945,19.35,19.5956,20.2813
2000-05-15,20.2813,19.8438,24.0493,19.5125,19.6375,20.125
2000-05-16,20.125,20.5313,24.0035,19.7375,19.6731,20.0
2000-05-17,20.0,20.25,23.9588,19.9,19.735,19.4063
2000-05-18,19.4063,19.9688,23.9129,19.9,19.7737,20.0313
2000-05-19,20.0313,19.4375,23.8728,19.9688,19.8219,20.0938
2000-05-22,20.0938,20.0625,23.8288,19.9313,19.8669,19.75
2000-05-23,19.75,20.2188,23.7832,19.8563,19.9056,19.8438
2000-05-24,19.8438,19.375,23.7353,19.825,19.9444,19.0313
2000-05-25,19.0313,19.7188,23.6823,19.75,19.9425,19.0625
2000-05-26,19.0625,19.25,23.6251,19.5563,19.9169,19.1563
2000-05-30,19.1563,19.2188,23.5653,19.3688,19.9037,19.125
2000-05-31,19.125,18.9375,23.5051,19.2438,19.9012,19.875
2000-06-01,19.875,19.4375,23.4495,19.25,19.9006,20.5313
2000-06-02,20.5313,20.6875,23.3996,19.55,19.9219,20.0
2000-06-05,20.0,20.125,23.3488,19.7375,19.9262,19.5313
2000-06-06,19.5313,19.75,23.2957,19.8125,19.9219,19.4063
2000-06-07,19.4063,19.375,23.2354,19.8688,19.9194,19.0625
2000-06-08,19.0625,19.2188,23.1732,19.7063,19.9175,19.125
2000-06-09,19.125,19.1563,23.112,19.425,19.91,19.3125
2000-06-12,19.3125,18.875,23.0507,19.2875,19.8887,18.625
2000-06-13,18.625,19.2813,22.9898,19.1063,19.8669,18.8125
2000-06-14,18.8125,18.625,22.9351,18.9875,19.8244,18.5
2000-06-15,18.5,18.6875,22.886,18.875,19.76,17.9688
2000-06-16,17.9688,18.4688,22.8309,18.6438,19.695,17.5625
2000-06-19,17.5625,18.1563,22.7715,18.2938,19.6231,17.5313
2000-06-20,17.5313,17.5625,22.7112,18.075,19.56,17.5625
2000-06-21,17.5625,17.5313,22.6531,17.825,19.4969,17.2188
2000-06-22,17.2188,17.5313,22.5926,17.5688,19.4206,17.3125
2000-06-23,17.3125,17.3125,22.5323,17.4375,19.3325,17.4063
2000-06-26,17.4063,17.375,22.4774,17.4063,19.2606,17.8438
2000-06-27,17.8438,17.3438,22.4181,17.4688,19.2125,18.0781
2000-06-28,18.0781,18.25,22.3624,17.5719,19.1647,17.5
2000-06-29,17.5,17.75,22.3031,17.6281,19.1122,16.9375
2000-06-30,16.9375,17.375,22.2464,17.5531,19.0747,18.0
2000-07-03,18.0,17.125,22.1906,17.6719,19.0547,17.5938
2000-07-05,17.5938,17.4375,22.136,17.6219,19.0166,17.4063
2000-07-06,17.4063,17.8125,22.0833,17.4875,18.9634,16.9688
2000-07-07,16.9688,17.4375,22.0277,17.3813,18.9053,17.125
2000-07-10,17.125,17.0938,21.9775,17.4188,18.8466,18.0625
2000-07-11,18.0625,17.25,21.9325,17.4313,18.8134,18.2813
2000-07-12,18.2813,18.4688,21.8902,17.5688,18.7909,17.9688
2000-07-13,17.9688,18.25,21.8474,17.6813,18.7541,17.875
2000-07-14,17.875,17.9375,21.8002,17.8625,18.7228,17.8594
2000-07-17,17.8594,17.75,21.7524,18.0094,18.7006,18.875
2000-07-18,18.875,18.5625,21.7126,18.1719,18.6875,18.9688
2000-07-19,18.9688,19.2813,21.6698,18.3094,18.6775,18.5313
2000-07-20,18.5313,19.0938,21.626,18.4219,18.6681,18.25
2000-07-21,18.25,18.5,21.5759,18.4969,18.6494,18.125
2000-07-24,18.125,18.1875,21.5268,18.55,18.6237,17.9375
2000-07-25,17.9375,18.125,21.4749,18.3625,18.5887,17.375
2000-07-26,17.375,17.7813,21.4157,18.0438,18.5306,17.4375
2000-07-27,17.4375,17.4688,21.3642,17.825,18.4769,17.5313
2000-07-28,17.5313,17.1875,21.3104,17.6813,18.4275,17.0313
2000-07-31,17.0313,17.2813,21.2565,17.4625,18.38,17.1563
2000-08-01,17.1563,17.1563,21.2021,17.3063,18.3225,17.5
2000-08-02,17.5,17.25,21.1512,17.3313,18.2706,17.5313
2000-08-03,17.5313,17.125,21.1013,17.35,18.2262,17.4219
2000-08-04,17.4219,17.5,21.0535,17.3281,18.1778,18.3438
2000-08-07,18.3438,17.5,21.0149,17.5906,18.1641,19.1875
2000-08-08,19.1875,18.4688,20.9728,17.9969,18.1666,18.8125
2000-08-09,18.8125,19.1563,20.9321,18.2594,18.1597,18.75
2000-08-10,18.75,19.0625,20.8872,18.5031,18.1522,19.3125
2000-08-11,19.3125,18.625,20.8453,18.8813,18.1409,19.5313
2000-08-14,19.5313,19.4688,20.8061,19.1188,18.1209,19.3281
2000-08-15,19.3281,19.6563,20.7645,19.1469,18.1075,19.3125
2000-08-16,19.3125,19.4063,20.7245,19.2469,18.1031,19.125
2000-08-17,19.125,19.3438,20.6799,19.3219,18.0975,19.0938
2000-08-18,19.0938,19.1875,20.6338,19.2781,18.0981,18.8438
2000-08-21,18.8438,19.125,20.5917,19.1406,18.0925,18.9063
2000-08-22,18.9063,18.9375,20.5493,19.0563,18.0844,18.5625
2000-08-23,18.5625,18.9375,20.507,18.9063,18.0831,18.8438
2000-08-24,18.8438,18.5313,20.4665,18.85,18.0837,18.8125
2000-08-25,18.8125,18.7813,20.4262,18.7938,18.09,18.5938
2000-08-28,18.5938,18.8438,20.3817,18.7438,18.1025,19.0313
2000-08-29,19.0313,19.0625,20.3393,18.7688,18.1319,18.7813
2000-08-30,18.7813,18.9063,20.2943,18.8125,18.1569,18.3848
2000-08-31,18.3848,18.5,20.2442,18.7207,18.1733,18.6563
2000-09-01,18.6563,18.4063,20.1991,18.6895,18.2021,19.0313
2000-09-05,19.0313,18.6875,20.1544,18.777,18.2364,19.3438
2000-09-06,19.3438,19.0313,20.1281,18.8395,18.2752,19.0313
2000-09-07,19.0313,19.5,20.0976,18.8895,18.2989,18.9063
2000-09-08,18.9063,19.0313,20.0667,18.9938,18.3155,19.1563
2000-09-11,19.1563,18.9063,20.0411,19.0938,18.3486,19.0
2000-09-12,19.0,19.0625,20.0158,19.0875,18.3899,19.3438
2000-09-13,19.3438,19.2188,19.997,19.0875,18.4168,19.625
2000-09-14,19.625,19.5938,19.9792,19.2063,18.4574,18.7188
2000-09-15,18.7188,18.875,19.9555,19.1688,18.4836,18.0313
2000-09-18,18.0313,18.625,19.9269,18.9438,18.5049,17.75
2000-09-19,17.75,17.6875,19.8949,18.6938,18.5174,17.5938
2000-09-20,17.5938,17.6875,19.8638,18.3438,18.508,17.4063
2000-09-21,17.4063,17.7188,19.8367,17.9,18.4905,17.5625
2000-09-22,17.5625,17.375,19.8117,17.6688,18.4824,17.75
2000-09-25,17.75,17.6875,19.7859,17.6125,18.4799,17.5
2000-09-26,17.5,17.5,19.7567,17.5625,18.4727,16.75
2000-09-27,16.75,17.2813,19.7246,17.3938,18.4302,17.0
2000-09-28,17.0,16.3125,19.6943,17.3125,18.3908,15.5
2000-09-29,15.5,17.125,19.6555,16.9,18.3302,17.125
2000-10-02,17.125,15.5,19.6233,16.775,18.3077,17.5313
2000-10-03,17.5313,17.0938,19.5986,16.7813,18.2958,17.5625
2000-10-04,17.5625,17.5625,19.5736,16.9438,18.2883,17.5
2000-10-05,17.5,17.5625,19.5502,17.0438,18.2908,17.25
2000-10-06,17.25,17.5313,19.528,17.3938,18.2871,17.2813
2000-10-09,17.2813,17.25,19.5024,17.425,18.2821,16.6875
2000-10-10,16.6875,17.0625,19.4697,17.2563,18.2752,16.625
2000-10-11,16.625,16.625,19.434,17.0688,18.2646,15.9375
2000-10-12,15.9375,16.5938,19.3974,16.7563,18.2333,15.8438
2000-10-13,15.8438,15.5313,19.3616,16.475,18.1996,15.875
2000-10-16,15.875,15.7813,19.3233,16.1938,18.1686,15.25
2000-10-17,15.25,15.9688,19.278,15.9063,18.1068,14.9063
2000-10-18,14.9063,15.0625,19.2325,15.5625,18.0211,15.25
2000-10-19,15.25,15.0938,19.186,15.425,17.9499,15.3438
2000-10-20,15.3438,15.1875,19.1336,15.325,17.8818,15.7188
2000-10-23,15.7188,15.4375,19.079,15.2938,17.8099,15.9375
2000-10-24,15.9375,15.8438,19.0297,15.4313,17.738,15.6563
2000-10-25,15.6563,15.5625,18.9811,15.5813,17.6646,15.9063
2000-10-26,15.9063,15.5625,18.9316,15.7125,17.5964,16.4375
2000-10-27,16.4375,16.0,18.8833,15.9313,17.5427,17.4688
2000-10-30,17.4688,16.375,18.8408,16.2813,17.5102,17.5313
2000-10-31,17.5313,17.4688,18.8036,16.6,17.4839,17.375
2000-11-01,17.375,17.5625,18.7672,16.9438,17.4533,17.4063
2000-11-02,17.4063,17.6563,18.7365,17.2438,17.4302,17.4063
2000-11-03,17.4063,17.4375,18.705,17.4375,17.4014,18.0938
