ticker,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-02-09,5.3485,5.3895,6.4005,5.5537,5.7523,5.4032
2000-02-10,5.4032,5.3211,6.3966,5.4743,5.7424,5.198
2000-02-11,5.198,5.3622,6.3913,5.3841,5.7271,5.3211
2000-02-14,5.3211,5.2527,6.3873,5.343,5.7148,5.4442
2000-02-15,5.4442,5.3348,6.3837,5.343,5.6987,5.2938
2000-02-16,5.2938,5.4442,6.3797,5.3321,5.6787,5.3211
2000-02-17,5.3211,5.3211,6.3751,5.3157,5.6634,5.2391
2000-02-18,5.2391,5.3211,6.3711,5.3239,5.6475,5.1433
2000-02-22,5.1433,5.2117,6.3666,5.2883,5.6311,5.0749
2000-02-23,5.0749,5.1433,6.3615,5.2144,5.6152,4.9108
2000-02-24,4.9108,5.0339,6.3553,5.1378,5.5958,4.7603
2000-02-25,4.7603,4.9108,6.3486,5.0257,5.5747,4.8971
2000-02-28,4.8971,4.7877,6.3419,4.9573,5.5564,4.9655
2000-02-29,4.9655,4.856,6.3353,4.9217,5.5403,5.0339
2000-03-01,5.0339,4.9655,6.3287,4.9135,5.5252,4.9792
2000-03-02,4.9792,4.9928,6.322,4.9272,5.5096,4.9928
2000-03-03,4.9928,4.9518,6.3149,4.9737,5.4938,4.9244
2000-03-06,4.9244,4.9655,6.3081,4.9792,5.476,5.0065
2000-03-07,5.0065,4.9381,6.3008,4.9874,5.4618,5.157
2000-03-08,5.157,5.0476,6.2945,5.012,5.4511,5.198
2000-03-09,5.198,5.1159,6.2885,5.0558,5.4404,5.2117
2000-03-10,5.2117,5.1707,6.2821,5.0995,5.4319,5.2391
2000-03-13,5.2391,5.157,6.2761,5.1625,5.4259,4.9655
2000-03-14,4.9655,5.198,6.2681,5.1542,5.4152,5.0612
2000-03-15,5.0612,5.0065,6.2604,5.1351,5.4079,5.3895
2000-03-16,5.3895,5.0476,6.2545,5.1734,5.4084,5.3211
2000-03-17,5.3211,5.3348,6.2484,5.1953,5.4065,5.3895
2000-03-20,5.3895,5.3758,6.2419,5.2254,5.4059,5.4716
2000-03-21,5.4716,5.3485,6.2361,5.3266,5.4029,5.2938
2000-03-22,5.2938,5.4716,6.2296,5.3731,5.3966,5.2801
2000-03-23,5.2801,5.3485,6.2226,5.3512,5.3914,5.3485
2000-03-24,5.3485,5.2527,6.217,5.3567,5.3849,5.3485
2000-03-27,5.3485,5.3211,6.2115,5.3485,5.3758,5.198
2000-03-28,5.198,5.3485,6.2045,5.2938,5.3649,5.3348
2000-03-29,5.3348,5.1433,6.198,5.302,5.3586,5.4032
2000-03-30,5.4032,5.3622,6.1908,5.3266,5.3523,5.4716
2000-03-31,5.4716,5.4032,6.1839,5.3512,5.3466,5.4853
2000-04-03,5.4853,5.4853,6.1766,5.3786,5.3356,5.4579
2000-04-04,5.4579,5.4579,6.1703,5.4306,5.3241,5.3895
2000-04-05,5.3895,5.499,6.1625,5.4415,5.3135,5.4853
2000-04-06,5.4853,5.4169,6.1556,5.4579,5.305,5.4442
2000-04-07,5.4442,5.5126,6.1494,5.4524,5.2998,5.4032
2000-04-10,5.4032,5.4853,6.1423,5.436,5.2938,5.4032
2000-04-11,5.4032,5.4032,6.1346,5.4251,5.2875,5.4169
2000-04-12,5.4169,5.4032,6.1267,5.4306,5.2809,5.5947
2000-04-13,5.5947,5.4306,6.1199,5.4524,5.2768,5.54
2000-04-14,5.54,5.6357,6.1125,5.4716,5.2716,5.6221
2000-04-17,5.6221,5.581,6.1054,5.5154,5.2711,5.5674
2000-04-18,5.5674,5.5947,6.0989,5.5482,5.2719,5.5537
2000-04-19,5.5537,5.5674,6.0919,5.5756,5.2741,5.6768
2000-04-20,5.6768,5.4716,6.0848,5.592,5.2806,5.5674
2000-04-24,5.5674,5.6494,6.0772,5.5974,5.2839,5.7041
2000-04-25,5.7041,5.581,6.0706,5.6139,5.294,5.6221
2000-04-26,5.6221,5.6084,6.0636,5.6248,5.3001,5.4853
2000-04-27,5.4853,5.6357,6.0554,5.6111,5.3009,5.5263
