ticker,CME US Equity,CME US Equity,CME US Equity,CME US Equity,CME US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2003-04-16,9.522,9.51,9.4604,9.0474,,9.808
2003-04-17,9.808,9.722,9.5372,9.0766,,9.744
2003-04-21,9.744,9.768,9.6152,9.1055,,9.958
2003-04-22,9.958,9.802,9.7064,9.1362,,10.1
2003-04-23,10.1,10.058,9.8264,9.1662,,10.32
2003-04-24,10.32,10.1,9.986,9.201,,10.49
2003-04-25,10.49,10.32,10.1224,9.2392,,11.08
2003-04-28,11.08,10.53,10.3896,9.2868,,11.13
2003-04-29,11.13,11.082,10.624,9.3314,,11.308
2003-04-30,11.308,11.12,10.8656,9.3794,,11.156
2003-05-01,11.156,11.308,11.0328,9.4235,,11.4
2003-05-02,11.4,11.13,11.2148,9.4714,,11.36
2003-05-05,11.36,11.41,11.2708,9.5171,,11.3
2003-05-06,11.3,11.36,11.3048,9.561,,11.12
2003-05-07,11.12,11.26,11.2672,9.6005,,11.076
2003-05-08,11.076,11.08,11.2512,9.6406,,11.144
2003-05-09,11.144,11.1,11.2,9.6903,,11.34
2003-05-12,11.34,11.13,11.196,9.7449,,11.72
2003-05-13,11.72,11.32,11.28,9.8068,,11.698
2003-05-14,11.698,11.708,11.3956,9.8695,,11.724
2003-05-15,11.724,11.69,11.5252,9.935,,12.0
2003-05-16,12.0,11.714,11.6964,10.0056,,11.71
2003-05-19,11.71,11.88,11.7704,10.0705,,11.708
2003-05-20,11.708,11.69,11.768,10.1352,,11.834
2003-05-21,11.834,11.69,11.7952,10.2028,,11.94
2003-05-22,11.94,11.884,11.8384,10.2721,,12.036
2003-05-23,12.036,11.95,11.8456,10.3427,,11.906
2003-05-27,11.906,11.93,11.8848,10.408,,12.09
2003-05-28,12.09,11.906,11.9612,10.466,,12.048
2003-05-29,12.048,12.09,12.004,10.5228,,12.296
2003-05-30,12.296,12.048,12.0752,10.5809,,12.41
2003-06-02,12.41,12.31,12.15,10.6469,,12.464
2003-06-03,12.464,12.37,12.2616,10.7078,,12.64
2003-06-04,12.64,12.47,12.3716,10.7686,,12.602
2003-06-05,12.602,12.64,12.4824,10.8269,,12.2
2003-06-06,12.2,12.574,12.4632,10.8769,,12.4
2003-06-09,12.4,12.17,12.4612,10.9293,,12.44
2003-06-10,12.44,12.3,12.4564,10.9835,,12.47
2003-06-11,12.47,12.42,12.4224,11.0403,,12.828
2003-06-12,12.828,12.5,12.4676,11.105,,12.904
2003-06-13,12.904,12.828,12.6084,11.1704,,13.124
2003-06-16,13.124,12.94,12.7532,11.2398,,13.88
2003-06-17,13.88,13.154,13.0412,11.3238,,13.92
2003-06-18,13.92,13.86,13.3312,11.4154,,13.6
2003-06-19,13.6,13.92,13.4856,11.5016,,13.254
2003-06-20,13.254,13.63,13.5556,11.5796,,13.202
2003-06-23,13.202,13.25,13.5712,11.6552,,13.694
2003-06-24,13.694,13.202,13.534,11.742,,13.402
2003-06-25,13.402,13.696,13.4304,11.82,,13.83
2003-06-26,13.83,13.41,13.4764,11.9066,,13.92
2003-06-27,13.92,13.75,13.6096,11.9946,,13.926
2003-06-30,13.926,13.94,13.7544,12.0769,,14.914
2003-07-01,14.914,14.04,13.9984,12.1803,,14.93
2003-07-02,14.93,14.914,14.304,12.2798,,14.77
2003-07-03,14.77,14.8,14.492,12.3732,,14.85
2003-07-07,14.85,14.84,14.678,12.4638,,14.882
2003-07-08,14.882,14.82,14.8692,12.5516,,15.304
2003-07-09,15.304,14.87,14.9472,12.6361,,15.5
2003-07-10,15.5,15.3,15.0612,12.7235,,15.142
2003-07-11,15.142,15.55,15.1356,12.8002,,15.47
2003-07-14,15.47,15.19,15.2596,12.8864,,15.566
2003-07-15,15.566,15.52,15.3964,12.9698,,15.3
2003-07-16,15.3,15.58,15.3956,13.0486,,14.89
2003-07-17,14.89,15.28,15.2736,13.1204,,14.96
2003-07-18,14.96,14.9,15.2372,13.1972,,14.724
2003-07-21,14.724,14.95,15.088,13.2701,,15.544
2003-07-22,15.544,15.0,15.0836,13.3581,,15.796
2003-07-23,15.796,15.544,15.1828,13.4472,,15.182
2003-07-24,15.182,15.816,15.2412,13.5165,,15.698
2003-07-25,15.698,15.182,15.3888,13.5965,,15.58
2003-07-28,15.58,15.696,15.56,13.6736,,15.27
2003-07-29,15.27,15.606,15.5052,13.739,,15.076
2003-07-30,15.076,15.278,15.3612,13.8063,,14.73
2003-07-31,14.73,15.076,15.2708,13.8668,,14.37
2003-08-01,14.37,14.71,15.0052,13.9175,,14.63
2003-08-04,14.63,14.364,14.8152,13.9713,,14.936
2003-08-05,14.936,14.65,14.7484,14.0293,,14.996
2003-08-06,14.996,14.948,14.7324,14.0911,,15.01
2003-08-07,15.01,14.994,14.7884,14.1495,,15.01
2003-08-08,15.01,15.03,14.9164,14.2087,,15.03
2003-08-11,15.03,15.02,14.9964,14.2634,,15.1
2003-08-12,15.1,15.07,15.0292,14.3172,,15.396
2003-08-13,15.396,15.12,15.1092,14.3758,,15.642
2003-08-14,15.642,15.41,15.2356,14.4359,,15.7
2003-08-15,15.7,15.65,15.3736,14.4978,,15.584
2003-08-18,15.584,15.7,15.4844,14.5655,,14.32
2003-08-19,14.32,15.4,15.3284,14.6039,,14.68
2003-08-20,14.68,14.5,15.1852,14.6487,,14.38
2003-08-21,14.38,14.68,14.9328,14.6869,,13.65
2003-08-22,13.65,14.33,14.5228,14.7034,,13.282
2003-08-25,13.282,13.652,14.0624,14.7109,,14.062
2003-08-26,14.062,13.6,14.0108,14.7297,,14.57
2003-08-27,14.57,14.1,13.9888,14.7435,,14.286
2003-08-28,14.286,14.568,13.97,14.7508,,14.078
2003-08-29,14.078,14.2,14.0556,14.7604,,13.92
2003-09-02,13.92,14.05,14.1832,14.7737,,14.196
2003-09-03,14.196,13.94,14.21,14.7936,,14.188
2003-09-04,14.188,14.196,14.1336,14.8034,,14.07
2003-09-05,14.07,14.19,14.0904,14.8168,,14.432
2003-09-08,14.432,14.1,14.1612,14.8288,,14.416
2003-09-09,14.416,14.396,14.2604,14.8388,,14.322
2003-09-10,14.322,14.4,14.2856,14.8467,,14.29
2003-09-11,14.29,14.312,14.306,14.8342,,14.316
2003-09-12,14.316,14.34,14.3552,14.8219,,14.26
2003-09-15,14.26,14.3,14.3208,14.8117,,14.3
2003-09-16,14.3,14.27,14.2976,14.8007,,14.472
2003-09-17,14.472,14.34,14.3276,14.7925,,14.75
2003-09-18,14.75,14.45,14.4196,14.7814,,14.67
2003-09-19,14.67,14.79,14.4904,14.7648,,14.496
2003-09-22,14.496,14.672,14.5376,14.7519,11.4464,14.05
2003-09-23,14.05,14.496,14.4876,14.7235,11.4816,13.936
2003-09-24,13.936,14.03,14.3804,14.6909,11.5084,13.696
2003-09-25,13.696,14.09,14.1696,14.6588,11.5349,13.296
2003-09-26,13.296,13.696,13.8948,14.627,11.5586,13.294
2003-09-29,13.294,13.34,13.6544,14.5936,11.58,13.762
2003-09-30,13.762,13.22,13.5968,14.5744,11.6049,13.81
2003-10-01,13.81,13.762,13.5716,14.5397,11.6303,14.204
2003-10-02,14.204,13.84,13.6732,14.5079,11.6582,14.35
2003-10-03,14.35,14.244,13.884,14.4912,11.6867,14.582
2003-10-06,14.582,14.33,14.1416,14.4689,11.7169,14.58
2003-10-07,14.58,14.582,14.3052,14.4489,11.7475,14.67
2003-10-08,14.67,14.68,14.4772,14.4369,11.7764,14.51
2003-10-09,14.51,14.7,14.5384,14.4256,11.8056,14.522
2003-10-10,14.522,14.51,14.5728,14.4214,11.8352,14.94
2003-10-13,14.94,14.5,14.6444,14.4328,11.8673,14.91
2003-10-14,14.91,14.94,14.7104,14.4384,11.8998,14.87
2003-10-15,14.87,14.7,14.7504,14.4371,11.9318,14.686
2003-10-16,14.686,14.86,14.7856,14.4309,11.9616,14.12
2003-10-17,14.12,14.38,14.7052,14.4131,11.9885,13.784
2003-10-20,13.784,14.12,14.474,14.3886,12.0116,14.002
2003-10-21,14.002,13.78,14.2924,14.368,12.0335,13.444
2003-10-22,13.444,13.85,14.0072,14.3349,12.0527,13.074
2003-10-23,13.074,13.396,13.6848,14.2885,12.0701,13.55
2003-10-24,13.55,13.4,13.5708,14.2466,12.0888,13.6
2003-10-27,13.6,13.55,13.534,14.2046,12.1078,13.6
2003-10-28,13.6,13.62,13.4536,14.165,12.1262,13.796
2003-10-29,13.796,13.6,13.524,14.1545,12.146,13.468
2003-10-30,13.468,13.8,13.6028,14.1302,12.1663,13.59
2003-10-31,13.59,13.48,13.6108,14.1144,12.1889,13.6
2003-11-03,13.6,13.59,13.6108,14.1134,12.2119,13.2
2003-11-04,13.2,13.59,13.5308,14.1118,12.2334,13.26
2003-11-05,13.26,13.18,13.4236,14.0958,12.2556,13.27
2003-11-06,13.27,13.31,13.384,14.0698,12.2765,13.484
2003-11-07,13.484,13.272,13.3628,14.0537,12.2969,13.51
2003-11-10,13.51,13.464,13.3448,14.0424,12.3182,13.65
2003-11-11,13.65,13.55,13.4348,14.037,12.3405,13.864
2003-11-12,13.864,13.656,13.5556,14.0303,12.3633,13.454
2003-11-13,13.454,13.814,13.5924,14.0156,12.3864,13.53
2003-11-14,13.53,13.4,13.6016,14.0048,12.4115,13.17
2003-11-17,13.17,13.48,13.5336,13.9796,12.435,13.27
2003-11-18,13.27,13.3,13.4576,13.9567,12.4594,13.642
2003-11-19,13.642,13.3,13.4132,13.9431,12.4858,13.58
2003-11-20,13.58,13.66,13.4384,13.9289,12.5122,13.576
2003-11-21,13.576,13.594,13.4476,13.9141,12.538,13.728
2003-11-24,13.728,13.63,13.5592,13.9034,12.5636,13.69
2003-11-25,13.69,13.728,13.6432,13.8912,12.5892,13.7
2003-11-26,13.7,13.74,13.6548,13.8758,12.6148,13.694
2003-11-28,13.694,13.7,13.6776,13.8547,12.6397,13.796
2003-12-01,13.796,13.726,13.7216,13.8372,12.6642,13.86
2003-12-02,13.86,13.84,13.748,13.8245,12.689,13.67
2003-12-03,13.67,13.74,13.744,13.8169,12.7126,13.8
2003-12-04,13.8,13.7,13.764,13.8142,12.7366,14.126
2003-12-05,14.126,13.82,13.8504,13.8228,12.7618,14.0
2003-12-08,14.0,14.104,13.8912,13.8368,12.7863,13.866
2003-12-09,13.866,14.02,13.8924,13.8483,12.8099,13.566
2003-12-10,13.566,13.866,13.8716,13.8444,12.8324,13.72
2003-12-11,13.72,13.57,13.8556,13.8426,12.8577,13.65
2003-12-12,13.65,13.68,13.7604,13.8315,12.8829,13.59
2003-12-15,13.59,13.74,13.6784,13.8163,12.9077,13.734
2003-12-16,13.734,13.62,13.652,13.7993,12.9336,13.754
2003-12-17,13.754,13.74,13.6896,13.7828,12.9601,14.068
2003-12-18,14.068,13.88,13.7592,13.7708,12.9881,14.394
2003-12-19,14.394,14.13,13.908,13.7684,13.0177,14.44
2003-12-22,14.44,14.47,14.078,13.7668,13.0476,14.48
2003-12-23,14.48,14.456,14.2272,13.7576,13.0777,14.392
2003-12-24,14.392,14.47,14.3548,13.7472,13.1073,14.302
2003-12-26,14.302,14.442,14.4016,13.7359,13.1363,14.48
2003-12-29,14.48,14.4,14.4188,13.7318,13.1655,14.536
2003-12-30,14.536,14.52,14.438,13.7401,13.1922,14.472
2003-12-31,14.472,14.54,14.4364,13.7538,13.2185,14.58
2004-01-02,14.58,14.5,14.474,13.7654,13.2444,15.622
2004-01-05,15.622,14.582,14.738,13.809,13.277,15.168
2004-01-06,15.168,15.622,14.8756,13.8508,13.3057,15.0
2004-01-07,15.0,15.188,14.9684,13.8798,13.3327,14.888
2004-01-08,14.888,15.04,15.0516,13.9056,13.3588,15.06
