ticker,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,PRU US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2001-12-12,27.5,27.5,,,,29.3
2001-12-13,29.3,29.1,,,,29.68
2001-12-14,29.68,29.9,,,,29.45
2001-12-17,29.45,29.95,,,,29.95
2001-12-18,29.95,29.5,29.176,,,30.15
2001-12-19,30.15,29.85,29.706,,,30.17
2001-12-20,30.17,30.25,29.88,,,30.99
2001-12-21,30.99,30.4,30.142,,,31.45
2001-12-24,31.45,30.75,30.542,,,32.2
2001-12-26,32.2,31.5,30.992,,,32.85
2001-12-27,32.85,32.2,31.532,,,32.94
2001-12-28,32.94,32.86,32.086,,,33.19
2001-12-31,33.19,33.11,32.526,,,31.3
2002-01-02,31.3,32.61,32.496,,,31.25
2002-01-03,31.25,31.3,32.306,,,31.95
2002-01-04,31.95,31.2,32.126,,,31.95
2002-01-07,31.95,31.75,31.928,,,31.78
2002-01-08,31.78,31.25,31.646,,,31.3
2002-01-09,31.3,31.95,31.646,,,31.01
2002-01-10,31.01,31.12,31.598,,,30.9
2002-01-11,30.9,31.01,31.388,,,30.05
2002-01-14,30.05,30.75,31.008,,,30.78
2002-01-15,30.78,30.4,30.808,,,30.68
2002-01-16,30.68,30.58,30.684,,,30.52
2002-01-17,30.52,30.88,30.586,,,30.25
2002-01-18,30.25,30.4,30.456,,,31.25
2002-01-22,31.25,30.49,30.696,,,30.52
2002-01-23,30.52,31.65,30.644,,,30.25
2002-01-24,30.25,30.6,30.558,,,30.43
2002-01-25,30.43,30.0,30.54,,,30.93
2002-01-28,30.93,30.65,30.676,,,30.39
2002-01-29,30.39,30.0,30.504,,,30.15
2002-01-30,30.15,30.5,30.43,,,31.05
2002-01-31,31.05,30.48,30.59,,,30.6
2002-02-01,30.6,30.95,30.624,,,30.88
2002-02-04,30.88,30.6,30.614,,,31.05
2002-02-05,31.05,30.85,30.746,,,31.15
2002-02-06,31.15,31.2,30.946,,,30.62
2002-02-07,30.62,30.95,30.86,,,31.03
2002-02-08,31.03,30.57,30.946,,,31.76
2002-02-11,31.76,30.7,31.122,,,31.5
2002-02-12,31.5,31.41,31.212,,,32.09
2002-02-13,32.09,31.2,31.4,,,32.03
2002-02-14,32.03,32.05,31.682,,,31.5
2002-02-15,31.5,31.83,31.776,,,30.26
2002-02-19,30.26,31.0,31.476,,,30.65
2002-02-20,30.65,30.5,31.306,,,30.84
2002-02-21,30.84,30.45,31.056,,,30.24
2002-02-22,30.24,30.55,30.698,,,30.28
2002-02-25,30.28,30.25,30.454,30.8998,,30.5
2002-02-26,30.5,30.38,30.502,30.9598,,30.35
2002-02-27,30.35,30.6,30.442,30.9808,,30.57
2002-02-28,30.57,30.35,30.388,30.9986,,30.85
2002-03-01,30.85,30.69,30.51,31.0266,,30.7
2002-03-04,30.7,30.88,30.594,31.0416,,31.44
2002-03-05,31.44,30.7,30.782,31.0674,,31.4
2002-03-06,31.4,31.0,30.992,31.092,,31.57
2002-03-07,31.57,31.2,31.192,31.1036,,31.75
2002-03-08,31.75,31.85,31.372,31.1096,,31.35
2002-03-11,31.35,31.85,31.502,31.0926,,30.9
2002-03-12,30.9,31.0,31.394,31.0536,,30.63
2002-03-13,30.63,30.63,31.24,31.0074,,30.97
2002-03-14,30.97,30.7,31.12,30.963,,31.1
2002-03-15,31.1,30.69,30.99,30.959,,31.39
2002-03-18,31.39,31.55,30.998,30.9618,,31.4
2002-03-19,31.4,31.3,31.098,30.9508,,31.35
2002-03-20,31.35,31.25,31.242,30.9388,,31.25
2002-03-21,31.25,31.17,31.298,30.9282,,31.25
2002-03-22,31.25,30.85,31.328,30.9272,,31.21
2002-03-25,31.21,31.2,31.292,30.9312,,31.43
2002-03-26,31.43,31.05,31.298,30.9418,,31.37
2002-03-27,31.37,31.25,31.302,30.9682,,31.05
2002-03-28,31.05,31.37,31.262,30.9736,,31.05
2002-04-01,31.05,31.15,31.222,30.981,,31.35
2002-04-02,31.35,31.0,31.25,30.9976,,31.35
2002-04-03,31.35,31.27,31.234,31.0196,,31.84
2002-04-04,31.84,31.35,31.328,31.0314,,32.31
2002-04-05,32.31,31.95,31.58,31.0672,,32.72
2002-04-08,32.72,32.31,31.914,31.1166,,33.0
2002-04-09,33.0,32.97,32.244,31.168,,32.79
2002-04-10,32.79,32.85,32.532,31.2052,,32.6
2002-04-11,32.6,32.79,32.684,31.2494,,32.51
2002-04-12,32.51,32.5,32.724,31.2966,,32.07
2002-04-15,32.07,32.6,32.594,31.317,,32.6
2002-04-16,32.6,32.35,32.514,31.357,,32.22
2002-04-17,32.22,32.5,32.4,31.3838,,31.85
2002-04-18,31.85,32.3,32.25,31.3998,,31.9
2002-04-19,31.9,31.85,32.128,31.4148,,32.75
2002-04-22,32.75,32.0,32.264,31.4574,,32.6
2002-04-23,32.6,32.75,32.264,31.4888,,32.9
2002-04-24,32.9,32.5,32.4,31.5116,,32.48
2002-04-25,32.48,32.4,32.526,31.5312,,31.77
