ticker,APH US Equity,APH US Equity,APH US Equity,APH US Equity,APH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-02-09,2.1152,2.1816,1.6234,2.1617,2.1417,2.084
2000-02-10,2.084,2.1211,1.6281,2.1461,2.1407,2.0703
2000-02-11,2.0703,2.0859,1.6329,2.1215,2.1396,2.5605
2000-02-14,2.5605,2.0703,1.6404,2.202,2.1482,2.3477
2000-02-15,2.3477,2.5547,1.6466,2.2355,2.1524,2.4375
2000-02-16,2.4375,2.3496,1.6533,2.3,2.1582,2.3691
2000-02-17,2.3691,2.4102,1.6595,2.357,2.1621,2.2715
2000-02-18,2.2715,2.373,1.6651,2.3973,2.164,2.2285
2000-02-22,2.2285,2.2402,1.6704,2.3309,2.1689,2.2656
2000-02-23,2.2656,2.2441,1.6758,2.3145,2.173,2.3105
2000-02-24,2.3105,2.2734,1.6813,2.2891,2.1784,2.3105
2000-02-25,2.3105,2.3125,1.6867,2.2773,2.184,2.3438
2000-02-28,2.3438,2.3203,1.6924,2.2918,2.1902,2.498
2000-02-29,2.498,2.3438,1.6989,2.3457,2.1999,2.6719
2000-03-01,2.6719,2.5,1.7066,2.427,2.2124,2.5703
2000-03-02,2.5703,2.6641,1.7137,2.4789,2.2231,2.5645
2000-03-03,2.5645,2.5938,1.7207,2.5297,2.2336,2.5781
2000-03-06,2.5781,2.5664,1.7277,2.5766,2.2445,2.4551
2000-03-07,2.4551,2.5781,1.7341,2.568,2.2523,2.3789
2000-03-08,2.3789,2.4219,1.7402,2.5094,2.2589,2.4023
2000-03-09,2.4023,2.3711,1.7464,2.4758,2.2653,2.6914
2000-03-10,2.6914,2.6484,1.7539,2.5012,2.2776,2.6016
2000-03-13,2.6016,2.6172,1.7611,2.5059,2.2883,2.5234
2000-03-14,2.5234,2.6211,1.7679,2.5195,2.2971,2.6914
2000-03-15,2.6914,2.6875,1.7754,2.582,2.3089,2.7617
2000-03-16,2.7617,2.707,1.7832,2.6539,2.3236,2.9668
2000-03-17,2.9668,2.7422,1.7921,2.709,2.3432,2.9082
2000-03-20,2.9082,2.9668,1.8008,2.7703,2.3628,2.8984
2000-03-21,2.8984,2.9004,1.8094,2.8453,2.3818,2.9316
2000-03-22,2.9316,2.9063,1.8181,2.8934,2.3996,3.0664
2000-03-23,3.0664,2.9375,1.8275,2.9543,2.4191,3.0156
2000-03-24,3.0156,3.0586,1.8367,2.9641,2.4319,3.2285
2000-03-27,3.2285,2.9844,1.8469,3.0281,2.4495,3.1211
2000-03-28,3.1211,3.2227,1.8566,3.0727,2.464,3.0117
2000-03-29,3.0117,3.1484,1.8657,3.0887,2.475,3.0117
2000-03-30,3.0117,3.0078,1.8748,3.0777,2.4865,3.1953
2000-03-31,3.1953,3.0391,1.8848,3.1137,2.5019,3.1465
2000-04-03,3.1465,3.1797,1.8946,3.0973,2.5182,3.1563
2000-04-04,3.1563,3.1289,1.9044,3.1043,2.5351,3.25
2000-04-05,3.25,3.1484,1.9146,3.152,2.5552,3.4531
2000-04-06,3.4531,3.3125,1.9258,3.2402,2.5786,3.707
2000-04-07,3.707,3.5078,1.9382,3.3426,2.6078,3.668
2000-04-10,3.668,3.75,1.9504,3.4469,2.6383,3.6641
2000-04-11,3.6641,3.5938,1.9624,3.5484,2.6691,3.6016
2000-04-12,3.6016,3.666,1.9742,3.6188,2.699,3.543
2000-04-13,3.543,3.5547,1.9857,3.6367,2.7268,2.8945
2000-04-14,2.8945,3.4688,1.994,3.4742,2.7415,3.0313
2000-04-17,3.0313,2.9219,2.0029,3.3469,2.7582,3.5078
