ticker,WST US Equity,WST US Equity,WST US Equity,WST US Equity,WST US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-02-09,7.8438,7.8594,8.8666,7.6688,7.9291,7.9219
2000-02-10,7.9219,7.8281,8.865,7.7531,7.9128,7.75
2000-02-11,7.75,7.875,8.8625,7.8125,7.8938,7.8906
2000-02-14,7.8906,7.75,8.8605,7.8531,7.8772,7.0938
2000-02-15,7.0938,5.75,8.8546,7.7,7.8444,7.0
2000-02-16,7.0,7.0625,8.8484,7.5313,7.8122,7.2813
2000-02-17,7.2813,7.0781,8.8434,7.4031,7.7869,7.1406
2000-02-18,7.1406,7.25,8.8376,7.2813,7.7584,6.9531
2000-02-22,6.9531,7.1406,8.8306,7.0938,7.7278,6.9531
2000-02-23,6.9531,6.9219,8.8236,7.0656,7.6988,6.6563
2000-02-24,6.6563,6.9531,8.8152,6.9969,7.6644,6.6563
2000-02-25,6.6563,6.6406,8.8064,6.8719,7.6309,6.875
2000-02-28,6.875,6.6563,8.7995,6.8188,7.6034,7.3594
2000-02-29,7.3594,6.875,8.795,6.9,7.5881,7.2656
2000-03-01,7.2656,7.3594,8.7905,6.9625,7.5725,7.0313
2000-03-02,7.0313,7.25,8.7845,7.0375,7.5525,6.8594
2000-03-03,6.8594,7.0625,8.7777,7.0781,7.5303,6.9531
2000-03-06,6.9531,6.8438,8.7711,7.0938,7.5103,6.9375
2000-03-07,6.9375,6.9531,8.7644,7.0094,7.4894,6.8906
2000-03-08,6.8906,6.9375,8.7567,6.9344,7.47,6.7813
2000-03-09,6.7813,6.875,8.748,6.8844,7.4497,6.5938
2000-03-10,6.5938,6.8125,8.7382,6.8313,7.4266,6.4531
2000-03-13,6.4531,6.6563,8.7278,6.7313,7.4013,6.4688
2000-03-14,6.4688,6.4688,8.7175,6.6375,7.3759,6.5313
2000-03-15,6.5313,6.4688,8.7073,6.5656,7.3553,6.8438
2000-03-16,6.8438,6.5469,8.6987,6.5781,7.3394,6.7813
2000-03-17,6.7813,6.7813,8.6894,6.6156,7.3228,6.7031
2000-03-20,6.7031,6.8125,8.6792,6.6656,7.3063,6.7813
2000-03-21,6.7813,6.6563,8.668,6.7281,7.2897,6.6563
2000-03-22,6.6563,6.75,8.655,6.7531,7.2675,6.6094
2000-03-23,6.6094,6.6563,8.6415,6.7063,7.2488,6.5469
2000-03-24,6.5469,6.5938,8.6276,6.6594,7.2278,6.5781
2000-03-27,6.5781,6.5,8.614,6.6344,7.205,6.5469
2000-03-28,6.5469,6.5781,8.5999,6.5875,7.1844,6.3438
2000-03-29,6.3438,6.4063,8.5852,6.525,7.1591,6.6406
2000-03-30,6.6406,6.3125,8.5718,6.5313,7.1394,6.3281
2000-03-31,6.3281,6.6094,8.5566,6.4875,7.1141,6.125
2000-04-03,6.125,6.3594,8.5403,6.3969,7.0841,6.0625
2000-04-04,6.0625,6.1094,8.5238,6.3,7.0534,6.1875
2000-04-05,6.1875,6.0313,8.508,6.2688,7.0188,6.0938
2000-04-06,6.0938,6.1875,8.4922,6.1594,6.9825,6.0313
2000-04-07,6.0313,6.125,8.4767,6.1,6.9488,5.8281
