ticker,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,Close Tomorrow
2000-02-09,1.4167,1.4583,3.0911,1.4625,2.0138,1.3333
2000-02-10,1.3333,1.4167,3.075,1.425,1.9929,1.3542
2000-02-11,1.3542,1.3333,3.0579,1.4042,1.975,1.25
2000-02-14,1.25,1.3542,3.041,1.3625,1.9533,1.2917
2000-02-15,1.2917,1.25,3.0242,1.3292,1.9325,1.2917
2000-02-16,1.2917,1.3125,3.007,1.3042,1.9117,1.3125
2000-02-17,1.3125,1.3125,2.9896,1.3,1.8933,1.2708
2000-02-18,1.2708,1.2708,2.9716,1.2833,1.8729,1.2708
2000-02-22,1.2708,1.2708,2.9535,1.2875,1.8538,1.2917
2000-02-23,1.2917,1.3125,2.9345,1.2875,1.8346,1.2917
2000-02-24,1.2917,1.3125,2.9168,1.2875,1.8146,1.1667
2000-02-25,1.1667,1.3125,2.8966,1.2583,1.7921,1.0417
2000-02-28,1.0417,1.1667,2.8752,1.2125,1.7671,1.0
2000-02-29,1.0,1.0833,2.8545,1.1583,1.7425,0.9583
2000-03-01,0.9583,1.0,2.8345,1.0917,1.7179,1.0417
2000-03-02,1.0417,0.8333,2.815,1.0417,1.6967,1.0
2000-03-03,1.0,1.0625,2.7951,1.0083,1.6758,1.1667
2000-03-06,1.1667,1.0833,2.7748,1.0333,1.6583,1.1667
2000-03-07,1.1667,1.1667,2.7549,1.0667,1.6396,1.1458
2000-03-08,1.1458,1.1667,2.7353,1.1042,1.6217,1.1042
2000-03-09,1.1042,1.125,2.7159,1.1167,1.6021,1.0417
2000-03-10,1.0417,1.1042,2.6961,1.125,1.5813,0.9583
2000-03-13,0.9583,1.0208,2.6753,1.0833,1.5579,1.0
2000-03-14,1.0,0.9792,2.6547,1.05,1.5333,0.8958
2000-03-15,0.8958,1.0,2.6343,1.0,1.5054,0.9583
2000-03-16,0.9583,0.8958,2.6143,0.9708,1.4796,0.9583
2000-03-17,0.9583,0.9167,2.5942,0.9542,1.4575,0.8958
2000-03-20,0.8958,0.9375,2.5736,0.9417,1.4354,0.8542
2000-03-21,0.8542,0.875,2.5529,0.9125,1.4083,0.8542
2000-03-22,0.8542,0.8542,2.5324,0.9042,1.3804,0.8542
2000-03-23,0.8542,0.8542,2.5122,0.8833,1.3529,1.0
2000-03-24,1.0,0.875,2.4928,0.8917,1.3288,0.875
2000-03-27,0.875,0.9792,2.4722,0.8875,1.3,0.875
2000-03-28,0.875,0.875,2.4518,0.8917,1.2696,0.8958
2000-03-29,0.8958,0.875,2.4324,0.9,1.2396,0.9792
2000-03-30,0.9792,0.9167,2.4129,0.925,1.2267,1.0417
2000-03-31,1.0417,1.0,2.394,0.9333,1.2121,1.0
2000-04-03,1.0,1.0625,2.3743,0.9583,1.1937,1.0208
2000-04-04,1.0208,1.0417,2.3548,0.9875,1.1808,1.0208
2000-04-05,1.0208,1.0208,2.3356,1.0125,1.1683,1.0417
2000-04-06,1.0417,1.0417,2.3167,1.025,1.1562,1.0625
2000-04-07,1.0625,1.0417,2.2988,1.0292,1.1458,1.1667
2000-04-10,1.1667,1.125,2.2813,1.0625,1.1387,1.4792
2000-04-11,1.4792,1.1667,2.2646,1.1542,1.1375,1.1667
2000-04-12,1.1667,1.3958,2.2454,1.1833,1.1304,1.1042
2000-04-13,1.1042,1.1667,2.225,1.1958,1.1212,0.8958
2000-04-14,0.8958,1.0625,2.204,1.1625,1.1087,0.9167
2000-04-17,0.9167,0.9167,2.1833,1.1125,1.0979,1.0
2000-04-18,1.0,0.9583,2.1635,1.0167,1.0887,1.0417
2000-04-19,1.0417,1.0,2.1447,0.9917,1.0804,0.9792
2000-04-20,0.9792,1.0417,2.1259,0.9667,1.0717,0.9583
2000-04-24,0.9583,1.0,2.107,0.9792,1.0642,0.9167
2000-04-25,0.9167,1.0,2.0883,0.9792,1.0554,0.9375
2000-04-26,0.9375,0.9167,2.0699,0.9667,1.0492,0.8958
2000-04-27,0.8958,0.8958,2.0518,0.9375,1.0412,0.9583
2000-04-28,0.9583,0.9167,2.0339,0.9333,1.0346,1.0
2000-05-01,1.0,0.9792,2.0174,0.9417,1.0283,0.9792
2000-05-02,0.9792,1.0,2.0079,0.9542,1.0225,0.9583
2000-05-03,0.9583,1.0,1.9989,0.9583,1.0162,0.9375
2000-05-04,0.9375,0.9375,1.9881,0.9667,1.0092,0.9792
2000-05-05,0.9792,0.9375,1.9766,0.9708,1.0029,0.9167
2000-05-08,0.9167,0.9375,1.9653,0.9542,0.9979,0.875
2000-05-09,0.875,0.9375,1.9543,0.9333,0.9946,0.9167
2000-05-10,0.9167,0.875,1.9439,0.925,0.9929,1.375
2000-05-11,1.375,1.0833,1.9361,1.0125,1.0012,1.375
2000-05-12,1.375,1.4167,1.929,1.0917,1.0079,1.4375
2000-05-15,1.4375,1.3542,1.9222,1.1958,1.0167,1.4583
2000-05-16,1.4583,1.4167,1.9153,1.3125,1.0225,1.4167
2000-05-17,1.4167,1.4583,1.9084,1.4125,1.0275,1.4375
2000-05-18,1.4375,1.4167,1.9024,1.425,1.0333,1.4375
2000-05-19,1.4375,1.4375,1.896,1.4375,1.04,1.3333
2000-05-22,1.3333,1.4375,1.8892,1.4167,1.0458,1.2083
2000-05-23,1.2083,1.3333,1.882,1.3667,1.0508,1.2292
2000-05-24,1.2292,1.1875,1.874,1.3292,1.0554,1.2083
2000-05-25,1.2083,1.2292,1.8665,1.2833,1.0617,1.2917
2000-05-26,1.2917,1.1875,1.8595,1.2542,1.0683,1.375
2000-05-30,1.375,1.2917,1.8527,1.2625,1.0767,1.3125
2000-05-31,1.3125,1.3333,1.8451,1.2833,1.085,1.3125
2000-06-01,1.3125,1.3333,1.8371,1.3,1.0942,1.3333
2000-06-02,1.3333,1.3125,1.8291,1.325,1.1037,1.3333
2000-06-05,1.3333,1.3333,1.8211,1.3333,1.1133,1.3958
2000-06-06,1.3958,1.3542,1.8131,1.3375,1.1212,1.4583
2000-06-07,1.4583,1.3958,1.8059,1.3667,1.1329,1.3333
2000-06-08,1.3333,1.4792,1.7984,1.3708,1.1421,1.3125
2000-06-09,1.3125,1.3333,1.7909,1.3667,1.1504,1.2917
2000-06-12,1.2917,1.3333,1.7835,1.3583,1.1567,1.4167
2000-06-13,1.4167,1.3333,1.7767,1.3625,1.1642,1.6875
2000-06-14,1.6875,1.4583,1.7711,1.4083,1.1779,1.8125
2000-06-15,1.8125,1.7083,1.7668,1.5042,1.1937,1.7708
2000-06-16,1.7708,1.8125,1.7624,1.5958,1.2087,1.9583
2000-06-19,1.9583,1.7708,1.7592,1.7292,1.2271,1.8542
2000-06-20,1.8542,2.0,1.7551,1.8167,1.2429,1.7917
2000-06-21,1.7917,1.8542,1.7506,1.8375,1.2554,1.8542
2000-06-22,1.8542,1.8125,1.7468,1.8458,1.2629,1.8125
2000-06-23,1.8125,1.8333,1.7426,1.8542,1.2758,1.7917
2000-06-26,1.7917,1.8125,1.7382,1.8208,1.2896,1.9375
2000-06-27,1.9375,1.8125,1.7347,1.8375,1.3104,1.9167
2000-06-28,1.9167,1.9375,1.7308,1.8625,1.3304,1.8958
2000-06-29,1.8958,1.9167,1.7261,1.8708,1.3483,2.0
2000-06-30,2.0,1.875,1.7227,1.9083,1.3675,2.0417
2000-07-03,2.0417,2.0,1.7193,1.9583,1.3887,2.125
2000-07-05,2.125,2.0,1.7166,1.9958,1.4121,2.25
2000-07-06,2.25,2.2083,1.7147,2.0625,1.4387,2.2917
2000-07-07,2.2917,2.2917,1.7133,2.1417,1.4658,2.5
2000-07-10,2.5,2.4792,1.7132,2.2417,1.4979,2.3125
2000-07-11,2.3125,2.5,1.7123,2.2958,1.525,2.4167
2000-07-12,2.4167,2.3542,1.7119,2.3542,1.5533,2.4792
2000-07-13,2.4792,2.375,1.7117,2.4,1.5833,2.4792
2000-07-14,2.4792,2.4792,1.7123,2.4375,1.6138,2.5
2000-07-17,2.5,2.5,1.7124,2.4375,1.645,2.5
2000-07-18,2.5,2.5417,1.713,2.475,1.6754,2.4583
2000-07-19,2.4583,2.5,1.7145,2.4833,1.7063,2.5
2000-07-20,2.5,2.4792,1.717,2.4875,1.7387,2.3958
2000-07-21,2.3958,2.4792,1.7177,2.4708,1.7683,2.25
2000-07-24,2.25,2.3958,1.7189,2.4208,1.7858,2.1458
2000-07-25,2.1458,2.2708,1.7198,2.35,1.8012,2.125
2000-07-26,2.125,2.125,1.7205,2.2833,1.815,2.0625
2000-07-27,2.0625,2.0833,1.7208,2.1958,1.8271,2.125
2000-07-28,2.125,2.0625,1.7217,2.1417,1.8412,2.5417
2000-07-31,2.5417,2.0833,1.7243,2.2,1.8633,2.5
2000-08-01,2.5,2.5,1.7268,2.2708,1.8846,2.5208
2000-08-02,2.5208,2.4792,1.7273,2.35,1.9083,2.4583
2000-08-03,2.4583,2.4792,1.7263,2.4292,1.9333,2.5
2000-08-04,2.5,2.4375,1.7252,2.5042,1.9587,2.3958
2000-08-07,2.3958,2.4792,1.7231,2.475,1.9825,2.3958
2000-08-08,2.3958,2.375,1.7208,2.4542,2.0046,2.3125
2000-08-09,2.3125,2.4792,1.7191,2.4125,2.0233,2.1875
2000-08-10,2.1875,2.2917,1.7168,2.3583,2.0408,2.2292
2000-08-11,2.2292,2.1458,1.7146,2.3042,2.0592,2.1875
2000-08-14,2.1875,2.1875,1.7127,2.2625,2.0762,2.0833
2000-08-15,2.0833,2.1875,1.7109,2.2,2.0912,2.1875
2000-08-16,2.1875,2.0417,1.7089,2.175,2.1071,2.1875
2000-08-17,2.1875,2.1458,1.7065,2.175,2.1217,2.125
2000-08-18,2.125,2.1458,1.7042,2.1542,2.1375,2.2083
2000-08-21,2.2083,2.1667,1.7024,2.1583,2.1554,2.125
2000-08-22,2.125,2.1667,1.7005,2.1667,2.1721,2.0833
2000-08-23,2.0833,2.1042,1.6983,2.1458,2.1854,2.0625
2000-08-24,2.0625,2.0625,1.6965,2.1208,2.1929,2.0417
2000-08-25,2.0417,2.0625,1.6951,2.1042,2.1975,2.1042
2000-08-28,2.1042,2.0,1.6952,2.0833,2.2042,2.1458
2000-08-29,2.1458,2.0833,1.6944,2.0875,2.2079,2.2708
2000-08-30,2.2708,2.1667,1.6941,2.125,2.2162,2.3333
2000-08-31,2.3333,2.2708,1.6939,2.1792,2.2271,2.25
2000-09-01,2.25,2.3333,1.6933,2.2208,2.235,2.2708
2000-09-05,2.2708,2.2083,1.693,2.2542,2.2442,2.1458
2000-09-06,2.1458,2.2292,1.6919,2.2542,2.2512,2.1875
2000-09-07,2.1875,2.1667,1.6907,2.2375,2.2562,2.1875
2000-09-08,2.1875,2.1458,1.6894,2.2083,2.2617,2.1875
2000-09-11,2.1875,2.1667,1.6886,2.1958,2.2675,2.1667
2000-09-12,2.1667,2.1458,1.6878,2.175,2.2708,2.3125
2000-09-13,2.3125,2.1667,1.6876,2.2083,2.2762,2.3542
2000-09-14,2.3542,2.3542,1.6875,2.2417,2.2808,2.3958
2000-09-15,2.3958,2.2917,1.6882,2.2833,2.2837,2.2708
2000-09-18,2.2708,2.3542,1.6879,2.3,2.2833,2.2917
2000-09-19,2.2917,2.25,1.6877,2.325,2.2792,2.2708
2000-09-20,2.2708,2.2917,1.6874,2.3167,2.2783,2.1875
2000-09-21,2.1875,2.1875,1.6872,2.2833,2.2737,2.1667
2000-09-22,2.1667,2.125,1.6866,2.2375,2.2675,2.1875
2000-09-25,2.1875,2.1667,1.6864,2.2208,2.2617,2.1042
2000-09-26,2.1042,2.1667,1.6856,2.1833,2.2537,2.1042
2000-09-27,2.1042,2.0833,1.6847,2.15,2.2458,2.2917
2000-09-28,2.2917,2.0833,1.6847,2.1708,2.2425,2.5
2000-09-29,2.5,2.2917,1.6857,2.2375,2.2425,2.7292
2000-10-02,2.7292,2.4792,1.6882,2.3458,2.2492,2.7917
2000-10-03,2.7917,2.6667,1.6913,2.4833,2.26,2.7708
2000-10-04,2.7708,2.7083,1.6946,2.6167,2.2725,3.1875
2000-10-05,3.1875,2.7292,1.7003,2.7958,2.2937,3.4167
2000-10-06,3.4167,3.4167,1.7072,2.9792,2.3208,3.4375
2000-10-09,3.4375,3.3542,1.7139,3.1208,2.3471,3.625
2000-10-10,3.625,3.4167,1.7218,3.2875,2.3687,3.4167
2000-10-11,3.4167,3.5833,1.7284,3.4167,2.3871,3.3125
2000-10-12,3.3125,3.4375,1.7346,3.4417,2.4029,3.2917
2000-10-13,3.2917,3.2083,1.7404,3.4167,2.4196,3.2917
2000-10-16,3.2917,3.25,1.7457,3.3875,2.4354,3.3125
2000-10-17,3.3125,3.3125,1.7508,3.325,2.4538,3.5833
2000-10-18,3.5833,3.2708,1.7575,3.3583,2.4775,3.5
2000-10-19,3.5,3.5833,1.7647,3.3958,2.5012,3.5625
2000-10-20,3.5625,3.5208,1.7725,3.45,2.5287,3.5625
2000-10-23,3.5625,3.6042,1.7793,3.5042,2.5554,3.6042
2000-10-24,3.6042,3.5625,1.786,3.5625,2.5837,3.625
2000-10-25,3.625,3.5833,1.793,3.5708,2.6146,3.6667
2000-10-26,3.6667,3.5833,1.8003,3.6042,2.6442,3.7917
2000-10-27,3.7917,3.625,1.8077,3.65,2.6762,3.7083
2000-10-30,3.7083,3.7917,1.8143,3.6792,2.7079,3.75
2000-10-31,3.75,3.7083,1.821,3.7083,2.7387,3.5625
2000-11-01,3.5625,3.7083,1.8307,3.6958,2.7675,3.6667
2000-11-02,3.6667,3.6042,1.8402,3.6958,2.7992,3.8125
2000-11-03,3.8125,3.6667,1.8497,3.7,2.8342,3.7083
2000-11-06,3.7083,3.7708,1.8599,3.7,2.8675,3.9167
2000-11-07,3.9167,3.7917,1.8713,3.7333,2.9037,3.9792
2000-11-08,3.9792,3.9583,1.8829,3.8167,2.9404,4.0
2000-11-09,4.0,4.0833,1.895,3.8833,2.975,3.8542
2000-11-10,3.8542,4.0,1.9067,3.8917,3.0054,3.6458
2000-11-13,3.6458,3.8125,1.9172,3.8792,3.0333,3.875
2000-11-14,3.875,3.7083,1.929,3.8708,3.0654,3.8542
2000-11-15,3.8542,3.875,1.9404,3.8458,3.0996,3.7708
2000-11-16,3.7708,3.8125,1.9517,3.8,3.1312,3.8125
2000-11-17,3.8125,3.8125,1.9634,3.7917,3.1637,3.6458
2000-11-20,3.6458,3.625,1.9744,3.7917,3.1929,3.6667
2000-11-21,3.6667,3.625,1.9854,3.75,3.2229,3.5417
2000-11-22,3.5417,3.6458,1.996,3.6875,3.2475,3.7083
2000-11-24,3.7083,3.5833,2.0079,3.675,3.2746,3.6458
2000-11-27,3.6458,3.7083,2.0194,3.6417,3.2996,3.6458
2000-11-28,3.6458,3.6458,2.0314,3.6417,3.3271,3.6667
2000-11-29,3.6667,3.6458,2.0432,3.6417,3.3546,3.5208
2000-11-30,3.5208,3.625,2.0544,3.6375,3.3796,3.6875
2000-12-01,3.6875,3.5417,2.0663,3.6333,3.4096,3.6667
2000-12-04,3.6667,3.6667,2.0782,3.6375,3.4396,3.7708
2000-12-05,3.7708,3.6458,2.0907,3.6625,3.4712,4.0625
2000-12-06,4.0625,3.7708,2.1046,3.7417,3.5104,4.3333
2000-12-07,4.3333,4.0208,2.1198,3.9042,3.555,4.3542
2000-12-08,4.3542,4.3958,2.1357,4.0375,3.5962,4.6458
2000-12-11,4.6458,4.3333,2.1538,4.2333,3.6392,4.6042
2000-12-12,4.6042,4.375,2.1718,4.4,3.6767,4.5833
2000-12-13,4.5833,4.6458,2.1899,4.5042,3.7125,4.5625
2000-12-14,4.5625,4.5417,2.2075,4.55,3.7483,4.3333
2000-12-15,4.3333,4.5833,2.2242,4.5458,3.7712,4.6667
2000-12-18,4.6667,4.2917,2.2417,4.55,3.7962,5.1458
2000-12-19,5.1458,4.6667,2.2616,4.6583,3.8304,5.0417
2000-12-20,5.0417,5.1042,2.281,4.75,3.8587,5.0208
2000-12-21,5.0208,5.0417,2.3006,4.8417,3.8908,5.3125
2000-12-22,5.3125,5.0625,2.322,5.0375,3.9308,5.4583
2000-12-26,5.4583,5.3958,2.3445,5.1958,3.9742,5.4792
2000-12-27,5.4792,5.4792,2.3669,5.2625,4.0179,5.8333
2000-12-28,5.8333,5.5,2.3916,5.4208,4.0683,5.7083
2000-12-29,5.7083,5.8333,2.4153,5.5583,4.1108,5.3542
2001-01-02,5.3542,5.7083,2.4373,5.5667,4.1479,5.875
2001-01-03,5.875,5.2917,2.4622,5.65,4.1942,5.5625
2001-01-04,5.5625,5.7917,2.4857,5.6667,4.2342,5.6042
2001-01-05,5.6042,5.5833,2.5095,5.6208,4.2742,5.6042
2001-01-08,5.6042,5.5417,2.5332,5.6,4.3138,5.7917
2001-01-09,5.7917,5.5417,2.5572,5.6875,4.3563,5.9167
2001-01-10,5.9167,5.7292,2.5824,5.6958,4.3988,6.1042
2001-01-11,6.1042,5.9167,2.6085,5.8042,4.4467,6.0
2001-01-12,6.0,6.0625,2.6341,5.8833,4.4917,6.2083
2001-01-16,6.2083,5.9792,2.6602,6.0042,4.5446,6.1667
2001-01-17,6.1667,6.1667,2.6858,6.0792,4.5946,5.5833
2001-01-18,5.5833,6.125,2.7088,6.0125,4.63,5.3542
2001-01-19,5.3542,5.5417,2.7304,5.8625,4.6629,5.5833
2001-01-22,5.5833,5.3542,2.7532,5.7792,4.6963,5.6458
2001-01-23,5.6458,5.6042,2.7763,5.6667,4.7296,5.7292
2001-01-24,5.7292,5.6667,2.7996,5.5792,4.7642,5.6875
2001-01-25,5.6875,5.6875,2.8222,5.6,4.8008,5.7708
2001-01-26,5.7708,5.7292,2.8436,5.6833,4.8433,6.2467
2001-01-29,6.2467,5.8533,2.869,5.816,4.8908,6.07
2001-01-30,6.07,6.1,2.8939,5.9008,4.9351,6.5167
2001-01-31,6.5167,6.0333,2.922,6.0583,4.99,6.4867
2001-02-01,6.4867,6.4333,2.9498,6.2182,5.0435,6.25
2001-02-02,6.25,6.4833,2.9761,6.314,5.0956,5.1667
2001-02-05,5.1667,5.0,2.9967,6.098,5.1256,5.4
2001-02-06,5.4,5.17,3.0188,5.964,5.1627,5.4167
2001-02-07,5.4167,5.35,3.0411,5.744,5.1969,5.3
2001-02-08,5.3,5.3333,3.063,5.5067,5.23,5.0167
2001-02-09,5.0167,5.3033,3.0834,5.26,5.2574,4.8667
2001-02-12,4.8667,5.0,3.1033,5.2,5.2814,5.1333
2001-02-13,5.1333,4.8733,3.1241,5.1467,5.3137,5.0233
2001-02-14,5.0233,5.0833,3.1443,5.068,5.3404,5.04
2001-02-15,5.04,5.0,3.1646,5.016,5.3678,5.2667
2001-02-16,5.2667,5.0667,3.1861,5.066,5.3978,5.2
2001-02-20,5.2,5.2,3.2074,5.1327,5.4205,5.0967
2001-02-21,5.0967,5.1833,3.228,5.1253,5.4358,5.3133
2001-02-22,5.3133,5.1,3.25,5.1833,5.455,5.3167
2001-02-23,5.3167,5.33,3.2722,5.2387,5.4684,5.6367
2001-02-26,5.6367,5.33,3.2958,5.3127,5.489,5.82
2001-02-27,5.82,5.7,3.318,5.4367,5.5138,5.86
2001-02-28,5.86,5.9333,3.3404,5.5893,5.5397,5.8933
2001-03-01,5.8933,5.8333,3.3627,5.7053,5.5709,5.7667
2001-03-02,5.7667,5.85,3.3843,5.7953,5.5929,5.76
2001-03-05,5.76,5.8,3.406,5.82,5.6052,5.7367
2001-03-06,5.7367,5.76,3.4275,5.8033,5.6191,5.6667
2001-03-07,5.6667,5.7333,3.4486,5.7647,5.632,5.67
2001-03-08,5.67,5.6667,3.4703,5.72,5.6392,5.6
2001-03-09,5.6,5.7167,3.4923,5.6867,5.642,5.5
2001-03-12,5.5,5.3833,3.5136,5.6347,5.6424,5.56
2001-03-13,5.56,5.5833,3.5354,5.5993,5.6369,5.5633
2001-03-14,5.5633,5.35,3.5567,5.5787,5.634,5.5967
2001-03-15,5.5967,5.5833,3.5778,5.564,5.6389,5.33
2001-03-16,5.33,5.6,3.5979,5.51,5.628,5.25
2001-03-19,5.25,5.3333,3.6176,5.46,5.6217,5.2833
2001-03-20,5.2833,5.25,3.6374,5.4047,5.6153,5.3333
2001-03-21,5.3333,5.45,3.6574,5.3587,5.6099,5.1333
2001-03-22,5.1333,5.3,3.6761,5.266,5.5967,5.3433
2001-03-23,5.3433,5.05,3.6955,5.2687,5.5853,5.48
2001-03-26,5.48,5.3833,3.7162,5.3147,5.5728,5.4667
2001-03-27,5.4667,5.4733,3.737,5.3513,5.5621,5.3967
2001-03-28,5.3967,5.4333,3.7575,5.364,5.5459,5.5833
2001-03-29,5.5833,5.3333,3.7783,5.454,5.5342,5.66
2001-03-30,5.66,5.5,3.7982,5.5173,5.5358,5.5833
2001-04-02,5.5833,5.6267,3.8171,5.538,5.5403,5.4667
2001-04-03,5.4667,5.6167,3.8355,5.538,5.538,5.3933
2001-04-04,5.3933,5.4733,3.8527,5.5373,5.533,5.6433
2001-04-05,5.6433,5.4667,3.8717,5.5493,5.5312,5.5
2001-04-06,5.5,5.6333,3.8902,5.5173,5.5275,5.6133
2001-04-09,5.6133,5.5667,3.909,5.5233,5.5243,5.5333
2001-04-10,5.5333,5.5667,3.9276,5.5367,5.5101,5.5833
2001-04-11,5.5833,5.5,3.9466,5.5747,5.5003,5.5333
2001-04-12,5.5333,5.5,3.9645,5.5527,5.4807,5.53
2001-04-16,5.53,5.6,3.9826,5.5587,5.4615,5.5433
2001-04-17,5.5433,5.5467,4.0008,5.5447,5.4474,5.5
2001-04-18,5.5,5.5667,4.0183,5.538,5.4541,5.5167
2001-04-19,5.5167,5.5233,4.0357,5.5247,5.4564,5.41
2001-04-20,5.41,5.5067,4.0521,5.5,5.4563,5.4067
2001-04-23,5.4067,5.41,4.0679,5.4753,5.4584,5.4267
2001-04-24,5.4267,5.4,4.0836,5.452,5.4666,5.4933
2001-04-25,5.4933,5.4333,4.0986,5.4507,5.4791,5.6933
2001-04-26,5.6933,5.5333,4.1155,5.486,5.4903,5.8167
2001-04-27,5.8167,5.6633,4.1325,5.5673,5.5062,5.8667
2001-04-30,5.8667,5.82,4.1494,5.6593,5.5227,5.85
2001-05-01,5.85,5.8667,4.1663,5.744,5.5344,5.9333
2001-05-02,5.9333,5.8833,4.1834,5.832,5.5491,5.85
2001-05-03,5.85,5.8667,4.2002,5.8633,5.5641,5.87
2001-05-04,5.87,5.7667,4.2172,5.874,5.5753,6.3833
2001-05-07,6.3833,6.3667,4.2367,5.9773,5.5966,6.56
2001-05-08,6.56,6.6333,4.2575,6.1193,5.6151,6.7067
2001-05-09,6.7067,6.5967,4.2798,6.274,5.6328,6.4667
2001-05-10,6.4667,6.5833,4.3014,6.3973,5.6449,6.2567
2001-05-11,6.2567,6.4833,4.322,6.4747,5.6522,6.2067
2001-05-14,6.2067,6.26,4.3427,6.4393,5.661,6.2267
2001-05-15,6.2267,6.2567,4.3633,6.3727,5.6703,6.3
2001-05-16,6.3,6.2167,4.382,6.2913,5.6816,6.45
2001-05-17,6.45,6.3333,4.4018,6.288,5.6973,6.5267
2001-05-18,6.5267,6.45,4.4218,6.342,5.7144,6.1633
2001-05-21,6.1633,6.4933,4.4404,6.3333,5.7257,6.05
2001-05-22,6.05,6.0833,4.4581,6.298,5.7367,6.2
2001-05-23,6.2,6.05,4.4771,6.278,5.7495,6.2
2001-05-24,6.2,6.2,4.4961,6.228,5.7622,6.0833
2001-05-25,6.0833,6.1667,4.515,6.1393,5.7719,6.0733
2001-05-29,6.0733,6.15,4.5344,6.1213,5.7868,6.2333
2001-05-30,6.2333,6.0667,4.5544,6.158,5.8065,6.3
2001-05-31,6.3,6.1833,4.575,6.178,5.8268,6.3833
2001-06-01,6.3833,6.3,4.5965,6.2147,5.8478,6.3833
2001-06-04,6.3833,6.3833,4.6175,6.2747,5.8728,6.41
2001-06-05,6.41,6.4333,4.6386,6.342,5.8941,6.38
2001-06-06,6.38,6.4267,4.6599,6.3713,5.9121,6.2667
2001-06-07,6.2667,6.38,4.6802,6.3647,5.9281,6.2667
2001-06-08,6.2667,6.3,4.7009,6.3413,5.9455,6.1033
2001-06-11,6.1033,6.2333,4.721,6.2853,5.9559,6.08
2001-06-12,6.08,6.1033,4.7411,6.2193,5.9643,6.1533
2001-06-13,6.1533,6.0667,4.7616,6.174,5.9757,6.02
2001-06-14,6.02,6.1333,4.7812,6.1247,5.9868,6.0933
2001-06-15,6.0933,6.0333,4.8009,6.09,6.0008,6.0833
2001-06-18,6.0833,6.0833,4.82,6.086,6.0096,6.3
2001-06-19,6.3,6.0833,4.8398,6.13,6.0256,6.3333
2001-06-20,6.3333,6.4333,4.8603,6.166,6.04,6.2833
2001-06-21,6.2833,6.35,4.8803,6.2187,6.055,6.2967
2001-06-22,6.2967,6.3333,4.9011,6.2593,6.0693,6.2733
2001-06-25,6.2733,6.3667,4.9215,6.2973,6.0841,6.2
2001-06-26,6.2,6.2733,4.9416,6.2773,6.0975,6.3467
2001-06-27,6.3467,6.2,4.9624,6.28,6.1135,6.5533
2001-06-28,6.5533,6.3933,4.9843,6.334,6.1346,6.7767
2001-06-29,6.7767,6.5467,5.0066,6.43,6.1598,6.7667
2001-07-02,6.7667,6.85,5.0287,6.5287,6.1869,6.9967
2001-07-03,6.9967,6.7167,5.0517,6.688,6.2187,6.9667
2001-07-05,6.9667,6.9967,5.0752,6.812,6.2495,6.8033
2001-07-06,6.8033,6.95,5.0977,6.862,6.2757,6.9733
2001-07-09,6.9733,6.8167,5.1212,6.9013,6.3013,7.0833
2001-07-10,7.0833,7.2333,5.1457,6.9647,6.3267,7.04
2001-07-11,7.04,7.0767,5.1701,6.9733,6.3501,7.05
