ticker,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-02-09,9.7344,9.8125,12.9639,9.85,10.8155,9.2656
2000-02-10,9.2656,9.7344,12.9352,9.7375,10.7655,9.1875
2000-02-11,9.1875,9.2813,12.9058,9.5594,10.7159,9.5
2000-02-14,9.5,9.3125,12.8785,9.475,10.6749,9.7031
2000-02-15,9.7031,9.625,12.8501,9.4781,10.6352,9.3438
2000-02-16,9.3438,9.75,12.8187,9.4,10.588,9.4688
2000-02-17,9.4688,9.375,12.7861,9.4406,10.5509,9.4375
2000-02-18,9.4375,9.5,12.7525,9.4906,10.5093,9.7031
2000-02-22,9.7031,9.4844,12.7173,9.5313,10.4787,9.8281
2000-02-23,9.8281,9.7031,12.6839,9.5563,10.4524,9.3125
2000-02-24,9.3125,9.875,12.6513,9.55,10.4172,9.3594
2000-02-25,9.3594,9.3125,12.6202,9.5281,10.3859,9.625
2000-02-28,9.625,9.3594,12.5906,9.5656,10.3603,9.5
2000-02-29,9.5,9.6094,12.5621,9.525,10.3312,9.5625
2000-03-01,9.5625,9.5313,12.5349,9.4719,10.3009,9.4531
2000-03-02,9.4531,9.5469,12.5092,9.5,10.2769,9.8438
2000-03-03,9.8438,9.4375,12.4861,9.5969,10.2706,9.4375
2000-03-06,9.4375,9.7813,12.4607,9.5594,10.2562,9.0
2000-03-07,9.0,9.3125,12.4351,9.4594,10.2266,9.0781
2000-03-08,9.0781,9.125,12.408,9.3625,10.1981,8.9844
2000-03-09,8.9844,9.125,12.3821,9.2688,10.1619,8.7656
2000-03-10,8.7656,8.9219,12.3533,9.0531,10.1197,8.8125
2000-03-13,8.8125,8.7344,12.3262,8.9281,10.0806,8.8125
2000-03-14,8.8125,8.875,12.299,8.8906,10.0384,9.3438
2000-03-15,9.3438,8.7813,12.2727,8.9438,10.01,9.9531
2000-03-16,9.9531,9.4531,12.2499,9.1375,9.9941,10.0625
2000-03-17,10.0625,10.0,12.2273,9.3969,9.9803,9.5625
2000-03-20,9.5625,10.1094,12.2011,9.5469,9.9434,10.0
2000-03-21,10.0,9.4375,12.1765,9.7844,9.9169,9.6563
2000-03-22,9.6563,10.0625,12.1494,9.8469,9.8781,9.6719
2000-03-23,9.6719,9.5,12.1214,9.7906,9.8378,9.5313
2000-03-24,9.5313,9.6406,12.0916,9.6844,9.7994,9.6719
2000-03-27,9.6719,9.5,12.0658,9.7063,9.7597,9.2969
2000-03-28,9.2969,9.5938,12.036,9.5656,9.7153,9.4688
2000-03-29,9.4688,9.2969,12.0088,9.5281,9.6828,9.2969
2000-03-30,9.2969,9.5,11.9818,9.4531,9.6506,9.7813
2000-03-31,9.7813,9.3594,11.9573,9.5031,9.6362,9.6875
2000-04-03,9.6875,9.7813,11.9314,9.5063,9.6112,9.6719
